Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,4855937500.0,36092143.65869469,446656.3413053089,140759419.0695258,172020.06129258935,14621.705209870095,157398.35608271926,219657218.05957502,2293149.0735922954,2293149.0735922954,178183900.2736786,1628990.6664454995,138464.20664786748,1490526.459797632,12654372.856964784,1130827.1430352167,254436.10718292376,876391.035852293,857992.6787254584,831607.3212745417,187111.64728677188,644495.6739877698,0.0,0.0,0.0,5461960.59931271,2079091.693996488,1861982.1954761588
1962.0,4957925000.0,72583490.333092,913853.3256026859,292694598.0756517,367631.00996271556,35070.971817461745,332560.0381452538,441547361.28792906,4818249.039117601,4818249.039117601,361872623.32794464,3422479.4703396396,326494.98490972264,3095984.485429917,26734643.121950433,2490129.7350143506,606881.9033146783,1883247.8316996722,911190.3073865458,1689202.3713389128,411683.9118006514,1277518.4595382614,0.0,0.0,0.0,11407559.853930704,6368793.8548100535,3957091.401879206
1963.0,5062475000.0,109483207.33941546,1392282.9936765386,435361025.6162043,563075.7026948388,57140.46302552601,505935.2396693127,665433512.782879,7585124.946423845,7585124.946423845,542242342.8620337,5307526.085980839,538603.4180156479,4768922.667965191,39455610.79495695,3849432.3269934845,980306.1823619796,2869126.144631505,912014.849806887,2546797.4214032837,648573.8793010903,1898223.5421021935,0.0,0.0,0.0,17627332.540792048,12989936.201026676,6238840.507841727
1964.0,5171125000.0,146802881.25170103,1880126.087714436,598379838.7322044,794383.936497268,84041.38417822354,710342.5523190445,891399089.2106524,10606336.994146897,10606336.994146897,732180121.2669153,7403973.576484363,783299.0562855849,6620674.520198777,65818342.199242294,6549268.595714653,1718724.2153756646,4830544.380338988,912014.849806887,3404392.4714676547,893414.538408557,2510977.9330590977,0.0,0.0,0.0,25278876.380062804,22154366.069997057,8772924.197694339
1965.0,5284900000.0,184555449.80591568,2376631.445785332,765220857.713872,1043256.8049726611,113862.68423759424,929394.1207350668,1119515218.9704077,13893881.200957501,13893881.200957501,924333216.3688871,9654594.810987938,1053717.6227038777,8600877.18828406,80692244.24934354,8463697.949898753,2272120.5404460807,6191577.409452673,912014.849806887,4261987.521532026,1144151.1084305225,3117836.4131015036,0.0,0.0,0.0,32733566.332530804,34046222.59564206,11532295.984331625
1966.0,5403800000.0,222754208.18247503,2881441.623440665,942745997.4942428,1318889.1857878685,147552.56360443722,1171336.6221834312,1349511551.4113626,17455625.219815087,17455625.219815087,1121562989.2928061,12090815.403207269,1352676.8041133936,10738138.599093875,82679612.2960603,9397631.953283248,2569101.1825853465,6828530.770697902,563455.3240746695,4781742.097328614,1307220.7273209023,3474521.3700077124,0.0,0.0,0.0,39668152.58179801,48874931.659354776,14536391.377379686
1967.0,5527825000.0,261414394.7149009,3394413.467574127,1124448188.5735414,1614644.7553324366,184374.10845106194,1430270.6468813748,1581440212.9407823,21301800.868676037,21301800.868676037,1321222546.6819773,14695309.178045554,1678037.5492298403,13017271.628815714,81836707.9875429,10162104.308517398,2820386.1009783885,7341718.20753901,284613.5605085288,5041619.385226909,1399248.896569505,3642370.4886574037,0.0,0.0,0.0,46733431.84056954,66844211.47041991,17780063.33330799
1968.0,5656462500.0,300550692.1072119,3915502.607689029,1288226695.1999776,1904414.9411385376,221277.06311476423,1683137.8780237734,1815013735.8377066,25438272.11184205,25438272.11184205,1513403625.6697671,17382476.49045884,2019698.1573619999,15362778.33309684,88814351.91347493,11693756.07406797,3287640.1349498658,8406115.939118106,879644.2385339553,5886220.570896366,1654881.0210742145,4231339.549822152,0.0,0.0,0.0,55121643.811902925,88108770.18585518,21219629.607527394
1969.0,5789200000.0,340178354.1790251,4444737.928186776,1459952341.0395637,2219180.5097234584,261770.91268914254,1957409.5970343158,2050599062.8724737,29876484.752115797,29876484.752115797,1709307246.8484592,20253064.65358289,2389018.466903023,17864046.186679866,104087375.40516673,14103576.508308195,4010000.28754405,10093576.220764145,1434441.8671950428,7250576.332362411,2061520.5767491555,5189055.755613255,0.0,0.0,0.0,64980572.51220738,112892750.70424654,24913960.017438624
1970.0,5926550000.0,380313155.34976166,4982198.829263475,1649484425.8177395,2572134.6799316593,307469.8323619458,2264664.8475697134,2287892481.1270623,34620142.47922736,34620142.47922736,1912527788.09298,23344903.060550474,2790621.1469160095,20554281.913634464,108888616.05518079,15792959.349985925,4535260.938632374,11257698.41135355,941499.5626086247,8121165.246821696,2332153.3794818516,5789011.867339844,0.0,0.0,0.0,74485799.51912493,141444651.35655966,28887188.5881184
