Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1737200000.0,6635825.9989046315,145374.00109536882,25739321.693607595,86492.68925627928,1729.8537851255855,84762.8354711537,0.0,0.0,0.0,18008297.86937234,315083.94134990434,6301.678826998087,308782.26252290624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393545.0979940599,226082.77838673542,167462.3196073245
1962,1770600000.0,13323027.844249522,297698.1546551089,48304934.05634169,169545.89031088565,3978.5190854402936,165567.37122544536,0.0,0.0,0.0,33530994.435066357,618387.6748700943,14510.921864048016,603876.7530060463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769444.1242314917,652525.7553494541,343001.14726877294
1963,1807800000.0,20064145.654154636,453482.19009488734,65243763.004078075,240427.22286504746,6129.225965150386,234297.99689989706,0.0,0.0,0.0,44862565.118740566,876706.9425255536,22349.94395360717,854356.9985719465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088654.9954718435,1238234.151146649,502946.5996746488
1964,1838599800.0,26862683.41823776,612062.2359168766,85398468.17870566,327625.4400078392,8823.435300368235,318802.00470747094,0.0,0.0,0.0,58228696.28911305,1192208.2624174212,32107.923205697494,1160100.3392117238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478902.3439191948,2020094.905684607,697041.5893812366
1965,1882200000.0,33722406.13420191,773177.2840358524,108731621.62657112,432183.06539322715,12121.520360643772,420061.5450325834,0.0,0.0,0.0,73556457.13012572,1567333.9148968959,43959.31141833205,1523374.6034785637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943436.1485111471,3034475.168430006,929055.8857657481
1966,1919800000.0,40647775.922487885,936730.2117140235,132038717.34130079,544536.8180078063,15769.131360200134,528767.6866476062,0.0,0.0,0.0,88555522.41275741,1965511.1628437354,56918.839446368256,1908592.3233973673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437360.0100449733,4290637.026794149,1181198.1516808309
1967,1958000000.0,47643279.555972196,1102696.3665156867,155229562.34281254,664734.0942101947,19762.245985937436,644971.8482242572,0.0,0.0,0.0,103145808.08085366,2384677.5712510906,70895.39286563218,2313782.1783854584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2958754.0266097155,5797644.517708446,1451746.5356954194
1968,1998800000.0,54713388.27958244,1271091.2763897572,178522310.4900034,793826.3740975072,24130.105177847316,769696.2689196599,0.0,0.0,0.0,117465242.7110711,2826154.9146525785,85907.21795680758,2740247.696695771,0.0,0.0,0.0,0.0,117101.6598769494,98438.36662814177,9922.037618868022,88516.32900927374,0.0,0.0,0.0,3598460.2946247044,7624715.75527725,1771389.0570559003
1969,2041600000.0,61863119.54967608,1441968.7299063588,202267671.3280365,933361.2597106342,28921.246691061184,904440.0130195731,0.0,0.0,0.0,131743962.94887803,3292830.792888003,102032.05959347522,3190798.7332945275,0.0,0.0,0.0,0.0,180580.39460008556,179558.69400387834,18310.00327570742,161248.6907281709,0.0,0.0,0.0,4256487.437042272,9763093.293272987,2118109.8990465356
1970,2076599800.0,69097421.78359441,1615397.7660816687,225869071.31591323,1081791.997562333,34090.430587783056,1047701.5669745499,0.0,0.0,0.0,145547531.5085184,3776098.933900773,118995.9242523686,3657103.0096484045,0.0,0.0,0.0,0.0,222517.69219132903,228987.272864256,23591.608638966438,205395.66422528957,0.0,0.0,0.0,4910200.240848244,12196665.838437999,2476627.695683232
