Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,57759385600.0,1458760702.0080569,24393397.991943013,530501064.1282763,1042644.5931088913,62558.67558653347,980085.9175223578,1502709255.0049472,22077365.056765962,22077365.056765962,844720184.1484609,10466965.450024163,575683.0997513289,9891282.350272834,85907473.86574508,6079064.210175855,911859.6315263782,5167204.578649477,83317831.0024495,70038897.85592286,10505834.67838843,59533063.17753443,25859.554250768706,84902.97876160189,84902.97876160189,97733904.05950665,60328661.45264216,37405242.606864505
1962,58690281800.0,2939085995.452503,49999306.55555325,1070653539.1436661,2173506.528177434,145475.9909099943,2028030.5372674398,3050097844.6838646,47181205.68390834,47181205.68390834,1712900249.0689344,22085137.1392002,1367765.0480591746,20717372.091141026,159571856.00769654,12335780.686106127,2021377.3349675247,10314403.351138603,124486856.61466,124396801.5225741,20384026.073307063,104012775.44926703,69103.90253260141,227446.99579988926,227446.99579988926,184481234.10852233,163925776.872957,80884118.68820749
1963,59643603800.0,4437138041.22966,76240554.22284292,1665616531.6715455,3485939.862893503,247453.3554829385,3238486.5074105645,4616475092.372176,75117950.17917308,75117950.17917308,2618867838.0729036,35087345.12196639,2315277.866985465,32772067.254980925,224040312.7101196,18817767.687127985,3236133.7695968067,15581633.917531177,128401886.40379171,136826197.53239328,23530308.47027534,113295889.06211793,43486.510569631166,144275.92671805434,144275.92671805434,240150302.84793174,286101050.73200387,117975028.9888849
1964,60695952000.0,6039664055.653646,104546885.57601354,2339615670.6608357,5038172.7815343095,372134.2720659459,4666038.509468364,6134440786.122324,105030606.88786934,105030606.88786934,3545241680.6514473,49326008.02602633,3396734.109261796,45929273.916764535,320886363.8647984,28298838.285671957,5029436.141684207,23269402.14398775,135938258.7534923,143634742.37006918,25527612.023681078,118107130.3463881,43342.32203668523,143237.13365006252,143237.13365006252,297145688.9381281,429223838.1846263,154022901.48550576
1965,61766057200.0,7665011741.138626,133438314.5150199,3016432371.062629,6694583.575104438,509420.18064358324,6185163.394460854,7691770057.473277,138220884.62603664,138220884.62603664,4492223556.829241,64851661.24285126,4610588.591242598,60241072.65160866,400941340.78083456,37609541.15745748,6852035.601779876,30757505.5556776,190259608.59898755,191024576.9761813,34802530.47427024,156222046.50191104,1525957.3020007277,5011007.760361975,5011007.760361975,396637680.49005675,621625193.8611319,204236324.81355107
1966,62734707800.0,9303444667.02924,162707974.1093868,3837695086.9311347,8738308.857659927,680868.0078671111,8057440.849792816,9276251387.104534,174637701.82799476,174637701.82799476,5518813366.648312,82440401.85655682,6011355.808845144,76429046.04771167,485750951.3522558,47962165.576537885,8913058.123209594,39049107.45332829,267973216.10521582,269180224.92804754,50023158.078082465,219157066.84996507,2016988.093246636,6655435.703553666,6655435.703553666,523985798.7323463,876186509.5948195,269424482.99865866
1967,63925642200.0,10970284272.631279,192608394.3979603,4623994405.679268,10840078.513543414,861342.8987732105,9978735.614770204,10876591336.112173,214207037.54651606,214207037.54651606,6532669588.286501,101049502.48702641,7524055.1612514,93525447.32577501,552126692.6422014,57645695.78991599,10890321.25822645,46755374.53168954,310384227.1214988,322835025.2287709,60989412.8255795,261845612.40319142,2080055.6733149434,6872947.22169878,6872947.22169878,633185154.643641,1174344640.128373,335027024.11008763
1968,65175864800.0,12654535880.898443,222928191.73283583,5411601960.9305105,13072055.601665493,1056149.0906324477,12015906.511033045,12486603297.60403,256892086.21016714,256892086.21016714,7558499866.246254,120990661.04044867,9170416.424452806,111820244.61599585,608294699.3798141,66884675.29689912,12814356.74081765,54070318.55608147,361319582.7307211,375034158.43720734,71852355.93764642,303181802.49956095,2899305.9857219667,9563968.909763182,9563968.909763182,747544327.3026016,1517832675.7155194,404056291.7154551
1969,66385581800.0,14367079247.02962,253852833.86882478,6180865397.609558,15401054.947147433,1262459.061296625,14138595.885850808,14098412941.104713,302599168.6788069,302599168.6788069,8574231417.25067,142015206.13169375,10931229.349923426,131083976.78177032,665446843.6674166,76221202.33834586,14782682.332590487,61438520.005755365,395061147.0388166,415044831.3807107,80495658.79122789,334549172.58948284,4050367.207022165,13360904.658441689,13360904.658441689,857170338.6001079,1901622055.770167,473380958.54546034
1970,67458628600.0,16086409454.423111,284985392.6065083,6977630914.752972,17920096.902375836,1487831.294066744,16432265.608309092,15730166317.235245,351580725.7791101,351580725.7791101,9613566190.392715,164537889.55064344,12838208.842405515,151699680.70823792,714818183.454598,84944389.89083488,16653492.201547442,68290897.68928744,436949046.2470603,457835128.2803935,89759356.07060803,368075772.20978546,4367151.512295334,14425809.989540095,14425809.989540095,970505151.9842701,2327440335.523315,544686872.2311219
1971,68687125200.0,17820884214.399742,316469540.02336764,7797630176.831037,20629593.828031637,1732451.684881773,18897142.143149864,17370216663.487854,403655340.530461,403655340.530461,10671058426.655079,188516442.87577003,14888831.230333082,173627611.64543694,794672773.476888,95595395.90774775,18923864.345131703,76671531.56261605,466424657.10342824,492216140.1043173,97438076.12667166,394778063.97764564,4360324.83425618,14409984.52502726,14409984.52502726,1082039674.3843367,2793184190.7016373,616295819.2060144
1972,69876376000.0,19585279384.125557,348568730.2741849,8630409408.584639,23517417.783188827,1995430.9453442146,21521986.837844614,18977700919.89695,458170736.06023586,458170736.06023586,11728030818.090885,213733968.89274055,17066457.894972257,196667510.99776828,856730518.16135,105089353.68462734,20986147.72855117,84103205.95607617,470798918.98127246,502531147.729342,100354531.97376606,402176615.7555759,4601687.906631556,15202067.843447836,15202067.843447836,1177842123.4509487,3288345060.483247,682681253.6693397
1973,71048184200.0,21385870716.927048,381394467.19850826,9432366737.011003,26505061.450947262,2270145.090437693,24234916.36050957,20566417347.623238,515189640.0371231,515189640.0371231,12766958676.569206,239963346.7214715,19352922.389556516,220610424.33191496,933249118.7645607,115479028.25150953,23245811.42400627,92233216.82750326,504379560.18619096,531515865.3456597,106993605.3478282,424522259.99783146,6016753.041352179,19853128.453277793,19853128.453277793,1296643586.00816,3830182615.277648,754806031.2137592
1974,71997611800.0,23209172343.44003,414698373.4870188,10280686462.50336,29745773.11419235,2569754.3924723594,27176018.72171999,22117494550.595787,574290992.5650722,574290992.5650722,13809679245.120226,267441102.9062793,21767184.68849741,245673918.2177819,1019902973.3292317,126636314.43607874,25679457.041571736,100956857.394507,562493058.1111856,588261323.5546862,119288305.68632628,468973017.8683599,6481595.348132238,21409884.0636702,21409884.0636702,1438480688.8311112,4432174996.73613,836488307.3726298
1975,73435839800.0,25064339186.241474,448645357.19855386,11133651281.933123,33168951.3630153,2888368.9358705482,30280582.427144755,23661049576.6074,635721142.9112834,635721142.9112834,14850952299.248943,296083679.9366434,24302697.086470485,271780982.85017294,1107471466.2967691,138044761.76414627,28183357.161752,109861404.60239427,518677871.9800106,564958617.7919085,115342518.63930237,449616099.1526061,7665155.456915056,25305485.194064025,25305485.194064025,1522565697.1376653,5052370669.552385,902370024.3214097
