Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,475000.0,741706.2385907597,8293.761409240311,809639223.1337913,989448.4483455208,84103.11810936927,905345.3302361515,151240582.90258807,1578901.9165241611,1578901.9165241611,282106059.9191721,2579066.5590449576,219220.65751882142,2359845.9015261363,373521190.51584095,33378809.484159075,7510232.133935792,25868577.35022328,156455696.2093476,151644303.7906524,34119968.35289679,117524335.43775561,0.0,0.0,0.0,148237005.93626532,2554429.5083516836,2289663.639934765
1962.0,0.0,1563861.1054808332,17845.133109926537,1626509355.9108262,2044868.5452134032,195074.7493440951,1849793.795869308,304191423.4144032,3319313.180375414,3319313.180375414,561337602.1381054,5312614.272258708,506808.56720526994,4805805.705053438,717151850.0532002,67069340.4626406,16345802.558673885,50723537.90396671,170179121.95642343,311926574.2529242,76021176.89500664,235905397.35791755,0.0,0.0,0.0,296603847.94318247,7740442.673336548,4788899.516313297
1963.0,0.0,2643272.9092447264,30588.196236106367,2493668208.614005,3221916.8321728758,326957.4921080707,2894959.340064805,435472200.19527614,4985782.890508226,4985782.890508226,836688121.7856157,8196251.58809337,831748.9257233598,7364502.66237001,1073724754.4248202,104927095.62838012,26720999.82651852,78206095.8018616,179771468.47505254,481240564.85332805,122553940.64754193,358686624.2057861,0.0,0.0,0.0,452137964.9005908,15584112.073881675,7401575.492397916
1964.0,0.0,3709954.729011457,43318.180233269326,3609416896.8847704,4769090.777543631,504543.17087987287,4264547.606663759,562887865.9711832,6750356.833616241,6750356.833616241,1176517341.5489836,11858752.252178617,1254589.7620918779,10604162.490086738,1431361748.0098395,146263006.41498065,38383793.13127596,107879213.2837047,189680992.96077207,659881590.6917484,173172691.36657882,486708899.32516956,0.0,0.0,0.0,616207179.5392411,26632820.63791004,10570358.366338374
1965.0,0.0,4941817.846274815,58136.88273664304,4709827351.981862,6384212.596911908,696782.977655153,5687429.619256755,678709136.195436,8534000.885654526,8534000.885654526,1493047627.3332243,15544837.108091302,1696587.9069533797,13848249.201137923,1794846387.437686,191815360.57215327,51493758.793019585,140321601.77913368,387438128.1679746,1029911410.8469334,276484686.1593298,753426724.6876036,445244.91577903635,23554755.08422096,23554755.08422096,945372761.2570075,40882791.31923491,13819709.024724329
1966.0,0.0,6396065.92848671,75751.9177881045,5829341207.265134,8111947.501571883,907535.4188809444,7204412.082690939,793949295.4855983,10445376.35249713,10445376.35249713,1775146646.657976,19144840.141449884,2141855.641177743,17002984.50027214,2149864581.0318794,240681806.40580666,65796991.89516647,174884814.5106402,408262366.7817078,1414239403.7548559,386621240.617539,1027618163.137317,324657.7510888807,40730097.33313207,40730097.33313207,1277885847.9165492,58369095.21932509,17166469.035370033
1967.0,0.0,7477151.374326757,88914.55415995306,6979789194.239059,9971785.408163909,1138664.7361431497,8833120.67202076,916859085.0381582,12573720.622261906,12573720.622261906,2057743821.7904253,22962039.555261135,2622004.3494010796,20340035.205860056,2448580787.7671595,288883793.2647201,80176684.92527024,208707108.33944982,394929029.5460028,1785204388.3930082,495464865.50125194,1289739522.8917563,528728.3374876056,68701368.99564447,68701368.99564447,1608894876.7269936,79333644.29965547,20782327.419812344
1968.0,0.0,8723008.617044453,104142.75728230545,8252574338.872294,12081424.618210005,1403760.3360545405,10677664.282155463,1021174255.5866905,14655213.561618827,14655213.561618827,2363871831.6659827,27212010.740526356,3161807.6964420658,24050203.04408429,2798878132.2664604,346002655.50069934,97276889.46290903,248725766.0377903,455010389.1668279,2214814029.949876,622683716.8649958,1592130313.0848799,683636.4644357287,104867732.53120872,104867732.53120872,1995106892.5417376,104033044.33289081,24683680.854623232
1969.0,0.0,9775952.544067433,117056.07297701875,9587540096.403246,14379958.488164186,1696236.44466299,12683722.043501196,1093618651.7723496,16536444.046036497,16536444.046036497,2660821576.7666364,31614973.451611344,3729250.6935826526,27885722.75802869,3165218666.346229,409659465.92023104,116476453.69722775,293183012.22300327,496302379.4860209,2682642367.3501196,762742461.6808947,1919899905.6692247,627053.2563888095,138040679.2748199,138040679.2748199,2408229486.014614,132481060.76734897,28657872.41310823
1970.0,0.0,10638294.510839717,127658.03322771554,10920971554.934134,16798333.27998139,2008052.2057628823,14790281.074218508,1179278374.5379834,18659160.311181914,18659160.311181914,2954624742.5846944,36224355.344570816,4330215.113584439,31894140.230986375,3608810482.275283,485908184.07094586,139538154.82851315,346370029.2424327,455519252.40000546,3109766440.1496267,893030998.9237717,2216735441.225855,654881.0636249993,172685798.2111949,172685798.2111949,2801134850.2958694,164922774.5837776,32901867.799958155
1971.0,0.0,11312334.503433889,135960.00740582778,12035366922.238106,19075321.339345954,2307511.656845319,16767809.682500634,1216672619.0685701,20393283.981991548,20393283.981991548,3209454151.7351494,40713927.09459,4925099.802797773,35788827.29179223,3879216156.316899,553494325.9583842,160371201.88951734,393123124.06886685,473270587.8587021,3555347706.6919103,1030137723.3995185,2525209983.292392,614066.9463452543,205171731.26484963,205171731.26484963,3196454759.5823927,200999042.7028551,36873652.83720691
1972.0,1258750.0,12040096.981940586,144937.52149330208,13166439202.79084,21488276.815696523,2627448.9586113486,18860827.857085176,1296274057.2926302,22636692.266486317,22636692.266486317,3483860175.3847475,45596594.9033282,5575259.795027446,40021335.10830076,4114256366.2472034,623959790.0696957,182253962.21738335,441705827.8523123,502141115.2672115,4028344058.3401313,1176649004.4580207,2851695053.8821106,710536.6780973788,242761194.58675224,242761194.58675224,3617680931.553047,241202501.29991508,41315396.63481227
1973.0,0.0,13844740.995756809,167255.98618377742,14633259612.582129,24432436.9760682,3016776.5958105815,21415660.380257618,1336837933.382343,24577656.079616506,24577656.079616506,3793861821.8019414,51032354.11455725,6301181.158175616,44731172.956381634,4306131025.768608,694449863.7726642,204344395.109419,490105468.6632452,540690311.0362959,4537861044.007393,1335282096.666729,3202578947.340664,727233.3624390927,281233961.22431314,281233961.22431314,4064642866.6444783,285838713.16497135,46088277.55119943
1974.0,2042500.0,16717411.824739998,202929.1710168101,15939597971.858875,27329278.388597604,3404841.649698662,23924436.73889894,1408810484.7192488,26912315.766734317,26912315.766734317,4059549802.0844054,56314266.574328855,7015961.328291304,49298305.24603755,4527607685.710829,770879052.2621973,228376425.1132186,542502627.1489787,604487180.3803083,5108089892.292562,1513294861.6717105,3594795030.620851,800513.2548277258,323583447.9694854,323583447.9694854,4561016163.490986,334982979.3877109,50990791.528931245
1975.0,7932500.0,20632918.254165713,251793.57057428814,16998866404.490194,30066958.694050413,3777033.9920636113,26289924.7019868,1437506624.7846298,28886216.649726693,28886216.649726693,4237770947.4676046,61020365.027357794,7665424.204080411,53354940.823277384,4608284135.503361,838243707.8247223,249894997.38234237,588348710.44238,420885741.38245344,5498496454.339772,1639197221.8076835,3859299232.5320888,805151.222700424,366178296.746785,366178296.746785,4922357321.896244,388073506.2297802,55440555.332921624
1976.0,4393750.0,24495791.583868045,300226.67029766773,18393803789.395252,33345050.440772027,4221110.94938464,29123939.491387386,1486738602.9927413,31120822.515344806,31120822.515344806,4521940992.071976,66861999.98986607,8463982.405913103,58398017.58395296,4777841882.671564,915936188.6859832,274652529.8244814,641283658.8615017,496810476.6810004,5968022853.564351,1789570709.2142475,4178452144.3501034,852458.4950019467,411275838.251783,411275838.251783,5349654421.054073,446009541.78047776,60706744.03998762
1977.0,7338750.0,28313611.661558565,348279.92230948096,19857744912.155525,36865465.1289861,4700280.452038056,32165184.67694804,1558166219.1516619,33646872.38777175,33646872.38777175,4808683546.089298,72958350.90057771,9302058.426526895,63656292.47405081,4951175544.694941,996909948.4348488,300565119.7534972,696344828.6813517,503154753.9860502,6441265301.129143,1942020620.455722,4499244680.673421,1001801.0605028318,464274037.1912802,464274037.1912802,5789331896.084824,509129751.3730849,66348139.94616349
1978.0,13751250.0,32077007.895178504,395803.766380062,21336621538.92166,40572160.14972079,5207663.000530165,35364497.14919062,1626437564.1174464,36215301.120600045,36215301.120600045,5101235609.580209,79338914.52792,10183592.102677764,69155322.42524223,5175948661.071039,1085406040.0335484,328921487.0345462,756484552.9990022,494436795.20227385,6905943610.797286,2092777410.5347319,4813166200.262554,1038904.8034844182,519235132.38779575,519235132.38779575,6229621006.344385,577631114.0158569,72233758.05226088
1979.0,15556250.0,35787712.263961956,442795.6312165456,22819746205.26907,44458529.241743766,5742556.382385241,38715972.85935853,1677241653.1813247,38668945.71912935,38668945.71912935,5372611960.202986,85758321.25525276,11077109.465074148,74681211.79017861,5410583422.526112,1178372874.1166093,358814366.2848531,819558507.8317562,531336628.80967057,7406650362.651329,2255323942.4834404,5151326420.167889,1135374.5352365428,579299757.8525592,579299757.8525592,6702250816.220871,651512943.2456688,78184301.13885456
1980.0,18477500.0,39447750.1479736,489262.1159883558,24216857263.168217,48420029.44857733,6291504.1767121395,42128525.27186519,1725278726.918045,41139482.64235182,41139482.64235182,5610313540.770135,92085787.68152058,11965257.444326825,80120530.23719376,5613364118.4313135,1271848306.427249,389039028.4491166,882809277.9781324,514173260.0225934,7889613598.92065,2413312652.0293865,5476300946.891263,1152998.8131527961,640296759.0394064,640296759.0394064,7162795522.060213,730742800.8586824,84158680.53839725
1981.0,19688750.0,43122825.342105,536024.8058685984,25389494349.380547,52286867.13535338,6832211.8093827395,45454655.32597064,1757592954.255501,43482802.854345664,43482802.854345664,5770130339.497398,97891430.78092866,12791261.478479736,85100169.30244893,5724954664.8264885,1359950644.5594358,417779701.81792915,942170942.7415067,498934635.16980493,8358352491.212204,2567703486.4739656,5790649004.738238,1145578.064556479,700901180.9748499,700901180.9748499,7607758755.93736,814942244.5180749,89838183.82337272
1982.0,20876250.0,46815022.7987559,583102.5433490989,26530688362.812637,56284318.76915509,7393825.376985343,48890493.39216975,1742891110.9814382,45350814.59533501,45350814.59533501,5919509835.381182,103736398.43243408,13627398.0394541,90109000.39297998,5725907841.094353,1439439625.6116602,444006878.5415433,995432747.070117,602964853.456637,8928359853.172459,2754025329.2792377,6174334523.893221,1183609.401112605,763517571.5737374,763517571.5737374,8117635150.91756,903926343.7344961,95366209.16406348
1983.0,21992500.0,50518113.508578405,630409.2901774909,27746354639.596233,60544101.337492704,7993783.80697193,52550317.530520774,1748929997.2498102,47398996.647418156,47398996.647418156,6096393310.099092,109952891.68093383,14517345.631233161,95435546.04970068,5754060358.572755,1522275511.1292415,471385313.62938017,1050890197.4998612,572738746.3315511,9465956382.920399,2931212376.302972,6534744006.617427,1305124.1593773004,832562447.41436,832562447.41436,8613581511.759289,998068697.7799317,101242506.18220398
1984.0,25293750.0,54234839.20082469,677974.3077537152,28943176559.088707,64961783.838224225,8618532.315548616,56343251.52267561,1749602986.7583096,49365193.4001813,49365193.4001813,6252143945.132341,116105206.75208093,15403771.529553745,100701435.22252719,5905887963.869475,1617317754.1087124,502674412.5245034,1114643341.584209,616016673.3146557,10046496650.109865,3122526039.6071253,6923970610.50274,1428494.104791075,908133953.309569,908133953.309569,9153157785.5419,1097343597.7825274,107134980.14278829
1985.0,25008750.0,58008491.10647467,726348.0943500262,30182226561.62483,69615200.46607603,9278532.326970546,60336668.139105484,1748128721.7235897,51269840.814463,51269840.814463,6411329552.211821,122395989.07508405,16313321.425801449,106082667.6492826,5900328741.36549,1700489970.7122731,530399226.9534889,1170090743.7587843,634720847.3298466,10643845268.401087,3319918023.278784,7323927245.122303,1440552.8212600905,984343400.4883089,984343400.4883089,9696050565.972248,1201869467.4556644,113163306.9297142
1986.0,26505000.0,62622889.54501652,785601.5614581512,31604657317.796425,74684237.33865923,9998087.000553941,64686150.33810528,1761410457.4815319,53279392.257882446,53279392.257882446,6605510978.08466,129106712.99599937,17283702.624373928,111823010.37162544,6030282474.130153,1796475581.3719304,562240459.3610008,1234235122.0109296,693423570.640068,11297574461.178576,3535786136.245337,7761788324.933239,1478584.1578162166,1062564816.3304927,1062564816.3304927,10288376816.242273,1312060316.5337193,119597703.88955808
1987.0,26790000.0,68126480.02865444,856409.516362083,33033351943.44219,79969844.03914833,10750950.145620232,69218893.8935281,1783773290.5387666,55341001.37689598,55341001.37689598,6796824201.1518345,135904201.73672587,18270628.32255356,117633573.4141723,6151516623.624224,1894085425.080952,594719328.0694828,1299366097.0114691,683558224.238111,11940007851.385487,3749014354.1001253,8190993497.285361,1490642.874285232,1141424173.4562075,1141424173.4562075,10873977236.437635,1428050015.5959196,126203769.62239605
1988.0,31207500.0,71926598.42277996,905381.6058744803,34488580188.15451,85502182.01059346,11541346.818783255,73960835.1918102,1804611582.626145,57346189.09637426,57346189.09637426,6976616325.565729,142698704.7903061,19261908.92265229,123436795.8676538,6407472659.39973,2005689923.2456076,631731195.9530649,1373958727.2925427,692975136.591311,12591915934.380356,3966069740.079389,8625846194.300966,1597316.1353572928,1225926857.3208501,1225926857.3208501,11480475599.070198,1549889693.7715216,132904141.98023629
1989.0,22135000.0,81398884.9964109,1027713.4263690595,36079189475.25948,91421029.17596345,12388412.234716296,79032616.94124715,1805155488.9840722,59092192.64598876,59092192.64598876,7178895768.541381,149784725.10472256,20297243.837513458,129487481.2672091,6697073642.976861,2123094081.8441048,670721486.3234142,1452372595.5206904,761982195.9914557,13310417572.399162,4204987020.636608,9105430551.762554,1586185.012462817,1309840672.3083873,1309840672.3083873,12135256110.44608,1677726003.5819628,139775981.04400384
1990.0,35031250.0,92201249.14356978,1167635.8528411186,37683239094.002014,97591789.86298418,13274236.240659231,84317553.62232494,1774885999.156472,60445134.04954862,60445134.04954862,7347804000.961566,156656623.96019864,21308114.52511879,135348509.43507984,7055107901.544544,2249324880.6502585,712658841.2998385,1536666039.35042,795706144.3305708,14059558152.03098,4454522558.305364,9605035593.725616,1681727.150640402,1398808945.1577468,1398808945.1577468,12820621775.340736,1811340445.7039857,146496754.98493052
1991.0,29711250.0,101473201.04291543,1288048.1006543466,39178404448.5082,103871111.37304834,14179425.477269601,89691685.89577873,1747630363.347459,61723866.609086595,61723866.609086595,7476732999.726103,163223759.41566086,22281644.069851294,140942115.34580958,7498271152.013975,2386211632.6439085,758141563.1145848,1628070069.5293236,821662422.9140296,14832914569.853317,4712678826.845632,10120235743.007687,1746658.700858178,1491212286.4568887,1491212286.4568887,13531875766.844574,1950586583.5880952,153111529.96656555
1992.0,93229675.0,105265230.31317702,1337370.729738416,40636540779.196,110344247.35588151,15115621.321180314,95228626.0347012,1709780562.731602,62783525.83830848,62783525.83830848,7602214342.745722,169784908.51815274,23258162.022116918,146526746.4960358,7749333858.901727,2509819787.267172,799565510.884917,1710254276.3822548,862511537.3350209,15645119196.87362,4984141804.50959,10660977392.364029,1725324.048643766,1582486962.4082448,1582486962.4082448,14258257529.523575,2095422488.2221963,159702993.73494428
1993.0,224675000.0,109136167.22100046,1387763.092176551,42083952634.72737,117045395.9149464,16087610.330542166,100957785.58440425,1666376406.6851265,63662033.17498272,63662033.17498272,7748087836.028489,176545431.9658894,24265748.284267075,152279683.68162233,7977493785.827791,2634462775.2196136,841462437.8012614,1793000337.4183521,884727260.2018876,16477661682.631128,5263059132.644372,11214602549.986755,1549081.2694812308,1664437881.1387637,1664437881.1387637,14988940270.984879,2245935839.211016,166386151.4521894
1994.0,282387500.0,113091469.81045729,1439297.410543181,43608944462.6018,124086124.33869779,17110906.726598263,106975217.61209953,1627774891.2107077,64458045.09619133,64458045.09619133,7905502961.24256,183427282.4062614,25293779.921758134,158133502.48450327,8083704560.725902,2752096623.340243,881253632.3484193,1870842990.9918237,869630489.5548352,17294946221.561275,5538044721.890262,11756901499.671013,1641840.6269351966,1751296040.5118284,1751296040.5118284,15708607296.367456,2402275633.986417,173226970.41739357
1995.0,332262500.0,117118164.14384836,1491805.6666089287,45026712018.49292,131250279.4524885,18155880.152781755,113094399.29970674,1582198763.2921243,65049702.835865065,65049702.835865065,8012478976.233569,189861831.97299442,26263629.161544744,163598202.81144968,8136120866.049049,2868089832.01707,920640768.0637043,1947449063.9533656,915356926.3937546,18157020217.307228,5828301767.958865,12328718449.348362,1614012.8196990069,1836682027.6921294,1836682027.6921294,16454591845.940878,2564166323.89588,179851615.03755796
1996.0,329626250.0,121509052.55999315,1549111.5838552096,46402014017.70863,138613726.3057416,19233040.43618699,119380685.86955461,1534836822.6353908,65482312.67582777,65482312.67582777,8114977730.986338,196228228.49758482,27227213.018506534,169001015.4790783,8237322985.40059,2990522550.5108213,962215617.1470959,2028306933.3637254,930742737.3507761,19032629488.46455,6123843916.858859,12908785571.60569,1614012.8196990069,1922068014.8724303,1922068014.8724303,17213024533.866306,2731575591.8836536,186454746.03668714
1997.0,293075000.0,125782619.28475761,1604933.2752355412,47967710241.345856,146461822.51663107,20382179.190570977,126079643.32606009,1484328630.20027,65738419.695040405,65738419.695040405,8223609731.609737,202611129.81073427,28196128.402932383,174415001.4078019,8409385529.61868,3122594025.736912,1007020284.729935,2115573741.0069766,942090062.1155119,19918820884.034397,6423715831.388354,13495105052.646042,1669668.4341713863,2010398346.438259,2010398346.438259,17987310204.52018,2904626062.488876,193182593.82368004
1998.0,528983750.0,131127803.97132865,1674815.3134289677,49562854543.04696,154614763.96345988,21578622.819136743,133036141.14432314,1428484224.353841,65791545.53521311,65791545.53521311,8325300132.399746,208885894.49344832,29152907.61351461,179732986.8799337,8770395415.234783,3274993023.6717134,1058526301.3210703,2216466722.350643,1476538443.193064,21322699649.70164,6891812663.794318,14430886985.907322,1625143.9425934828,2096373202.4956653,2096373202.4956653,19122287584.3131,3083286254.529848,199900481.51849818
1999.0,642675000.0,136285494.2248486,1742309.746480046,51314637270.369484,163233897.75846672,22845143.01711217,140388754.74135455,1387439343.7734978,65847055.34891617,65847055.34891617,8433899846.320477,215166414.62405825,30113276.60532388,185053138.01873437,8970006245.597095,3417892719.226899,1107110700.0981789,2310782019.1287203,1788863521.8271778,23013378596.539978,7454405325.923403,15558973270.616575,1716048.1128983693,2187157154.3827667,2187157154.3827667,20448201392.23707,3267758030.670521,206817171.9683323
2000.0,650037500.0,140488143.3159983,1797350.9088503148,52888472751.22956,171925098.20113978,24126797.783107463,147798300.41803232,1350968841.5427425,65813207.91572178,65813207.91572178,8553919156.838858,221490552.64857763,31082476.209314287,190408076.43926334,9101692915.00752,3557757231.8110504,1154847091.1466188,2402910140.6644316,1390701009.6638443,24309319693.199463,7890798979.88261,16418520713.316853,1345010.6830825056,2258312143.699684,2258312143.699684,21483762582.453987,3458033925.7152815,213743689.7282567
