Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1383750.0,124080.56889181185,1319.4311081881476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,1385800.0,246804.10619860378,2676.462693208084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,1387850.0,368166.376763709,4037.7294348947707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,1389900.0,487577.0421230695,5389.334640639507,4809307.82697567,5877.3859159127,621.794607152908,5255.591308759792,0.0,0.0,0.0,1690132.4953155725,15451.508557712354,1634.6833151708356,13816.825242541518,266577.9152759897,23822.08472401031,6251.628449423745,17570.456274586566,201092.03407627932,194907.9659237207,51149.68731346701,143758.2786102537,0.0,0.0,0.0,180401.15143614158,10093.610293294128,8978.806258007182
1965.0,1391950.0,605642.4065965209,6734.635526548662,9423648.024878357,11855.889340337271,1293.9703607780998,10561.918979559172,0.0,0.0,0.0,3241684.7126811235,30719.04904611114,3352.7252014504547,27366.323844660685,509333.74582796905,47644.16944802062,12790.307106438768,34853.86234158185,193869.96662375267,376822.0674525267,101159.70166001571,275662.36579251103,0.0,0.0,0.0,348444.4709583127,29861.19496267975,18160.65815483423
1966.0,1393487.5,722370.7099762143,8071.6966203066295,14733640.029689923,19025.169172681457,2128.4672849601893,16896.70188772127,0.0,0.0,0.0,4479791.779915539,44155.030873108844,4939.9055444285,39215.12532868034,1002923.5255766547,96010.22025131428,26247.03453105073,69763.18572026356,139833.15299324095,506760.71140167385,138536.97925411735,368223.7321475565,0.0,0.0,0.0,494098.74508422165,58747.41218804635,27225.609991035006
1967.0,1395537.5,837771.4379958356,9399.271980378748,20955918.104017295,27713.809849104797,3164.6025949893397,24549.207254115456,0.0,0.0,0.0,5862438.255237244,59780.494777404645,6826.2541286228925,52954.24064878175,1581436.2121600416,156287.3134166131,43375.9143910793,112911.39902553378,151590.2037576439,649693.2197457356,180315.5794548331,469377.6402909026,0.0,0.0,0.0,659792.4872193336,98339.07128218221,37911.78880876136
1968.0,1397587.5,951261.7888020087,10709.649193826854,27712266.03672889,37541.22088300101,4361.97538849745,33179.245494503564,0.0,0.0,0.0,7248740.569967245,76425.74820241054,8880.031732195728,67545.71647021481,2166316.284397127,222519.9277629145,62560.34765098439,159959.58011193012,460343.5938847761,1091484.609172836,306865.35490117886,784619.2542716571,0.0,0.0,0.0,1045303.7963483055,149464.30301112827,49599.73023577234
1969.0,1399637.5,1063452.6681722172,12009.120629791381,34689208.1240286,48182.449450747634,5683.52313525519,42498.92631549244,0.0,0.0,0.0,8990786.221979763,97339.2883126553,11481.983655890439,85857.30465676487,2753627.7507680906,294888.53362903674,83844.20107547093,211044.3325535658,161484.7128017377,1234417.1175168979,350975.7254322039,883441.392084694,0.0,0.0,0.0,1222841.9556105172,214347.07714780886,63473.456835576726
1970.0,1401687.5,1174355.4157738683,13297.252398348994,42422728.939242214,60330.61400087566,7211.847776818345,53118.76622405732,0.0,0.0,0.0,10551550.387521185,117864.74240389484,14089.407087062935,103775.3353168319,3270590.1409341134,367437.60983397724,105516.98401389,261920.62582008724,178814.74617798507,1403337.3546507892,402996.10397446394,1000341.2506763253,0.0,0.0,0.0,1419155.978037302,293276.127430856,77965.05125784207
1971.0,1396050.0,1282202.4318974433,14552.983876425105,50143781.56899093,73122.91626938902,8845.564311732052,64277.351957656974,0.0,0.0,0.0,12091293.299680367,139382.38993950526,16860.868754067127,122521.52118543813,3715003.4548951956,439986.68603891775,127483.13821152392,312503.5478273938,179639.2885983262,1572257.5917846805,455550.9024195227,1116706.6893651579,0.0,0.0,0.0,1616009.1103356467,386845.72927583905,93229.271298112
1972.0,1383237.5,1387619.314784224,15783.117113219236,57851709.52779483,86584.11075191748,10586.950902514292,75997.1598494032,0.0,0.0,0.0,13609021.643027212,161893.80579034123,19795.338410697594,142098.46737964364,4086867.692651338,512535.76224385825,149707.84164892408,362827.92059493414,179639.2885983262,1741177.8289185718,508584.9493763449,1232592.879542227,0.0,0.0,0.0,1813516.4273662078,495668.53096881654,109272.82553606937
1973.0,1380675.0,1490631.7427139338,16987.57207029009,65545831.40450896,100739.28844375645,12438.707115193482,88300.58132856297,0.0,0.0,0.0,15103742.565811966,185396.45732819935,22891.6867343911,162504.77059380827,4386182.854202539,585084.8384487987,172163.3391228525,412921.4993259462,179639.2885983262,1910098.0660524631,562053.2946564686,1348044.7713959946,0.0,0.0,0.0,2011771.622644312,620371.6786466872,126102.20424450055
1974.0,1387525.0,1594230.6515796718,18201.09113426193,76508268.0086908,119625.7366634286,14903.675273675122,104722.06138975348,0.0,0.0,0.0,17209336.20544903,215687.6208473297,26871.62772258936,188815.99312474034,5570205.998948944,743176.8552535945,220169.523262609,523007.33199098543,729290.848406823,2611766.743377858,773747.7757786491,1838018.9675992087,9142.36227066288,483657.6377293371,483657.6377293371,3138221.991834025,766115.7046265972,147794.0285345838
1975.0,1412125.0,1699593.2602825633,19437.391297108483,85918986.89814289,137611.17347583716,17286.81923552344,120324.35424031373,0.0,0.0,0.0,19414443.265105642,248496.87359686548,31216.3643834925,217280.50921337298,5572235.588671412,809770.4102775324,241406.61321720947,568363.797060323,397634.4422915991,2975594.9464354697,887076.4962614997,2088518.4501739698,6856.77170299716,846400.8660263398,846400.8660263398,3840887.976714319,933394.4844420558,170326.08363822813
1976.0,1422887.5,1804324.981559245,20668.278723318286,95311272.25362842,156498.01646292896,19810.900931819153,136687.1155311098,0.0,0.0,0.0,21586045.414514724,282695.9492034863,35786.14969106318,246909.79951242314,5526958.724782076,876363.9653014704,262786.40705568,613577.5582457904,386915.39082716417,3339423.1494930815,1001359.0766388595,2338064.072854222,6856.77170299716,1209144.0943233427,1209144.0943233427,4544382.640466888,1123025.2803868079,193966.11909878085
1977.0,1416737.5,1907245.2836901867,21879.697869058346,104684206.98987478,176317.6655437003,22480.185013383314,153837.480530317,0.0,0.0,0.0,23722758.29494973,318272.9261161661,40579.22523973622,277693.7008764299,5638843.827049805,960824.083868416,289685.3484944714,671138.7353739446,386915.39082716417,3703251.3525506933,1116518.285331809,2586733.0672188844,6856.77170299716,1571887.3226203455,1571887.3226203455,5261290.306619921,1335852.8165535429,218703.64524001186
1978.0,1411100.0,2007187.58467032,23057.699019866825,114036842.50556272,197101.7437418215,25299.107921206545,171802.63582061496,0.0,0.0,0.0,25823212.474913947,355209.8470203505,45593.16464604337,309616.6823743071,5776606.933324278,1051239.7236163642,318567.7252275033,732671.9983888608,386915.39082716417,4067079.555608305,1232487.9408973411,2834591.6147109643,6856.77170299716,1934630.5509173484,1934630.5509173484,5983313.4822120955,1572736.8757537361,244535.2589947289
1979.0,1402737.5,2105371.124968058,24216.459702262026,128699910.29569067,225397.8489629275,29113.870346449545,196283.97861647795,0.0,0.0,0.0,29458362.26917537,407856.8805941385,52681.48030764099,355175.40028649755,6491861.95903705,1196157.405687427,364229.753523837,831927.6521635898,480758.34006276116,4521864.80943032,1376907.1672138288,3144957.642216491,8570.96462874645,2388059.586288602,2388059.586288602,6916404.259571658,1844158.3873336527,280037.8673230589
1980.0,1410425.0,2202408.053979912,25363.070988146006,142903199.9555048,254563.6732456469,33076.98140012654,221486.69184552037,0.0,0.0,0.0,32917856.688513592,461566.8558722639,59974.1436472332,401592.7122250307,6660786.81946411,1299386.4394914715,397462.5239858624,901923.9155056091,483644.2385339552,4976650.0632523345,1522281.4668658525,3454368.596386482,8570.96462874645,2841488.6216598554,2841488.6216598554,7820860.537622498,2150505.3349156673,316732.45648853655
1981.0,1374037.5,2294752.597019612,26455.45696030018,154785169.64317638,282343.2307503487,36893.17913116102,245450.0516191877,0.0,0.0,0.0,35409319.093109034,509020.3233251065,66512.58441694183,442507.73890816467,7613573.13330852,1475525.4901780933,453284.53777163255,1022240.9524064608,657924.0014000639,5600355.5542082405,1720441.0195852856,3879914.534622955,11427.9528383286,3446060.6688215267,3446060.6688215267,9036173.946378294,2487879.392315223,350583.7331277967
