Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3608512.5,137731.00846495738,1468.9915350426113,3380481.3766074223,4131.237663855646,351.15520142772993,3780.082462427916,329815.6427320946,3443.1667771656084,3443.1667771656084,1615544.1394633641,14769.607806173402,1255.4166635247393,13514.191142648662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20737.44038224219,10976.739977011483,9760.700405230704
1962.0,3623887.5,273951.3811580102,2979.627306947136,6967340.269385846,8753.241121594983,835.0347613984976,7918.206360196486,656050.9643989184,7162.229285641565,7162.229285641565,3305452.7865135297,31254.235974457944,2981.5668410226867,28272.669133435258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43353.10477927331,33593.50494070501,20736.33981557978
1963.0,3639775.0,409249.80495613976,4501.576201870471,10688408.926530685,13802.925443487868,1400.7096153732512,12402.215828114617,978425.4959204876,11166.140242559377,11166.140242559377,5037496.304642734,49244.97843045095,4997.340243471673,44247.63818697928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67815.99425765328,68604.23072182426,32805.268476534024
1964.0,3655150.0,543029.5928070127,6020.212149126988,14463719.07546564,19203.47125209491,2031.6200150886739,17171.851237006238,1296650.4266144133,15462.60107972162,15462.60107972162,6776317.827231491,68483.83196107943,7245.20696782465,61238.62499325478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93873.07730998265,116667.84840226817,45809.459629538746
1965.0,3671037.5,675891.0475084416,7538.545298571074,18233482.78467214,24897.750655550222,2717.3795633123714,22180.371092237852,1610429.9418997322,20057.889962051493,20057.889962051493,8495378.16878695,88769.78666230319,9688.473768290736,79081.31289401246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121319.57394830181,178357.46170544683,59629.960645123174
1966.0,3686925.0,807243.4751832534,9047.57232518819,22416901.75782377,31410.20573194499,3514.0604904745305,27896.145241470458,1919462.7298787707,24956.696553433867,24956.696553433867,10372040.824315507,111746.82003111357,12501.83104684772,99244.98898426586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152097.83077917018,255291.4020549818,75163.89042963521
1967.0,3702812.5,937690.7485635926,10552.72661966085,27088298.123736355,38873.617029843415,4438.925936169617,34434.6910936738,2223443.6484160824,30161.9668072078,30161.9668072078,12435527.02338138,137815.17007737013,15736.928528786542,122078.24154858358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186674.89944946519,349313.47126660985,92652.83023783713
1968.0,3718700.0,1067237.7212077193,12053.027355873317,33541907.587594833,48918.371536024424,5683.904989412141,43234.46654661228,2522065.5410379837,35674.76108278991,35674.76108278991,15233546.877719246,172134.80516375354,20000.622408316158,152134.1827554374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231043.41038483958,465423.7527174744,114933.12893397502
1969.0,3734587.5,1195296.8638609827,13540.857346736697,40223799.08616732,59787.25518051962,7052.407087755817,52734.8480927638,2815021.1866942476,41494.12883774833,41494.12883774833,18097863.392428078,209101.3801665858,24665.257689013994,184436.1224775718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278665.09940808394,605046.3764638931,139042.47566166532
1970.0,3750987.5,1322474.2420325556,15022.621828427036,46894538.72274494,71225.65105875446,8514.227175494385,62711.423883260075,3102005.3652335303,47617.00301248022,47617.00301248022,20924321.469549857,247852.93095297355,29628.036092010745,218224.8948609628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328553.3217567031,769120.9003509093,164478.79786968685
1971.0,3826325.0,1450555.5227242399,16518.71930831574,53716976.988399655,83454.76212639542,10095.391474674552,73359.37065172086,3382717.017426965,54038.11701103859,54038.11701103859,23780641.96226246,289028.920164695,34963.374434473175,254065.54573022184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381463.0333929813,959015.755284271,191568.1784596198
1972.0,3847337.5,1576561.5509635755,17993.971760664474,60526875.99756627,96307.88793511344,11775.912141839655,84531.97579327378,3656861.47561126,60749.946887545506,60749.946887545506,26594873.804483257,332029.2321407533,40598.409435022455,291430.82270573085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436712.74538655014,1175740.260312916,219988.2403579051
1973.0,4027225.0,1707036.7422101004,19524.808753475198,67323600.52471456,109807.48796665626,13558.396162733889,96249.09180392238,3924152.738592592,67742.68097644729,67742.68097644729,29365196.95820503,376844.0030637946,46530.52701324824,330313.47605054633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494305.248830916,1420317.367250603,249728.14189322904
1974.0,4066175.0,1836588.8918284287,21047.85038167158,75102808.38454431,125193.8138796536,15597.378961894381,109596.43491775921,4184315.762429846,75004.21876254478,75004.21876254478,32513546.332007274,427329.4002178263,53239.20080558944,374090.19941223686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558690.8530925409,1696135.2965945117,282872.9237486321
1975.0,4001087.5,1958109.8586611983,22479.033167230482,81429284.91570954,139584.80480092147,17534.74828875755,122050.05651216392,4437088.737167583,82520.20028164392,82520.20028164392,34342898.89467686,468232.8903497067,58819.76827283796,409413.1220768687,733089.2670089717,65510.73299102836,19529.886471550486,45980.84651947787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659964.2253901544,1998066.387433234,312052.2880319545
1976.0,4114350.0,2084144.042168979,23965.81649221893,87730341.24321382,154650.2034394299,19576.98844157531,135073.21499785458,4682225.318572993,90274.0667854701,90274.0667854701,36264519.7903556,511633.7218407547,64767.11466286278,446866.6071778919,1467312.2798459125,136976.9871630593,41073.90505668474,95903.08210637455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768116.9710675911,2327620.568089894,342659.70830455614
1977.0,4112812.5,2211078.454874668,25465.587294311434,95200921.08715074,171872.2545415332,21913.4031116318,149958.8514299014,4919496.783493087,98247.15280785358,98247.15280785358,38723802.79146028,561647.2566525453,71609.01434847471,490038.2423040706,2063424.5596918247,202487.72015408764,61049.39162486793,141438.32852921973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879682.5750710453,2688803.4031089083,377061.41152281157
1978.0,4145612.5,2340086.303931662,26992.15094300614,100448097.0738313,187210.8128825885,24029.551789949284,163181.26109263924,5148694.077620733,106418.8091474898,106418.8091474898,40124974.0865543,604009.9086223054,77528.03995346627,526481.8686688391,2660670.585365706,273953.9743261186,83019.02264297854,190934.95168314007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987016.8905921082,3077027.758749979,407857.58326789713
1979.0,3979050.0,2459281.7547100685,28404.549221593556,106422410.45875888,204142.30286263963,26368.364051007724,177773.9388116319,5369629.725258347,114766.55565145216,114766.55565145216,41635704.22732278,648706.4012940599,83791.19032007035,564915.2109739896,3253094.8356865537,351375.7496791521,106993.8639274156,244381.8857517365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101837.59118881,3494116.3327936195,440367.1313934332
1980.0,3916012.5,2574707.7795509715,29773.975159097023,118405378.00235637,229193.2130116853,29780.44568247285,199412.76732921245,5582139.572097151,123266.26205953062,123266.26205953062,45664148.83859477,717779.2184752416,93265.34912148517,624513.8693537564,3768097.3106543683,428797.5250321856,131162.6329153346,297634.892116851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244827.7908593505,3954978.0594316795,486331.1721044397
1981.0,4235300.0,2709532.224693458,31375.554857513245,129812106.39585148,254763.16253311338,33289.351284876284,221473.8112482371,5786084.334072718,131892.35456911538,131892.35456911538,49388201.45417799,786995.3197401199,102834.9758178919,684160.343922228,5005411.756097118,577685.5545572501,177466.21886093394,400219.3356963162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437745.8454358967,4459364.626030115,533139.9431411442
1982.0,4292700.0,2848108.375474663,33023.849218795105,142079742.28003404,282609.38347137463,37125.16162547843,245484.22184589622,5981350.927981898,140618.0452202049,140618.0452202049,53419262.33462897,861757.6058182189,113205.33665587666,748552.2691623422,6293771.608471796,744440.1476253222,229628.62792364098,514811.5197016812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649466.0559301246,5010503.722922053,583515.4393365057
1983.0,4405962.5,2991575.8693627995,34732.506111863586,154318890.11879197,311745.81676694856,41160.552504883766,270585.26426206477,6167853.562704025,149415.58069584396,149415.58069584396,57374436.87599665,938756.4374191867,123946.27787604259,814810.159543144,7415376.867778402,911194.7406933943,282159.05430980213,629035.6863835922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1863846.690884645,5609606.835193794,635707.8922293118
1984.0,4472075.0,3142839.5671825595,36536.30218023979,166528240.00328922,342211.8591150187,45401.523669541246,296810.33544547745,6345534.573497482,158256.50669919397,158256.50669919397,61251524.82665816,1017917.618995698,135047.95243505342,882869.6665606446,8370227.534016935,1077949.3337614664,335034.68734153436,742914.6464199321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080851.1551252482,6257901.290001621,689642.0538974897
1985.0,4510512.5,3294097.302115636,38342.265066923515,179226449.460058,374682.3830560372,49938.84353210943,324743.5395239277,6514364.985864572,167111.94371696893,167111.94371696893,65269568.07501347,1101179.306655637,146768.63280131348,954410.6738543236,7492211.636712461,1095815.8973044741,341795.5500026766,754020.3473017975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200286.504397018,6957823.460036909,746343.9870599316
1986.0,4543825.0,3447125.760001536,40171.542114100106,185704849.18689263,401036.4949445585,53687.33630727451,347349.15863728395,6674344.799805295,175952.86972031894,175952.86972031894,66614377.87014487,1162880.8419646088,155676.54224703775,1007204.299717571,7737363.434432662,1215648.2022797987,380459.7238940507,835188.478385748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365694.8064609217,7696263.352716023,792066.4353960606
1987.0,4627362.5,3603087.7259447705,42038.03405676543,192156367.81799042,428448.32475198817,57599.54436234996,370848.7803896382,6825502.989817351,184750.40519595798,184750.40519595798,67897188.2244868,1225155.1486297927,164706.86021496865,1060448.288414824,7915722.456060908,1335480.5072551232,419324.31315272587,916156.1941023974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532203.6681028176,8474028.504685378,838282.3220310654
