Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,227400000.0,0.0,0.0,564790442.6376067,690222.2757256586,58668.893436680984,631553.3822889776,39926999.052109234,416824.7312630191,416824.7312630191,243145402.1840184,2222880.9120158902,188944.8775213507,2033936.0344945395,64465406.314582326,5760793.685417675,1296178.579218977,4464615.106198698,15269588.454192143,14800011.545807859,3330002.5978067685,11470008.94800109,0.0,0.0,0.0,19016938.202246323,1631115.682117174,1451198.4659293625
1962.0,227400000.0,0.0,0.0,1072637454.830921,1350711.1016038079,128854.06751373914,1221857.0340900687,71548433.38341376,784866.4836150996,784866.4836150996,457491662.6896632,4338271.00886374,413858.94052790065,3924412.068335839,127663472.43987635,11923133.874705978,2905846.2607835084,9017287.61392247,16744625.532957826,30574562.92123432,7451478.803591791,23123084.11764253,0.0,0.0,0.0,38071507.317606,4720854.3260676935,2841396.9420904876
1963.0,227400000.0,0.0,0.0,1605356595.1968842,2079195.7453389298,210995.088299446,1868200.6570394838,117118029.72326636,1330407.8097032486,1330407.8097032486,687657884.0795659,6741366.626801438,684108.3865574393,6057258.240243998,175892029.5234685,17298442.91640785,4405265.269187083,12893177.647220768,19604240.486393616,49090819.68398779,12501592.428568974,36589227.255418815,0.0,0.0,0.0,58738271.609626316,9495630.688852657,4481090.344201768
1964.0,227400000.0,0.0,0.0,2185536168.5745206,2906661.955630297,307508.6024101552,2599153.3532201415,185792981.35204595,2163671.882089051,2163671.882089051,946574410.5964165,9565328.054235844,1011958.2897677824,8553369.76446806,229927413.29932207,23673016.224146426,6212508.41079326,17460507.813353166,18229960.93078531,66190745.227695554,17370433.811653394,48820311.416042164,0.0,0.0,0.0,79597014.22917259,16318312.423034735,6493513.265595175
1965.0,227400000.0,0.0,0.0,2786474322.279693,3805566.0332305995,415345.4466068926,3390220.586623707,258744409.95412412,3111969.544284482,3111969.544284482,1212616421.2598348,12635809.117733397,1379092.028732748,11256717.089000648,288107953.77253276,30987659.52678932,8318786.673147988,22668872.85364133,35983902.74056161,100542191.39971842,26991036.260160282,73551155.13955814,60568.15004314158,3204231.849956858,3204231.849956858,117183167.06306516,25360855.548540205,8716364.09440337
1966.0,227400000.0,0.0,0.0,3412266416.543427,4784300.95439133,535250.3292032753,4249050.6251880545,330258817.2555129,4122579.5041843606,4122579.5041843606,1473923313.5119638,15854245.150854412,1773715.7459702205,14080529.404884191,330899771.35769594,37580782.41483681,10273740.557663424,27307041.857173383,38240543.77357979,136550355.2820929,37329795.52525582,99220559.75683707,91423.6227066288,8040808.227250229,8040808.227250229,157020569.37551728,36727688.41256528,11085326.670231525
1967.0,227400000.0,0.0,0.0,3970595690.8688254,5733827.44666237,654738.0282871848,5079089.418375186,390987124.022059,5099384.497306651,5099384.497306651,1700357005.2539763,18947170.67987607,2163551.8836172777,16783618.796258792,375338147.0724331,44910224.2852628,12464364.5174763,32445859.767786503,38138937.79341806,172409089.7239259,47850345.31992906,124558744.40399683,83995.4533617152,12484412.773888513,12484412.773888513,196451109.6576125,50297441.025495626,13392340.099010285
1968.0,227400000.0,0.0,0.0,4527808596.744913,6732606.538942755,782272.4816230772,5950334.057319678,456281451.34203315,6194936.085705545,6194936.085705545,1922885802.7983158,22179922.179009665,2577121.158769701,19602801.020239964,408317142.7596277,51870604.31280545,14583156.98418352,37287447.32862193,40605394.33770515,210663026.5025548,59226840.075420976,151436186.42713383,105137.16611262312,18046475.60777589,18046475.60777589,238518180.52679682,66199611.416502185,15845900.77225863
1969.0,227400000.0,0.0,0.0,5106863872.473616,7810584.177487121,921323.7678583269,6889260.409628794,535115496.53827447,7508990.6392105315,7508990.6392105315,2156039077.734043,25686111.647785716,3029891.82719254,22656219.820593175,434664941.7540523,58860401.00557548,16735487.258730017,42124913.74684546,48704961.82375681,256693791.1215402,72984478.48329672,183709312.63824347,112565.33545753671,24001510.272318352,24001510.272318352,286890207.5268398,84690540.96206746,18563541.323867235
1970.0,227400000.0,0.0,0.0,5720879653.1598835,8987326.40068807,1074334.000999929,7912992.399688141,644447262.9775233,9233095.833818004,9233095.833818004,2406776160.4419785,29538901.723009456,3531044.1680180696,26007857.554991387,471372723.37491906,67400618.37913318,19355421.932041027,48045196.44709215,49534873.0418651,303289788.84170437,87095667.24877743,216194121.59292692,109708.34724795456,29805401.925070398,29805401.925070398,337198665.75358695,106165332.54647183,21679154.204093147
