Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2103387712.5,2143730.438377795,24669.561622205118,31657641.265755896,38688.34801189607,3288.5095810111666,35399.838430884905,18323270.024760127,191288.90939092252,191288.90939092252,20990922.729922906,191902.95618517365,16311.751275739762,175591.2049094339,1472237.1230014886,131562.8769985115,29601.647324665086,101961.2296738464,245779.15275989694,238220.8472401031,53599.69062902319,184621.1566110799,0.0,0.0,0.0,688862.3390161677,212299.8657508315,189980.08698040983
1962.0,2128383500.0,4367713.167719296,51217.27065849827,62438479.1990577,78539.19298567003,7492.4197065040125,71046.77327916602,36447631.38311845,397905.5089471794,397905.5089471794,41715750.99578531,394823.2406820963,37665.03469945322,357158.20598264306,3100088.4868245088,288788.6361769795,70382.11492130367,218406.52125567585,277915.3735556805,500263.7792042165,121921.7738794237,378342.0053247928,0.0,0.0,0.0,1422859.0147894572,642050.6431376922,396359.71082212776
1963.0,2153676787.5,6676551.276457879,79161.89126141749,92591336.34224454,119893.50936650095,12166.695536976327,107726.81382952462,43864538.2982425,510804.08537480317,510804.08537480317,56328363.16623248,555638.9696945614,56385.789426577714,499253.1802679837,4560414.490197035,445093.99662747444,113348.76406748008,331745.2325599943,647339.9332475053,1119637.9820284846,285129.8431961426,834508.138832342,0.0,0.0,0.0,2284037.4508646475,1215638.8731121626,544195.849497841
1964.0,2179270575.0,9074304.350034762,108446.92642311829,124561374.59216052,165793.52621174924,17540.029185461648,148253.4970262876,51225952.747929886,631816.3152855003,631816.3152855003,71242869.0301701,729540.4832802003,77181.30895151735,652359.174328683,6807353.53192482,685660.958272215,179937.96945375483,505722.98881846014,1051924.0359430313,2120165.5404369175,556394.9319987133,1563770.608438204,0.0,0.0,0.0,3501922.583897135,1944425.2998291068,703642.5599235268
1965.0,2205167500.0,11565028.749558942,139075.60047582068,151111810.64169136,207622.07042359552,22660.19845997258,184961.87196362295,59122194.5076583,767305.3912552412,767305.3912552412,84898596.34639683,902752.6949562298,98527.84526349872,804224.849692731,9084342.586606218,950410.9453186023,255142.40270696397,695268.5426116383,1481841.884466526,3525668.5391535256,946482.7258764688,2579185.813277057,0.0,0.0,0.0,5030946.4688002905,2832059.341986905,868858.0707537977
1966.0,2231372975.0,14153941.269034373,171087.48052456966,183144795.1444326,258426.31897186133,28911.80417434195,229514.51479751937,69169880.42784953,934871.3640591612,934871.3640591612,101306044.68539508,1111418.7258707485,124341.51709435803,987077.2087763905,12039702.006013101,1299440.580593117,355237.82468782814,944202.755905289,1260083.6307611833,4703778.910959126,1285907.345897192,3417871.5650619343,0.0,0.0,0.0,6513537.408600294,3914698.0135940043,1068824.4160259718
1967.0,2257889562.5,16845616.28726497,204524.98176940117,225765365.62825605,324923.3922108734,37102.56423645352,287820.8279744199,79595201.5775507,1118240.7586137208,1118240.7586137208,121937794.80494705,1370995.362224059,156552.11263393844,1214443.2495901205,14306750.807066936,1618151.198946164,449100.9944627418,1169050.2044834222,2365578.139805277,6960380.027542649,1931780.907892779,5028599.11964987,0.0,0.0,0.0,8818154.160311554,5229370.677202371,1305832.172569895
1968.0,2284721800.0,19645765.549434856,239450.7378301147,272122862.91565734,399598.44973909034,46429.99247349758,353168.45726559276,89831896.93332466,1312118.104549934,1312118.104549934,144154636.07526916,1660331.7488099756,192916.64082052885,1467415.1079894467,17454689.60850968,2044061.1985572574,574677.4254658106,1469383.7730914468,1899300.9209929174,8731876.873382688,2454922.839209431,6276954.034173257,0.0,0.0,0.0,10879039.477069676,6796190.12120692,1565882.2258004243
1969.0,2311872687.5,22559442.48659958,275923.0628352761,309877045.65957654,467779.361958674,55178.490429481106,412600.8715291929,101822637.06139451,1536828.9928679804,1536828.9928679804,163903575.94635338,1943730.4755577217,229279.27601159902,1714451.1995461227,19526429.859440807,2411859.749068871,685752.1765195326,1726107.5725493385,2207891.07293611,10817392.1087665,3075655.6991822077,7741736.409584292,0.0,0.0,0.0,13131725.046076927,8622463.5001513,1837607.684998915
1970.0,2339346325.0,25592825.511406116,314016.97519346257,348419744.21437573,540495.7809745015,64610.20430430357,475885.57667019794,119023840.39781776,1830283.1079079625,1830283.1079079625,186470677.6420985,2268277.4482625816,271147.1106894794,1997130.3375731022,21297016.03867932,2785613.8207614874,799944.1568514716,1985669.6639100157,1531907.0220550355,12238054.615943842,3514399.6659871847,8723654.949956657,0.0,0.0,0.0,15012623.636017935,10763013.926567899,2162748.5957346642
