Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,513167437.5,22940201.83674767,280698.1632523309,250402.32859077584,306.013083861312,26.011112128211522,280.0019717331005,36807425.72890176,384257.41233168193,384257.41233168193,15507526.296198502,141772.7165999024,12050.680910991705,129722.03568891069,0.0,0.0,0.0,0.0,26812.271210170577,25987.728789829427,5847.238977711621,20140.489812117805,0.0,0.0,0.0,534399.9398044435,270736.58449359675,243522.86549872893
1962.0,528984225.0,46557782.25481534,579819.5819323253,492899.08584170055,620.0353475784622,59.14964083949204,560.8857067389702,74699458.01921374,814799.0387748439,814799.0387748439,31469952.97219661,297640.72453170427,28394.094020629418,269246.63051107485,137328.01696035833,12271.983039641676,2990.866025902169,9281.117013739507,27636.813630511726,51975.457579658854,12667.197286173889,39308.260293484964,0.0,0.0,0.0,1133195.9322998822,833989.89204878,521353.24743747443
1963.0,545288362.5,70880586.89754921,891895.3572661334,713998.1846935835,925.8016360579462,93.94959487855994,831.8520411793863,113628685.076816,1293865.5333522586,1293865.5333522586,47904924.00763879,468422.46961968695,47535.13013886018,420887.33948082675,262384.050881075,24543.966079283353,6250.428542017311,18293.537537266042,27636.813630511726,77963.18636948828,19854.302427584393,58108.883941903885,0.0,0.0,0.0,1791987.1463534345,1716315.6783441836,833258.9385788613
1964.0,562095050.0,95939634.6823082,1216152.2152410084,1062930.84776072,1404.9501545018143,148.63588028526,1256.3142742165542,153842336.15235916,1826697.0439705313,1826697.0439705313,64921719.99383637,655780.7377765387,69377.93979466565,586402.797981873,306504.0932819708,30679.957599104193,8051.339669712401,22628.617929391792,67855.2204457676,142932.50834406185,37509.77069654247,105422.73764751937,0.0,0.0,0.0,2542407.511803532,2948793.396770027,1181878.4378007776
1965.0,579419725.0,121767251.77622747,1552482.90608072,1418962.2751495857,1919.6788605379859,209.51676221345073,1710.1620983245352,194691834.6890069,2409361.294255472,2409361.294255472,82265227.40381251,858109.5824690962,93655.42593560457,764454.1565334916,344488.14416304574,36815.94911892503,9883.419127702688,26932.529991222345,15467.491655938165,155926.37273897656,41859.1868937996,114067.18584517695,0.0,0.0,0.0,3316525.3287236867,4559891.59613433,1564427.413522985
1966.0,597278300.0,148397706.93237102,1901044.8438564588,1881537.8312778391,2593.158342608348,290.1131993553531,2303.045143252995,236423353.85488564,3046584.978286574,3046584.978286574,100044723.66265039,1076962.9527736781,120486.7295153633,956476.2232583148,376336.2035242999,42951.94063874587,11742.094395470065,31209.84624327581,67442.94923559701,220895.69471355013,60387.91403384603,160507.7806797041,0.0,0.0,0.0,4197081.873611122,6581554.983833931,1983700.8589885402
1967.0,615687400.0,175866775.72751206,2262131.2048589597,2200092.2123305583,3127.879503189489,357.16834482528435,2770.7111583642045,278684637.92890036,3736962.717890968,3736962.717890968,118044320.8731495,1310974.8284325898,149698.4487738155,1161276.3796587742,402048.27136573324,49087.93215856671,13623.84378103184,35464.08837753488,82498.1696813646,298858.8810830384,82945.16654922323,215913.71453381516,0.0,0.0,0.0,5152387.611619457,9044202.731916651,2438362.0606253864
1968.0,634664125.0,204211952.4395045,2636123.288007558,2567838.851338921,3751.3421688349817,435.87453549493534,3315.4676333400466,321421890.82155013,4481742.34856194,4481742.34856194,136302041.01889434,1560944.4245763186,181368.66629974995,1379575.7582765687,421624.34768734564,55223.92367838755,15525.925694404888,39697.99798398266,69504.3052864499,363828.20305761194,102288.45163372628,261539.75142388567,0.0,0.0,0.0,6165871.323879717,11979413.482928917,2929422.823459585
1969.0,654225337.5,233472683.2832201,3023469.156284399,2934945.9104709714,4407.238875918766,519.8707080985007,3887.3681678202656,364283346.73209715,5278845.0045082485,5278845.0045082485,154677313.2460782,1826036.697608169,215396.3099632324,1610640.3876449366,435064.4324891373,61359.91519820839,17446.161790489674,43913.753407718716,69092.03407627932,428797.5250321855,121917.88357118658,306879.6414609989,0.0,0.0,0.0,7244166.155189723,15417212.763938945,3455573.4793109773
1970.0,674389800.0,263689721.45928174,3424661.8239383656,3301380.354347234,5096.774718355592,609.2622133927431,4487.512504962849,407513232.54125464,6131893.66224497,6131893.66224497,173279373.17358005,2107582.5359242125,251937.8374956633,1855644.6984285493,442368.52577110805,67495.90671802923,19382.78586502695,48113.120853002285,69092.03407627932,493766.847006759,141794.92547249654,351971.9215342625,0.0,0.0,0.0,8392110.915565748,19390146.30196452,4019092.335152906
1971.0,684984675.0,294204923.46942216,3830897.989859592,3667107.9355467767,5821.168374791694,704.1775937784396,5116.9907810132545,451352163.9986486,7044486.49893225,7044486.49893225,192216113.47695056,2406936.7903840775,291163.3624564435,2115773.4279276337,443536.627533258,73631.89823785007,21334.339782732473,52297.55845511759,69092.03407627932,558736.1689813326,161889.99011602867,396846.17886530387,0.0,0.0,0.0,9614520.654961318,23933179.992070086,4622343.227535332
1972.0,715436687.5,326495393.96826506,4261829.5011571,4032093.1819753754,6581.650180981358,804.7620599029,5776.888121078458,495443505.38315296,8013993.4704376245,8013993.4704376245,211345143.40041858,2723201.7830248564,332975.68484740786,2390226.0981774484,438568.7377755871,79767.8897576709,23299.600707332553,56468.289050338346,69092.03407627932,623705.4909559061,182179.68335869064,441525.80759721546,0.0,0.0,0.0,10907990.553383704,29079325.73785405,5263850.710952187
1973.0,777344387.5,363014812.6734619,4750381.294803154,4396299.386226746,7379.460071347992,911.1732265908358,6468.286844757156,540027182.9612119,9043451.351370906,9043451.351370906,230773944.34039125,3057639.7761595626,377539.74866170244,2680100.02749786,427464.8564980954,85903.88127749173,25277.52912476181,60626.352152729916,69092.03407627932,688674.8129304796,202645.06542035931,486029.74751012033,0.0,0.0,0.0,12276675.765376374,34863711.77743128,5945633.626136289
1974.0,783373325.0,399416032.08048874,5238480.592973187,4832202.394656827,8304.463459496194,1034.6187214767592,7269.844738019434,585043278.2808731,10132746.058738614,10132746.058738614,250548274.8516823,3410978.9771951977,424959.74912555,2986019.2280696477,488824.77169630374,98175.86431713341,29085.046297926005,69090.8180192074,15467.491655938165,701668.6773253944,207872.53677635343,493796.1405490409,0.0,0.0,0.0,13688922.09011453,41321652.5970763,6668094.311901265
1975.0,821803200.0,438263720.60014343,5760511.480345337,5045421.69911978,9003.31968102911,1131.00379797945,7872.31588304966,630432135.3333074,11281466.05202171,11281466.05202171,270521151.09206647,3782177.029323259,475119.9264654222,3307057.1028578365,581487.3966428292,113245.13760845811,33760.34093911276,79484.79666934535,80849.08484068229,779631.8636948826,232421.78941349327,547210.0742813894,0.0,0.0,0.0,15223090.341713332,48487480.076137535,7430567.991701362
