Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,8606405300.0,228421778.30583626,2956521.6941637374,89862218.01390262,109819.32401272755,9334.642541081843,100484.6814716457,325033315.9124793,3393240.858896707,3393240.858896707,156730814.7095957,1432862.5308694365,121793.31512390211,1311069.2157455343,14962878.853301074,1337121.1466989259,300852.25800725835,1036268.8886916675,1015616.3337185824,984383.6662814177,221486.324913319,762897.3413680987,0.0,0.0,0.0,6603960.986173654,2529697.524981121,2275097.231132766
1962.0,8675143500.0,460720997.80586153,6062780.499974707,150045253.13407603,189709.5688544425,18097.76314427811,171611.8057101644,656333750.0042775,7160639.014281581,7160639.014281581,304813617.7976108,2887089.183741154,275420.24653402757,2611668.9372071265,26201919.687597528,2460959.1657035444,599772.5987771729,1861186.5669263715,1757780.434758755,2657835.8989598276,647754.4066793466,2010081.492280481,0.0,0.0,0.0,13815187.816405725,7692370.98265797,4781246.299522023
1963.0,8744431750.0,697016718.8311691,9261178.974692395,219851362.35946137,285887.4031763971,29011.620484568815,256875.78269182827,1000642582.344445,11393583.874494417,11393583.874494417,460840191.07786524,4512519.554540536,457926.80366804625,4054592.75087249,36776106.51679431,3625813.170803222,923358.7618889208,2702454.408914301,3709314.3360300767,6201617.097572932,1579319.5112851225,4622297.58628781,0.0,0.0,0.0,23029804.40326085,15768348.581407888,7629074.809308818
1964.0,8814272900.0,937444103.5254953,12541315.305673867,294060563.50370306,392846.9818653384,41561.01679469706,351285.96507064137,1355405351.0539515,16092392.596595535,16092392.596595535,622033960.381978,6292195.265133234,665679.119763117,5626516.145370116,43798722.468585715,4577384.048208592,1201242.6566041494,3376141.391604443,5952231.5216556415,11861823.178691084,3112897.637006452,8748925.541684631,0.0,0.0,0.0,34195261.64032537,27033429.799228005,10805113.489216179
1965.0,8884672650.0,1182148582.094216,15899521.431279164,359926352.92498666,495550.2394854932,54085.13050042318,441465.10898507,1706492083.0651424,21133808.522364438,21133808.522364438,779672766.5476726,8153036.338256018,889835.1755153935,7263201.1627406245,53633436.45699227,5865286.011593448,1574564.3218153787,4290721.689778069,9370915.657916868,20770495.358537912,5575939.668302851,15194555.690235062,0.0,0.0,0.0,48323752.17410326,41660057.192415506,14211847.400902627
1966.0,8955634800.0,1431283900.9541073,19334681.140108798,432535978.92363,612093.2750505047,68478.78720363122,543614.4878468735,2154480310.2333846,27578039.991225682,27578039.991225682,978575339.4845599,10505769.822731614,1175347.623353333,9330422.199378282,64107981.34041471,7325455.116577551,2002614.647661338,5322840.468916213,9931010.810632873,30122140.18821138,8234715.550069913,21887424.63814147,0.0,0.0,0.0,64662341.78550852,60583834.42204262,18528299.44882372
1967.0,9027162200.0,1685010549.0250337,22846951.929073457,517299625.4039361,749789.4323764528,85617.44474373493,664171.9876327179,2608575659.5455046,34581493.82576513,34581493.82576513,1184174402.8070784,13063757.257257512,1491732.8343422746,11572024.422915237,69725875.4159565,8482105.924458217,2354120.065104766,6127985.859353451,9741942.244235883,39276908.28462857,10900896.394314911,28376011.89031366,0.0,0.0,0.0,81321687.9859802,84145549.32578333,23255975.332572374
1968.0,9099262450.0,1943495010.6610706,26437238.36396322,621185954.1141846,918263.3989378241,106694.51477904657,811568.8841587775,3069992169.718678,42177895.35395772,42177895.35395772,1400540993.5544353,15872162.999380305,1844212.3814057014,14027950.617974604,77216413.17539023,9909462.240566272,2785994.984973425,7123467.255592847,9837257.344120307,48530114.7476739,13643995.307204291,34886119.44046961,0.0,0.0,0.0,99027001.55215356,112734317.29583071,28428646.886043724
1969.0,9171937450.0,2206909573.2390785,30106937.42199221,748893750.835428,1124899.7159053846,132691.33539434534,992208.3805110393,3537535843.8446436,50375424.207577266,50375424.207577266,1625634276.0350986,18922717.23455718,2232092.855603651,16690624.378953531,88970996.39113717,11845416.78425306,3367948.8804100375,8477467.903843023,13191914.512135345,61031787.3094479,17352866.807652824,43678920.501795076,0.0,0.0,0.0,120214645.37267993,146742873.3745162,34049700.88835636
1970.0,9245193850.0,2475432864.910489,33857808.32858947,898224025.0418141,1369049.231523091,163654.4699606631,1205394.761562428,4008521773.7686577,59163848.434238054,59163848.434238054,1861222900.3988879,22240562.65293752,2658609.6458665,19581953.00707102,115955627.18324211,15315369.20789506,4398111.474234967,10917257.733660093,19185557.050245766,79242885.13565412,22756163.27858049,56486721.857073635,0.0,0.0,0.0,147355175.7936052,186569510.31910092,40124559.25828677
