Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,3087.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,3562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967.0,5225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.0,6175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,6887.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971.0,6887.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973.0,21612.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.0,14962.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.0,14962.5,1189.0475723391205,10.952427660879392,305138.4497935901,372.90531023215243,51.08282119997657,321.82248903217584,0.0,0.0,0.0,66710.05121299291,609.8758115472654,83.54447142644472,526.3313401208206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.1538291529964,446.92245716921184,401.2313719837846
1993.0,14962.5,2366.749169820025,22.29840251909546,611016.0716314969,768.2470514942456,105.59372374637026,662.6533277478753,0.0,0.0,0.0,122600.82980251581,1163.5845216163157,159.93191551093892,1003.6526061053768,3671.8721112395274,328.1278887604726,104.80591936394,223.3219693965326,761.7122502889368,738.2877497110633,235.81331856886496,502.47443114219834,0.0,0.0,0.0,2392.102334391983,1311.6414781821586,801.5869128403054
1994.0,14962.5,2344.6655497641264,22.083620055898788,844789.5797168218,1098.0086347163365,151.41034852815923,946.5982861881772,0.0,0.0,0.0,167878.26754298012,1657.6493068078717,228.58222726643842,1429.0670795414333,9769.520417148227,902.3516940912997,288.94360079137255,613.4080932999271,531.2326674371648,1230.4795828517722,394.01400107914435,836.4655817726278,0.0,0.0,0.0,3825.5390408021653,2530.4921365926716,1156.8147073190976
1995.0,14962.5,2322.7945812289245,21.870968535202007,1034976.7919769573,1392.9296242833489,192.6842626563894,1200.2453616269595,0.0,0.0,0.0,212648.0766431788,2178.9093655135453,301.409013901247,1877.5003516122983,15292.944917726101,1476.5754994221268,473.97246303683556,1002.6030363852913,523.4245005778736,1722.6714159924811,552.9678735429748,1169.7035424495064,0.0,0.0,0.0,5250.052292074055,4096.892525200423,1511.3453246315066
1996.0,14962.5,2301.1341550124866,21.660426216437603,1224861.2573109926,1703.603681734684,236.3797538042451,1467.2239279304388,0.0,0.0,0.0,256882.87467109584,2727.7232429829355,378.47919415499354,2349.244048827942,20242.145612973145,2050.799304752954,659.8549535533951,1390.9443511995587,523.4245005778736,2214.86324913319,712.6433498376667,1502.2198992955232,0.0,0.0,0.0,6709.632227253463,6027.109198733642,1886.2513032251622
1997.0,14962.5,2279.6821834256975,21.451971586789313,1414426.917527731,2030.6425652181815,282.5918722374077,1748.0506929807739,0.0,0.0,0.0,300554.96914386674,3304.3513316437457,459.84598438625136,2844.505347257494,24617.122502889364,2625.023110083781,846.5562599401283,1778.4668501436527,523.4245005778736,2707.0550822738987,873.0111430632571,1834.0439392106416,0.0,0.0,0.0,8205.066829592562,8337.720157278345,2281.945081693566
1998.0,14725.0,2258.436600066952,21.24558335874545,1603657.0982833293,2374.666679537271,331.4174874723909,2043.2491920648804,0.0,0.0,0.0,343636.4590922911,3908.949131260807,545.5477650414005,3363.4013662194066,28417.87558747476,3199.246915414608,1034.0440360968937,2165.202879317714,523.4245005778736,3199.2469154146074,1034.0440360968935,2165.202879317714,18.551871490793182,981.4481285092068,981.4481285092068,10718.504445428922,11045.662325929581,2698.7083896330487
1999.0,14487.5,2237.395359599273,21.04124046767914,1792534.500873057,2736.304187921311,382.9551420984981,2353.349045822813,0.0,0.0,0.0,386099.3430988003,4541.561057558848,635.6070234529309,3905.9540341059173,31644.404866729325,3773.470720745435,1222.2881625112593,2551.1825582341753,523.4245005778736,3691.438748555316,1195.716680717536,2495.72206783778,18.551871490793182,1962.8962570184135,1962.8962570184135,13269.103963019099,14168.188867415687,3136.7765384426257
2000.0,14250.0,2216.5564375298177,20.838922069455204,1981041.1949455154,3116.1900553086616,437.30489675337066,2678.885158555291,0.0,0.0,0.0,427915.6332137709,5202.114892120859,730.0293869825447,4472.085505138314,34296.71034065306,4347.694526076262,1411.2605356373303,2936.4339904389317,523.4245005778736,4183.630581696025,1358.005421084978,2825.625160611047,18.551871490793182,2944.34438552762,2944.34438552762,15857.374200271202,17722.809918568957,3596.3496125403344
2001.0,14012.5,2195.9178299917544,20.638607538063326,2169158.6122078644,3514.9650230532025,494.56816583531776,3020.3968572178846,0.0,0.0,0.0,469057.4740639576,5890.416962728115,828.8027602423152,5061.6142024858,36374.792009245975,4921.91833140709,1600.9348821796527,3320.9834492274367,523.4245005778736,4675.8224148367335,1520.8881380706696,3154.9342767660637,18.551871490793182,3925.792514036827,3925.792514036827,18483.72129973401,21727.230337862387,4077.590640410258
2002.0,13775.0,2175.477553528477,20.44027646327726,2356867.5411905595,3933.2745152565158,554.8475436374417,3378.426971619074,0.0,0.0,0.0,509497.2663800999,6606.1481381687,931.8965795930254,5674.251558575675,37878.64987250805,5496.142136737917,1791.286594786845,3704.855541951072,523.4245005778736,5168.014247977442,1684.3441115159876,3483.6701364614546,18.551871490793182,4907.240642546034,4907.240642546034,21148.444851153312,26199.287503112515,4580.621364944624
2003.0,13537.5,2155.2336448801375,20.243908648339787,2544148.1231397446,4371.767477233279,618.2466206821563,3753.520856551123,0.0,0.0,0.0,549207.7940899194,7348.860714926322,1039.2611973366888,6309.599517589633,38808.28393043931,6070.3659420687445,1982.2925862229706,4088.073355845774,523.4245005778736,5660.206081118151,1848.3538979646607,3811.85218315349,18.551871490793182,5888.688771055241,5888.688771055241,23851.734684195264,31156.88981332778,5105.518063925487
2004.0,13300.0,2135.1841607724646,20.04948410767307,2730979.8491047835,4831.095146935479,684.8697901221065,4146.225356813372,0.0,0.0,0.0,588162.3540492107,8117.976265117033,1150.827406997703,6967.14885811933,39163.69418303974,6644.589747399572,2173.9311595461268,4470.658587853445,523.4245005778736,6152.39791425886,2012.8992218019685,4139.498692456891,18.551871490793182,6870.136899564448,6870.136899564448,26593.668394807486,36617.956013617106,5652.308014643373
2005.0,13062.5,2115.3271777078503,19.856983064614212,2917341.558287421,5311.909760490681,754.8220441562787,4557.087716334402,0.0,0.0,0.0,626334.8874189613,8912.784505643705,1266.5061198353148,7646.27838580839,39210.54318419549,7218.813552730399,2366.1818922035995,4852.6316605268,523.4245005778736,6644.589747399568,2177.9628780510393,4466.626869348529,18.551871490793182,7851.585028073655,7851.585028073655,29374.209660091776,42600.355400608154,6220.96671515175
2006.0,12825.0,2095.660791758675,19.66638594917563,3103211.4377177362,5814.863193349427,828.2087604893773,4986.65443286005,0.0,0.0,0.0,663700.1116416801,9732.443237891352,1386.188201264333,8346.255036627019,39210.54318419549,7793.037358061227,2559.025532267175,5234.011825794052,523.4245005778736,7136.781580540277,2343.5286453394115,4793.252935200866,18.551871490793182,8833.033156582862,8833.033156582862,32193.20738706485,49121.84902143241,6811.415848662808
