Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,11475715000.0,2935930.471392896,34069.52860710398,24895739448.874138,30424725.0679854,2586101.6307787593,27838623.43720664,5138477356.5483885,53644012.67545908,53644012.67545908,8790802813.362856,80367169.60138461,6831209.416117692,73535960.18526691,9375712901.218435,837837698.7815646,188513482.22585204,649324216.5557126,5416629687.253588,5250055176.746412,1181262414.767943,4068792761.9784694,11985065.539197119,634044934.4608028,634044934.4608028,5507180509.292917,81733928.68395269,73284667.61397997
1962.0,9356383750.0,5510914.057491719,65016.41390117755,51330907492.17629,64487613.51129811,6151938.260756276,58335675.250541836,8748721895.488441,96214524.77830985,96214524.77830985,17172155963.65711,162623813.97242182,15513857.759859195,147109956.21256262,18310112654.980034,1711109846.2384005,417023091.4734499,1294086754.7649505,5851745717.538772,10760393569.714817,2622469037.72904,8137924531.985777,12498180.621638073,1295235153.8391647,1295235153.8391647,11028906596.831306,238439626.92293057,144954458.00243643
1963.0,8662814400.0,8440232.792524127,100681.26496759176,79606680315.01132,102743033.77624696,10426279.263205405,92316754.51304156,12147025183.496881,140239688.64288402,140239688.64288402,25777330771.730896,252504346.06047887,25623935.07800291,226880410.98247597,26583099020.391068,2603314234.588966,662966594.0358868,1940347640.5530791,6078174220.692625,16482192899.085386,4197396973.1988153,12284795925.88657,13337563.757613309,2000831190.0815513,2000831190.0815513,16685411610.659601,474734952.74941534,223141528.31191677
1964.0,8938076900.0,11482178.878254198,138053.91426993013,109836622751.27069,145543955.0340531,15397737.640276434,130146217.39377666,15684575294.5388,189340352.9319008,189340352.9319008,34750280016.630615,351657094.5000464,37203356.73980223,314453737.76024413,34654762094.54181,3557257525.849258,933530906.6427583,2623726619.2064996,6440326077.137112,22548504099.207138,5917402752.600935,16631101346.606203,14218658.921448443,2753039731.160103,2753039731.160103,22641808005.058723,798360615.7823887,310314645.05294824
1965.0,8221062500.0,12886779.88544,155398.9928141973,141410216786.44092,192374082.92014337,20996009.184533488,171378073.7356099,19233541517.37126,242449614.83912593,242449614.83912593,43793505923.48534,457782236.5447328,49963071.41331182,407819165.13142097,42461836210.09868,4572803284.4431305,1227591099.246025,3345212185.1971054,7083064375.903752,29227193259.059883,7846181011.728046,21381012247.331837,15967135.705712719,3597747795.45439,3597747795.45439,29145619081.68949,1215210781.3446326,404796688.14391273
1966.0,8753893750.0,14037140.009168012,169639.87627198736,176526647732.96497,246115765.46307033,27534543.863782488,218581221.59928784,23768409392.47054,309881318.39327997,309881318.39327997,53152193513.79762,573347833.6993468,64144087.01732743,509203746.68201935,50523666899.711945,5701866510.386738,1558762044.2680295,4143104466.1187086,7488191016.27871,36279718323.07568,9918058901.542059,26361659421.533623,17258494.37644385,4510772501.077946,4510772501.077946,36053202675.40487,1739154420.6281962,513722647.3910235
1967.0,8892000000.0,14462230.257995838,174909.75117217412,211013576502.31,302026172.5318642,34487961.581359744,267538210.95050448,27977518236.70345,378994723.7202925,378994723.7202925,62039405180.82757,691531597.6184412,78965061.11053991,612566536.5079013,57349086264.241486,6821336835.47046,1893190919.5940578,4928145915.876402,7220335350.908441,43061128572.13565,11951167280.924473,31109961291.211178,17848176.74290161,5454993124.335044,5454993124.335044,42752199802.601326,2371870733.386423,626383158.4204711
1968.0,9072618750.0,14289462.78784224,172767.47015359893,248399381169.84393,364492008.6984487,42350918.10683638,322141090.59161234,32476594348.880657,456054383.9763204,456054383.9763204,71277709202.2461,819714103.0940627,95243912.13711466,724470190.956948,63546794815.244385,7984752048.997107,2244872489.013189,5739879559.983917,7751267776.958626,50365481225.05709,14159999271.641994,36205481953.4151,18773269.525164306,6448153854.809879,6448153854.809879,49896181033.73377,3124049891.171824,750486507.7394803
1969.0,8415575000.0,17170887.68506632,208575.10277592024,286717246743.6898,431433533.21637124,50891195.76344176,380542337.4529295,36758455175.34989,536152269.63608825,536152269.63608825,80604772610.75943,955857067.7892984,112751340.38859807,843105727.4007003,69232685358.8416,9206395656.402786,2617609030.423727,6588786625.979059,8326876229.7582245,58211659225.455986,16551033710.845299,41660625514.61069,20037201.10908345,7508180253.700796,7508180253.700796,57517392728.780266,4001766036.169266,882084189.4922756
1970.0,9489075000.0,20609388.490021966,251499.1950443541,322797245584.0377,499172888.78701854,59670516.33511303,439502372.4519055,40018874124.71626,610790290.8502548,610790290.8502548,88753570036.39972,1088560005.7905524,130125131.12463954,958434874.6659129,73579149286.13367,10417513872.707909,2991595349.391889,7425918523.316019,8062140779.740246,65784580588.91795,18891344687.055058,46893235901.8629,20365183.355543483,8585557870.345253,8585557870.345253,64913439833.49225,4999655901.46837,1010837672.668969
1971.0,9159425000.0,26553286.106607795,326102.3834141702,363630592694.7565,576231221.8861187,69705785.70531337,506525436.18080527,43444471720.764435,691457310.4433423,691457310.4433423,97510917224.89352,1233512645.9806473,149216087.04936507,1084296558.9312823,77046816680.98676,11658329205.14693,3377921288.381283,8280407916.765648,8256488902.505638,73554276703.48837,21311849473.122635,52242427230.36574,21275419.799116354,9711089650.546137,9711089650.546137,72516204103.23296,6129980214.706708,1151954992.3170924
1972.0,9344675000.0,179049231.18715334,2304054.9194544544,407782755751.908,661320978.6804892,80862096.65135342,580458882.0291357,46886064610.29057,776752766.703529,776752766.703529,106508917683.58705,1387803051.5223584,169691674.84926027,1218111376.673098,80196224224.63287,12981586456.353893,3791823776.4548,9189762679.899094,9040826813.286522,82078139133.061,23974407175.755863,58103731957.305145,22140515.82897783,10882387534.71716,10882387534.71716,80751205197.32716,7402014022.5768,1303289217.5356703
1973.0,9082475000.0,327059859.576723,4269371.610430367,453149423040.105,752251237.4112377,92883650.10066922,659367587.3105685,50955563278.43688,873064971.7262545,873064971.7262545,115955529523.24062,1553542654.3994663,191822499.12181967,1361720155.2776465,83708742036.3146,14394923672.478603,4235758582.367346,10159165090.111258,9406233963.058912,90932979110.85684,26757359431.18909,64175619679.667755,22518781.067926507,12073696753.649233,12073696753.649233,89302634237.7427,8828304154.088684,1467862582.8025844
1974.0,9676937500.0,474856642.90416706,6253216.672555949,492392259730.7566,840298229.8478037,104689277.57520193,735608952.2726018,54054275321.06396,964262981.3538133,964262981.3538133,123901379497.8741,1713238016.8497353,213445231.61836955,1499792785.2313657,86664171776.98596,15807342475.049067,4682997098.439995,11124345376.609072,9247466895.984055,99623756131.28113,29513990832.733887,70109765298.54724,23041038.51263812,13292634915.136595,13292634915.136595,97726410309.1507,10400671371.038912,1627297501.9075537
1975.0,9365575000.0,616863666.1051967,8172976.798970383,528315747185.6926,928621263.5896984,116654102.39930245,811967161.190396,56677414200.70539,1054562832.6862056,1054562832.6862056,130860424967.06888,1870655551.5828316,234993159.0243935,1635662392.558438,86421572305.06686,16980786966.71486,5062267303.633165,11918519663.081696,7919230069.06469,107032188165.36787,31908152881.719894,75124035283.64798,22029664.68644604,14458068450.45015,14458068450.45015,105002815783.61487,12116832434.775043,1786031322.6989088
1976.0,9218325000.0,757736212.8499148,10087453.255281985,570650089599.0521,1029023878.5877771,130262929.6902797,898760948.8974974,59571666431.763664,1151206873.9620435,1151206873.9620435,139059217007.9466,2045489663.7959373,258936145.02213457,1786553518.7738028,88239347438.21037,18359017287.829254,5505133005.419877,12853884282.409378,8949760907.26411,115478894933.93028,34627489367.39856,80851405566.53172,23415875.3657353,15696836575.084414,15696836575.084414,113238647765.65886,13992928170.30922,1960425606.0991673
1977.0,10978200000.0,900855440.6034366,12040772.24647824,616270610193.8713,1138277040.1778598,145128273.90708897,993148766.2707708,61510362841.396225,1241501546.683265,1241501546.683265,147380745411.75885,2228249043.549603,284097742.5626948,1944151300.9869082,90320742842.22313,19794263783.55684,5967906403.05852,13826357380.498318,9175660450.55543,124112624818.25005,37419554293.7308,86693070524.51926,23878707.45568761,16960089867.628725,16960089867.628725,121658319386.58725,16032125922.500519,2139603861.7496457
1978.0,13828675000.0,1045917650.9860765,14027789.617360108,663000694914.0994,1254110231.8889954,160972041.64367303,1093138190.2453225,63889895703.92665,1338964878.793246,1338964878.793246,156143022937.658,2421854551.1137567,310858536.78874177,2110996014.3250148,93342346873.01491,21342822190.918243,6467729636.306206,14875092554.612038,9794898238.702148,133340798010.90837,40407600424.59818,92933197586.31018,23576438.10311382,18207352229.52561,18207352229.52561,130558741453.8114,18245134294.02373,2330090711.8403707
1979.0,15954537500.0,1193837299.5979187,16060351.388157615,708798979144.008,1374275494.7532732,177510472.077,1196765022.6762733,66381355143.409454,1440366761.4089365,1440366761.4089365,164921737386.04718,2622625858.462291,338755625.05068797,2283870233.411603,96519672697.09271,22943477512.39733,6986285516.927947,15957191995.469383,9823585251.300848,142578495446.2909,43415130824.15547,99163364622.13542,24854654.62808087,19522235974.89753,19522235974.89753,139563794609.99915,20638079355.776966,2528056955.743578
1980.0,18030050000.0,1336077080.709352,18020218.888566647,748200868068.0101,1492201370.2183862,193890653.5196334,1298310716.6987529,68642404353.01153,1542030269.8738031,1542030269.8738031,172371513831.4035,2818179543.2095776,366182932.3267527,2451996610.882825,99627223105.41974,24577718002.989822,7517949652.53308,17059768350.456741,9196876040.657549,151208463606.86832,46252366322.00883,104956097284.8595,24055269.327039786,20794829905.570488,20794829905.570488,148103033138.3421,23206485534.090782,2723931419.1415644
1981.0,19478562500.0,1467708976.8586378,19838103.850714166,786043600121.8115,1613517938.274211,210834898.25448403,1402683040.019727,70693552364.82729,1643733474.0527296,1643733474.0527296,178810845820.8675,3010460980.6963153,393370423.4134987,2617090557.2828164,102503050070.93338,26229112379.757328,8057638556.812389,18171473822.94494,9409320938.434813,160063032619.27863,49171700684.342834,110891331934.93579,24999789.629127644,22117391715.94136,22117391715.94136,156843704545.17734,25949503171.892315,2920489433.5537386
1982.0,25173575000.0,1597485046.762008,21633930.096629776,818029312178.1023,1733012763.457897,227658325.25482383,1505354438.203073,72537886734.87494,1745070719.1103709,1745070719.1103709,183989318085.3587,3196366957.013941,419892780.7558124,2776474176.258128,104662612285.85693,27855664653.44582,8592306681.30378,19263357972.14204,8788769871.50574,168309226994.95227,51916352154.06387,116392874840.8884,24898652.24650844,23434603063.69485,23434603063.69485,165117735210.29684,28862412751.22811,3113989754.235778
1983.0,24343987500.0,1725486654.9395995,23408391.822408516,859636985617.2172,1869333410.8294983,246812601.37999237,1622520809.4495058,74311738489.35794,1847013159.0847032,1847013159.0847032,190899739171.2809,3402242070.7149444,449206231.0195331,2953035839.695411,108142218408.269,29635155072.003136,9176773038.744295,20458382033.258842,9300015089.550358,177069653554.05466,54831095662.11585,122238557891.93881,26676841.70815237,24845885821.9867,24845885821.9867,173965395555.41397,31961741181.694813,3323241377.7629194
1984.0,25968250000.0,1853836036.6688714,25190618.270728126,903216819855.8207,2013934864.2955086,267190364.6083024,1746744499.6872063,76573530074.13577,1955054378.2052019,1955054378.2052019,198260982194.07684,3617229922.624865,479900814.5858209,3137329108.0390444,113310652358.93417,31607736120.17227,9823919971.862957,21783816148.309315,9988031741.050053,186481124694.79984,57959723477.1753,128521401217.62454,27331663.405788597,26291810558.58091,26291810558.58091,183436155910.4462,35257550064.61259,3543319103.0136776
1985.0,24822312500.0,1980424949.2409282,26951087.427943174,949396096850.6963,2167875552.87337,288941255.1212396,1878934297.7521305,79075625767.23,2066799766.952618,2066799766.952618,206054603650.24478,3841224798.424056,511970492.48901606,3329254305.93504,118266449719.61028,33612823305.299015,10484163860.953102,23128659444.345913,9706851000.849167,195600040884.4603,61009539758.55154,134590501125.90875,27348805.33504609,27738642153.245865,27738642153.245865,192732791094.14032,38758973956.17997,3773564479.072405
1986.0,25399675000.0,2105363888.7912254,28691060.449702725,999184281831.3989,2332729718.653622,312285905.3928358,2020443813.2607863,81643727932.15749,2180410811.548456,2180410811.548456,214570821061.17557,4076928895.0377913,545784374.8584479,3531144520.179343,123880597699.44391,35729689126.06098,11182271017.411205,24547418108.649776,10161912625.26009,205169021223.87927,64211462674.85982,140957558549.01947,28336751.857919596,29237739001.387947,29237739001.387947,202474714804.04578,42476081814.32338,4014891286.845173
1987.0,21272637500.0,2229146698.7810435,30417190.010182068,1052207336762.4268,2508458311.7901545,337230997.2146577,2171227314.5754967,84528165449.92343,2298332804.7875476,2298332804.7875476,223886278983.08304,4325276618.727922,581479604.6269239,3743797014.1009984,129913514606.88194,37964218359.26635,11920293633.187656,26043924726.078693,10626216188.802338,215174186100.23895,67562025281.91815,147612160818.3208,29420693.184635065,30794179508.203312,30794179508.203312,212663622186.06686,46420552605.32678,4268886342.46064
1988.0,21003787500.0,2350455815.1190205,32110883.662022896,1103159112140.344,2688977627.100792,362966448.9553495,2326011178.1454425,87166130360.12306,2414770632.8489676,2414770632.8489676,232354941997.30588,4571509400.684493,617076362.7072202,3954433037.977273,135907959468.25412,40275314479.82977,12685496541.038862,27589817938.79091,10899920315.612633,225431224303.90695,71003964912.09357,154427259391.8134,30462351.085848715,32405726757.117462,32405726757.117462,223118018936.69345,50591381351.70873,4524386102.589733
1989.0,20627587500.0,2469796829.75915,33778985.359870285,1154345988303.09,2877140594.312972,389879703.39932585,2487260890.913646,89531717661.43799,2529024465.8279843,2529024465.8279843,240636318683.23938,4820901546.424011,653277656.5567747,4167623889.8672366,140224939059.13715,42515746125.40484,13431446433.41075,29084299691.994087,11043586081.908625,235819764486.66232,74499469568.27594,161320294918.38638,32099976.727581203,34103909180.38988,34103909180.38988,233692413037.37924,54991199711.56946,4784090886.74815
1990.0,20968400000.0,2592076817.385163,35490012.37398735,1203951750904.797,3070915939.1778646,417699723.60466343,2653216215.573201,91648874925.01524,2640890677.414082,2640890677.414082,248484841142.72412,5070847549.337583,689726342.8079187,4381121206.529664,144097561087.99582,44780224050.39642,14187822692.681427,30592401357.714996,11280913705.58835,246434289887.56323,78078350085.67026,168355939801.89297,32862221.181897722,35842416559.207985,35842416559.207985,244465985818.3329,59620483372.01728,5045944439.06912
1991.0,29846815000.0,2707401468.981274,37105348.40388853,1249743939749.657,3267633366.059563,446064003.63502187,2821569362.4245415,92670836496.97507,2741100086.059514,2741100086.059514,254875559293.45505,5311449309.382221,725064925.7828391,4586384383.599382,146887015556.4242,47008114501.718025,14935307882.94511,32072806618.772915,11116355400.785337,256882367956.9761,81616063435.11635,175266304521.85974,32114261.668629114,37541354697.53935,37541354697.53935,255029519670.25546,64469205219.350815,5300331984.749893
1992.0,24828935187.5,2817532021.342113,38649347.63916099,1299180879905.3706,3476299778.6182303,476204535.4573287,3000095243.1609015,93550323850.99644,2838370422.1933455,2838370422.1933455,261792578116.1564,5559647539.090559,761594092.069772,4798053447.020787,149111372677.0849,49239127833.43898,15686348717.70593,33552779115.733047,11559689258.655695,267765264951.49466,85303284305.24336,182461980646.25128,32597092.6760485,39265836004.863304,39265836004.863304,265917114879.22266,69544105306.18597,5561619025.539875
1993.0,22478583412.5,2995938172.4185076,41153348.92360537,1349864950898.301,3694387863.7621627,507784794.92929983,3186603068.832863,95479585580.50598,2944793008.0369596,2944793008.0369596,269244292155.80237,5815556256.083072,799334328.1199834,5016221927.963088,152086270250.78076,51589299433.27151,16477916512.584278,35111382920.687225,11880338249.622032,278945578464.8355,89096808911.76633,189848769553.06918,33919306.819443114,41060266298.04386,41060266298.04386,277168036776.6332,74856949064.94131,5834774246.077564
1994.0,20882642312.5,3179899421.184106,43738751.23440193,1402839147172.9163,3923412680.803719,541020591.8587867,3382392088.9449325,97577043200.46669,3051957572.113108,3051957572.113108,277108360772.5349,6078114064.941422,838144018.0608765,5239970046.880546,155772071521.01938,54067241071.46911,17312965024.992577,36754276046.47653,12381851131.951202,290602835842.2026,93054438018.19284,197548397824.00974,34649553.00581232,42893328745.03805,42893328745.03805,288870322323.4629,80415023441.9805,6116245330.8994255
1995.0,20463264812.5,3357136657.167086,46232764.017019734,1454449272047.9187,4159221740.087719,575346062.1713386,3583875677.9163804,99805385428.33958,3159503535.671116,3159503535.671116,284587419081.7599,6340026151.824835,877017218.2353501,5463008933.589485,158826355740.72943,56553765878.9809,18153442013.74025,38400323865.240654,13433367332.409285,303264605563.0592,97346239394.37663,205918366168.68256,35460937.65733364,44769315807.380714,44769315807.380714,301294393988.48096,86220194146.90863,6401217442.248833
1996.0,18970303950.0,3542886989.53919,48849667.62789648,1508691584703.804,4406756338.546283,611449710.7215657,3795306627.824717,101782103341.58527,3263462428.31959,3263462428.31959,292038645120.9733,6604056516.186725,916331227.8217158,5687725288.365009,160585236193.87787,58973742249.05347,18975097106.00706,39998645143.0464,13027729409.958246,315502320519.38776,101514452715.98029,213987867803.40747,35826632.14816016,46664649175.23255,46664649175.23255,313397656466.1957,92275832986.98064,6690855504.437313
1997.0,17483964112.5,3732709936.8312297,51527052.7079599,1564863607926.2698,4665488015.691007,649266895.0400199,4016221120.6509867,103709451840.61925,3365636745.1144795,3365636745.1144795,299712970625.31726,6872223913.378386,956364579.0649629,5915859334.313423,163868157376.8576,61567539347.84019,19855210281.314735,41712329066.52545,13757111147.24804,328460027667.4826,105926645557.47112,222533382110.01147,36855147.90360974,48614394027.32894,48614394027.32894,326157822403.9447,98586984013.1696,6986566173.889927
1998.0,80449844650.0,3935597929.7222576,54392007.10897217,1623658848873.7195,4936547186.382625,688963246.6728481,4247583939.7097764,103765258671.99223,3446898144.976956,3446898144.976956,306565129620.3328,7134865396.835565,995768873.0166193,6139096523.818945,166181912984.6358,64119250691.42636,20724292475.524227,43394958215.90213,18836906276.36597,346319172406.92694,111935491158.23257,234383681248.69437,37663104.16927957,50606882123.15966,50606882123.15966,342219100196.26184,105144694396.59296,7275868225.082317
1999.0,87759463850.0,4142224852.9857745,57313076.736483246,1686990858770.7832,5222604222.740409,730921346.7831322,4491682875.957276,103524966883.35129,3521878259.479747,3521878259.479747,313667234146.5221,7401020786.170603,1035798205.2408447,6365222580.929758,169814805503.73944,66819189362.62718,21643815529.69978,45175373832.9274,19947416949.90068,365103945818.1376,118263069753.32892,246840876064.80865,39449293.197910324,52693864829.96175,52693864829.96175,359088898444.0646,111953408471.79227,7570069641.16748
2000.0,89931633625.0,4361656111.6969795,60418641.28879536,1750652244692.8938,5518986120.622884,774496937.8715312,4744489182.751352,103351602166.03558,3593983559.445971,3593983559.445971,320463836268.8693,7665528975.00385,1075728147.987429,6589800827.016421,172975147768.75726,69512950243.57301,22563885941.409668,46949064302.163345,19384641649.08432,383314785306.63196,124423881665.33687,258890903641.2951,39457755.596987106,54781295222.36476,54781295222.36476,375549536735.0369,119014776273.66113,7866905767.344864
2001.0,87195453837.5,4574820927.851618,63438783.84536161,1810727793450.0334,5821087685.746027,819047882.7027553,5002039803.043272,103620646802.37097,3667107086.94226,3667107086.94226,327112246794.61755,7929407996.068127,1115696100.2612965,6813711895.80683,173163799421.46808,71980461773.59483,23412828968.21311,48567632805.38172,18953292094.286465,401125190147.35675,130472564920.48758,270652625226.86917,40338079.37400565,56915297310.99075,56915297310.99075,391618414129.03406,126330944627.3443,8166690432.1092
2002.0,88009382012.5,4802645907.6818495,66670020.16976868,1874679985323.0544,6137926387.339691,865846857.5821642,5272079529.757527,103243566288.2727,3730243467.7786946,3730243467.7786946,334068445944.6197,8196513873.930231,1156241592.5204768,7040272281.409754,172947830729.42044,74430368068.34308,24258128201.357944,50172239866.98514,18926764292.21311,418922197317.6941,136533899168.63028,282388298149.06384,41178553.87947695,59093762953.111275,59093762953.111275,407696896248.10614,133904033369.32758,8469506536.962715
