Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,4080040000.0,10286331.150041496,150968.84995850435,2234926700.655046,4392515.676215913,263550.9405729548,4128964.7356429584,626445131.9633571,9203548.73727282,9203548.73727282,1457233746.589092,18056648.301275335,993115.6565701434,17063532.64470519,644048284.7043475,45574741.06723219,6836211.160084829,38738529.90714736,527191672.7660262,443169526.55989426,66475428.983984135,376694097.57591015,0.0,0.0,0.0,445828673.60067844,290190715.6026863,155637957.9979922
1962,3959200000.0,21704010.254922025,325220.8951194721,4338838759.629608,8819269.948448192,590286.7179005308,8228983.230547662,1328228183.4910953,20501963.92738936,20501963.92738936,2892064146.9820495,37320175.203556,2311293.37839906,35008881.82515694,1205783135.599829,93151679.55668041,15264108.414484791,77887571.14219561,686327491.3326644,701912146.897125,115017390.54701915,586894756.3501059,0.0,0.0,0.0,728522156.4753954,706465168.5326477,312247703.54543394
1963,3637720000.0,32303860.369023006,489349.885899018,6488559520.56358,13624754.267702539,967168.4807479652,12657585.786954574,2032829690.4804015,32995907.125295136,32995907.125295136,4357804759.999685,58482532.53354761,3859035.578482998,54623496.95506461,1777866155.110128,148143387.53630823,25476551.05109244,122666836.48521578,697469945.8474154,745074160.3347147,128132076.620463,616942083.7142516,0.0,0.0,0.0,839885910.0667818,1123764650.4697075,422586428.1297221
1964,3316240000.0,41977436.94019497,640423.4288280418,8991933531.94859,19433483.18268302,1435414.2724916984,17998068.910191324,2469665413.2775536,42761815.409907304,42761815.409907304,5909987973.141558,82311515.73614821,5668213.266690685,76643302.46945752,2336666537.162142,208579272.6337819,37069936.28504129,171509336.34874064,828331914.8274733,855598702.5379181,152062038.5148839,703536664.0230342,0.0,0.0,0.0,1012449187.161331,1595481224.0451503,540732613.5858881
1965,3289700000.0,51304667.43226708,786969.507927891,11651815248.751286,25918152.467296734,1972225.7200489517,23945926.74724778,2869898044.4148135,52813823.811508425,52813823.811508425,7527110542.960116,108672350.83001159,7725993.310242237,100946357.51976936,2849464274.56743,271331490.0300987,49433547.24234832,221897942.78775036,1369824033.2365444,1341709305.768145,244444352.34859955,1097264953.4195457,999902.7643630566,3282915.1787819397,3282915.1787819397,1500151919.4646034,2326552113.3247404,769081030.1850135
1966,3003380000.0,61058104.364339285,940963.0679277943,14147168664.4685,32484645.689115155,2531125.456526813,29953520.232588343,3222592174.0573072,62945308.51064718,62945308.51064718,9079948372.861885,136070316.2334291,9921920.168759627,126148396.06466947,3370736686.7839594,338876521.5753781,62975182.5649417,275901339.0104364,2327036276.0809436,2273767296.424856,422545976.1475346,1851221320.2773216,24201533.12026169,79481063.82211605,79481063.82211605,2425650947.917779,3561630349.5375223,1190572711.704997
1967,2922380000.0,71332032.96912138,1103871.3952179065,16735980889.90112,39636133.40945209,3149451.547274757,36486681.86217733,3511742020.603306,72848346.83553039,72848346.83553039,10660200594.202358,165611552.1605015,12331287.370326815,153280264.7901747,3904066044.3407893,410669809.4881784,77583002.42709991,333086807.0610784,2579514604.3108187,2708641800.8239303,511711741.53116447,2196930059.2927656,33141181.359124653,109336714.63897303,109336714.63897303,2901968874.4807,4918748229.371163,1544850994.647059
1968,2806020000.0,84935921.67166418,1320511.2974572077,19371304749.26182,47309287.575379305,3822326.2334379726,43486961.341941334,3765359154.7642407,82826076.90580371,82826076.90580371,12267516242.132341,197344447.45152822,14957607.030339662,182386840.42118856,4440373240.619444,485319275.3043829,92981752.53657517,392337522.7678077,2841010544.7652125,2980283397.9117374,570989011.7586887,2409294386.1530485,38423179.89427668,126869527.46298455,126869527.46298455,3237201315.0527744,6310411894.733172,1845537649.6907656
1969,2641260000.0,98562207.79174559,1538413.8799185865,21907043227.83492,55240485.675854415,4528186.668461032,50712299.00739338,4026278182.453436,93432298.47999534,93432298.47999534,13812006125.98499,230200109.8997752,17719019.436260488,212481090.46351472,4912099985.047992,557252998.1028996,108076149.37995462,449176848.7229449,3113647177.78429,3268134852.021464,633836752.1814321,2634298099.8400316,41616447.93927783,137466279.8225674,137466279.8225674,3577566916.3364472,7756096727.301338,2131882083.7682827
1970,2469240000.0,109121100.89986521,1707806.8918803835,24654785155.999805,64046941.2433776,5317551.7961913245,58729389.44718628,4294348771.7662663,104648336.26737511,104648336.26737511,15463200567.103409,266224603.1493943,20772401.1992172,245452201.9501771,5330298186.66179,625757806.2210304,122680882.86173858,503076923.3592918,3139155525.1820307,3352248440.7322264,657214011.8626851,2695034428.869541,45668778.55125019,150838286.74462682,150838286.74462682,3757779566.638199,9155923509.437645,2357952784.501892
