Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,789855000.0,652726.8009674274,7273.199032572516,653931549.139065,799160.3397318484,67928.62887720713,731231.7108546413,147574802.6978804,1540632.3774911277,1540632.3774911277,311055188.5157556,2843724.9272428346,241716.61881564095,2602008.3084271937,90850561.33792175,8118638.662078242,1826693.6989676044,6291944.963110637,25324190.15800611,24545409.841993894,5522717.214448626,19022692.627545267,0.0,0.0,0.0,30188509.987428866,2574660.757149928,2299211.6396230347
1962.0,787692500.0,1594522.2906970484,18204.510270379127,1321375635.3263457,1660980.9897308121,158452.94847705273,1502528.0412537595,303018139.3506335,3303582.564893592,3303582.564893592,625466286.9645343,5917440.012343645,564507.253959539,5352932.758384106,176858161.12420207,16530000.2137197,4028608.5702424003,12501391.643477298,25258383.93089795,48272206.227108166,11764659.479534,36507546.747574165,0.0,0.0,0.0,59167981.75558292,7864759.026006838,4868945.095674547
1963.0,784690000.0,2881105.6460882644,33416.6446087838,1946072326.4822698,2519701.2092601107,255697.22347108522,2264003.9857890257,419632292.28085303,4815653.264754021,4815653.264754021,896821164.769352,8806321.730340583,893658.3461427073,7912663.384197876,255090551.20211315,24998209.92208891,6366107.429078028,18632102.493010882,26224464.879433516,72960548.57744612,18580318.0218144,54380230.55563172,0.0,0.0,0.0,88004653.68338352,15580948.898421649,7276130.762326112
1964.0,754212500.0,4330338.0794854425,50767.56660282204,2615623422.8228254,3481491.44862721,368322.3525860982,3113169.096041112,541518143.8629873,6507236.265355931,6507236.265355931,1180416749.1784334,11995420.319419242,1269048.4803717434,10726371.839047499,323701580.1351203,33363371.066992894,8755547.725882715,24607823.341110177,28212268.74732859,99545995.12944162,26123850.300564714,73422144.82887691,0.0,0.0,0.0,118376745.37043162,25970071.410710026,9957654.688156167
1965.0,726805000.0,5940121.118026461,70216.96145898142,3364273668.475456,4593410.993871348,501332.0814929868,4092078.912378361,649719331.3430998,8190093.948435771,8190093.948435771,1491018655.0073688,15633291.535249313,1706241.9618906719,13927049.573358642,373777096.5495121,40819683.585608125,10958240.957840353,29861442.62776777,33809194.34891372,131497907.6765369,35301247.613771,96196660.0627659,0.0,0.0,0.0,152267325.12470645,39270443.51737336,12908850.327509439
1966.0,475925000.0,8064040.3360239435,96080.7820025179,4206931890.4167805,5881487.6677547535,657999.6200868682,5223488.047667885,710502112.2092671,9503539.410947876,9503539.410947876,1758284568.785377,19099792.25324933,2136815.8459769147,16962976.407272413,442739045.3457434,50630051.20376873,13841117.109988019,36788934.09378071,35856321.34342611,165268961.23892024,45180816.38802868,120088144.85089156,0.0,0.0,0.0,188567082.81056044,55246869.931883305,15713577.451378237
1967.0,476413750.0,10695676.049486177,128364.28653776627,5093162260.027821,7293234.81353255,832804.6537967146,6460430.159735835,777011374.533647,10960707.209323442,10960707.209323442,2052784317.9210403,23018156.810393367,2628412.3031318034,20389744.507261563,494133613.095215,59747232.2505284,16582221.38795413,43165010.86257427,36731813.58476019,199832640.52939337,55461465.92871757,144371174.60067582,0.0,0.0,0.0,225347067.33957094,74220348.48386951,18837403.324334644
1968.0,468798750.0,12761822.117959626,153853.9315265507,5957402720.755536,8754461.211641267,1017195.0577671824,7737266.153874084,839910490.5620481,12470213.261390476,12470213.261390476,2325035900.851049,26957775.1563723,3132267.6512630237,23825507.505109277,538125580.4802703,69017632.61494479,19403956.91229624,49613675.70264855,65446092.32346311,262203189.624984,73717095.19703437,188486094.4279496,102851.57554495739,5441148.424455042,5441148.424455042,287573905.47542703,96217247.35972911,22036088.04451424
1969.0,447523750.0,14506365.002945907,175457.11501371823,6883141768.057961,10368688.485350434,1223073.5788761126,9145614.906474322,911372910.9957505,14156173.341278898,14156173.341278898,2618847706.232678,31309343.970180076,3693199.138538605,27616144.83164147,575801719.3952179,78552061.08505228,22334319.762982074,56217741.32207021,75507086.8908432,333470204.5429596,94813937.11140634,238656267.43155324,98851.79205154239,10670696.6324035,10670696.6324035,356462638.4654217,121565743.58191955,25569436.85720424
1970.0,423925000.0,16644345.185620092,202019.81732581486,7873703494.426231,12147344.424157381,1452078.6889113144,10695265.735246066,962387604.7175874,15723662.7348038,15723662.7348038,2920337817.89903,35963118.245938815,4298987.150465013,31664131.095473804,616995650.0402757,89252869.35494219,25630728.41992014,63622140.93502205,71369799.20826353,400453575.4987449,114998172.18846616,285455403.3102788,131421.45764077888,17623275.17476272,17623275.17476272,424783878.98558724,150385989.17040858,29262813.97703465
1971.0,431026250.0,17630049.604074672,214295.5815454207,8869918463.197289,14025956.434484683,1696697.9163920986,12329258.518092584,1001228578.3335334,17239353.060469415,17239353.060469415,3205425614.0689535,40707140.15841361,4924278.797790168,35782861.36062344,645642922.3051234,99788727.7351522,28913102.540305745,70875625.19484645,75590881.2042967,471659952.3828775,136660250.88120204,334999701.5016755,148563.3868982718,25482711.787864447,25482711.787864447,496709511.4235718,182706117.80144164,33031344.308152378
1972.0,438373750.0,17773960.34567704,216089.25839763263,9887105598.07313,16027156.02926326,1959698.0614019688,14067457.967861291,1032866552.4297036,18741831.497432802,18741831.497432802,3479404966.646519,45582110.524419785,5573488.737878216,40008621.786541566,646917517.4044892,108820004.90063438,31785505.055446565,77034499.84518781,73445826.29473764,540657372.3198746,157921952.464805,382735419.85506964,108565.5519641217,31226146.235900324,31226146.235900324,563813977.1879934,218608013.99928206,36916015.05399526
