Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1781729987.5,6072477.368793031,71822.63120696902,1782400529.2166314,2178246.047835309,185150.91406600128,1993095.1337693078,280920875.91126007,2932721.501434682,2932721.501434682,702818496.8498236,6425298.63705504,546150.3841496785,5879148.252905361,404855111.17710346,36178888.82289657,8140249.985151729,28038638.83774484,86923148.90743883,84250051.09256119,18956261.495826267,65293789.59673492,0.0,0.0,0.0,104137393.3225891,5705309.282283771,5099655.60582558
1962.0,1778041612.5,12236514.530983327,147362.83780970477,3424638134.8003097,4310981.965523173,411255.6419921771,3899726.323530996,536035894.9544923,5862869.098408034,5862869.098408034,1341399455.4733694,12713659.274764154,1212847.5945684917,11500811.680195663,697326401.2962785,65547909.88082492,15975007.14417387,49572902.736651056,87064721.44888952,166046427.45854932,40468000.73011711,125578426.72843221,0.0,0.0,0.0,196414736.56721795,16765351.816655837,10203364.567762626
1963.0,1761861212.5,18403474.943461545,223939.5875217856,5368773816.289458,6934113.873030586,703668.2198866312,6230445.653143955,788332500.5093611,9018928.627417253,9018928.627417253,1949377168.5180235,19147984.699395202,1943121.86885836,17204862.830536842,1222022386.4297185,118293614.86656012,30124951.456987165,88168663.40957296,58043024.130656525,219789050.59591657,55972036.085364245,163817014.51055232,771386.8165871805,40808613.18341281,40808613.18341281,325248528.21463615,33467890.84465465,15751698.08309924
1964.0,1744256287.5,24573571.033857018,301203.90960452525,7246587510.557159,9624203.682040468,1018187.0023936697,8606016.679646797,1078517220.0003796,12834382.716771146,12834382.716771146,2667697052.178766,27011572.48624743,2857673.5206710217,24153898.96557641,1509137233.8674254,154521952.56229287,40551187.93718713,113970764.62510574,170776632.9087986,383661171.4123835,100684181.16754654,282976990.2448369,771386.8165871805,81617226.36682563,81617226.36682563,524159279.59876263,56772853.39578177,22289335.810867228
1965.0,1740427075.0,30687628.95246347,378242.0813935469,9222715677.398485,12584082.456863085,1373446.4998224468,11210635.957040638,1387403065.808623,17155266.163488097,17155266.163488097,3409185554.4625554,35591047.886928,3884462.7975760726,31706585.089351926,1792392765.0188208,193642868.8486047,51984362.20506717,141658506.64353752,214033435.75528228,586073094.0241674,157334149.093899,428738944.9302684,831954.966630322,125630071.4001953,125630071.4001953,756100010.1838818,87296555.52657546,29548785.07908697
1966.0,1669386312.5,36926092.68505502,457236.26740845526,11265914252.494545,15788742.695247738,1766387.567567289,14022355.127680449,1696155890.9220529,21813988.51110064,21813988.51110064,4142847493.439823,44632542.20836702,4993327.789774634,39639214.418592386,2043203944.9437711,233360420.07504973,63795489.56202388,169564930.51302585,193868977.1626688,767755471.6379308,209887075.80022508,557868395.8377056,323982.4629666158,142769688.93722868,142769688.93722868,945678573.3453336,125440593.95215084,37331519.6317981
1967.0,1722769662.5,43050982.97343337,535109.7116216472,13215777454.269928,19053554.205499258,2175699.6750282855,16877854.53047097,1944855811.7823038,26195963.83900219,26195963.83900219,4806726238.880833,53578775.91293954,6118088.209944102,47460687.70299544,2268165683.8256116,274317261.1181597,76133895.79829979,198183365.31985992,207884282.57847586,963659633.8319283,267453684.2783127,696205949.5536156,357694.92383968516,161692794.013389,161692794.013389,1146616614.9593332,170945721.41282082,45029378.611798614
1968.0,1759106687.5,49183730.30610273,613352.6673306392,15267210597.575096,22617119.823647536,2627919.862726689,19989199.960920848,2191316190.203786,30857548.64829416,30857548.64829416,5486115578.97452,63177597.94451398,7340707.650324223,55836890.29418975,2469805114.6657805,316849969.15983075,89080759.74643695,227769209.4133938,205205180.75422013,1156529728.6897132,325152459.9298632,831377268.75985,459975.10174272617,186026818.91164625,186026818.91164625,1351856935.9882946,224332031.14146268,53297329.174762905
1969.0,1785033375.0,55295566.65057715,691563.6555255821,17288819873.708874,26332860.107786275,3106181.220467601,23226678.887318674,2449858297.827908,35951812.581490785,35951812.581490785,6152571411.34482,73188766.4942056,8633227.49989733,64555538.99430826,2655888714.6783447,361793399.9874361,102866931.4571747,258926468.5302614,229832063.83835676,1373362675.1357868,390481429.93747544,982881245.1983113,439404.78663373465,209272614.12501252,209272614.12501252,1574814358.3167028,286010941.40866935,62055120.195911124
1970.0,1805106637.5,61417651.96377337,770114.6868037794,19384523782.783894,30332917.1840019,3625959.8046637475,26706957.379338153,2706573311.4334593,41349239.54992196,41349239.54992196,6818844867.719187,83729473.99438679,10008918.869478494,73720555.1249083,2849678022.130311,411441692.54803354,118153627.53653577,293288065.01149774,249957523.54332536,1608965258.7003145,462046227.54294443,1146919031.15737,482831.0074193833,234815783.11759314,234815783.11759314,1816799631.340629,356440926.66107625,71346766.80176146
