Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,2523790200.0,5165547.1085143825,112352.89148561723,12039143.468189567,40455.529764970175,809.1105952994035,39646.41916967077,18928283.478076883,409207.3541117538,409207.3541117538,20005978.62678551,350036.557703231,7000.73115406462,343035.82654916635,649911.7810719784,51963.114590685065,4157.049167254805,47806.065423430264,6060010.8986321315,5094185.473006337,407534.837840507,4686650.63516583,0.0,0.0,0.0,5526346.300419851,3572348.3481064723,1953997.9523133787
1962,2564444600.0,10354712.343047548,229734.76546683614,21809197.27111867,76665.64590834845,1799.0157997028632,74866.6301086456,38692396.518656455,890320.324338791,890320.324338791,39305448.63025219,722938.5310862632,16964.284644428222,705974.2464418351,1292714.7361617982,110603.36409727398,9614.913227626625,100988.45086964735,9381629.689265974,9322924.404271998,810455.5399957063,8512468.864276292,0.0,0.0,0.0,10284618.51603521,9538755.964250006,4318210.899891678
1963,2605753800.0,15569104.244925,349408.09812254796,32188037.50001026,117851.88410227996,3004.4053226328724,114847.47877964709,60405530.546862304,1471890.6962356386,1471890.6962356386,60494055.144048914,1164002.5665243356,29673.988948610982,1134328.5775757246,4289695.247522202,364321.20617252035,33148.17403503681,331173.03213748353,11482065.985870514,11830836.58815179,1076441.9516618217,10754394.636489969,0.0,0.0,0.0,13806634.421218462,16779993.341195583,6565397.044272882
1964,2647708200.0,20810574.318537872,470829.9263871257,49655556.49457437,186113.04390567954,5012.298194600102,181100.74571107945,80047774.88032109,2074001.0199788585,2074001.0199788585,85825652.10382913,1716792.0508119855,46235.73671252025,1670556.3140994653,9440596.477143316,822826.2720932218,77232.89597929908,745593.3761139227,14951161.265746213,15209427.621349193,1427601.6471813105,13781825.974167883,0.0,0.0,0.0,18453077.43007121,25994658.181140374,9238412.590126421
1965,2690278800.0,26081787.896005977,593786.4225318938,63337490.90488184,247060.31455179825,6929.347475523757,240130.96707627448,102174899.8335225,2790034.904600276,2790034.904600276,109582218.4634386,2289161.7926813345,64204.55473781144,2224957.237943523,15376932.433040783,1398880.249789495,134424.52907282457,1264455.7207166704,17193697.50702255,17898392.710458174,1719934.9348351092,16178457.775623064,0.0,0.0,0.0,22698036.60595981,36717883.22410188,11974811.562998302
1966,2733716600.0,31385213.173340306,718174.7226656696,88702822.67923549,351883.8999301899,10190.134547447873,341693.76538274204,121521158.00953314,3512751.494219528,3512751.494219528,141142501.87795278,3042921.5542903314,88119.3486308959,2954802.2056594356,25882522.22892324,2400004.0656561507,235002.62536074445,2165001.440295406,18212575.904361762,19258091.472732022,1885705.9953738383,17372385.477358185,0.0,0.0,0.0,26346634.382915296,48468303.934499115,14596213.672518058
1967,2777752600.0,36723950.13454031,843963.0387999912,114468285.90157428,466159.05951918615,13858.699415346044,452300.3601038401,140492123.9190056,4285075.776614424,4285075.776614424,172636854.98281872,3854089.513393875,114580.34976528148,3739509.1636285936,36069582.983052716,3480803.3476055283,346197.5734181553,3134605.774187373,22281836.637747437,22898300.301176194,2277444.3736158465,20620855.927560348,0.0,0.0,0.0,32232347.00209458,62745029.2441916,17955621.69240209
1968,2822497600.0,42100512.54745708,971137.5870832325,157473222.8521478,646973.7918412035,19666.196732487675,627307.5951087158,159328438.11149114,5108592.375470735,5108592.375470735,214813084.20999545,4910584.870818808,149268.06828800184,4761316.802530806,39089730.89713744,4081163.4924948756,411358.4884464001,3669805.0040484755,19098439.26121701,21176895.513129234,2134512.803588481,19042382.709540755,0.0,0.0,0.0,33209404.486699484,75993933.94881715,19960499.782073934
1969,2867963600.0,47518287.55342947,1099724.9940276062,179912179.5630919,772520.3930702797,23937.411832142872,748582.9812381369,178649499.87937158,5992795.204417538,5992795.204417538,242307445.78160772,5786880.503459957,179312.99041074922,5607567.513049209,39859601.28568906,4503180.380187389,459199.4164902511,4043980.9636971382,12172918.310901698,14569268.299105618,1485661.0077344526,13083607.291371165,86198.51416922902,283009.92920533963,283009.92920533963,29759543.882978525,85815581.31100592,19937896.520789742
1970,2914162000.0,52980037.26406313,1229750.2893663417,196850073.37664276,888303.3350512907,27993.0367877558,860310.2982635349,204491053.25699207,7065203.757526266,7065203.757526266,269315062.5779411,6704991.677956827,211293.90299069913,6493697.774966128,41538552.26230632,4965390.316380048,511563.56254434073,4453826.753835708,10480225.997464636,11521517.010421872,1187014.0940024971,10334502.916419376,86682.15149328967,286473.4373240649,286473.4373240649,29494014.93833508,95145295.86826324,20164300.381077763
