Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,314111562.5,618023.847813673,6876.152186326992,11928950.441425063,14578.198742612309,1239.1468931220463,13339.051849490263,0.0,0.0,0.0,3470681.6894403626,31729.62354970303,2697.0180017247576,29032.60554797827,3855465.7168015037,344534.2831984962,77520.21371966165,267014.0694788346,3326143.4929283573,3223856.507071643,725367.7140911197,2498488.7929805233,0.0,0.0,0.0,2807874.519856826,22387.501486024303,19984.15591144423
1962.0,314920250.0,1241742.306674383,14081.541139289784,27601458.281146683,34573.15080154153,3298.182048148465,31274.968753393066,55022.90234847628,574.4209940442137,574.4209940442137,8333833.050150961,78413.31877911005,7480.41165867568,70932.90712043436,7733584.361528464,721881.3552730398,175933.29564130405,545948.0596317358,5815128.86302374,8761014.629904617,2135190.451646735,6625824.178257882,0.0,0.0,0.0,7274554.534757489,76053.70617037205,49116.0921835239
1963.0,315731075.0,1871286.0640739442,21456.242600438836,40397207.62952521,52195.656129582545,5296.772609600332,46898.88351998221,136959.9535276187,1482.0799680901143,1482.0799680901143,12150929.20066705,118731.70116988412,12048.796188835719,106682.9049810484,11876933.553647798,1156650.807880666,294555.623136511,862095.184744155,13404086.501018587,21582611.883220084,5496282.584908938,16086329.298311146,0.0,0.0,0.0,17103488.35152442,156022.305155975,75095.2694835178
1964.0,316544037.5,2506817.7404088494,28968.323665094907,62820949.29719791,82574.35130390937,8735.905224618433,73838.44607929094,217954.26074001065,2460.2737418536653,2460.2737418536653,19736719.353456754,196143.06144267673,20750.840523389146,175392.2209192876,15677310.095940493,1599623.457707304,419789.1004261813,1179834.3572811228,16758228.466238247,37431188.91035091,9823064.94997264,27608123.96037827,0.0,0.0,0.0,29039649.258399826,285469.71202248725,122243.53387391994
1965.0,317359137.5,3148217.268146507,36600.472262342584,85527194.9131635,115009.59037961758,12552.327108024585,102457.263271593,628071.6607759956,6957.55989145672,6957.55989145672,27422173.57751294,279600.35732928617,30516.021604227448,249084.3357250587,19401901.19953051,2075408.8964099893,557153.5292577494,1518255.36715224,28787760.839800872,64846274.0162884,17408295.05447632,47437978.96181208,0.0,0.0,0.0,49314733.487852424,468800.66228686913,175168.2086237265
1966.0,318176137.5,3795968.0567269223,44349.21141958452,103841490.39044243,143881.5362931669,16096.947161424614,127784.58913174228,1226097.6421354492,13815.740623442796,13815.740623442796,33200251.677790333,350983.47662626137,39266.76503004753,311716.71159621386,23844065.300570678,2657835.898959828,726592.5485355806,1931243.3504242473,33141038.792032994,96125065.01238045,26278430.505370166,69846634.50701028,9275.935745396591,490724.06425460335,490724.06425460335,72721918.96304053,698857.1640826325,223260.5395556355
1967.0,318995512.5,4450257.253087278,52210.80363964424,129720430.87440625,183567.45667679416,20961.320472282183,162606.13620451197,1844517.2539536236,21482.9166616221,21482.9166616221,41498622.15153741,449706.3609789225,51351.36326206268,398354.99771685986,28897160.83521386,3346904.4653568203,928898.4396158069,2418006.025741013,29505846.576965112,123761636.44323125,34348751.85902863,89412884.58420262,13913.903618094886,1226810.1606365084,1226810.1606365084,93640144.82116313,993420.0922846402,287881.1223809862
1968.0,319816787.5,5110977.485907069,60179.767180208706,149910550.83804187,218467.2970540395,25384.069844483536,193083.22720955595,2785128.9084856794,33155.23633132836,33155.23633132836,47802014.932899594,536206.0646507465,62302.65298134485,473903.4116694017,33628375.014584,4068785.8206298603,1143918.4706513402,2924867.34997852,32970333.28380561,154868160.29772407,43540396.78916664,111327763.50855744,16696.684341713863,2110113.476294794,2110113.476294794,117062886.21004105,1345546.8975400785,348015.0699548477
1969.0,320640200.0,5778618.550324811,68258.93558225868,169167612.8171258,254079.2237558003,29970.770744644327,224108.45301115597,3631112.1923791533,44812.65767211284,44812.65767211284,53269579.39020524,619952.2445893356,73128.55541889019,546823.6891704454,41034189.54157765,5094185.473006337,1448404.6085419897,3645780.8644643473,35949544.57927661,188755568.00946188,53667938.87689403,135087629.13256785,12058.716469015568,2748054.759825778,2748054.759825778,142297209.55671167,1753684.350186151,407607.3472076417
1970.0,321465750.0,6453073.864977736,76444.68534707441,190224297.80740827,293748.4368722525,35114.32871162673,258634.10816062576,3887300.896743636,51234.244322886516,51234.244322886516,59088632.52049951,711354.146638004,85034.40427255287,626319.7423654511,46772026.796727926,6062162.744849731,1740870.0479162508,4321292.69693348,44162707.53453526,230518045.05145103,66197820.320019715,164320224.7314313,10203.52931993625,3287851.230505842,3287851.230505842,172865556.7537196,2220079.4396605976,469793.00537451706
