Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,688600000.0,526892.6627108043,10707.337289195713,4155364.317641471,13963.407386980773,279.2681477396155,13684.139239241156,0.0,0.0,0.0,3469780.522011081,60709.35356715557,1214.1870713431115,59495.16649581246,46422.27007656989,3711.65104219179,296.9320833753432,3414.718958816447,146377.07484618676,123047.95828517721,9843.836662814178,113204.12162236303,0.0,0.0,0.0,189798.1463162331,119051.4131850317,70746.7331312014
1962,710000000.0,1057834.68180893,21957.98090187433,8176672.745791689,28642.78606478635,672.1240533166687,27970.66201146968,0.0,0.0,0.0,6892661.959791297,126707.78914999877,2973.2915170215038,123734.49763297728,89020.89043465916,7635.1223610772995,663.7324242642933,6971.389936813006,189131.22453856026,193686.3779335536,16837.441902459395,176848.9360310942,0.0,0.0,0.0,335525.4856123541,309120.3799508043,145456.51884658154
1963,720000000.0,1593156.5648418232,33478.11696710673,11549572.533345144,42336.951616491046,1079.2985088829423,41257.6531076081,0.0,0.0,0.0,9975500.26876355,192978.94459010212,4919.624091706485,188059.32049839565,127622.59379327926,11691.444972676429,1063.7592490068075,10627.685723669621,516299.6050545854,477756.0152530272,43469.16751366302,434286.8477393642,0.0,0.0,0.0,674231.5070690375,692789.3233813317,290562.56363851024
1964,730000000.0,2133239.482757524,45217.08208429925,17987860.440029576,67406.5300666831,1815.3570640041678,65591.17300267893,0.0,0.0,0.0,14859263.813450128,296527.1117542161,7985.9115498045085,288541.2002044116,115715.55397815339,12081.392539990546,1133.9950667258915,10947.397473264655,756966.2642474585,757041.7432199372,71058.16645517669,685983.5767647605,0.0,0.0,0.0,1051063.3474451157,1261280.63941224,482572.0314142074
1965,750000000.0,2678483.423807342,57156.05895018188,26770151.306943554,102340.76704419401,2870.3708932264412,99470.39615096757,0.0,0.0,0.0,22596499.291219495,459010.03796649363,12873.941545785327,446136.0964207083,149967.96086090198,15925.894874895956,1530.3889800026514,14395.505894893304,459724.5657904887,561783.268391952,53984.21437856765,507799.0540133844,0.0,0.0,0.0,1067801.0524799535,1752377.7395255216,576703.9523666718
1966,770000000.0,3229001.833908342,69281.58989900036,36065874.25945192,141746.5322373801,4104.80910158043,137641.72313579966,0.0,0.0,0.0,30294421.79541269,634957.5359821513,18387.606607911694,616569.9293742396,226818.98810173984,23428.165943259635,2294.0296572155876,21134.13628604405,421311.3420211916,456667.63178505626,44715.796078212756,411951.8357068435,0.0,0.0,0.0,1187297.6245029268,2272804.8883854784,666870.4756429703
1967,780000000.0,3784915.875087011,81585.95882133079,46278292.728629395,187259.2519024801,5567.133431957309,181692.11847052278,0.0,0.0,0.0,38420649.61308096,832681.3426597901,24755.242231249253,807926.1004285408,249690.00192675347,27306.361264238367,2715.8661563175924,24590.495107920775,455594.00284294324,478329.59528654546,47574.231763539734,430755.36352300574,0.0,0.0,0.0,1444964.07752999,2921423.5524881836,796345.4134272847
1968,810000000.0,4346938.122114946,94077.75297206563,55920154.22027058,234281.76918484527,7121.511600202975,227160.2575846423,0.0,0.0,0.0,46327687.542263046,1041678.8984954299,31664.12984302205,1010014.7686524078,361654.5587004882,38341.96591507332,3864.6560403406233,34477.309874732695,612028.3419810317,618868.4741222123,62378.486069034385,556489.9880531778,0.0,0.0,0.0,1828142.3241649605,3771013.744258135,978552.1323950094
1969,830000000.0,4915183.790888475,106754.33122647056,66752479.54499907,288727.19784254296,8946.536433076122,279780.6614094668,0.0,0.0,0.0,54817022.70651362,1275553.6026881328,39524.46068144328,1236029.1420066894,416096.1713196783,45763.065843505115,4666.56259753646,41096.503245968655,1680533.3006746178,1553807.7513048367,158445.26590061205,1395362.4854042246,0.0,0.0,0.0,2952268.7920663496,5287021.3603556445,1436261.1759688398
1970,844600000.0,5490062.877203254,119620.91368522131,78292115.86915201,349450.2276949651,11012.19897906831,338438.02871589677,0.0,0.0,0.0,62638698.70073892,1513274.9204058673,47687.71977475885,1465587.2006311084,648952.5471251821,67715.8719376032,6976.485327834445,60739.38660976875,1458041.3553092324,1618841.3879620144,166782.5115153924,1452058.876446622,0.0,0.0,0.0,3316823.4924033955,6858873.04574887,1744971.8070101705
1971,864600000.0,6063764.010927047,132498.8662762074,86819356.43364717,404308.84747838014,12933.628320162428,391375.2191582177,0.0,0.0,0.0,68214053.89352904,1725755.525826008,55206.01560343942,1670549.5102225686,813193.6721469305,86370.50104975703,8980.714245744954,77389.78680401208,1369604.9032722132,1483538.2890216387,154256.7576243348,1329281.5313973038,0.0,0.0,0.0,3468596.047582102,8384552.263918914,1942916.8294120587
1972,884800000.0,6638040.115787691,145423.89513935515,103878033.01658529,491413.8168101232,15933.86364214835,475479.9531679749,0.0,0.0,0.0,79611485.6466821,2049738.4524977352,66461.81260464364,1983276.6398930915,1051701.3418288962,112237.06353936461,11767.951338565623,100469.11220079899,1449099.3311230242,1529233.7530748486,160338.7314669474,1368895.0216079012,0.0,0.0,0.0,3928120.7268697666,10095502.255859233,2217170.7349294466
1973,905800000.0,7211087.713577198,158352.40221049386,116047456.41902858,568174.458447308,18650.18272954856,549524.2757177595,0.0,0.0,0.0,87210201.49274601,2326418.019452497,76364.08240995806,2250053.937042539,1403634.3524962603,149108.45974357758,15753.233259599894,133355.2264839777,1562802.6000585437,1645238.684245866,173818.63379994227,1471420.0504459238,0.0,0.0,0.0,4404353.4896901995,12002078.751484253,2497776.9940651795
1974,927800000.0,7792586.884315328,171500.8292618701,125829362.76365326,641863.3746494697,21306.838710390733,620556.535939079,0.0,0.0,0.0,92833275.62808476,2580516.6867517256,85660.99111686763,2494855.6956348578,1486512.4046013847,167451.59860224702,17815.271574650284,149636.32702759674,1445194.7970505692,1572698.0792847606,167320.25027686372,1405377.8290078968,0.0,0.0,0.0,4670426.38760943,13958064.899959248,2714440.2391344355
