Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,394546875.0,16444763.579183707,199536.42081629357,3867302.6568433386,4726.174947756736,401.7248705593226,4324.4500771974135,12587212.897771165,131406.36055858815,131406.36055858815,6291094.162902079,57514.363853057424,4888.720927509881,52625.642925547545,941100.8221106909,84099.17788930913,18922.315025094555,65176.86286421457,201092.03407627932,194907.9659237207,43854.29233283716,151053.67359088355,0.0,0.0,0.0,404586.99001643126,99179.2036868805,89177.2498744526
1962.0,395822962.5,32948040.503899544,406823.0752841601,7227243.953524014,9105.219822103601,868.6125465998507,8236.607275503751,25464212.51840956,277793.8761773739,277793.8761773739,12477706.178226281,118104.57489492238,11266.846662563097,106837.72823235928,1864746.9451510701,174153.87695962083,42443.907573464596,131709.96938615624,193869.96662375267,376822.0674525267,91837.1803247607,284984.88712776604,0.0,0.0,0.0,809563.0681991592,303194.57456599706,188852.84080612042
1963.0,556244237.5,49510906.75531849,617533.7485810523,44179146.65634255,54785.68818238662,5559.6069497075005,49226.08123267912,76268706.69706362,832946.2908694239,832946.2908694239,47070907.20349508,442505.59246501455,44905.10658482265,397600.4858801919,2698338.3691211375,264208.57602993253,67284.02489348045,196924.55113645206,206863.83101866738,571730.0333762474,145598.21780228557,426131.8155739618,0.0,0.0,0.0,1902829.2246927088,969798.2236759423,613169.2088723497
1964.0,557561175.0,66135035.13028675,830771.6250317371,75322940.0620428,95998.61316444473,10156.117160555794,85842.49600388894,127019187.225566,1436943.0273473645,1436943.0273473645,79767677.98956402,772022.7662462249,81675.69724347893,690347.0690027459,3779136.547438244,384401.8216828937,100878.54997933772,283523.27170355595,327931.32267460553,883582.7788542005,231878.5824877171,651704.1963664833,0.0,0.0,0.0,3148360.0604240387,2111728.2523933724,1071202.5636365693
1965.0,558899012.5,82822505.69153723,1046129.4387495167,103586459.67052981,136027.99480015255,14846.30873776928,121181.68606238326,177253262.89916888,2087196.4013014561,2087196.4013014561,111115512.19233002,1111248.4364100052,121283.3975502211,989965.0388597841,4602413.463142032,492323.0842962131,132166.50676653394,360156.57752967917,438890.848406823,1299386.4394914713,348826.55744833,950559.8820431413,0.0,0.0,0.0,4509059.585796444,3748489.2602387355,1561582.1183782604
1966.0,584008462.5,99576215.26069246,1263390.430844765,131959985.88054548,178425.32236947728,19961.581314989256,158463.74105448803,225426141.46891174,2769251.079183995,2769251.079183995,141596877.05049068,1464449.9773069741,163837.37978185152,1300612.5975251226,5186499.688255684,588513.7748863457,160886.42783036924,427627.3470559765,428782.8824831023,1702196.2357338273,465342.1610843429,1236854.0746494844,0.0,0.0,0.0,5892808.839469066,5897368.147441933,2079448.5305604085
1967.0,751164525.0,116398595.96390523,1482419.296787231,163414566.95909163,226922.77818367584,25912.006202404085,201010.77198127174,273177107.50458705,3500248.880809393,3500248.880809393,172997208.61305013,1848043.561307718,211025.60353883126,1637017.9577688868,6342859.540630363,744440.1476253223,206611.601458663,537828.5461666593,361339.9332475053,2040036.71000161,566190.919488176,1473845.790513434,0.0,0.0,0.0,7349951.947239645,8595073.812032841,2640571.945968642
1968.0,784155175.0,133292757.1664593,1703138.7974459094,195341244.9148932,278645.16347461886,32376.233820101974,246268.9296545169,321091732.927578,4287615.698308514,4287615.698308514,204527769.58343267,2255990.773036294,262127.22967455615,1993863.543361738,7753257.541485958,937001.9991444057,263433.3536122555,673568.6455321503,573776.746878017,2585779.014588028,726978.6383968404,1858800.3761911876,0.0,0.0,0.0,9060117.193048108,11878015.057747241,3244806.92561037
1969.0,659230887.5,150261854.2828447,1925502.8836146232,236330810.44887447,344231.60482549894,40604.99854644455,303626.6062790544,366697157.9982798,5107187.8752423525,5107187.8752423525,238159361.64924136,2706948.913626304,319307.2778974353,2387641.6357288687,9556757.292565173,1181900.2489207843,336043.8634291672,845856.3854916171,533451.6116229477,3086042.7937922445,877439.3135805097,2208603.480211735,0.0,0.0,0.0,10852915.982953627,15783629.98044478,3892841.194552738
1970.0,692266662.5,167308772.04574305,2149482.237101638,276532329.1117794,412393.4620736453,49297.00984954458,363096.45222410077,407573338.17395914,5932793.456305262,5932793.456305262,268270292.84044585,3151374.75719201,376711.4824365417,2774663.2747554686,11450600.71762418,1456756.5749409941,418336.49064838904,1038420.084292605,603508.052281139,3655607.183102673,1049779.974550764,2605827.208551909,0.0,0.0,0.0,12714800.476129346,20307098.032966807,4547085.130762801
1971.0,725615462.5,184496221.5494793,2375850.496263749,317386069.3213967,484975.82327978907,58666.76348974363,426309.05979004543,447616112.2708501,6801551.699524441,6801551.699524441,298167381.87380725,3617739.519681803,437632.2665598659,3180107.253121937,12605095.994591173,1690104.7230330042,489696.30408159207,1200408.4189514122,431427.06920260657,4056251.33527921,1175271.129795821,2880980.205483389,0.0,0.0,0.0,14489356.636871224,25478561.37470135,5236504.670701881
1972.0,686911512.5,201754670.7204011,2603650.829078196,350826303.3576968,552308.1417231353,67532.70465796458,484775.43706517067,486851464.0294845,7713411.548108283,7713411.548108283,325297227.45472145,4082909.5629899455,499232.04970749636,3583677.513282449,13930149.055702507,1959546.9388886662,572368.9241633865,1387178.0147252798,531082.2723768905,4558680.758549246,1331556.3662154304,3227124.392333816,0.0,0.0,0.0,16396166.905515,31312614.31491547,5947811.558241783
1973.0,720524887.5,219058167.83246425,2832502.887936849,384361546.11557126,623187.8786678654,76947.64992127295,546240.2287465924,547458071.5053442,8899319.788675833,8899319.788675833,362211201.67347074,4660134.582339298,575406.5775386724,4084728.0048006256,16065633.57377125,2319404.7944922764,682493.2863685688,1636911.5081237075,612514.1878862242,5136907.724122951,1511553.7584185298,3625353.965704421,0.0,0.0,0.0,18792553.49605118,38002252.42827037,6840649.908868153
1974.0,766871587.5,236386758.5632527,3062109.269211572,424457696.6522254,705647.0292853407,87913.64196060463,617733.3873247361,608624689.3154438,10162189.804085048,10162189.804085048,400208542.23011696,5276281.17727673,657350.0277785697,4618931.14949816,17683798.570814554,2657245.268760059,787220.9957548942,1870024.2730051647,836120.3407627932,5929533.452212748,1756651.2521409132,4172882.200071835,0.0,0.0,0.0,21441760.813984945,45601589.973492414,7799516.7956859
1975.0,812409600.0,253915295.17065537,3294763.3925973102,481805767.2118948,813338.8481809832,102172.23856609486,711166.6096148883,685322201.4581082,11659446.999723148,11659446.999723148,451640124.7447629,6045260.537671455,759410.1809234204,5285850.356748035,18300893.229039595,2927770.3066486306,872819.1411238664,2054951.1655247642,925593.9852953003,6802288.010737853,2027880.1126327296,4774407.898105124,0.0,0.0,0.0,24485823.02971596,54307566.72175228,8950487.217826203
1976.0,857948325.0,271738484.3169145,3531710.8537408873,552252369.9306612,942551.4171882663,119316.4819024123,823234.935285854,712204823.5014108,12723970.64578272,12723970.64578272,488059608.06083727,6715866.947182295,850153.7448778033,5865713.202304492,19575789.10747706,3271024.891080961,980849.1820189867,2290175.7090619747,1015276.2058577399,7759502.687829903,2326763.6651083226,5432739.022721581,0.0,0.0,0.0,27135833.51515662,63844682.46385123,9875803.041274115
1977.0,866933187.5,289661140.21129656,3770344.1056179446,599938240.1952314,1050587.5630269714,133948.0233973053,916639.5396296661,739879442.5865972,13837477.192337384,13837477.192337384,516153769.8039514,7340093.585759778,935848.7211965217,6404244.864563256,22687705.7703311,3799261.572802008,1145465.0556922636,2653796.5171097443,1165423.4603797868,8859649.873266015,2671155.734089141,6188494.139176874,0.0,0.0,0.0,30000652.252816927,74205859.1956151,10797184.864766441
1978.0,883348237.5,307695530.0643812,4010810.1469153706,666407955.3683947,1186856.9174917717,152339.70371152932,1034517.2137802425,822423791.4982114,15563317.041743482,15563317.041743482,574166061.6914985,8262261.213366959,1060507.300148343,7201753.9132186165,27207581.569451362,4491726.262847671,1361172.8949677818,3130553.3678798894,1129740.0368764072,9920815.465517383,3006404.2903358466,6914411.175181536,0.0,0.0,0.0,33844552.711803764,85860704.01719524,12144743.347162196
1979.0,901178787.5,325838082.8490906,4253047.215290616,738155973.9676583,1336356.888503146,172612.65521156107,1163744.2332915848,907065442.425414,17400502.802920353,17400502.802920353,634872960.9971402,9252398.493925478,1195100.7136280914,8057297.780297387,31476418.097244784,5210720.092699619,1586663.4993201185,3624056.5933795003,1521749.8676617304,11363134.413352916,3460072.7520933715,7903061.661259545,0.0,0.0,0.0,38148663.071148366,98888502.34772654,13593746.485978032
