Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,3732658400.0,3456620.7367471503,49179.26325284965,119763166.60791774,235382.03136789714,14122.921882073828,221259.1094858233,155922783.87924597,2290771.956653719,2290771.956653719,122229760.87655625,1514554.4146661202,83300.49280663661,1431253.9218594837,14763150.173327716,1044683.7022397133,156702.55533595697,887981.1469037563,31266143.18714549,26283043.889713854,3942456.583457078,22340587.306256775,0.0,0.0,0.0,27171853.441159558,17424106.25852909,9747747.182630466
1962,3718386400.0,6968957.523589343,101163.21315780748,240121675.3260337,487567.32734289253,32633.59882338229,454933.72851951024,314108416.0486648,4860709.06500632,4860709.06500632,247965101.7968715,3197061.7031986066,197998.73673240625,2999062.9664662005,28429093.515597586,2191138.2318076347,359046.3605230365,1832091.8712845983,36680451.86034333,38245992.18616355,6267100.860955672,31978891.32520788,0.0,0.0,0.0,42125688.95648451,40978644.37441611,18571150.840597488
1963,3704247200.0,10538975.34693686,154782.17665248396,331372319.6426223,699008.7685466211,49619.92234291807,649388.846203703,474409030.4391433,7722974.411349696,7722974.411349696,372564286.41368055,4998120.138154052,329806.5696386288,4668313.568515424,35423580.720620945,3028276.1825207835,520779.4559300832,2507496.7265907004,44362306.24660011,45754067.315307155,7868429.709478959,37885637.605828196,0.0,0.0,0.0,53433811.15848772,67980589.90742385,26431865.625479978
1964,3690201600.0,14168558.985643676,209816.36129318425,479278458.68701965,1035237.0146557274,76465.65323774189,958771.3614179855,636801411.497997,10891100.408317093,10891100.408317093,511295776.2887384,7110007.821042042,489616.06765560136,6620391.753386441,47712531.70250805,4311865.156160276,766330.0604619279,3545535.0956983482,44003637.27343601,47177628.18629118,8384685.826457001,38792942.35983418,0.0,0.0,0.0,60808740.97865405,95957173.11869168,32832157.767386228
1965,3676248800.0,17859973.682189453,266185.3034542251,648503612.2830628,1434797.8125838004,109180.04871752686,1325617.7638662735,801386667.640346,14378907.25969803,14378907.25969803,669546245.6620525,9617568.731596306,683755.0776585151,8933813.65393779,53638482.75197208,5267410.287708002,959662.9395038537,4307747.348204149,45728140.55273837,48491139.779287666,8834540.542451687,39656599.23683598,0.0,0.0,0.0,68602685.26254222,125724097.83947524,38835760.541758664
1966,3662348800.0,21615515.23613697,323858.44605248264,778130883.3727773,1781712.5374527506,138826.75535139814,1642885.7821013525,968115943.5579367,18196422.932998434,18196422.932998434,818997312.1755307,12193466.643480333,889118.2586031415,11304348.384877192,58109992.05828421,6148774.425429513,1142658.6598326394,5006115.765596873,56129604.46382468,57632927.84603152,10710226.061054012,46922701.7849775,0.0,0.0,0.0,83072474.65055135,161997941.67447743,46798630.815549165
1967,3648620800.0,25437485.97224621,382829.26389075816,909899699.8412092,2153957.7395948386,171151.5466368287,1982806.19295801,1136794409.9491498,22349492.632991415,22349492.632991415,987962546.5666636,15183319.692409487,1130536.3419406319,14052783.350468855,66746070.4985379,7319041.728834042,1382700.2109550566,5936341.517878986,64960368.316719875,67513381.93882033,12754506.793059012,54758875.14576132,0.0,0.0,0.0,99080298.84005858,205060730.26783136,56017510.24670464
1968,3634826000.0,29328772.236051574,443113.73619463696,1036703876.8128643,2538720.8365563825,205114.4658960182,2333606.370660364,1307455568.76362,26844854.42076695,26844854.42076695,1120446595.32516,17915813.7339722,1357918.6286826702,16557895.10528953,79250032.92563835,8793628.465917317,1684760.9965701334,7108867.469347184,68052463.16424465,72124661.86912164,13818279.641773509,58306382.227348134,0.0,0.0,0.0,111151605.59341216,251798484.74008253,64413851.121161
1969,3621082800.0,33291645.5327223,504726.70332927274,1223694313.979416,3064294.25638605,251187.08190637943,2813107.174479671,1479798514.6766014,31682065.881532554,31682065.881532554,1285250619.6818986,21208881.711379867,1632495.2556664979,19576386.45571337,91842258.26808807,10341017.820441755,2005583.4432611922,8335434.377180562,73433599.06503758,77297810.01347019,14991484.460737776,62306325.55273241,0.0,0.0,0.0,124713319.44163856,303272849.1825893,73238954.99913184
1970,3607392000.0,37329243.51202586,567702.0206964398,1423897508.6617494,3647077.984456606,302801.7530673619,3344276.231389244,1653483110.2724276,36857210.347112186,36857210.347112186,1487671021.7048752,25161393.444732778,1963239.134108301,23198154.310624477,100566524.89863545,11672983.86262124,2288508.3520498206,9384475.51057142,68194470.5281766,74135606.76061153,14534411.873832785,59601194.88677875,0.0,0.0,0.0,132385311.28647608,355463143.2978101,80195017.17125529
