Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,316800000.0,19843675.89541801,241924.10458198757,999255144.1859367,1221175.337935267,103799.90372449771,1117375.4342107694,655448049.886469,6842661.951483794,6842661.951483794,176339558.21115243,1612129.345074863,137030.99433136336,1475098.3507434996,69765636.27246633,4103755.69434144,923345.031226824,3180410.663114616,16189304.477988254,13609104.1863406,3062048.4419266353,10547055.744413964,0.0,0.0,0.0,23162602.143966645,12704089.044829331,10458513.09913731
1962,324200000.0,39483953.61485535,489722.28056265804,2011396360.1497378,2528614.288550728,241222.74249929984,2287391.546051428,1347541006.3403435,14690457.461478949,14690457.461478949,352932125.8485836,3339561.9947838914,318584.8892714748,3020977.1055124165,136682959.70093945,8910363.979729049,2171589.1245374624,6738774.855191587,21181392.168687902,21643199.724364348,5274771.855397429,16368427.868966918,0.0,0.0,0.0,43106028.8372013,35358809.235966355,20451308.646064274
1963,341600000.0,58920009.40149336,738044.2133619864,2997790373.4165554,3879130.538699078,393651.0029768599,3485479.535722218,2119628768.939276,24061121.234261785,24061121.234261785,523559536.7260121,5129770.448949912,520564.920959686,4609205.527990226,202636306.63483563,14510630.435915342,3695313.8847378404,10815316.551177502,20889889.392616797,22460914.62429075,5719953.3846316375,16740961.239659112,0.0,0.0,0.0,59712084.088810846,65713879.00522347,29357014.319553733
1964,377200000.0,78153055.2690138,985754.1324795596,4066066239.569296,5405669.89813141,571889.6868089965,4833780.211322413,2869142448.1942654,33990462.77701453,33990462.77701453,703888917.534997,7126152.620349733,753907.1506407858,6372245.469708947,266774428.95358416,20817041.20990334,5463015.037029465,15354026.172873877,21236509.328103498,22617233.062004294,5935439.290716721,16681793.771287574,0.0,0.0,0.0,77232308.40220734,104261492.57164037,38684694.83579044
1965,392000000.0,97183944.4976603,1232310.7713535181,5157922600.503662,7045983.405682213,769009.6818352855,6276973.723846927,3602074128.531809,44552034.90367112,44552034.90367112,884556498.7851527,9252961.493638108,1009882.7324115497,8243078.761226558,327169533.7285341,27630288.82527812,7417484.313594062,20212804.511684056,187162140.56339645,162181767.33926576,43538477.747992076,118643289.5912737,275835.24534153286,905631.7734570868,905631.7734570868,198833813.26515943,209735994.80749837,93359311.02930143
1966,315800000.0,116014435.79785368,1477408.699806617,6302146525.298233,8840459.602642903,989038.7243050995,7851420.878337803,4260630160.297781,55155717.03356609,55155717.03356609,1066353049.5332848,11521284.051409775,1288959.6913215255,10232324.36008825,386763446.9972902,34981760.09954801,9563226.319931293,25418533.77961672,243391847.76840296,248781160.19448948,68011173.03144862,180769987.16304088,268763.0333616041,888414.0065164738,888414.0065164738,280316397.2211662,353693718.3943434,136358673.63432115
1967,343600000.0,134646184.96583304,1720850.8320206357,7479994948.807585,10773575.749287544,1230220.0945717639,9543355.65471578,4890417319.732204,66232432.53819648,66232432.53819648,1248121038.6942677,13924642.97853786,1590036.2145843476,12334606.763953513,444097887.9189734,42659240.484985724,11839627.432411363,30819613.05257436,256874173.36224467,272206725.2405094,75548138.5698533,196658586.67065609,268718.3349707248,888069.3156555805,888069.3156555805,316476663.9957518,509299823.676785,160870558.71331018
1968,369600000.0,153081277.103489,1962507.8623440226,8730748214.982178,12899627.007882684,1498828.5997555244,11400798.40812716,5537217683.076593,78251721.15993057,78251721.15993057,1438667143.228146,16546644.350337392,1922581.4643410812,14624062.88599631,495799913.61217487,50312826.16055581,14145195.567659603,36167630.59289621,288462289.3798552,301242852.2292651,84692898.08019531,216549954.1490698,268721.7399451615,888069.263785155,888069.263785155,357882236.4598052,680867911.1323887,186314149.0042015
1969,394200000.0,171321590.5348621,2202286.5686269207,9991306421.97736,15150735.288300166,1787156.0186080385,13363579.269692127,6151962694.823345,90731811.78324151,90731811.78324151,1623934291.5030918,19267187.1302938,2272725.962557238,16994461.167736564,547582339.5598139,58090165.60740548,16516490.030167544,41573675.57723794,311389333.4580277,327886773.9531063,93226427.85390669,234660346.0991996,277345.00089336326,916370.2567055938,916370.2567055938,398240244.15381336,868069395.9345945,211038759.35160756
1970,353000000.0,189369070.0669547,2440120.4679073878,11226414431.34676,17488890.93406487,2090600.6227621613,15398290.311302707,6791028810.61122,104242471.64254108,104242471.64254108,1795478647.9629192,22008336.90815606,2630849.6644879277,19377487.24366813,587851691.0027366,65207912.355029665,18725742.987098422,46482169.36793125,332802433.7726954,351077882.22058064,100818964.34781842,250258917.8727622,408418.5156942822,1346891.6999095825,1346891.6999095825,437106228.1381149,1070187924.9662447,234987699.10646477
