Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,14228150.0,47805.622642693605,494.3773573063932,4783225.832534143,5845.511485681864,496.86847628295845,5348.643009398906,0.0,0.0,0.0,1367568.831485607,12502.570988681613,1062.7185340379372,11439.852454643677,66644.47881899742,5955.521181002578,1339.99226572558,4615.528915276997,13406.135605085288,12993.864394914714,2923.6194888558107,10070.244906058902,0.0,0.0,0.0,31474.269285378483,8868.975851471992,7919.51961257059
1962.0,14224587.5,95695.64574858776,1009.9768941058495,10310999.972569399,12938.468829682623,1234.2937983738816,11704.175031308741,0.0,0.0,0.0,2915319.755300978,27528.675439101127,2626.1587688010372,24902.51667030009,127333.43645699226,11911.042362005155,2902.8993780815167,9008.142983923639,27224.542420341153,38981.59318474414,9500.397964630416,29481.195220113725,0.0,0.0,0.0,75096.0299056462,27946.81814519044,17528.84940789039
1963.0,14221262.5,143364.8043100106,1530.841438577159,15969258.69155252,20595.897944517365,2090.0549239539914,18505.843020563374,0.0,0.0,0.0,4493138.40782434,43853.63882077178,4450.231497435293,39403.40732333649,115422.3940949871,11911.042362005155,3033.296204214283,8877.746157790873,27636.813630511726,64969.32197457357,16545.252022986995,48424.06995158657,0.0,0.0,0.0,115211.06645327731,57819.63632118914,28036.432167901163
1964.0,14217937.5,191107.33070229334,2057.4736077172533,22368959.55354604,29591.24506609502,3130.5884732227414,26460.656592872278,0.0,0.0,0.0,6305256.220235618,63398.98208836585,6707.258248058735,56691.72384030711,103511.35173298196,11911.042362005155,3125.8142247118726,8785.228137293283,27636.813630511726,90957.050764403,23869.854079617937,67087.19668478507,0.0,0.0,0.0,159024.80525525776,100412.96987617313,40559.0468781954
1965.0,14214850.0,238325.37018059226,2581.9605217010912,29377386.466890953,39833.03723487104,4347.4401693620475,35485.59706550899,0.0,0.0,0.0,7978903.255995064,82940.96810992018,9052.307367894615,73888.66074202558,91600.3093709768,11911.042362005155,3197.576776609692,8713.465585395463,27636.813630511726,116944.77955423243,31394.390170349703,85550.38938388272,0.0,0.0,0.0,203638.11277681275,156048.57204169457,53738.65564201312
1966.0,14212000.0,285615.2293361652,3110.1408444271087,41084298.6083138,56383.36176425025,6307.967085181368,50075.39467906888,0.0,0.0,0.0,11371878.347158927,119412.74462445237,13359.467031989063,106053.27759246332,79689.26700897164,11911.042362005155,3256.211050844639,8654.831311160517,27636.813630511726,142932.50834406185,39074.53261013566,103857.97573392619,0.0,0.0,0.0,268641.4793166189,235457.3334651912,76719.9108480356
1967.0,14209625.0,332677.05820525787,3638.1711309073307,52511325.53431157,73513.20454372826,8394.373748385204,65118.83079534306,0.0,0.0,0.0,14629550.941097533,156992.3018736359,17926.739362351007,139065.5625112849,67778.22464696648,11911.042362005155,3305.7856233386074,8605.256738666547,27636.813630511726,168920.23713389126,46882.05065825661,122038.18647563466,0.0,0.0,0.0,334827.8365209291,338891.163972214,100750.56279960513
1968.0,14207012.5,379808.02674837416,4169.031456883701,64475207.0718641,92239.46168532,10717.4527694118,81522.0089159082,0.0,0.0,0.0,17677191.84773797,194979.29119751387,22654.960320039678,172324.3308774742,189156.13992295618,23822.08472401031,6697.45814268446,17124.62658132585,27636.813630511726,194907.96592372068,54797.384803781926,140110.58111993875,0.0,0.0,0.0,411081.547494647,466878.88786626083,125858.61589933562
1969.0,14204637.5,426708.9394565795,4699.087291794665,77184260.25424619,112893.01181083613,13316.675506325231,99576.3363045109,296834.0784588852,3098.850099449048,3098.850099449048,21176446.020917986,239349.68172069953,28233.297995074303,211116.38372562523,298623.0128369407,35733.12708601546,10159.823630932216,25573.303455083245,27636.813630511726,220895.6947135501,62806.18244576279,158089.5122677873,0.0,0.0,0.0,497454.3858524557,624610.4541465313,156060.0038493147
1970.0,15390237.5,473677.4436932199,5231.495763359619,90459522.93684918,135348.525231494,16179.397093028489,119169.1281384655,1184114.024876797,12643.706555975505,12643.706555975505,24976989.89340171,289070.19593675766,34555.097514517096,254515.09842224058,662756.7586649098,71466.25417203092,20522.949739440293,50943.30443259063,81261.35605085288,298858.8810830384,85823.24436493214,213035.63671810628,0.0,0.0,0.0,650306.8742673785,818364.6769627598,192573.71030045312
1971.0,15399500.0,520414.7387881496,5762.704905070325,103846290.93251637,159134.08869176847,19250.200724026345,139883.88796774214,2061474.6822464922,22941.538932458257,22941.538932458257,28613440.319603767,340136.19543958403,41145.74123964766,298990.45419993636,991157.3774068633,107199.3812580464,31060.288801331095,76139.0924567153,82910.44089153517,376822.06745252665,109181.62124104261,267640.446211484,0.0,0.0,0.0,805595.4197683361,1049246.370060394,230934.1880025024
1972.0,15432275.0,567812.0065063286,6302.732281820956,120866319.837034,188607.74958825318,23061.748482302526,165546.00110595065,2928151.27660985,34015.393408356336,34015.393408356336,33707818.094778344,407329.1586917441,49805.60251508324,357523.5561766608,1150535.9114248068,131021.46598205672,38270.38487222496,92751.08110983175,82910.44089153517,454785.2538220149,132839.35244904525,321945.9013729696,0.0,0.0,0.0,971781.9331737692,1327371.049017151,278960.2717342111
1973.0,15420875.0,616750.4128900248,6861.593616303761,138027918.07137385,219806.08956291023,27140.389935705167,192665.69962720506,3783357.7156157033,45884.78290934526,45884.78290934526,38704807.034558184,477411.2012766201,58947.985417903816,418463.2158587163,1357558.6148907705,160799.07188706961,47315.71102975373,113483.36085731589,82910.44089153517,532748.4401915031,156763.16381574966,375985.27637575346,0.0,0.0,0.0,1146482.335628336,1654601.5760505805,329783.1713618368
1974.0,15380500.0,664541.9029378416,7408.509952183218,152619548.7825873,249484.6819254696,31082.263640597048,218402.41828487255,4626290.352310412,58565.22882978317,58565.22882978317,42685648.740772575,541994.4570869486,67524.84552118294,474469.61156576563,1407470.2759947295,178665.63543007735,52930.50704953446,125735.12838054288,123128.84770679104,649693.2197457356,192474.57108921616,457218.6486565195,0.0,0.0,0.0,1334391.0357174836,2027530.3358392487,378508.49889175326
1975.0,15462200.0,722469.0769900705,8072.825947771031,169219549.8361654,283117.8887232104,35565.48237386073,247552.40634934965,5456132.197356261,72067.82392266797,72067.82392266797,47359324.24796504,616114.1785632307,77396.72705527581,538717.4515079549,1440649.1193836494,196532.1989730851,58589.65941465146,137942.53955843364,164584.0681525586,805619.5924847121,240169.1823939431,565450.4100907691,0.0,0.0,0.0,1561730.6314291751,2452475.571671432,433392.44594778906
1976.0,15390000.0,769950.656842419,8618.420147651566,180007164.3557532,311343.1608077883,39412.56671469442,271930.5940930939,6437126.261128563,88122.08820961759,88122.08820961759,49913057.23272175,674528.2592291445,85387.74370003866,589140.5155291059,1322672.4415915671,202487.72015408767,60717.94660553397,141769.7735485537,232851.5598084968,1026515.2871982623,307810.7667489101,718704.5204493522,0.0,0.0,0.0,1809667.4918297234,2920479.5256377775,481189.243865472
1977.0,17774737.5,817485.1335946233,9165.523247795629,192260674.92157078,342705.1402501111,43694.28856775852,299010.8516823526,7594162.707173003,107154.36779535412,107154.36779535412,52985437.77641069,740036.8530062155,94353.36681098699,645683.4861952285,1198740.2426184819,208443.24133509025,62844.961966775816,145598.27936831443,248319.05146443495,1260404.8463067273,380007.9778146859,880396.8684920414,0.0,0.0,0.0,2077843.8535332908,3437690.8463113774,534637.3849993352
1978.0,17767375.0,864181.3284489963,9703.805145627053,205858065.37062857,377200.7199796135,48415.81581957476,328784.90416003874,8731602.751686618,127315.2947868762,127315.2947868762,56503334.74170684,812279.5766308142,104260.6132307626,708018.9634000517,1068852.5224643943,214398.76251609283,64971.409024939734,149427.3534911531,248731.32267460553,1494294.4054151922,452831.03259806475,1041463.3728171275,0.0,0.0,0.0,2355009.888655247,4008878.782991046,592931.2256672978
1979.0,17763100.0,911234.3442658244,10246.984183171853,224385566.35371965,419354.59912103,54166.60134145772,365187.99777957227,9848317.732286679,148603.69052661277,148603.69052661277,61036757.83737552,896732.7385986111,115827.90522224827,780904.8333763628,933009.281129304,220354.2836970954,67097.84686973522,153256.4368273602,248731.32267460553,1728183.9645236572,526231.7621822968,1201952.2023413605,0.0,0.0,0.0,2649905.1608512686,4643297.663931725,660277.640741869
1980.0,17749800.0,957749.6545192066,10784.689746617827,239695102.7580314,459608.48848060734,59719.68125296247,399888.80722764484,10943183.852612125,171010.94262036364,171010.94262036364,64932207.24360444,978911.840756203,127195.8733790398,851715.9673771632,800854.0693192781,226309.804878098,69224.72292753772,157085.08195056027,248731.32267460553,1962073.5236321222,600168.4112186523,1361905.11241347,0.0,0.0,0.0,2941605.911589202,5338985.809575349,726927.5715815466
1981.0,17770937.5,1003436.1641979282,11313.49032127847,257807198.00692144,505159.80262965517,66008.1385296495,439151.66410000564,12015089.780009016,194520.69042194486,194520.69042194486,69895106.57908218,1073995.5961857117,140336.68103483866,933658.915150873,674654.378690255,232265.32605910057,71352.39727398375,160912.92878511682,248731.32267460553,2195963.082740587,674604.4833176645,1521358.5994229228,0.0,0.0,0.0,3249602.797880863,6104455.14290256,801861.9363456141
1982.0,17789937.5,1049192.4255231153,11843.73867481293,282443275.7962925,560811.4180413843,73671.34905592763,487140.0689854567,13035433.064937724,218821.38469255893,218821.38469255893,76824820.63113874,1190861.217499018,156438.24217762807,1034422.9753213899,1242161.6285055245,297956.5293889472,91907.11871561971,206049.41067332745,195106.7802542644,2377877.1842693933,733475.5882477319,1644401.5960216615,0.0,0.0,0.0,3590835.4356943946,6954105.960250262,890733.6116517031
1983.0,17813687.5,1094720.474690582,12371.950832533497,311063812.17295253,623986.1446920425,82386.39651135105,541599.7481806914,14003449.749209728,243857.5576418797,243857.5576418797,83883167.54960692,1313950.758575153,173484.08953180967,1140466.6690433435,2466350.886878754,425007.6479170022,131607.16436909966,293400.48354790255,300706.78025426436,2663742.200957517,824849.9983388156,1838892.2026187014,0.0,0.0,0.0,4058216.6610325184,7893615.495473201,986414.4396429753
1984.0,17829362.5,1139725.8044862058,12894.67020437599,344171873.75471884,695666.3248933227,92294.61304300197,603371.7118503207,14918435.801690005,269564.84134335123,269564.84134335123,91834196.45217776,1450354.6042297601,192419.71643955715,1257934.887790203,3722867.5607418725,563969.8088070623,175286.02008074586,388683.7887263165,223568.13630511728,2871644.0312761525,892528.3684879451,1979115.6627882074,0.0,0.0,0.0,4498670.892498399,8932436.651085977,1092050.2853711
1985.0,17824137.5,1183917.3355395168,13408.468946689,370766502.85198665,762823.7658749537,101671.54477851819,661152.2210964356,15889801.747969555,297018.9801274123,297018.9801274123,98620875.01642346,1581852.7048069558,210834.29135867348,1371018.4134482823,3382692.103162213,570105.8003268832,177821.49908736098,392284.30123952223,289197.6779179271,3145554.692720955,981128.8546796204,2164425.8380413344,0.0,0.0,0.0,4885899.7539529875,10066224.879466807,1195401.3862912995
1986.0,17846225.0,1228490.1219065653,13927.213632951505,403586418.3405803,840680.45650287,112543.11007645876,728137.3464264112,16833260.69672325,325368.8619859884,325368.8619859884,108743553.99152169,1748864.3625199099,234123.00468912133,1514741.3578307885,3056514.7092616796,576241.7918467041,180345.59061664256,395896.20123006153,302687.2309299161,3430510.1389014344,1073641.9778472865,2356868.161054148,0.0,0.0,0.0,5321011.928527398,11316026.263363302,1318446.182346694
1987.0,17867837.5,1274625.4554330518,14464.666473513476,427429066.4866354,911191.1367812032,122498.30673510052,788692.8300461026,17747948.069727514,354550.92847105087,354550.92847105087,114180528.16335198,1880172.5871507737,252765.80181554964,1627406.7853352241,2759920.5295891794,583973.1411616784,183360.3223610969,400612.81880058144,574109.7233933855,3978201.5231470894,1249105.9301984294,2729095.5929486603,0.0,0.0,0.0,5900358.95560162,12661219.125832867,1425457.6813828133
1988.0,17893012.5,1322897.8911118233,15027.564321228616,444736259.6295263,976820.1686522777,131854.18290964197,844965.9857426357,18633066.46386592,384494.4608271397,384494.4608271397,118765296.8141715,2007869.136243067,271028.3354551218,1736840.8007879453,3232188.4636284616,660368.040286836,207995.80584446067,452372.2344423753,307351.9446466845,4259258.810009095,1341536.7105033721,2917722.0995057225,0.0,0.0,0.0,6336395.581305818,14098093.742525063,1529426.6306655237
1989.0,17917475.0,1371799.5401144482,15598.350997375062,465658430.4225387,1049597.1897766516,142230.324735522,907366.8650411295,19487892.57548276,415122.06864857074,415122.06864857074,123206517.35733402,2137808.0257958053,289693.16295125097,1848114.8628445542,3830900.9663921976,754356.9927433857,238314.18857888217,516042.8041645036,334150.27605535864,4574489.960229726,1445159.087171395,3129330.8730583303,0.0,0.0,0.0,6815977.473757088,15630946.814885858,1637750.724173461
1990.0,17940512.5,1422508.7391255891,16190.800988859068,488037155.86350924,1127204.793987393,153320.09739753263,973884.6965898603,19954134.721527025,442616.53962188994,442616.53962188994,127538948.87561443,2270104.9556103656,308775.04669368494,1961329.9089166806,4375144.620849227,851345.362231095,269733.7341585831,581611.6280725119,386580.0487055839,4939487.61108288,1564989.3653919771,3374498.2456909027,0.0,0.0,0.0,7333941.018891845,17260953.91221834,1747824.047795951
1991.0,17957850.0,1472928.3211960706,16780.417929518473,510336713.5547193,1207944.3937010088,164896.25734006823,1043048.1363609405,20392767.654911768,470323.5468702334,470323.5468702334,131738093.71662334,2404342.754874317,328216.3679958415,2076126.3868784755,4828355.426999548,948333.7317188042,301302.3689449396,647031.3627738646,388159.0474405372,5304485.261936034,1685328.615864054,3619156.64607198,0.0,0.0,0.0,7855686.078955494,18990099.98452951,1860351.9977984768
1992.0,18008675.0,1547969.3812138943,17658.93998217626,544733208.0088938,1306769.5569692585,179009.18489649775,1127760.3720727607,20803630.21240881,498139.84657157445,498139.84657157445,138994329.96820864,2569467.862722869,351981.22367537476,2217486.639047494,4725233.750906891,1003741.7351427864,319766.8921599439,683974.8429828426,184117.66353113911,5471716.296698586,1743151.3044810537,3728564.9922175324,0.0,0.0,0.0,8255926.692892204,20840290.38129808,1993196.4609232596
1993.0,18039312.5,1622140.999249475,18528.381964419383,567814788.5227565,1396000.2075076175,191876.8968585349,1204123.3106490825,21186665.79475696,525959.7294760538,525959.7294760538,143598896.6118968,2715102.063549438,373184.29883201007,2341917.764717428,6287724.962033235,1212412.3691047877,387251.4264857175,825160.9426190702,331477.2097466203,5787857.017426861,1848674.5462262798,3939182.4712005816,0.0,0.0,0.0,8836344.218662217,22797241.038438763,2115050.147701881
1994.0,18136687.5,1691004.4637226744,19336.535526800602,593959119.4941738,1492522.5883099688,205812.01106906054,1286710.5772409083,21541924.29922973,553676.0943334977,553676.0943334977,148558426.0225083,2866952.0032632127,395339.51583152235,2471612.4874316906,7753078.203614833,1426195.7277655103,456684.6072459897,969511.1205195206,219434.3966948823,5990821.179275429,1918331.2388860171,4072489.9403894115,0.0,0.0,0.0,9354000.219915029,24866650.49931472,2242589.6981301387
1995.0,18051425.0,1750765.8928143312,20038.57090834322,617027935.1362653,1589129.4108256383,219824.62247370047,1369304.788351938,21869562.958544213,581181.5588573792,581181.5588573792,153028797.48779443,3017374.9204766494,417394.13935506664,2599980.7811215827,8276036.5467378,1564558.7271306938,502214.5862193485,1062344.1409113454,144522.87303524284,6124657.98254305,1965980.899981229,4158677.082561821,0.0,0.0,0.0,9771488.351804066,27047257.471448272,2369860.156197346
