Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,46200.0,9487.98904943057,112.01095056943076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,50200.0,19748.90961967193,239.07942975864066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,54800.0,30770.805035265676,378.10458440625536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,59800.0,42838.601161540835,532.2038737248391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,65000.0,55937.541106773715,701.0600547671208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,71000.0,70053.10446926016,884.4366375135603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,77200.0,85467.08758131233,1086.0168879478276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,84200.0,102161.45673040298,1305.6308509093503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,91800.0,769686.3049406382,10475.151789764752,83441.08683938612,163.99476630489613,13.443019289090042,150.5517470158061,0.0,0.0,0.0,123916.9108636877,1535.4599653510677,118.18780182816059,1417.272163522907,0.0,0.0,0.0,0.0,263478.7347231362,221486.324913319,42956.05266986624,178530.27224345275,0.0,0.0,0.0,180098.09615399147,118550.30691613648,61547.78923785499
1970,100000.0,2078548.7209276329,29137.584013005307,250154.02596635727,502.5435963537097,41.72410971665927,460.81948663705043,0.0,0.0,0.0,370162.1602737949,4712.929595391083,367.7303420532893,4345.199253337794,281202.8604443374,19898.73718551835,3901.181290083369,15997.55589543498,369711.6191386458,373245.07193743193,73175.33156414721,300069.74037328473,0.0,0.0,0.0,320873.31500869454,305608.57636092074,133815.04556391027
1971,120000.0,3102545.096997094,44003.62393053917,416517.6963472347,862.6928396681585,72.4480412012623,790.2447984668962,0.0,0.0,0.0,613122.8376053189,8105.155032317409,640.1366561503759,7465.018376167033,447772.25633946055,35103.05392497264,6948.92703009546,28154.126894877183,475338.56252277823,485256.9632039642,96060.4520437802,389196.511160184,0.0,0.0,0.0,425605.90122969507,528411.3974425675,202803.08014804844
1972,260000.0,3579565.137610421,50979.95938667303,507413.0355304193,1097.8170335677487,93.14875048369527,1004.6682830840534,0.0,0.0,0.0,741057.5180000089,10332.91387977417,825.0735275029551,9507.840352271216,739280.8967761941,61109.79044106102,12203.511058842027,48906.27938221899,297505.72976666025,359545.54283170705,71800.57363043896,287744.9692012681,0.0,0.0,0.0,347163.7572188424,664441.9874327754,211133.16722863438
1973,260000.0,4049684.055492831,57881.08211759009,598066.2728616642,1346.989086335278,115.36893309515041,1231.6201532401276,0.0,0.0,0.0,866702.8776869879,12683.62417311018,1022.9278662520857,11660.696306858094,1097756.7902881373,95167.43939600416,19157.109160001437,76010.33023600273,357887.6864748564,367306.0672282964,73938.33930682331,293367.7279214731,0.0,0.0,0.0,382270.37461757404,810614.9039476314,236097.45810271814
1974,260000.0,4512979.949336167,64704.106156664435,688463.0825971124,1610.7649671153008,139.1549089544492,1471.6100581608516,0.0,0.0,0.0,989936.6302756972,15155.806491914871,1233.5397791425025,13922.266712772369,1655740.068053482,147211.63165007098,29851.743457725475,117359.8881923455,414311.25890244864,430220.19472388347,87240.5443732739,342979.65035060956,0.0,0.0,0.0,475733.4153138883,1002748.827756308,283599.49150521174
1975,260000.0,4969532.908386736,71447.04094943099,778588.5827187297,1889.7009592295499,164.55610818041922,1725.1448510491307,0.0,0.0,0.0,1110638.4215884858,17747.071327106107,1456.6885237542854,16290.382803351822,2160500.295581254,201412.3452832155,41120.54663545591,160291.79864775957,426652.8874440056,453882.93338710314,92665.19538878159,361217.73799832154,0.0,0.0,0.0,539525.064300482,1212609.2215070394,329664.6705497508
1976,186600.0,5419424.37866446,78108.52972227575,1360729.7478770807,3151.920955452855,276.5050622719695,2875.4158931808856,0.0,0.0,0.0,1959800.5255106913,29513.311421177794,2441.5148721878595,27071.796548989936,2704240.408012323,263133.53472639277,54061.25162546864,209072.28310092413,486410.8034075998,506417.639333084,104044.40261112663,402373.23672195734,0.0,0.0,0.0,641392.7322650523,1463074.6991433126,390927.25462877913
1977,210600.0,5862736.69817585,84687.68048860962,2191892.9514626306,4984.691323896013,440.30841918239514,4544.382904713618,0.0,0.0,0.0,3168577.6150606703,46626.07372846251,3885.450197749727,42740.62353071278,3186037.825927231,325054.13837057626,67177.07520303069,257877.06316754557,503561.59743249847,534853.1914452281,110535.0426990577,424318.14874617034,0.0,0.0,0.0,729480.2183491423,1739249.2086050785,453305.7088873762
1978,216400.0,6299552.746421715,91183.95175413474,3271490.2322290908,7423.078567081548,659.9392804942612,6763.139286587287,0.0,0.0,0.0,4731461.175031248,69409.57908945158,5823.721721195947,63585.85736825563,3606421.3138150503,385723.80806324235,80156.27523296948,305567.53283027286,505618.02408879355,540202.359754136,112258.06684676475,427944.2929073712,0.0,0.0,0.0,803860.822392487,2030455.2547784108,512654.7762191548
1979,233600.0,6641277.948977819,96274.79744389685,4598897.826155668,10503.623606008798,939.4902040407785,9564.13340196802,0.0,0.0,0.0,6642618.106235197,98188.42906240592,8291.461976776996,89896.96708562893,4107936.7547568707,453727.1898494447,94778.51895142384,358948.67089802085,739913.6804935877,737412.4149875469,154037.17941634386,583375.235571203,0.0,0.0,0.0,1041785.0069568208,2445216.228329405,627024.0334058264
1980,236400.0,8278517.645065738,120760.30391208123,6115045.926303299,14149.55462389667,1272.8560518660238,12876.698572030647,0.0,0.0,0.0,8809149.563561596,132210.65219822634,11232.263047880933,120978.3891503454,5245768.043271455,568642.9089323707,119366.47462818211,449276.4343041886,1013249.870004144,1022707.8766382901,214681.3613450075,808026.5152932827,0.0,0.0,0.0,1391158.0373198474,3035696.292367458,800677.9732817948
