Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,683386775.0,839876.4641764887,9423.535823511316,134813936.89540127,164754.1730503131,14004.104709276615,150750.0683410365,169999048.6900752,1774734.1264673925,1774734.1264673925,115135713.59187129,1052592.3078775837,89470.34616959462,963121.961707989,38510411.1090746,3441388.8909253986,774312.5004582147,2667076.3904671837,3700093.427003539,3586306.572996461,806918.9789242037,2779387.594072257,0.0,0.0,0.0,8335070.141055859,1521977.750810204,1366628.405706214
1962.0,680875687.5,830560.2999297039,9316.164246784787,317425976.6335366,397435.30942243646,37914.21876362407,359521.0906588124,346026735.8360436,3773877.6741145225,3773877.6741145225,243805048.40734923,2302685.1695482964,219669.7354064492,2083015.434141847,77467027.92499864,7230183.184075948,1762103.905819391,5468079.278256557,5677333.130117472,8978760.296886068,2188258.3311865395,6790501.965699528,0.0,0.0,0.0,18474995.442871265,4753487.076556546,2984904.87316884
1963.0,678373387.5,968155.2281324522,10905.071797251709,529623168.53019416,679579.2513729327,68963.14811693196,610616.1032560007,538356602.7680572,6118285.92044834,6118285.92044834,391611138.47071636,3812890.067804587,386928.97402085044,3425961.0937837367,116706222.24471454,11382805.680284109,2898774.113460719,8484031.56682339,5144768.86170743,13799483.987399425,3514211.529682438,10285272.457716987,0.0,0.0,0.0,28924167.14202845,9984326.798172643,4924023.395871978
1964.0,675880350.0,1963809.0165261063,22546.21160634596,748169367.422808,985456.7969173575,104255.82574838241,881200.9711689751,727741911.8215405,8630292.469571225,8630292.469571225,539386119.5991342,5423152.002238414,573739.1957932526,4849412.806445162,156678036.3186209,15971985.926093642,4191527.4320522756,11780458.494041367,5300908.691326033,18789127.915046677,4930829.857018219,13858298.058028458,0.0,0.0,0.0,39999662.799255185,17324120.922349155,7021112.12300885
1965.0,673396575.0,3010649.191114875,34959.825411231184,1010225826.5607421,1361615.1219405723,148608.8103558697,1213006.3115847027,931012427.1645368,11490851.897501148,11490851.897501148,707095643.953223,7319203.531133479,798829.3549237623,6520374.176209717,192892716.36712462,20635519.951496296,5539704.869210334,15095815.082285963,6633475.641961696,25065164.417790484,6728864.293178286,18336300.124612197,0.0,0.0,0.0,52656347.59219373,27093074.55129631,9455278.756348416
1966.0,670921825.0,4111512.5560324294,48136.635082445486,1345456269.7930357,1848095.672650164,206758.2759979188,1641337.3966522452,1135241331.4388874,14585511.604257407,14585511.604257407,894840069.5490048,9517768.852596067,1064813.6394841084,8452955.21311196,239976065.01437443,26687051.35275019,7295639.532479562,19391411.820270628,7210535.915971993,31860955.49633088,8710068.541822968,23150886.95450791,0.0,0.0,0.0,67222102.98880015,39573625.84968491,12199252.915633013
1967.0,668456337.5,5270109.433231231,62103.122801198886,1779228396.3515053,2481933.3507114975,283408.6242569027,2198524.7264545946,1338637922.2562912,17903742.693086334,17903742.693086334,1107769919.790686,12082063.245937917,1379634.5182817047,10702428.727656212,306445877.8726155,35011787.14175888,9717156.489159998,25294630.652598884,4465362.829731247,35980010.50951885,9985876.79020866,25994133.719310187,0.0,0.0,0.0,82093460.51910621,55087764.213661246,15290557.783220809
1968.0,665999637.5,6489818.144667011,76891.28856421982,2091074788.413043,3001766.900541901,348780.1684174569,2652986.732124444,1543900318.2912245,21479400.23422938,21479400.23422938,1279465786.508781,14424512.508180562,1676007.5211152139,12748504.987065349,361553582.3314306,43065095.54118491,12107532.910714881,30957562.63047003,13067610.832531376,48519089.65061155,13640895.657154785,34878193.993456766,0.0,0.0,0.0,102716648.57734597,73575600.33388713,18393055.83319328
1969.0,663552200.0,7774573.609461178,92544.53520583278,2479672288.9904494,3643236.0611438234,429750.1824159672,3213485.878727856,1748017560.1757712,25288345.784328744,25288345.784328744,1477279488.35467,17138237.120391723,2021598.492430406,15116638.627961317,412156292.00551605,51435490.32591462,14624399.057599643,36811091.26831498,17061668.274935618,64670463.09349054,18387433.531327147,46283029.5621634,0.0,0.0,0.0,126712591.12149629,95362597.54022802,21831473.08467702
1970.0,661113787.5,13017557.199556377,157016.40990480126,2810060144.375739,4247914.182816814,507790.4636445089,3740123.719172305,1843048378.9601974,28207228.39946857,28207228.39946857,1625274475.9810681,19548216.51572179,2336769.8829921675,17211446.632729623,448483502.1655762,59278189.83993974,17022905.773144584,42255284.066795155,30327698.699951705,93568817.50778086,26870138.377038103,66698679.13074276,0.0,0.0,0.0,158112761.94890842,119789568.41684315,24731827.87475538
