Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,554000000.0,25172280.806084532,572519.1939154665,0.0,0.0,0.0,0.0,5760281.03410739,124530.53990010766,124530.53990010766,3416110.81787215,59770.31635032131,1195.4063270064262,58574.91002331488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183105.44992342254,103975.8266931335,79129.62323028904
1962,572000000.0,50478040.68988793,1170140.1161965942,0.0,0.0,0.0,0.0,11389268.013132326,262606.08811952744,262606.08811952744,6769990.256397031,124466.94906884633,2920.7085554767723,121546.24051336956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384152.328632897,315134.18929551385,172993.96603051666
1963,590000000.0,75926196.56338471,1779544.126503228,0.0,0.0,0.0,0.0,16873405.923141647,414201.8706183495,414201.8706183495,10056708.961323468,194086.2951010843,4947.8538463222685,189138.44125476203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603340.3118731115,638985.8115035456,279488.6896650798
1964,608000000.0,101529120.01947695,2398176.5439077574,0.0,0.0,0.0,0.0,22199302.73472271,579013.1381736245,579013.1381736245,13271370.891455533,268564.6954850661,7232.84252443546,261331.85296063064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840344.9911342552,1081642.7343361583,397688.06830164255
1965,626000000.0,127300491.68914297,3025028.3303339826,0.0,0.0,0.0,0.0,27354018.449647833,756438.6707714436,756438.6707714436,16409175.084772097,347775.218442331,9754.117476677313,338021.1009656537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094459.7717370973,1649200.04163918,526902.4644340756
1966,653600000.0,153255013.0611221,3659678.628020876,440981.1903577339,1481.8435978811426,42.91240844971539,1438.9311894314271,32325365.444028992,945574.9204093124,945574.9204093124,19774008.747955773,436923.95090526855,12652.792149940617,424271.1587553279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371285.0103540719,2351209.3495612238,669275.7024320278
1967,790200000.0,179408114.23292473,4301998.828197365,880421.7364713973,3082.297034225773,91.63530609103059,2990.6617281347426,37102208.840036005,1145221.9561712227,1145221.9561712227,23047306.085355792,530799.8504865317,15780.44109062456,515019.4093959072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663232.0272952649,3192780.6349675115,821660.7418889772
1968,811600000.0,205776077.81294987,4952036.419974864,1295585.586139477,4731.408448111977,143.82160535053438,4587.586842761442,41674754.77877376,1353901.749175752,1353901.749175752,26208673.536941417,628803.4392655501,19113.868751110695,609689.5705144394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968178.9065329528,4178059.8660238786,982899.6754765852
1969,833800000.0,232375631.27556014,5609946.53738972,1686424.0946893115,6429.088333006333,199.21252113586198,6229.875811870472,46034814.27870619,1569888.626539426,1569888.626539426,29254184.314634576,730521.9618554391,22636.043281471997,707885.9185739672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284004.4209252633,5310196.0119337905,1151868.2750153514
1970,857000000.0,259224166.0176626,6275965.257897528,2075503.3224354405,8250.841451572764,260.00815168669925,7990.833299886064,50176030.90428387,1791250.9842014122,1791250.9842014122,32196178.436743744,835756.217186176,26337.123379073433,809419.0938071025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608660.911308401,6591381.5594459865,1327475.3637962057
1971,881000000.0,286774644.7246725,6961221.292990144,2462696.6053604046,10201.824589502437,326.3510265754791,9875.473562926958,54094061.740681745,2015902.6355444472,2015902.6355444472,35031390.97107974,943995.645313895,30197.92638348008,913797.7189304149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2939575.828037789,8022553.661890212,1508403.7255935634
1972,906000000.0,315179859.0816925,7669485.642979953,2847872.2039741087,12287.024888038344,398.40104701275254,11888.623841025592,57786703.11733841,2241661.543949664,2241661.543949664,37757093.1408869,1054679.8224230644,34197.500969142784,1020482.3214539216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274032.489244611,9603338.048842387,1693248.102292435
1973,932200000.0,344111228.63913304,8392530.442559501,3230893.4942515143,14511.217030477843,476.32702460110215,14034.890005876741,61253955.03425385,2466313.195292699,2466313.195292699,40371137.987425886,1167207.0760713858,38313.276720397014,1128893.7993509888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3609241.8846495645,11332032.242713606,1880547.690778347
1974,959600000.0,373846171.1766381,9137257.46249492,3655367.825460517,17025.929180207742,565.1805995868426,16460.7485806209,64498021.16198952,2687675.552954685,2687675.552954685,42972716.61200757,1282706.5119951994,42579.81035103475,1240126.7016441645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944263.0031794705,13206704.569899514,2069590.67599356
1975,988200000.0,404915180.53484106,9916990.641797047,4058498.675161785,19637.131074497098,658.6343052667536,18978.496769230343,67523244.41537042,2903662.430318359,2903662.430318359,45415224.55781679,1398151.9152311569,46894.36618068901,1351257.5490504678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4273898.476138057,15222649.563421492,2257953.482616081
1976,1017800000.0,434679584.6680862,10665395.86675489,4471438.804585737,22449.256512223714,760.1979073867714,21689.058604836944,70335981.229946,3112342.2233228884,3112342.2233228884,47771021.00975661,1514076.1825945992,51271.076394260206,1462805.106200339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4596836.388128065,17374803.88148326,2444682.0700662974
1977,1049000000.0,465279728.6197259,11436156.048360264,4881484.0735425595,25427.481194051445,868.7570190046541,24558.72417504679,72944420.58725232,3311989.259084799,3311989.259084799,50011161.515590034,1629353.96972759,55668.616440667676,1573685.3532869222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4910233.3365467675,19656772.47036619,2628264.747663837
1978,1081400000.0,495783475.5295611,12205753.090164777,5288466.571513779,28575.349807846203,984.4739164399354,27590.875891406267,75358356.34618449,3501125.5087226676,3501125.5087226676,52136619.52110115,1743334.2620248357,60061.1058181434,1683273.1562066923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5211989.540820766,22061291.107341997,2807470.903844959
1979,870000000.0,525852337.14154434,12965538.388016686,5804711.545021821,32273.94196567228,1120.6221029888507,31153.319862683427,100630047.52100226,4176673.200920917,4176673.200920917,68072445.95018904,2099001.7383785765,72881.94744667152,2026119.790931905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6233946.311715505,24996983.993187703,3298253.4258698015
1980,904000000.0,555955070.0627495,13727267.078794872,6408243.0990401115,36484.09212851995,1276.1647038740207,35207.92742464593,126357437.58565578,4918692.7693338925,4918692.7693338925,84409867.57741894,2485631.375874053,86944.05818180263,2398687.3176922505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7352588.0144507885,28490785.119188882,3858786.8884496074
1981,937400000.0,586378025.7385577,14498144.324191825,7261528.967074424,41781.48897056083,1471.6531826730475,40309.83578788778,152472987.67162353,5729192.89945191,5729192.89945191,101257315.5238542,2906204.9852229296,102364.13113513298,2803840.8540877965,185689.08030627956,14846.60416876716,1639.73652865947,13206.86764010769,87826.24490771205,73828.77497110632,8154.035617180172,65674.73935392615,0.0,0.0,0.0,8652225.196321629,32632255.529186882,4510754.786323631
1982,972000000.0,617524538.0274734,15288387.711084248,8472643.144438617,48605.501772929914,1723.3183826931447,46882.18339023677,178907551.8768645,6609353.8920161,6609353.8920161,118650745.52653673,3362495.28742795,119217.98416184435,3243277.3032661057,448928.10189177643,37963.791528692775,4210.580235351764,33753.21129334101,142754.1496923735,140821.41841716762,15618.563300069407,125202.85511709821,0.0,0.0,0.0,10058469.44508288,37453354.03875512,5237370.935514638
1983,1010400000.0,648874542.2617756,16084795.765697809,9865374.412298448,56473.8941992585,2014.8457270490192,54459.048472209484,193494686.83108997,7297875.056151983,7297875.056151983,129159536.78856984,3725551.9628245537,132918.27240939048,3592633.690415163,502843.07573615573,47189.42044409315,5254.775184082481,41934.64526001067,212939.09908197148,212186.763116164,23628.04473376773,188558.71838239627,0.0,0.0,0.0,11175461.158681763,42765183.130166195,5863632.067270693
1984,1080400000.0,681987514.5932137,16927027.668561947,11507395.4652166,65679.4993308008,2357.2549087339503,63322.24442206685,209228397.31999803,8041908.067976388,8041908.067976388,140624171.31581566,4120368.0004847604,147881.11654161374,3972486.8839431466,826246.5425262344,78284.48108292374,8750.68143625777,69533.79964666597,260482.21011311992,268224.49632414954,29982.278585293083,238242.21773885645,0.0,0.0,0.0,12385493.213727124,48615396.79858819,6535279.545305128
1985,1120400000.0,715822833.5509367,17788681.04227703,13253007.186969437,75819.3530912181,2736.6524754367024,73082.7006157814,225016436.12186563,8818709.098978212,8818709.098978212,152246698.617237,4533997.354667054,163651.81946811185,4370345.535198942,932487.86011397,95181.90204648147,10678.339398342441,84503.56264813902,271136.8993591293,287874.754025007,32296.31118521031,255578.4428397967,0.0,0.0,0.0,13602219.340280872,54992584.58733806,7225031.551530999
1986,1120400000.0,750866463.8825413,18682169.668395445,14988180.419771682,86559.18999326175,3141.2747861201847,83417.91520714157,240021220.89755148,9607494.961641075,9607494.961641075,163451319.19377893,4955905.74827069,179852.21177142134,4776053.536499269,1056115.8099311844,113935.59376205086,12826.979136899668,101108.6146251512,272257.64504848956,290884.3722714712,32748.04344434002,258136.32882713116,0.0,0.0,0.0,14826211.356799768,61894599.92074405,7924196.023393771
1987,1120400000.0,788689775.7456304,19647688.136910934,16576620.72470514,97458.72168035754,3555.21467274604,93903.50700761151,254233621.42705956,10402469.988368846,10402469.988368846,174135672.9307652,5382707.385429785,196356.77490766198,5186350.610522123,1663303.5239122922,171775.23316171113,19403.45011414546,152371.78304756567,272305.28951072675,291057.8934682471,32877.424831801865,258180.46863644524,0.0,0.0,0.0,16093276.357582591,69344414.77428015,8643461.504046507
1988,1120400000.0,827454060.4172943,20638415.328336127,18153865.73335948,108951.7433862027,3994.2823212388344,104957.46106496386,267650537.470207,11197395.897385882,11197395.897385882,184390783.7744825,5814072.938974592,213149.85912818552,5600923.079846406,2331401.57179664,240085.67594750033,27206.999798007255,212878.67614949308,272306.12705048814,291061.36417775915,32983.669038729495,258077.69513902965,0.0,0.0,0.0,17374232.809585776,77341406.78081973,9377240.803046176
1989,1273600000.0,866927027.0958445,21648433.32144975,19553984.357784215,120493.68451329856,4438.563097272651,116055.12141602591,280275258.8042175,11985761.208716534,11985761.208716534,194117418.50220037,6246369.798596783,230094.27084877764,6016275.5277480045,2554404.911094862,278678.52971992653,31678.212887920825,247000.31683200572,1150568.676001335,1029349.1371806348,117009.16154673604,912339.9756338987,0.0,0.0,0.0,19277432.15034647,86287553.37845722,10331285.55270899
1990,1273600000.0,905926281.7036374,22647445.392207097,23508686.241786107,141229.01646239296,5226.319134280921,136002.69732811203,268154875.4631334,12242924.60970577,12242924.60970577,190753229.01791033,6457621.929382738,238970.67257755817,6218651.25680518,2832917.3157884916,322063.24192285875,36719.06590540523,285344.17601745354,1202165.7651956405,1280912.5135234701,146039.3639532208,1134873.1495702493,0.0,0.0,0.0,20017795.889426768,95392752.2910253,10912596.976858681
1991,1273600000.0,939663948.7885987,23512532.915038742,27458100.37522063,163283.41245052262,6069.233994309278,157214.17845621335,255814750.90523446,12424110.156962128,12424110.156962128,187278935.03647083,6650562.899075052,247200.99747173785,6403361.901603314,3905003.102073839,429429.4908533436,49100.91303645702,380328.5778168866,938939.6268160366,1065326.7673119998,121809.3262604093,943517.4410515905,0.0,0.0,0.0,20308532.25589013,104397475.18536466,11303809.361550765
1992,1273600000.0,966893058.8481109,24211289.940487746,31266312.989617027,186247.6229304892,6952.3778266162935,179295.2451038729,243334017.4600893,12523264.815010179,12523264.815010179,183349661.42103243,6816865.34086184,254464.58159911667,6562400.759262724,4134977.7844099575,478461.4395407698,54859.12505447844,423602.3144862914,347717.6427132433,503989.6052142624,57786.11711143028,446203.4881028321,0.0,0.0,0.0,20134766.621965896,113066797.84372336,11465443.963607192
1993,1273600000.0,989540712.2713364,24792846.576774426,35050907.84048761,210524.56227434851,7890.994864820374,202633.56740952813,230797045.84113747,12536009.777374312,12536009.777374312,179265995.18137166,6959062.456911365,260843.32164476777,6698219.135266596,3768629.0778887565,478736.0045133985,55037.92095834537,423698.08355505316,232979.14393068798,269700.9590995788,31006.191156230696,238694.7679433481,0.0,0.0,0.0,20099255.33154884,121588929.68864526,11577123.486626936
1994,1273600000.0,1017873464.3918688,25520847.87946756,38083272.742856376,233702.69477766598,8794.653682355223,224908.04109531076,227853713.37731814,12666598.023043662,12666598.023043662,181055691.52481598,7180621.992216957,270219.7495220618,6910402.242694895,3390198.897019942,469867.7772994091,54158.65400053046,415709.1232988786,289894.9184476402,295176.17314036516,34023.0698989237,261153.10324144148,0.0,0.0,0.0,20478770.533374187,130245592.90536661,11822107.316652853
1995,1029600000.0,1040671271.544848,26106992.847020857,44165335.684222616,268387.6277261449,10138.809714342358,258248.81801180256,235066557.6319551,12952063.446984775,12952063.446984775,190984056.55468222,7530056.701083857,284460.99649719644,7245595.7045866605,3024365.096719392,453687.09918610234,52425.12342102883,401261.9757650735,425962.7606218216,424825.34854651894,49090.04767798582,375735.30086853314,0.0,0.0,0.0,21232905.24621684,139241357.1639519,12237140.987631558
1996,1110000000.0,1063725909.6442584,26700061.900589585,50238938.25672647,305185.88893553225,11571.91484246086,293613.97409307136,243512321.09415933,13228943.287893131,13228943.287893131,200642602.63361767,7873749.252127187,298553.6328508058,7575195.619276381,2770794.4781858767,438653.234560345,50811.48049944787,387841.75406089716,286760.3164291578,339565.9680600916,39333.68821879254,300232.27984129905,0.0,0.0,0.0,21785826.915164784,148416197.93532756,12610986.143789098
1997,1420000000.0,1090340215.9172604,27385093.726998195,57760969.11733125,349062.44462728786,13283.42806222604,335779.0165650618,257574070.36960372,13598739.671085378,13598739.671085378,214395737.45550483,8287465.702932721,315376.10584437655,7972089.597088344,2534631.215099106,419085.8410611996,48659.71298913053,370426.1280720691,532419.8443888194,511946.87654687715,59441.73159220398,452505.1449546732,0.0,0.0,0.0,22729539.55776553,158022854.1214112,13122883.371681903
1998,1440000000.0,1077096068.316698,27044147.600562274,65475436.56113364,396272.11861445487,15132.812243076069,381139.3063713788,271965626.74320364,13967554.038919609,13967554.038919609,228372185.23633236,8710688.948979078,332643.186792021,8378045.762187057,2412594.4603341096,403740.83828000317,46985.68791683694,356755.15036316623,597309.899473605,625555.8905514638,72799.60574017029,552756.2848112935,0.0,0.0,0.0,23636250.542652506,168005069.43463802,13654035.229425672
1999,1500000000.0,1064769161.7599659,26726906.55673219,73372102.02638718,446922.6330993488,17125.095749037206,429797.5373503116,286915067.7936755,14347053.399868872,14347053.399868872,242613261.05160716,9144910.889620561,350412.94175484736,8794497.947865713,2260750.6129110707,383309.65403264365,44707.55779366367,338602.09623897995,377617.9823283773,454740.3018591715,53038.91543714051,401701.386422031,0.0,0.0,0.0,24311652.36774591,178195897.57031518,14120824.232068779
2000,1000000000.0,1052751452.0873308,26417709.672635052,81384802.18850127,500930.23821890465,19257.96108292868,481672.27713597595,301486371.3902678,14724694.627771774,14724694.627771774,256813639.2100186,9585710.009549418,368516.8437275941,9217193.165821824,2101821.66113605,360166.0199667337,42099.371908591434,318066.6480581423,158023.388192732,217066.4065794503,25372.63060044879,191693.7759790015,8706.049931092131,28584.002849739303,28584.002849739303,24961904.49761646,188602447.11831495,14555354.949616678
2001,1000000000.0,1041035102.3610799,26116349.72625086,89342050.12311,557837.2518025389,21514.589216355806,536322.662586183,315678853.34600216,15105497.291807763,15105497.291807763,270573191.1267636,10026522.184551597,386701.50724474125,9639820.677306855,1965905.269996547,337447.9744431367,39527.211674030754,297920.76276910596,105202.24021201441,122266.08638969224,14321.726142395548,107944.36024729669,8754.897300822257,28933.81716973056,28933.81716973056,25716439.57188693,199310072.93905208,15008813.751149828
2002,1000000000.0,1029612477.4146864,25822624.94639354,97240917.08506699,617701.1691338767,23897.83784792657,593803.3312859501,329487055.26397324,15493941.299228987,15493941.299228987,283892031.3995894,10467087.271299703,404954.3158552814,10062132.955444422,1852122.7440983155,316023.5609262043,37093.80149745232,278929.759428752,99451.46854779392,106949.07073371188,12553.32858254729,94395.7421511646,8755.012988164197,28933.869561933338,28933.869561933338,26552136.95710121,210368685.14158174,15493524.754571553
2003,1000000000.0,1018476138.5487238,25536338.86596261,105078420.4860998,680572.063660532,26410.279896099637,654161.7837644324,342901424.06534857,15893694.733280705,15893694.733280705,296770552.9852612,10907105.03317813,423261.12422691967,10483843.90895121,1758845.2182658925,296522.62179339025,34874.6189374218,261648.00285596846,99203.94662804063,106047.78391432515,12472.492084422069,93575.29182990309,8755.12407289929,28933.86956202937,28933.86956202937,27415857.59024425,221784946.94898412,15999595.782841891
2004,1000000000.0,1007618838.3694967,25257300.17922715,112695753.78333005,745968.4235459858,29033.798348985052,716934.6251970008,355909238.1425589,16307395.447489211,16307395.447489211,308847759.5194544,11339885.162323643,441359.082651916,10898526.079671726,1817631.011498932,290024.5158633416,34177.03893418953,255847.4769291521,784244.8091213147,681894.0726379775,80355.6906221076,601538.38201587,14358.138578628139,47329.514960376444,47329.514960376444,28827571.526263334,233910565.53035724,16701952.944890184
2005,1000000000.0,997033515.7664669,24985322.603029814,120246172.8280236,814404.9702030962,31788.923661835128,782616.046541261,368495719.1106419,16736500.146164864,16736500.146164864,320493081.06584555,11770793.473404635,459453.0594183062,11311340.413986329,1881356.4669527055,286620.0762157478,33840.265026715795,252779.811189032,984334.2433105618,1012481.7544554423,119540.30351905915,892941.4509363831,14389.686089421035,47554.64298809359,47554.64298809359,30023732.511805963,246523809.93663833,17410488.105524883
2006,1000000000.0,986713291.0246654,24720224.74180149,127726625.83502473,885903.2741906625,34677.095228071244,851226.1789625913,380645256.98194385,17181209.385858946,17181209.385858946,331708649.57100874,12199293.843245495,477519.48394583113,11721774.359299663,1947031.8395941334,286069.1855477701,33838.098104302735,252231.08744346738,1008383.9363741536,1075025.8783344193,127160.95606763562,947864.9222667837,14389.87162639976,47554.67670584785,47554.67670584785,31001860.6105373,259461986.76956916,18063683.77760647
2007,1000000000.0,976651461.0683848,24461829.95628061,135134044.42612293,960474.8536064917,37699.3468427091,922775.5067637826,392342671.04375124,17640471.11030292,17640471.11030292,342497182.172589,12624750.713903543,495530.7826946862,12129219.931208856,2011994.1159565102,287968.84783467115,34124.733515352375,253844.1143193188,1009462.5007887543,1078925.4717450454,127854.26091423444,951071.210830811,14390.054201304782,47554.67670590965,47554.67670590965,31944936.5501316,272716050.80199766,18690872.51770308
2008,999996000.0,966236914.9300356,24194446.138349153,147992604.4349411,1056694.0136362724,41587.25494177072,1015106.7586945017,403574429.0382782,18112059.51060238,18112059.51060238,357471621.4891434,13127075.173959048,516629.2368976517,12610445.937061397,2548474.125636138,329749.07174353086,39145.175138277424,290603.89660525345,778789.7530323677,885082.0176652509,105069.86542844123,780012.1522368097,30940.351496697825,101892.58311333487,101892.58311333487,32910120.83831368,286303486.78106976,19322684.859241635
2009,999996000.0,956084163.0430558,23933851.886979867,161165518.51031134,1158851.0755044587,45727.22220076709,1113123.8533036916,414329753.17048585,18592720.69092999,18592720.69092999,371710549.0124447,13627357.918657817,537723.2991604117,13089634.619497405,3443762.731840955,407278.3867151111,48432.813861205075,358845.572853906,375620.6531969612,491484.3945988843,58446.44099895625,433037.953599928,20430.975195003357,67747.35537987335,67747.35537987335,33655110.0455648,300090866.30733526,19867730.519299302
2010,999996000.0,946789715.3281579,23695347.71489783,174291423.23144987,1265916.9155115192,50079.81879243889,1215837.0967190803,424601552.26623344,19078372.25395103,19078372.25395103,385571763.09943485,14130530.418493118,559005.4087500988,13571525.00974302,3918117.774889003,461593.73431164457,54985.15182281798,406608.5824888266,121896.12395649817,184345.65173584924,21959.29644428081,162386.35529156844,29508.93280147485,97320.49597409488,97320.49597409488,34532049.79416762,314202334.3194882,20420581.782014575
2011,999996000.0,937721608.1424927,23462707.185665306,187686512.7303608,1379033.1190871545,54691.25121175635,1324341.8678753981,434387133.9529639,19564340.823950533,19564340.823950533,399551678.5367395,14644383.466652213,580783.4807811817,14063599.985871032,4867945.082928795,558745.5178491937,66668.54092042836,492076.9769287653,732957.1002873136,641285.9222945031,76517.11805538811,564768.804239115,58867.94603468084,193910.939960312,193910.939960312,36203039.39882515,329166822.77254313,21238550.945770323
2012,999996000.0,928882610.4286599,23235997.713832688,200858259.30650267,1496701.383980854,59503.18738984947,1437198.1965910045,443688667.6626013,20045619.8850121,20045619.8850121,412815428.66531825,15154124.21928325,602470.6750458931,14551653.544237357,5061018.374790529,604589.9023858398,72256.01273206527,532333.8896537746,649598.5065913664,718553.3132951576,85876.05771984626,632677.2555753114,81185.7807452523,267822.13951221015,267822.13951221015,37467304.91058176,344617828.0050222,22016299.67810263
2013,999996400.0,920259337.9114459,23014872.517214015,214006521.1641975,1619604.883150489,64543.61851661936,1555061.2646338698,452513387.0747489,20517130.16445545,20517130.16445545,425927716.2585311,15667852.94502059,624386.808152107,15043466.136868482,5319653.850681773,655298.7773774555,78441.17655801948,576857.600819436,567171.9036807664,625217.4601468444,74840.35507407368,550377.1050727707,91654.66172882836,302673.62897325563,302673.62897325563,38545565.90082327,360428564.5760354,22734829.32981006
2014,999998200.0,911815928.9349542,22798408.976491693,226906585.35005835,1747040.8782227568,69785.40852408622,1677255.4696986706,460873537.8747463,20973966.034677073,20973966.034677073,438383870.15632105,16175792.87650973,646140.7561548214,15529652.120354908,6449783.919607118,775178.7611306583,92936.0580043092,682242.7031263491,930165.4000971577,910256.1664072772,109130.46657343602,801125.6998338412,103781.53356120363,342710.7733513865,342710.7733513865,40006952.80104223,376870227.7541515,23565289.622926217
2015,999998600.0,903510985.4924599,22585543.442494232,239816704.27860153,1879853.5616036246,75263.06903603078,1804590.492567594,468786092.1084298,21411613.816406105,21411613.816406105,450716495.34629655,16685324.33333253,668024.7562033021,16017299.577129228,7806213.714879427,921694.0660697239,110670.87746150847,811023.1886082154,1311248.153058273,1317735.8496635738,158224.93397035936,1159510.9156932144,149018.4333197469,491492.9296400121,491492.9296400121,41695530.92004437,394048694.0833164,24517064.590879425
