Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,59962500.0,13751499.018899774,166100.98110022667,8255785.748703298,10089.277008233188,857.588545699821,9231.688462533368,5606865.926445609,58533.83521181535,58533.83521181535,6385729.68815111,58379.53959064123,4962.260865204505,53417.27872543673,333222.39409498713,29777.60590501289,6699.9613286279,23077.64457638499,40218.40681525586,38981.59318474414,8770.858466567432,30210.734718176707,0.0,0.0,0.0,174471.18169434715,63974.024809326,57208.77759045944
1962.0,155287500.0,26936175.759651676,330923.2592480984,19355131.58820879,24236.22460730408,2312.068152930403,21924.15645437368,9173972.538389046,101098.89719291296,101098.89719291296,12813162.503430206,121232.01766855043,11565.195970435025,109666.8216981154,636667.1822849613,59555.21181002578,14514.496890407583,45040.7149196182,28049.084840682302,64969.32197457357,15833.996607717361,49135.32536685621,0.0,0.0,0.0,326865.91563187644,184978.86073773244,111685.03941699563
1963.0,55350000.0,39570355.22912729,490820.5305243909,31301438.46705906,40227.24965922177,4082.2284832579667,36145.021175963804,10388218.145130116,122748.84096950074,122748.84096950074,18234263.304267682,179153.3949545211,18180.340389939018,160973.05456458207,976978.8433889202,95288.33889604124,24266.369633714265,71021.96926232698,41042.949235597014,103950.91515931771,26472.403236779195,77478.51192253851,0.0,0.0,0.0,468367.39789491205,349241.76039338147,155604.01705439755
1964.0,44075000.0,51671592.94670528,645162.2824220085,43711968.96778831,57689.61502879387,6103.239097591393,51586.37593120248,15208119.596182711,183606.60644924204,183606.60644924204,25502174.068017185,257728.01418477632,27266.184597210726,230461.8295875656,1293674.5553739537,132104.28801496627,34668.12140134986,97436.1666136164,54861.356050852875,155926.37273897656,40919.7498507736,115006.62288820295,0.0,0.0,0.0,678097.6014698294,587312.7435588366,227583.828802555
1965.0,38950000.0,63256447.518043146,793745.4286621391,57663884.84077315,78011.12984443521,8514.257086228794,69496.87275820642,19305357.30408947,241943.729766356,241943.729766356,33121022.205459457,344577.6548535515,37607.74578503594,306969.9090685155,1436226.3012797043,156648.25409424963,42052.97942571535,114595.27466853429,55273.62726102345,207901.83031863542,55812.2491917328,152089.5811269026,0.0,0.0,0.0,885095.3673885148,901675.7494282515,304047.5057236629
1966.0,29725000.0,74340920.24064508,936527.2773980643,75624243.05308336,104356.45838405921,11675.024049916155,92681.43433414305,22682681.011103153,297295.04462055425,297295.04462055425,41688630.24541083,445542.54646579607,49845.69259820373,395696.85386759235,1554234.0811061712,181192.220173533,49533.87719769724,131658.34297583575,122304.30528644989,324846.6098728678,88805.75593212651,236040.8539407413,0.0,0.0,0.0,1153372.5297388667,1299080.6367621198,388268.4454884215
1967.0,28700000.0,84940972.32506205,1073547.9155830252,91023637.06986484,129026.65753018286,14733.380125865548,114293.27740431731,26992404.75081867,366369.3998196017,366369.3998196017,49695829.96500568,547581.4564928256,62527.58850624838,485053.8679865773,1716361.903333534,211872.17777263717,58802.91396665947,153069.2638059777,110959.52573221749,428797.52503218554,119008.28244018985,309789.2425919957,0.0,0.0,0.0,1428575.0516084696,1785307.9678270041,479489.214145612
1968.0,24600000.0,95073070.34686834,1204901.9781937138,106719031.5826428,155392.4215087161,18055.29767645258,137337.12383226352,31890574.892486036,446554.5900394049,446554.5900394049,58006106.68905066,658387.9607115246,76499.16580116082,581888.7949103637,2120446.2722213278,266915.63111220644,75041.97418962361,191873.65692258283,150765.66133730276,571730.0333762474,160738.995424427,410991.0379518204,0.0,0.0,0.0,1768645.2036564355,2370019.645014639,581068.8315943975
1969.0,21525000.0,104751780.51516183,1330689.8317065055,132338872.13262601,195294.52941602553,23036.62409814521,172257.90531788033,35057090.883198746,514307.581511887,514307.581511887,69461777.51396485,804272.6321628628,94870.68764785037,709401.9445150124,2469487.1877695518,321959.0844517757,91541.0371595105,230418.04729226523,245845.4242034115,805619.5924847123,229057.84186101728,576561.750623695,0.0,0.0,0.0,2202947.22926074,3068232.9243306955,697754.1520287229
1970.0,17937500.0,113992142.08090028,1451038.4342615416,157767814.02525496,237126.42670813977,28345.8028995885,208780.62380855126,37494516.25478398,578576.016196204,578576.016196204,80282327.1759233,952812.6035216389,113898.0527586259,838914.550763013,2620098.044034303,364189.14373524854,104584.12266209726,259605.02107315126,114669.96662375267,909570.5076440299,261201.17850196734,648369.3291420626,0.0,0.0,0.0,2534245.540982982,3878763.7878997196,815740.3271987437
