Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,23580637.5,1223332.8334125455,13867.166587454389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,23895312.5,2463280.865732584,28451.967679961814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,24214087.5,3720041.804417631,43439.06131495291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,24537475.0,4993876.414559069,58765.389858561204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,24864962.5,6285665.649321492,74410.76523757752,1146636.9095421247,1401.2884733657206,152.93882216546166,1248.349651200259,0.0,0.0,0.0,487674.03427623294,4458.407571523776,486.59759619992514,3971.8099753238507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.15962652411,2766.832887015468,2453.326739508642
1966.0,25196550.0,7595704.603922779,90361.04539871338,2470995.2483038004,3100.683958257985,346.8933341013128,2753.7906241566725,0.0,0.0,0.0,1046954.0215281467,9883.9292063848,1105.7783387735035,8778.150867611297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11531.94149176797,8794.615846005574,5504.158532777863
1967.0,25533262.5,8924888.876462318,106615.72746046098,3936936.682817363,5070.141129123592,578.9525821800707,4491.188546943521,0.0,0.0,0.0,1661608.8935870072,16185.558404735857,1848.2070999210935,14337.351304814763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18828.539851758283,18538.145477113518,9085.010220650342
1968.0,25874075.0,10273518.270111125,123170.60635119217,5508351.855109501,7279.738210338335,845.8445985857319,6433.893611752604,0.0,0.0,0.0,2315502.7189539373,23263.96085672113,2703.077372263489,20560.88348445764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26994.777096210244,32396.882728663197,13136.039844660569
1969.0,26218987.5,11641894.613616232,140023.6564948937,6934167.887473675,9434.837141466773,1112.9179977806068,8321.919143686166,0.0,0.0,0.0,2901164.3493479644,30175.125068182977,3559.408527155642,26615.716541027334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34937.6356847135,50194.3387033865,17140.1797099902
1970.0,26569025.0,13030913.00011184,157181.61350439116,8787760.217093697,12231.058199517673,1462.0857311852822,10768.972468332391,0.0,0.0,0.0,3662612.140458242,39119.69600869952,4676.320593820812,34443.375414878705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45212.3478832111,73127.12863526428,22279.557951333318
1971.0,26603362.5,14433163.71273413,174549.28737771223,11032638.32175264,15658.824955905895,1894.2234563421596,13764.601499563736,0.0,0.0,0.0,4582520.694218878,50062.88197309612,6056.028188102419,44006.8537849937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57771.455284557436,102335.82530576861,28562.758614053113
1972.0,27454112.5,15896446.149735726,192717.56299840208,12306522.892117484,18087.18098560871,2211.584728382613,15875.596257226096,0.0,0.0,0.0,5079730.039533615,57807.28659039328,7068.305023003463,50738.98156738982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66614.57782461592,135764.14001071703,33186.26311966749
1973.0,27890250.0,17406338.147793368,211508.00194235708,13112096.598940058,20069.513837607967,2478.067975531747,17591.44586207622,0.0,0.0,0.0,5370907.688309289,64079.52714464064,7912.170936935731,56167.35620770491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73758.80206978113,172510.31491136193,37012.62716913624
1974.0,28559575.0,18960447.333579145,230890.81421422213,13915640.496071,22147.30463922556,2759.2409939247264,19388.063645300834,0.0,0.0,0.0,5655699.465420138,70577.96673825064,8793.01667920014,61784.950059050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81173.01370435134,212731.3027817646,40952.02583394868
1975.0,28889112.5,20527966.72390017,250480.60967897665,14717057.61238097,24323.579899225235,3055.546422998484,21268.033476226752,0.0,0.0,0.0,5933882.575635932,77295.58340925931,9709.929392723403,67585.6540165359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88853.68749276266,256564.07639454625,45020.913879981
1976.0,29117687.5,22099212.756457496,270153.9674426722,15516247.950896207,26601.3636750339,3367.435526201851,23233.92814883205,0.0,0.0,0.0,6205241.888540249,84224.07006029214,10661.826556979322,73562.24350331281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96796.17165214487,304135.8585425747,49224.38950411641
1977.0,29444662.5,23706696.12885838,290316.62759911775,16313108.494669104,28983.67068334352,3695.365846180896,25288.304837162625,0.0,0.0,0.0,6469571.219996676,91353.84377315467,11647.450658852076,79706.3931143026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104994.69795146522,355567.1037638647,53563.452730175224
1978.0,30259537.5,25346378.408573333,310917.72028504795,17107533.219688985,31473.499111100115,4039.799118736917,27433.699992363196,0.0,0.0,0.0,6726674.598320292,98674.06713033452,12665.36675913247,86008.70037120205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113442.40036356525,410972.51918714243,58036.98494028754
1979.0,30243650.0,26965091.015656143,331287.39291718864,17899413.11512654,34073.82313942678,4401.199362165551,29672.62377726123,0.0,0.0,0.0,6976367.503032766,106172.68174740359,13713.962688424632,92458.71905897895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122131.34283624019,470461.3502254505,62642.51179793214
1980.0,30335900.0,28595062.049487274,351828.9661688683,19297787.0693862,37532.01969637271,4876.759914632997,32655.25978173971,0.0,0.0,0.0,7477554.894662675,116204.98308531933,15099.208834899444,101105.77425041988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133761.0340321596,535572.9148649509,68649.46939265917
1981.0,33819875.0,30551934.120668396,376527.928818877,20334299.984707914,40710.70575850036,5319.579846532188,35391.12591196817,0.0,0.0,0.0,7816163.6418407,125138.53563390365,16351.581722300887,108786.95391160276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144178.07982357094,605600.8789739311,74150.11571459076
1982.0,32754900.0,32381874.35036081,399659.77030758397,20650917.292915534,43151.89114809495,5668.675659809946,37483.215488285,0.0,0.0,0.0,7840942.425837803,131483.37801728054,17272.39768190445,114210.9803353761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151694.1958236611,678985.260926568,78309.8138710242
1983.0,34079200.0,34359579.13416935,424695.21619146084,21681695.40291983,46561.28797876336,6147.599215349244,40413.68876341412,0.0,0.0,0.0,8164164.33516894,140627.98852567378,18567.452693982286,122060.5358316915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162474.22459510562,757481.8342279282,83977.65129374532
1984.0,36079487.5,36478422.97465985,451556.15950949606,22708992.758508943,50113.97473105182,6648.661492359097,43465.313238692725,0.0,0.0,0.0,8478159.269529091,149934.5600672926,19891.93914957077,130042.62091772183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173507.93415641456,841180.7393426588,89809.02904168391
1985.0,36022600.0,38609808.64664044,478614.3280194138,23732664.355926238,53813.36832485011,7172.414562946082,46640.95376190403,0.0,0.0,0.0,8782773.726933427,159386.02234216593,21243.469111170616,138142.5532309953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184783.50699289935,930177.4524729643,95786.79386259386
1986.0,36586350.0,40813381.65615083,506626.9904896111,24752561.80839297,57662.81623039283,7719.404708575569,49943.41152181727,0.0,0.0,0.0,9077871.716008557,168964.44101963067,22619.514391690514,146344.92662794015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196288.33814975742,1024564.6524104599,101901.13821226184
1987.0,38003925.0,43100046.994138956,535734.6620118781,26126857.4547847,62103.48909477185,8349.04110604631,53754.447988725544,0.0,0.0,0.0,9515733.704535937,180044.37389000616,24204.725055400766,155839.64883460538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209594.0968233309,1125270.0623500317,108888.68688375916
1988.0,38964350.0,45471091.1507978,565955.8433411604,27998275.805698942,67338.4624602233,9089.552233892276,58248.91022633102,0.0,0.0,0.0,10155784.958968636,193248.3061329904,26085.249180505223,167163.05695248517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225411.9671788162,1233574.0671817116,117107.96234713629
1989.0,39351800.0,47893421.13869484,596870.0121029593,29864349.64550388,72793.4368210787,9864.197673661723,62929.239147416985,0.0,0.0,0.0,10782494.086765379,206726.0414693036,28013.329585728763,178712.71188357484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241641.95103099183,1349618.3198645643,125597.69834813912
1990.0,40725300.0,50440997.86979884,629423.268896,31724856.20681032,78473.93440007232,10673.864527159953,67800.06987291237,0.0,0.0,0.0,11395595.203128848,220461.58431332547,29986.73511648626,190474.8491968392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258274.91906975157,1473556.8064240124,134336.43251030345
1991.0,41756962.5,53076654.17461026,663143.6951885802,33579567.23389552,84385.407435812,11519.435772741681,72865.97166307032,0.0,0.0,0.0,11994838.884461693,234438.01937490146,32003.08902854041,202434.93034636104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275300.9020094314,1605545.6787942771,143312.02963916666
1992.0,42786062.5,55799235.64003142,698018.5345788387,35472493.71253067,90587.29554051014,12409.194758327494,78178.10078218265,0.0,0.0,0.0,12594013.681228556,248765.7622661987,34077.43629772648,214688.32596847223,2059.920254405375,184.07974559462514,58.64318090750003,125.4365646871251,17293.914930560022,16762.08506943998,5339.979061459414,11422.106007980568,0.0,0.0,0.0,304413.9693233226,1745822.8214726981,152589.2840722339
1993.0,43365187.5,58588051.441202514,733784.1988289065,37364239.0500675,97040.13881710255,13337.935486550057,83702.2033305525,0.0,0.0,0.0,13171872.773073176,263242.97358093254,36182.11846880904,227060.85511212348,49254.00636013437,4417.913894271003,1411.106898316088,3006.8069959549152,1470.2593534760122,17671.655577084013,5644.427593264352,12027.227983819661,0.0,0.0,0.0,325797.0934224506,1894515.837148794,162070.0427665803
