Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,7978600.0,1518090.9898470424,17309.010152957584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,8484950.0,3113307.0376960053,36183.95215103738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,9023075.0,4790990.151252736,56316.88644326955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,9595537.5,6555895.573125725,77694.5781270115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,10204387.5,8413936.062963653,100359.51016207063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966.0,10851675.0,10370374.329431158,124361.7335324952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967.0,11539962.5,12432194.320718292,149780.0087128654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968.0,12271812.5,14605705.029131314,176689.29158697886,45054715.192313835,55060.71934748354,6397.594351425079,48663.124996058454,4004444.5598057737,41805.08345544,41805.08345544,20411190.309603166,186602.9335664847,21681.697731013264,164921.23583547142,4037039.7927022986,360760.2072977016,101425.90020625936,259334.30709144226,1695876.154043289,1643723.8459567113,462124.61184522766,1181599.2341114837,0.0,0.0,0.0,1696322.9854898958,135143.27904523592,120246.16524173396
1969.0,13046550.0,16897731.266044594,205173.7630867216,100746233.44646947,126299.95705113682,14898.136895585632,111401.82015555119,35568574.793870516,375127.8101843522,375127.8101843522,55261475.76009755,518289.33363102196,61136.56428901627,457152.7693420057,9086599.547710478,844240.2449918201,240038.66134091376,604201.5836509063,1772606.3774058563,3311269.776637433,941476.9897997188,2369792.7868377143,0.0,0.0,0.0,3917676.7701705294,629348.8088608462,449476.86986629886
1970.0,13862987.5,19316197.906015605,235333.36002899025,141664510.64733446,183555.647867013,21942.017546397834,161613.63032061516,53213866.797318965,593308.9560259199,593308.9560259199,78432959.59776697,766017.6791202291,91568.81605890152,674448.8630613276,13176070.264985649,1285129.2827248292,369050.3158953393,916078.9668294899,1945407.6148897635,5145570.300386227,1477652.381239701,3667917.9191465257,0.0,0.0,0.0,6013368.335383878,1366922.8466458623,691797.4116228467
