Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1120814600.0,23666055.42252063,537344.5774793718,1272702.1794258333,4276.702992845628,85.53405985691255,4191.168932988715,9792477.757982563,211701.91783018303,211701.91783018303,6925362.36589075,121170.27857653983,2423.405571530797,118746.87300500904,92844.54015313978,7423.30208438358,593.8641667506864,6829.437917632894,58550.8299384747,49219.183314070884,3937.534665125671,45281.648648945215,0.0,0.0,0.0,386751.0463347589,224586.3024046366,162164.74393012226
1962,1113430200.0,47497426.331771515,1099229.0907491157,2507585.7974419445,8783.58062097432,206.113183132733,8577.467437841588,22011484.898014355,503714.39815724624,503714.39815724624,15219145.518748645,278477.5765501309,6534.6812661770655,271942.89528395387,131619.51079274842,11558.593679962809,1004.805560602067,10553.788119360743,544059.1293232217,471228.01768598857,40964.54513347804,430263.47255251056,0.0,0.0,0.0,1225052.0215509129,941149.9368706668,508488.3870848828
1963,1106094400.0,71504221.65926039,1673204.6725111236,4380352.0761235785,15800.457902795222,402.80204414887436,15397.655858646347,33923853.35538167,824941.980586177,824941.980586177,23932722.855407506,458123.38279838354,11678.967546310214,446444.4152520733,166224.29715189934,15747.767584275558,1432.828316613789,14314.939267661768,653652.5197113453,678007.0205405911,61689.23008893873,616317.7904516524,0.0,0.0,0.0,1917416.7814162108,1987601.6132053873,870965.1050814905
1964,1098807000.0,95698917.9333771,2256903.7258832944,5901342.88031373,22200.173043114373,597.8833343900637,21602.28970872431,45500581.37367377,1174855.1953796027,1174855.1953796027,32212389.937007084,646278.4052444496,17405.228649408673,628873.176595041,289497.5944693071,27317.944276071823,2564.1426631588033,24753.80161291302,222506.8579778218,337833.97343217384,31710.0911982114,306123.8822339624,0.0,0.0,0.0,2156208.3455302436,3048155.7541654105,1095654.2045702203
1965,1091567400.0,120096089.44076067,2849428.492616434,7445785.612203971,29174.16277381929,818.2532736349276,28355.909500184363,56713510.62237376,1552291.7838713217,1552291.7838713217,40362094.24566412,847761.0184724904,23777.313988516664,823983.7044839737,401037.11925257754,39175.93352753519,3764.5870089449486,35411.346518590246,93955.59644562293,125919.12588779468,12100.120222067364,113819.00566572732,0.0,0.0,0.0,2553861.7500397973,4275800.722249537,1326216.781955671
1966,1084375600.0,144710964.38868153,3450425.052079147,8722057.324427545,35772.777626639,1035.9366177983798,34736.841008840616,70070493.39669454,2010232.5908067424,2010232.5908067424,49494962.649381526,1081914.5627664858,31330.94456899263,1050583.6181974933,500675.4491351473,51079.19877690534,5001.552283043449,46077.64649386189,107780.46543181877,110324.5158516061,10802.711227779648,99521.80462382647,0.0,0.0,0.0,3241152.501130765,5862215.655959353,1654737.5674209483
1967,1077231200.0,169560036.91748476,4059827.4711967595,9969321.524963204,42748.20758091358,1270.8850065463866,41477.322574367194,80420177.40308551,2442595.030095907,2442595.030095907,56814869.145036206,1301491.009215817,38692.74300300285,1262798.2662128143,588490.450385873,62782.22676141523,6244.2638632665185,56537.96289814871,86364.07907504456,97339.81559315846,9681.330598151673,87658.48499500679,0.0,0.0,0.0,3891067.066776244,7765971.079052903,1987311.6436826945
1968,1070134000.0,194660016.452327,4677720.465157762,11418113.95283191,50886.16537367228,1546.7973383474664,49339.36803532481,90327119.87073606,2895137.2177370223,2895137.2177370223,64169995.657337025,1535486.112168854,46674.49028495898,1488811.621883895,618378.425237297,70339.92045189186,7089.871162412539,63250.04928947931,78830.03128082272,85833.570905242,8651.544602530179,77182.02630271182,0.0,0.0,0.0,4573720.283248433,9995162.81064913,2344528.551652206
1969,1063083400.0,220028027.04979563,5304289.402531378,13026482.360155048,60120.35899896131,1862.8968319331989,58257.46216702811,99772966.06913213,3364122.4274621913,3364122.4274621913,71460620.18526721,1781804.14576544,55211.202220685765,1726592.9435447543,687547.690917064,80756.22962160251,8234.894094704125,72521.33552689839,77848.32586219537,83327.04650259812,8497.046065531316,74830.0004370668,0.0,0.0,0.0,5296324.169137939,12565175.254115086,2726311.7256719833
1970,1056079400.0,245682416.74154443,5939810.308251189,14753943.28986269,70380.04079865063,2217.880979909441,68162.15981874119,108858547.64073662,3847833.286491579,3847833.286491579,78769517.9638019,2041234.034260834,64325.25597822214,1976908.7782826119,700233.1856928488,86728.315813311,8935.258536386977,77793.05727692402,77803.00944034837,83163.82071636256,8568.023395888264,74595.7973204743,0.0,0.0,0.0,6045293.07919033,15482081.705721071,3128386.6275843433
