Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2017815675.0,29816953.40396057,367246.59603943035,237062209.9573301,289710.3167701642,24625.376925463956,265084.9398447002,58807174.85604846,613927.553726702,613927.553726702,102947369.13109607,941164.1747211645,79998.95485129899,861165.2198698656,46330029.9571703,4140170.042829701,931538.2596366828,3208631.7831930183,21018586.27283955,20372213.727160454,4583748.088611103,15788465.63854935,571.39764191643,30228.602358083568,30228.602358083568,20767503.73754172,918419.5180430631,821758.1953982045
1962.0,2206161012.5,59372501.436342575,743851.9676179991,486100370.87263095,610785.3464114447,58267.21655685914,552518.1298545856,176832197.04237717,1901927.5346057955,1901927.5346057955,235495058.1103889,2218903.950001221,211677.2410032539,2007226.7089979672,100265474.3809439,9329955.576226402,2273849.879516034,7056105.696710369,20585764.902309284,39698421.37053027,9675099.727202233,30023321.643328037,571.39764191643,60457.204716167136,60457.204716167136,41601556.91821292,3245336.548152491,2134755.3433489203
1963.0,2228812812.5,88893652.35066922,1124749.085673352,741068080.114729,957420.5838329946,97158.2599081454,860262.3239248492,293749284.8725622,3293191.029374366,3293191.029374366,368951321.2864809,3592307.9820489637,364544.4838805549,3227763.498168409,129785210.89687061,12801663.484073268,3260104.0340293963,9541559.450043872,21334601.64685386,59782604.43693678,15224389.403151868,44558215.03378491,571.39764191643,90685.80707425071,90685.80707425071,61571677.142370656,7054665.004705914,3571888.3949142005
1964.0,2208142712.5,121877825.62382343,1553926.7268457816,1107287495.6626358,1459541.4642712828,154411.33598915825,1305130.1282821246,364345622.48189783,4319996.747911587,4319996.747911587,516307653.5305389,5183751.98561942,548412.0109842743,4635339.974635146,191296180.35530186,19442430.54156878,5102276.031161508,14340154.51040727,30052529.740678288,88293308.56344548,23170808.35300055,65122500.21044493,571.39764191643,120914.40943233427,120914.40943233427,89844035.98111339,12303367.031424545,5011764.824110228
1965.0,2279418600.0,155248166.4112997,1990959.2125237146,1490755244.8991976,2010949.0853677962,219478.13772574684,1791470.9476420493,507297197.8665232,6182279.409266225,6182279.409266225,692152858.4425864,7138410.800902603,779097.3527392471,6359313.448163356,233126279.73398703,24917900.621314786,6689330.6166674765,18228570.00464731,28362591.822131455,114906908.48829663,30847313.85275157,84059594.63554506,571.39764191643,151143.01179041783,151143.01179041783,116772371.45705444,19603275.768643573,7033155.067852602
1966.0,2069936475.0,189069103.45054674,2436162.9607529533,1918569065.8753605,2647171.2476132456,296155.968290815,2351015.2793224305,631044641.1286669,7995411.236002897,7995411.236002897,872966889.1956962,9262563.832874438,1036262.2226475584,8226301.610226879,277096555.3852426,31073924.348744452,8494911.929811858,22579012.418932594,33117437.26360635,146187471.374988,39964366.284575574,106223105.09041241,571.39764191643,181371.6141485014,181371.6141485014,147556217.2490457,29012192.375959344,9163811.518236428
1967.0,2105722025.0,221797432.18484318,2868771.265703549,2356269288.7173443,3330498.0651680557,380305.0853355788,2950192.979832477,766668019.0470825,10071156.194060665,10071156.194060665,1056032382.1718931,11538065.089430282,1317516.1019713217,10220548.98745896,318297558.55087024,37532596.83437234,10416780.937444752,27115815.896927588,36646091.868341625,180744653.73326367,50163794.20433457,130580859.5289291,1142.79528383286,241828.81886466854,241828.81886466854,181180402.40607345,40732367.9284153,11521722.608896147
1968.0,2337833150.0,255127663.0898307,3310869.0950124944,2875233476.542511,4150293.176940661,482229.30067416804,3668063.876266493,899493242.2594928,12271748.252927477,12271748.252927477,1258427681.6242695,14125859.961433398,1641306.5969581867,12484553.364475211,359330724.1254512,44553434.42541911,12525971.829674875,32027462.59574423,47197901.273402765,225428387.74330956,63378046.40422304,162050341.33908653,61710.94532697444,3506517.873537694,3506517.873537694,226008687.30203763,55010108.32910028,14146625.092984209
1969.0,2477532312.5,287475242.10823774,3741220.981592942,3418187252.655924,5043791.050637239,594957.3641952946,4448833.686441944,1033582100.5326676,14641101.19525059,14641101.19525059,1457289025.3659706,16832438.521798708,1985526.9886018464,14846911.53319686,391878893.10462856,51443431.02082264,14626656.7961843,36816774.224638335,52271673.04186511,274718446.68135273,78109339.82149363,196609106.8598591,9713.75991257931,4020404.113625115,4020404.113625115,271383131.61301196,71992416.96046746,16954537.783522207
1970.0,2435047125.0,319621138.70437264,4170003.4038651274,4029941091.137557,6069220.173897373,725507.1532589991,5343713.020638374,1165712020.7408638,17150201.571813058,17150201.571813058,1677449734.3262506,19885829.78424996,2377127.7600067114,17508702.02424325,430375215.5445347,59480677.56009384,17081054.13073967,42399623.429354176,57925510.563626446,329346818.24164003,94578459.10529095,234768359.13634908,10856.55519641217,4594747.558428703,4594747.558428703,321765346.74082667,91946796.13115159,20048237.446010552
