Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,13632500.0,79564.77016074138,835.2298392586295,937685.3054687688,1145.9317236896677,97.40419651362176,1048.5275271760459,0.0,0.0,0.0,330443.7625545511,3020.9789108876803,256.7832074254528,2764.1957034622274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3812.723230638273,2017.8369989391122,1794.8862316991613
1962.0,13965000.0,160940.55059594486,1724.2195647965023,1928028.5425639965,2422.3867994687935,231.08893665900882,2191.2978628097844,0.0,0.0,0.0,677810.0489804333,6408.399813909486,611.3434481259899,5797.0563657834955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7988.35422859328,6185.19129862897,3820.9999289034217
1963.0,14392500.0,244390.99317690716,2649.5574190377097,2994667.7076888094,3864.894283316784,392.20631939275086,3472.6879639240333,0.0,0.0,0.0,1050571.313660476,10258.354398707845,1041.0094369491617,9217.344961758683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12690.032925682717,12739.341513529904,6135.882710781783
1964.0,14820000.0,329884.21760534483,3606.775571562322,4263982.166340227,5636.442967493178,596.304188776065,5040.138778717113,0.0,0.0,0.0,1495349.8372452671,15021.205776936324,1589.1596840264128,13432.04609290991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18472.184871627025,22215.391300150633,8996.135085006292
1965.0,15247500.0,417390.57465333503,4593.642952009787,5759106.350822509,7783.07399297362,849.4569047963317,6933.617088177289,0.0,0.0,0.0,1945901.7453479455,20145.54348288291,2198.7162177641694,17946.82726511874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24880.44435329603,34897.206403444216,12198.629250002448
1966.0,15675000.0,507178.4475148254,5612.127138509643,7507322.531781083,10358.235245083764,1158.8419871051792,9199.393257978585,0.0,0.0,0.0,2467689.2387593025,26242.804976159918,2935.9503377006877,23306.85463845923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32506.247896437817,51388.39234473009,16015.061955151945
1967.0,16102500.0,599217.2196812251,6661.227833600305,9059824.112147348,12836.267360077121,1465.7560695859781,11370.511290491144,0.0,0.0,0.0,2929880.9530896023,32171.337376909105,3673.6016556934237,28497.735721215682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39868.24701170683,71500.9633083814,19755.676048055517
1968.0,16530000.0,693773.6620026026,7743.557678622492,12265614.17809705,17468.845896423714,2029.733558829418,15439.112337594297,0.0,0.0,0.0,3512451.4667813038,39548.086712501805,4595.156386621642,34952.93032588017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50392.042663474465,96854.1842816094,25038.82169024646
1969.0,17076250.0,790815.2068801654,8858.45512243717,14910508.465570986,21672.063975529807,2556.401312049589,19115.66266348022,0.0,0.0,0.0,4151470.99132773,47873.256528578226,5647.051242554855,42226.20528602337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61341.86794950359,127617.88089060853,30578.17134050445
1970.0,17598750.0,890309.8688818737,10005.337998291676,16878289.12055758,25274.90537106887,3021.3312615547293,22253.574109514142,0.0,0.0,0.0,4568608.030555286,54647.96904087027,6532.551351612594,48115.41768925768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70368.99179877182,162717.05343471142,35269.819254668924
