Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,154600000.0,147127.34484842294,2872.655151577055,112034879.43830341,376474.490216596,7529.48980433192,368945.0004122641,223498904.12336674,4831784.948124178,4831784.948124178,217909130.28493312,3812668.3667910458,76253.36733582092,3736414.9994552247,33516878.99528346,2679812.0524624726,214384.9641969978,2465427.088265475,22864099.090974372,19220091.08414468,1537607.2867315745,17682483.797413107,0.0,0.0,0.0,29085055.833670247,18371779.168783553,10713276.664886694
1962,106000000.0,144311.41099672878,2815.933851694177,205928481.70060492,723437.3288789766,16975.989301700934,706461.3395772757,469552947.87324977,10786862.810558181,10786862.810558181,434775375.6001085,7990788.391552899,187509.73005133812,7803278.661501561,65015839.21504903,5571944.761372879,484377.358925644,5087567.402447235,28868962.728630655,29687791.62510926,2580803.420628697,27106988.204480562,0.0,0.0,0.0,51491158.41856481,47541006.637299865,22321930.950048503
1963,111400000.0,141551.04580781117,2760.365188917601,321916603.2828064,1172750.0401525898,29896.98883129007,1142853.0513212997,717881852.21141,17515847.002017856,17515847.002017856,668267631.567555,12853930.88832162,327686.049924436,12526244.838397183,98488607.59381858,8956820.238521948,814946.3468960703,8141873.891625878,31524255.724351857,33173003.274902686,3018282.95249057,30154720.32241212,0.0,0.0,0.0,69481539.10577434,83661580.87897457,33360964.864099644
1964,133400000.0,138845.12071229029,2705.925095520885,454332201.28913504,1713044.7109343018,46134.81533425842,1666909.8956000435,971185836.8728368,25102057.39567344,25102057.39567344,921103641.6765814,18488034.398352385,497909.9771401801,17990124.421212204,124827903.24815094,12102031.47279732,1135932.297712129,10966099.17508519,38722140.70985837,39767777.37530793,3732720.6453212397,36035056.72998669,0.0,0.0,0.0,91760247.61755757,129495710.24435413,45926118.252178
1965,170000000.0,136192.53069284937,2652.5900194409314,592295001.5149323,2314186.393531079,64906.42446156187,2249279.969069517,1263108953.3480053,34294832.92447513,34294832.92447513,1205321181.6362123,25144434.572015993,705230.722874926,24439203.84914107,165349107.2708627,16596860.306180188,1594864.9865358053,15001995.319644384,120317397.73342553,110045925.21209493,10574794.858419927,99471130.35367501,948183.6558615193,3113109.2212587357,3113109.2212587357,178569551.63726383,226853611.61089087,81211650.27072711
1966,1352000000.0,133592.19377989395,2600.3369129554103,712140451.2139248,2900272.993624334,83988.4178708507,2816284.5757534835,1543656273.7849674,44119780.457158886,44119780.457158886,1470580425.51981,32001475.60912323,926724.2469420506,31074751.36218118,203097143.50989956,21205557.294386204,2076397.1643756416,19129160.130010564,150417817.8613949,154633856.14246884,15141375.251462681,139492480.89100617,1039702.1805954154,3434217.739770054,3434217.739770054,240066675.15588033,350220212.78136516,116700073.9854061
1967,1356000000.0,131043.05055827925,2549.143221614687,838085630.8005118,3549724.689995441,105531.7203029806,3444192.9696924607,1795218425.4450212,54152332.15872487,54152332.15872487,1722702809.9197989,39128902.064586684,1163284.6795360867,37965617.385050595,239949339.93533856,26001384.401278265,2586074.33006162,23415310.071216643,159078132.17207974,168429546.6901442,16751851.378262911,151677695.3118813,1126396.9317002033,3720696.8831756096,3720696.8831756096,274375844.77974147,479730072.5081947,144865985.05291197
1968,1360000000.0,128544.06368485685,2498.9868734223955,971936176.1455297,4272134.745001587,129860.9672020822,4142273.777799505,2048679153.2687721,64950989.31085204,64950989.31085204,1980742091.4120872,46832217.49719013,1423568.6427070147,45408648.85448312,274546653.19846684,30818279.475380223,3106310.463872465,27711969.011507757,183299441.08194965,190477649.6052025,19199083.341922138,171278566.26328036,1213092.326950206,4007170.8392448146,4007170.8392448146,317499618.0571676,623073352.7199943,174156337.8453679
1969,1364000000.0,126094.2174165979,2449.846268258954,1127283399.4453514,5117254.795396515,158563.88593261456,4958690.909463901,2302053956.607942,76435129.34624071,76435129.34624071,2258925181.423862,55360518.132977635,1715407.8179387823,53645110.31503885,314795454.1660913,36217388.428550854,3693168.4341055118,32524219.994445343,225918177.15605015,231968009.76357314,23654298.90316876,208313710.86040437,1670442.432976087,5510587.4908874715,5510587.4908874715,381387448.91648066,793569281.319739,210891520.316736
1970,1368000000.0,123692.51714905546,2401.700267542429,1301430741.5031068,6083982.412975635,191724.0843102909,5892258.328665344,2545577849.5895786,88339404.72182257,88339404.72182257,2548275786.0084085,64577781.25051317,2035034.8072405735,62542746.4432726,370198842.03235316,42980661.772795305,4428119.2526742,38552542.520121105,247581117.24652037,260093980.71993458,26796403.68542679,233297577.03450778,3060817.2323719035,10085404.462858316,10085404.462858316,438709933.51124775,983892889.6719487,248386325.15903807
