Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,167697657150.0,435606431.8022305,5724768.1977695115,2003153119.102248,2448024.6125213783,208082.09206431717,2239942.520457061,2058556400.5383224,21490651.409195382,21490651.409195382,1930476807.3751245,17648781.377966754,1500146.4171271743,16148634.96083958,189040093.46457797,16893106.53542204,3800948.9704699586,13092157.56495208,33542151.28392339,32510648.716076612,7314895.961117238,25195752.754959375,1714.19292574929,90685.8070742507,90685.8070742507,78257825.01747772,21044043.96585276,18835184.92463927
1962.0,165625960675.0,874889010.5576957,11685821.24453468,4055217609.484428,5097182.2043979075,486256.9494805032,4610925.254917405,4149346562.890578,45273118.23089273,45273118.23089273,3889085692.399063,36791711.87339412,3509826.579533755,33281885.29386036,339040918.1292149,31807175.335363038,7751884.905899317,24055290.42946372,29865865.898451053,60458285.38547234,14734589.443254853,45723695.94221749,1714.19292574929,181371.6141485014,181371.6141485014,153126286.76550022,64311640.173062965,39898332.572460294
1963.0,163610182637.5,1316257963.7142546,17746846.84344116,6251772057.858988,8073979.083988888,819340.8117408478,7254638.272248041,6266994734.502792,71417276.21714213,71417276.21714213,5881167679.30699,57541165.84268608,5839230.5751142865,51701935.26757179,480392255.0028966,47281063.12631828,12040715.241661994,35240347.88465629,39768988.62782425,98144823.41885665,24993809.21432492,73151014.20453173,3999.78349341501,392971.8306550863,392971.8306550863,239158183.67680508,131456987.51598705,63228502.41403787
1964.0,161648366062.5,1726521809.4989862,23422754.215268265,8616896391.24916,11424588.05897822,1208657.6150773359,10215930.443900885,8405855280.868021,99982002.7636367,99982002.7636367,7981482167.343612,80646315.66220021,8531929.821001062,72114385.84119914,640191743.8044927,65786311.198403835,17264298.210477952,48522012.98792589,40938212.93450673,136665134.41758132,35865024.08448499,100800110.33309633,7428.16934491359,785943.6613101726,785943.6613101726,332420386.0310691,224632644.4595105,89136662.10521328
1965.0,159741073150.0,2143097591.195873,29217018.303113285,11161644467.641956,15181558.10827063,1656939.0670420846,13524619.041228546,10571975039.684696,131138403.37489696,131138403.37489696,10142450695.735971,105784310.41829571,11545465.581473676,94238844.83682203,787566788.3438215,84834955.46067117,22774353.0063387,62060602.45433247,43033680.5988775,177190831.8212545,47567733.506441526,129623098.31481296,7428.16934491359,1178915.491965259,1178915.491965259,431764483.51405823,345963294.8940676,117571216.81839043
1966.0,157873669237.5,2578283475.5558186,35296915.640054524,13646476942.7734,19072647.629910536,2133779.0034545287,16938868.626456007,12766489318.338219,165006169.63253498,165006169.63253498,12253944839.739902,132029880.17560497,14771026.635311708,117258853.54029326,919996872.8924044,104250315.45141721,28499691.203331262,75750624.24808595,54307071.51076598,228581565.50314218,62489058.21920014,166092507.28394204,9713.75991257931,1692801.7320526796,1692801.7320526796,542739825.063365,497085894.9395305,148081291.75382134
1967.0,156086754400.0,3015944324.19566,41434351.36015832,16365457177.313566,23461534.970994137,2679041.0577216065,20782493.91327253,14990043010.530731,201694230.3175507,201694230.3175507,14435783856.669287,160487768.27787945,18325881.959987197,142161886.31789225,1055111310.5325531,125640562.35985146,34870228.15755098,90770334.20230049,63443989.55533871,288494108.5840281,80068532.00498714,208425576.579041,11427.9528383286,2297373.779214351,2297373.779214351,666131895.1092713,680409480.0195816,181315025.46866435
1968.0,154359769137.5,3471442747.94202,47842776.25364003,19001461467.849483,27985700.509157058,3251703.9664546256,24733996.542702433,17236186437.786377,241230298.05578935,241230298.05578935,16638323601.703115,190785588.39127532,22167687.184078123,168617901.2071972,1208814110.4370208,150603400.095532,42341381.11637042,108262018.97916159,82389117.65522605,366507104.76703024,103041611.2448627,263465493.52216753,69710.51231380446,5985263.266900546,5985263.266900546,812294971.5739187,898003790.1990477,216987885.62622285
1969.0,152682352162.5,3933238871.658226,54358676.28379408,21874600029.18272,33039877.270931255,3897330.0236070943,29142547.24732416,19510730071.548946,283755174.24218726,283755174.24218726,18911270421.231377,223425332.24767312,26354887.70926369,197070444.53840944,1370238140.6423736,178486969.79464725,50748319.03650643,127738650.75814082,93422431.57889436,454657480.82213163,129270517.14554791,325386963.6765837,13713.54340599432,6710749.723494551,6710749.723494551,969804530.1861398,1152430291.164369,255541665.0625992
1970.0,151016283337.5,4403963268.807612,61017802.85061372,24955011464.420197,38613587.47904917,4615820.999463382,33997766.47958579,21816249457.030296,329371360.976062,329371360.976062,21194734566.82367,257935257.34735015,30833265.052408636,227101992.2949415,1503883616.6909926,206379923.95138106,59266080.971420504,147113842.97996056,99388054.92443667,548278273.7874922,157448960.8631466,390829312.92434555,56568.36654972657,9703381.356944824,9703381.356944824,1138117657.0118403,1446061012.912834,296840398.0021247
1971.0,150566657425.0,4881430464.603352,67788204.20426084,27798285958.27536,44188508.38664817,5345414.443450416,38843093.94319776,24145960803.865917,378075456.8791937,378075456.8791937,23392542663.306267,293470759.9992822,35500696.82154134,257970063.17774084,1657218276.9299808,238524939.76101187,69110972.73465873,169413967.02635312,116761693.08524293,658570194.7715282,190816217.4585047,467753977.31302357,71996.10288147017,13512185.254063353,13512185.254063353,1325568743.5935724,1780631062.6350627,340318564.27790344
1972.0,150220133250.0,5375648937.917052,74811326.68629895,31260366261.546013,50804886.087288804,6212096.306619936,44592789.78066887,26490493345.575413,429819325.4593626,429819325.4593626,25842118434.238888,333085114.95267695,40727516.027347155,292357598.9253298,1793045472.343583,271978004.5863974,79442729.7411453,192535274.8452521,129338284.24499507,780539268.5584611,227989650.33491647,552549618.2235446,96566.20148387666,18620819.052579477,18620819.052579477,1530475426.2867374,2159769429.2945747,387631347.5058493
1973.0,148930097300.0,5881112175.352454,82008762.56459804,34328836212.519882,57279477.39592242,7072539.959789464,50206937.43613296,28856132521.978924,484697136.7780589,484697136.7780589,28164005019.542145,373486895.2425717,46116010.67520968,327370884.567362,1924011014.440114,306763842.86395586,90266375.12884112,216497467.73511475,162265578.95615134,934063942.0284443,274851708.07061386,659212233.9578304,92566.41799046166,23517852.634589016,23517852.634589016,1761502513.1090882,2585020621.603368,437023766.47276056
1974.0,147633246662.5,6397556355.971194,89376419.38125974,37581371468.912025,64302863.62967298,8011227.562179287,56291636.06749369,31234295503.914562,542640656.091069,542640656.091069,30569067421.094536,416539144.8554568,51894887.56225081,364644257.29320604,2036075275.953642,341602739.42112684,101201365.12847489,240401374.29265195,165904973.0157753,1090145678.0727026,322960615.00214446,767185063.0705582,184441.44483420445,33275343.18975481,33275343.18975481,2004438330.0047338,3059110469.24767,489486701.80746686
1975.0,146835117187.5,6936153137.687829,97073818.28336538,41135357088.28077,72042788.81382631,9050069.380203933,62992719.433622375,33624673434.028477,603646706.0662495,603646706.0662495,33037457082.4909,462122208.7144446,58052139.844372034,404070068.87007254,2077287082.9533396,371850109.61808366,110854971.29560935,260995138.3224743,151585233.00024214,1232269404.9839437,367360896.1908168,864908508.7931268,195183.7205022333,43601131.46925257,43601131.46925257,2240214272.954798,3584759390.4658527,545060573.1517615
