Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1090480600.0,227398.2558796559,4501.744120344118,15265391.386419995,51296.79675626483,1025.9359351252965,50270.86082113953,36174564.89419441,782051.7905726761,782051.7905726761,34967982.796918765,611820.7240145361,12236.414480290723,599584.3095342454,5756361.489494666,460244.72923178197,36819.57833854256,423425.1508932394,2576236.517292887,2165644.065819119,173251.52526552952,1992392.5405535896,0.0,0.0,0.0,3847724.65237489,2408314.939325843,1439409.7130490474
1962,1097514800.0,454014.1710318363,9184.084847819568,32528619.494170234,113592.10633405732,2665.522367877733,110926.58396617958,72331042.46724606,1666600.5089766476,1666600.5089766476,72394170.01736136,1328223.9597446935,31167.75265913987,1297056.2070855536,10435100.902902327,898503.7092250919,78108.2498657276,820395.4593593642,3884942.4362941706,3876462.493114217,336986.58992562233,3539475.9031885946,0.0,0.0,0.0,7434454.66257634,6655880.373305546,3186889.228596637
1963,1104594200.0,679791.404497735,13922.766534101349,49829479.199496746,181098.0051913473,4616.742573609423,176481.26261773787,108481131.68462524,2657877.486203986,2657877.486203986,110015189.95604703,2115904.4800705933,53940.88291867917,2061963.5971519141,12950306.061882973,1213151.497356776,110379.95121866479,1102771.546138111,4459880.928824492,4650802.66802611,423158.50307472795,4227644.164951382,0.0,0.0,0.0,10226738.057063133,12030275.83433305,4852342.5960356295
1964,1111719200.0,904700.5911529432,18690.81334479176,67967372.7007888,256781.7842904582,6915.511383809995,249866.2729066482,144517825.8508568,3756132.630100073,3756132.630100073,148182169.0543607,2982958.793708472,80335.47065002467,2902623.3230584473,16730580.699994043,1650045.2276204769,154878.10215606866,1495167.1254644082,4928828.546438314,5166971.119300244,484987.1188115721,4681984.000488672,0.0,0.0,0.0,13085773.352018248,18556398.30736932,6559650.878981978
1965,1118890200.0,1129019.0061905861,23481.584962356967,86992948.73683766,341319.5911327902,9573.055273783897,331746.5358590063,180450016.66259274,4962201.462369054,4962201.462369054,186294014.0396838,3920870.360629509,109969.39425327166,3810900.9663762376,19518071.421951756,2038482.72524183,195886.73183780827,1842595.993404022,5541367.448337488,5787735.141895134,556168.8149965425,5231566.326898592,0.0,0.0,0.0,16179011.28490691,26359295.334749546,8376114.257526683
1966,1126107600.0,1352731.594830082,28287.41136050421,94323670.87601481,392961.52564006485,11379.693185840744,381581.8324542241,216056204.16453207,6270220.297730732,6270220.297730732,217378151.21852928,4807987.040993603,139233.52236300238,4668753.518630601,25452349.235293213,2693420.6184554463,263733.268453752,2429687.350001694,11232640.904869277,10713092.745811142,1049000.2733851464,9664092.472425995,0.0,0.0,0.0,23414335.471243247,38133976.517103866,11639654.288888928
1967,1133371400.0,1575828.3927309504,33103.202099131544,101551677.1724833,447671.2677232847,13309.065670981685,434362.202052303,251352300.60149547,7677035.47103624,7677035.47103624,246240353.3065703,5715788.796911185,169927.83308705437,5545860.963824131,28923610.916230585,3196784.1948863794,317949.2836826006,2878834.911203779,11520113.503229301,12298659.734925162,1223213.646773701,11075446.08815146,0.0,0.0,0.0,27611539.636267915,51284326.38759616,14461189.765775621
1968,1140682000.0,1798303.0517003802,37925.34103057024,106600781.374416,498548.9437765337,15154.49579677832,483394.4479797554,286127803.3190663,9172844.879692337,9172844.879692337,272375549.9071242,6630214.479746578,201540.00669209255,6428674.473054485,30279502.24822649,3543255.1627907488,357140.33280604624,3186114.8299847026,10121524.726344874,11147831.481281217,1123639.1573207215,10024192.323960496,0.0,0.0,0.0,29295220.954671778,64203451.61922179,16376095.723046148
1969,1148040000.0,2020151.9132612592,42751.13843912093,110878082.25697707,549807.5452235861,17036.404160322516,532771.1410632636,320413469.5176518,10750764.190644173,10750764.190644173,297381316.50002253,7572388.357756544,234638.95619911753,7337749.401557426,30427625.48102649,3777036.4448910016,385152.8886533714,3391883.55623763,11225435.488812476,11732290.834644597,1196368.0444749435,10535922.790169653,0.0,0.0,0.0,32549091.079672147,78258714.79960556,18493827.899288382
1970,1155445200.0,1978312.1228291942,41839.790432065,116148129.08897538,607213.441888215,19135.07193555135,588078.3699526637,353901998.01589155,12395132.08997073,12395132.08997073,322631029.91576695,8561637.037841003,269802.229831612,8291834.808009392,32826943.96619031,4158265.0012629805,428408.7901473085,3729856.2111156723,12320022.623216977,12926828.772832233,1331797.5341466789,11595031.238685554,0.0,0.0,0.0,36599932.71773401,93953875.3273657,20904772.18997386
