Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1914767800.0,62449395.42878637,1456004.5712136293,6878360.875652609,23113.582280535447,462.27164561070896,22651.31063492474,98316476.69014494,2125487.2550150375,2125487.2550150375,63178661.74243552,1105411.6216544355,22108.23243308871,1083303.3892213467,1346245.8322205266,107637.88022356192,8611.030417884955,99026.84980567696,351304.9796308482,295315.0998844253,23625.207990754025,271689.89189367124,0.0,0.0,0.0,3602158.696570657,2080087.6955098864,1522071.0010607708
1962,1950720200.0,125466689.10026594,2980306.328520429,15741180.439690933,54826.41678637063,1286.542216805799,53539.87456956483,196569412.67903516,4529233.256106336,4529233.256106336,127892892.7184533,2348936.6855970044,55119.527916617015,2293817.157680387,1792427.2313034274,158320.48075398125,13763.032408913672,144557.44834506756,278262.4490771205,317189.757098316,27573.772426217198,289615.98467209877,0.0,0.0,0.0,7310763.721373454,6099897.7947362475,3290953.622147092
1963,1987347600.0,189084898.9743177,4540290.12594821,26592565.536454245,95816.69091050973,2442.6607886791944,93374.03012183054,294431739.58776534,7214938.928786211,7214938.928786211,194574397.796565,3744387.435710296,95455.89896623493,3648931.536744061,3208990.02430043,290911.14699752175,26468.87736982186,264442.26962769986,356392.28737381595,362935.929969407,33022.133124188345,329913.79684521863,0.0,0.0,0.0,11551600.56212502,12293756.39915008,5357741.957711188
1964,2024662800.0,253344836.04488036,6129962.929437335,37458881.70674905,140149.33120568743,3774.4277619395907,136374.90344374784,391379247.859241,10177174.81913262,10177174.81913262,260807749.95375723,5255711.36840851,141544.0425366623,5114167.3258718485,4490872.392663729,427216.391291489,40099.78804557292,387116.6032459161,1614549.5488667018,1439012.3518658273,135069.93523900086,1303942.4166268264,0.0,0.0,0.0,17118776.06832096,21414045.758647386,7998486.708823653
1965,2062678800.0,318292146.7676388,7747189.277241574,43701676.09661409,172411.64943569156,4835.662214449328,167575.98722124225,487437470.225145,13416473.293150667,13416473.293150667,323703649.60463464,6833412.658952868,191658.02020218663,6641754.638750681,5078717.668953755,519821.8556151427,49951.958470599966,469869.8971445427,1860426.2209053678,1943669.2091845,186775.68587968338,1756893.5233048166,0.0,0.0,0.0,22452567.339571953,33074069.099619705,10792543.998599632
1966,2101408400.0,383975254.2529842,9391292.514654577,50046674.16677875,207355.2919556253,6004.759878392704,201350.53207723258,582541574.2824706,16926694.651868675,16926694.651868675,386743700.48208416,8533238.526622057,247112.3251987248,8286126.201423332,5390414.703088783,592951.948879374,58060.428602368396,534891.5202770056,1957395.2920878117,2073892.262547395,203070.5419995725,1870821.7205478225,0.0,0.0,0.0,27819884.626194067,47189544.71332019,13704409.012493584
1967,2140865200.0,450445215.6907477,11062338.562236529,56958586.18772199,246666.2646439797,7333.277231881013,239332.98741209868,676450994.5215182,20692817.955602273,20692817.955602273,449697493.34861493,10350767.65138831,307723.6721445159,10043043.979243794,6282440.460180506,710723.2721130166,70687.89805278652,640035.3740602301,2185803.5034544356,2284863.9815022717,227250.51862834377,2057613.462873928,0.0,0.0,0.0,33672843.759192325,64018088.79128827,16844299.681224238
1968,2181062800.0,517754991.87367094,12760823.817076761,64652971.352999404,291322.38179629965,8855.386949567688,282466.99484673195,768977338.0848228,24695439.2187794,24695439.2187794,513088797.4255307,12293229.52874641,373679.8513923308,11919549.677354079,7569921.140666134,863844.942578375,87070.74599794505,776774.1965804299,4795550.881298153,4532288.035712187,456829.3230601592,4075458.712652028,0.0,0.0,0.0,41749688.800212674,84931385.0618338,20836392.52966713
1969,2222015400.0,585959752.903155,14487538.970516015,71276002.7867443,335413.2729898748,10393.156894688174,325020.1160951867,860126789.3196962,28914245.554318503,28914245.554318503,575591071.0541798,14335248.680508103,444193.77722535713,13891054.903282747,8520826.82947379,997260.8671663485,101692.9302468432,895567.9369195052,4814918.219197538,5165353.751760149,526722.7222808445,4638631.029479305,0.0,0.0,0.0,48664519.54009525,108823048.21327482,24772856.388654225
1970,2263736800.0,655115790.3198102,16243462.583344758,79948018.3169066,389230.8313902062,12265.80217826796,376965.0292119382,949985323.3825729,33326536.169360306,33326536.169360306,638665127.040061,16496788.438374368,519862.064469874,15976926.373904495,9249272.065092606,1115363.969669114,114911.32207175679,1000452.6475973573,4749439.216719689,5095093.410335806,524926.3341673787,4570167.076168427,0.0,0.0,0.0,55251047.29624252,135432824.9591362,28641270.55038117
