Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,17427000.0,2739880.25594534,38719.744054660405,7447144.448141145,14636.586838358791,878.1952103015275,13758.391628057263,959103.2400305112,14090.864408239046,14090.864408239046,4232806.263866545,52448.891067045195,2884.689008687486,49564.20205835771,140601.4302221687,9949.368592759174,1492.4052889138761,8456.963303845298,87826.24490771205,73828.77497110632,11074.316245665948,62754.458725440374,0.0,0.0,0.0,148624.8801239397,88500.29599710202,60124.58412683768
1962,17488000.0,5406069.695652295,77910.5602930451,12472395.874871869,25485.30174790055,1705.7687553968,23779.53299250375,2574842.744453358,39341.526056913295,39341.526056913295,7754412.526287884,100397.21772767766,6217.747459062299,94179.47026861536,270753.2715771198,20867.983160072712,3419.4891478384434,17448.494012234267,113478.73472313616,116211.82676013216,19042.81201534995,97169.01474478221,0.0,0.0,0.0,271918.0380750489,237400.44936028926,123017.88471186165
1963,15950600.0,7999689.606652193,116580.08900010183,18004442.875706956,38032.90589858845,2699.8085318547783,35333.097366733666,4506755.838926269,71858.0255267045,71858.0255267045,11321566.979325451,152654.71089079132,10073.09251207053,142581.6183787208,389590.8238027193,32536.205310841826,5595.324296248662,26940.881014593164,116562.02423578472,124230.30421538238,21364.16440902729,102866.13980635509,0.0,0.0,0.0,379579.7620931072,431824.7259613273,185155.48549206916
1964,15815000.0,10521767.243279314,154522.3633728789,23939575.919445835,52174.20788466593,3853.740574944049,48320.46730972188,6582907.534571154,109726.33164937963,109726.33164937963,15125088.800888937,211748.21833886742,14581.605619241262,197166.61271962617,543365.3672897485,47995.12988824634,8529.977041742803,39465.15284650354,145975.71221910088,149339.8437456006,26541.556227341123,122798.28751825949,0.0,0.0,0.0,517476.8520434907,691217.2067463456,258084.37125847233
1965,14881000.0,12973420.318506217,191646.92477309756,29257675.945199072,65993.04539449602,5021.699815818626,60971.34557867739,8619691.111687081,150597.6304231753,150597.6304231753,18698592.157493405,272242.8203583659,19354.934284437524,252887.88607392836,681406.1715676937,63939.46390586857,11649.051532096617,52290.41237377196,154528.78411865165,163477.80051856372,29783.817477702865,133693.98304086085,0.0,0.0,0.0,650441.2574904138,1009475.962661833,332182.5015749264
1966,14348800.0,15356108.655358305,227911.6631479118,36281043.59069015,84012.28104186794,6546.034863394231,77466.24617847371,9586488.042317882,179379.14661698323,179379.14661698323,22665605.50732628,341726.3614746263,24917.864321674555,316808.4971529517,803425.0032158436,79971.33966927639,14861.489052777042,65109.85061649935,155556.60047826733,166150.69590181008,30876.646039289495,135274.0498625206,0.0,0.0,0.0,774037.7904274286,1379900.8158913436,403612.9371979181
1967,13418200.0,17671312.510453265,263296.1449050414,42986054.87431473,102513.00382165857,8145.591174766629,94367.41264689194,9961940.714924352,201498.138723228,201498.138723228,26348885.162896454,412277.0508291378,30697.7787699127,381579.27205922507,909536.965336047,95687.05127998488,18077.025776375707,77610.02550360917,155602.73257020954,166317.34534811755,31420.37400775442,134896.97134036315,0.0,0.0,0.0,889951.8202733174,1798706.162852102,471146.473312559
1968,12089200.0,19919929.303284246,297783.2071690186,50318023.55353547,123358.28585065916,9966.660592122314,113391.62525853685,9849045.235519608,217509.88055976856,217509.88055976856,29834202.184773225,484733.46605960553,36740.08969294627,447993.37636665924,1000251.1240202282,110707.26445680432,21210.275362064935,89496.98909473939,155603.5209550659,166320.76962932767,31865.20179662687,134455.5678327008,0.0,0.0,0.0,1002847.4391124048,2264705.3912514076,536848.2107130989
1969,11561800.0,22103456.777106714,331372.5261775336,58562525.81874393,147236.31269663328,12069.291211132031,135167.02148550126,10583331.378701635,246175.87049054904,246175.87049054904,34284353.688182406,573335.1556602018,44130.89451198593,529204.2611482159,1123299.322937911,128020.57870708925,24828.886044863837,103191.69266222543,184878.99471836415,190930.38447463966,37029.89633775459,153900.48813688508,0.0,0.0,0.0,1167639.3339233766,2808704.728913851,623639.9962609333
1970,11035800.0,24223092.437656026,364064.3394506879,65815244.079646744,170572.6927694611,14161.942962595811,156410.7498068653,11165139.43785283,274005.1476905579,274005.1476905579,38500947.433454394,664219.8993817328,51826.322853859136,612393.5765278736,1229489.0384067032,144378.05929705722,28305.56423641487,116072.49506064235,193429.87941707188,205058.0684560638,40201.98330091127,164856.08515515254,0.0,0.0,0.0,1323738.0542410917,3421518.566484504,710924.2166704388
1971,10948400.0,26289188.24465716,396004.1929988675,74169920.92897566,197408.1243680859,16578.127544427414,180829.9968236585,13924710.436152589,334907.89318852447,334907.89318852447,43691707.648616225,772133.5724822098,60982.30092076163,711151.2715614481,1273036.5690255265,156219.18489986696,30924.822634816155,125294.3622650508,165182.2823713665,183121.30261748313,36250.30951052532,146870.99310695782,0.0,0.0,0.0,1499054.5169456399,4108441.1275564553,812131.9558736875
1972,10464400.0,28303381.947186433,427206.29747072427,79840779.82269067,220494.90556083102,18708.786904374723,201786.1186564563,17210793.064658217,407950.1981515916,407950.1981515916,47658055.493796356,870811.1138773294,69533.45453908383,801277.6593382455,1352452.558764705,169679.0918866525,33884.59785818051,135794.494028472,185953.01315946644,193769.85963590426,38695.47920014056,155074.38043576368,0.0,0.0,0.0,1701882.850610529,4890107.016782568,920216.961384417
1973,10746200.0,30257842.2497263,457539.6974601346,86485594.74144115,246727.46562409797,21132.082481652313,225595.38314244564,17928068.521875616,448532.5438347149,448532.5438347149,50911294.860622935,965337.7551952639,77854.00108495406,887483.7541103099,1419107.3945868555,181733.34053622777,36582.73738118888,145150.6031550389,222752.29696929865,229837.73368529417,46266.102999524344,183571.63068576984,0.0,0.0,0.0,1890333.9149282794,5758917.917116536,1021523.0145943105
1974,10079200.0,32117393.69672596,486448.55300033937,91940783.68824074,272019.35726102995,23499.908221431324,248519.44903959864,20810336.85386432,522209.28347076493,522209.28347076493,54228209.791487716,1064535.72541986,86643.17298615808,977892.552433702,1708757.0052152541,208944.65208930106,42370.03612499876,166574.6159643023,232284.87155618516,246471.6173306018,49979.79716475931,196491.82016584248,0.0,0.0,0.0,2111687.7210742105,6728655.155902383,1141950.4822883636
1975,10840800.0,33890242.741581105,514050.95514486183,101302730.87133496,306275.8837434415,26670.657710248328,279605.2260331932,22027830.806147814,575960.9056919635,575960.9056919635,58668328.69795179,1181471.789941429,96975.79763025334,1084495.9923111757,2439734.139259288,269542.73824363836,55030.11606667226,214512.6221769661,174807.21692132164,200088.4848966615,40850.26596975204,159238.21892690947,0.0,0.0,0.0,2313812.9651402077,7783731.639031438,1258736.4820111538
1976,13288800.0,35598951.75033742,540690.9912436863,108706764.93207072,338516.60038649547,29696.669108415208,308819.9312780803,23807570.961497024,639864.6367995907,639864.6367995907,62633325.178230636,1297340.353126177,107323.6317417819,1190016.7213843951,3108454.4559793705,333299.2912757821,68476.93081380222,264822.3604619799,157752.4460806565,172003.16742122933,35338.35595681683,136664.8114644125,0.0,0.0,0.0,2540188.4613884585,8940539.506483516,1383380.5939363788
1977,12336600.0,37195439.69915192,565612.0511855031,116910302.8721506,373964.9269396952,33033.11982852723,340931.807111168,25892496.832921747,710861.9689188984,710861.9689188984,66958085.31555143,1421880.1467691395,118488.30612705204,1303391.8406420874,3712283.2399070393,399122.14205191267,82484.2848831825,316637.8571687302,155697.73953388273,166660.9632020195,34442.8657778474,132218.0974241721,0.0,0.0,0.0,2804041.571265056,10219598.777112795,1524982.3006357765
1978,12255000.0,38698833.88764519,589105.8115067256,125276520.44905606,411520.17036866746,36585.6730045022,374934.49736416526,27494411.781555623,777715.9557313387,777715.9557313387,71114218.42636055,1548748.7967130018,129945.78164016438,1418803.0150728375,4249799.687278544,465688.9985781395,96773.63637578495,368915.3622023546,214156.47364093846,215546.87117395585,44792.24245497507,170754.62871898076,0.0,0.0,0.0,3111123.459089677,11645141.474824507,1685580.761377965
1979,12860200.0,40228991.32647855,613042.5611666456,134874684.46882376,453355.5587866496,40550.11131433091,412805.4474723187,29330345.07205489,850069.7478330706,850069.7478330706,75763687.38183063,1685810.3203063763,142357.22380276228,1543453.096503614,4720981.976066364,531542.1063296885,111033.18188836062,420508.9244413278,319082.9659214426,317624.16549400776,66348.12429621654,251276.04119779123,0.0,0.0,0.0,3478113.2574481224,13245717.201597292,1877537.5306753374
1980,12860000.0,41784294.03888308,637397.2875954623,143264441.55413365,494885.9097140763,44518.61149742043,450367.2982166559,30558953.29572707,915751.2704447737,915751.2704447737,79348518.29799166,1814071.663791054,154118.6718060944,1659952.9919849595,5127286.281445432,595203.3044302724,124941.89063269581,470261.4137975766,258964.7838407364,291524.0475722457,61195.16709242216,230328.88047982354,0.0,0.0,0.0,3726661.8549237894,14933587.31666172,2038791.7398593614
1981,9117800.0,43285762.340231724,660931.6986513555,150511733.81851065,536139.7147234366,48491.27679570758,487648.43792772904,31461447.19962145,977763.2719542858,977763.2719542858,82383438.25508432,1938638.6599475392,165647.41528559817,1772991.244661941,5471606.988897929,655293.8107141504,138195.20580753288,517098.60490661755,324314.06519252574,331321.5466882007,69872.54966309921,261448.99702510145,0.0,0.0,0.0,4016950.5564756747,16743657.425904296,2206880.4472330986
1982,9259400.0,44842605.570179164,685356.7700525629,156585887.83868444,576955.1316966725,52451.23595937389,524503.8957372986,31712999.666616015,1030595.2051081602,1030595.2051081602,84848919.61387856,2058467.1405209107,176843.78593058244,1881623.3545903284,5804988.770618622,713958.8315976841,151231.36590802344,562727.4656896606,347023.08790273225,366192.9174572748,77567.2946981827,288625.62275909213,0.0,0.0,0.0,4288075.54388454,18661442.13071181,2370290.8390770257
1983,9720400.0,46453354.52912622,710651.0410529459,163618816.26127908,621407.659590681,56768.66079924736,564638.9987914336,32186547.983401388,1085797.6300163688,1085797.6300163688,87650832.66306023,2183930.3125311937,188593.17581855465,1995337.1367126391,6082290.577904866,767323.7411025424,163217.34420482413,604106.3968977183,349970.4365741776,373721.76625918306,79494.31366832735,294227.4525908557,0.0,0.0,0.0,4544107.615009015,20674161.56092367,2531388.1847971533
1984,9718400.0,48072848.63928008,736105.8898461362,170586007.8619093,667637.943892031,61276.16988223882,606361.7740097921,33400367.243667986,1151045.501815092,1151045.501815092,90620371.96315493,2312982.4108218364,200721.85869759863,2112260.5521242376,6309148.35843333,814771.5170938824,174003.48237925477,640768.0347146277,379382.0179292944,398821.10261444084,85172.66404791443,313648.4385665264,0.0,0.0,0.0,4824084.301230276,22797635.522285327,2700610.3398686172
1985,7858000.0,49184654.54391097,753594.0953691074,180007651.25994134,720623.2126472761,66433.3591391283,654189.8535081479,34850783.67560028,1219850.8672713311,1219850.8672713311,95007359.32643273,2460997.288516211,214571.2976391018,2246425.990877109,5976112.140884017,819532.133294664,175689.26342549673,643842.8698691672,387935.15985633765,412958.9899778969,88529.12268672137,324429.8672911755,0.0,0.0,0.0,5088739.448816931,25017717.51447907,2868657.456623187
1986,7510600.0,50194762.89709077,769491.646820206,187540819.55257568,772177.9990290517,71488.9845954722,700689.0144335795,36314948.51021063,1289132.8163389743,1289132.8163389743,97908967.15042041,2593175.4864878845,227112.81250691714,2366062.6739809676,6439997.796611203,870931.5096417554,187391.30517461582,683540.2044671396,388963.05832216825,415631.885206011,89428.15890652259,326203.72629948845,0.0,0.0,0.0,5365628.43552015,27348784.241771836,3034561.708227388
1987,6512600.0,51001370.453308895,782192.4437818757,192557212.11046526,820863.399863633,76306.12254406011,744557.2773195729,38080182.442029096,1362989.0841334425,1362989.0841334425,99504194.2013516,2710005.591369958,238367.6708764974,2471637.9204934607,6807218.984839147,915852.1042460636,197747.7982165459,718104.3060295177,242632.19769687575,292750.5763670271,63209.74929774334,229540.82706928378,0.0,0.0,0.0,5526829.415045278,29715133.409646727,3160480.2471703896
1988,6802000.0,51863398.740602165,795771.7127067292,201829256.83181798,879689.3950884813,82094.41340398022,797594.981684501,38881238.72358358,1423178.8179448743,1423178.8179448743,102745402.37040074,2846471.4831414544,251406.18271487055,2595065.3004265837,6896828.367992361,940950.1728725869,203851.29412881145,737098.8787437754,316980.5783952745,320553.94762800256,69446.1183450103,251107.82928299226,0.0,0.0,0.0,5804045.808082727,32205308.4705986,3313870.7471308494
