Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,951300000.0,3259372.528613125,37927.471386874975,664104281.0748032,811592.2891009661,68985.34457358212,742606.9445273839,164629370.332831,1718676.4514263496,1718676.4514263496,107880690.069512,986265.5208636412,83832.5692734095,902432.9515902316,84325833.64544198,4960215.924227791,1116048.582951253,3844167.3412765376,57262711.67982826,48136361.28116132,10830681.288261298,37305679.99290003,0.0,0.0,0.0,44513563.68172053,25022354.36607394,19491209.315646596
1962,866680000.0,6584233.39067435,78039.13793877483,1295462182.2283235,1630030.4037785649,155500.34900026955,1474530.0547782953,383613163.14295805,4161167.2547581615,4161167.2547581615,207949608.68205154,1970239.3244900033,187955.33007362895,1782283.9944163742,165356541.2628734,10778655.013810616,2626919.62509977,8151735.388710846,81365539.61173259,81971728.14517911,19977737.583400644,61993990.56177846,0.0,0.0,0.0,77563707.25444214,66247850.201516725,36338211.41899935
1963,822080000.0,9976513.559461113,119519.83121323647,1957534672.0119138,2532630.1182407103,257009.23860871358,2275620.8796319966,585107265.8489105,6636699.519449185,6636699.519449185,310016545.1873771,3039142.713595227,308409.7236381722,2730732.9899570546,252177122.6483422,17967340.992723525,4575608.546813794,13391732.445909731,72854398.8367953,80103998.60878408,20399487.092539128,59704511.51624495,0.0,0.0,0.0,84739297.35119292,108345594.79145445,42641552.7612552
1964,796400000.0,13438290.911989598,162222.64747151468,2702393112.146831,3587212.89329354,379507.091021592,3207705.802271948,658789961.0098882,7986719.273872783,7986719.273872783,421301505.2090189,4262514.676524941,450950.2484084795,3811564.4281164613,323322333.29260045,25305192.747040603,6640840.410415542,18664352.336625062,75034093.22686349,79637442.40997058,20899249.85061109,58738192.55935949,0.0,0.0,0.0,92408534.40024576,152488107.54729435,48266021.64440588
1965,779320000.0,16972288.892302748,206102.01968685244,3615340016.0508723,4906026.429152045,535451.4204951387,4370575.008656907,727037811.1082788,9375795.03911085,9375795.03911085,556964337.8968694,5787037.0781622045,631606.304757629,5155430.773404576,396181277.81308246,33544532.088583127,9005191.445783358,24539340.64279977,325703341.69188786,290921874.7097318,78099380.5669743,212822494.14275753,844745.4388584445,2773497.3062123284,2773497.3062123284,259037132.91294196,288810942.5336761,122714297.92656025
1966,738860000.0,20580649.23631513,251139.65598761517,4551833562.493841,6326751.850479759,707814.1703540779,5618937.680125682,821150798.5992602,11127354.874898797,11127354.874898797,689160911.5934072,7376035.607368976,825204.251299363,6550831.356069613,473670685.94429207,42757928.419697195,11689055.8189572,31068872.600739993,369823917.27601177,387437633.81303,105916733.93416657,281520899.87886345,901204.1931357762,2977245.64329904,2977245.64329904,338864142.0339966,459675870.6410992,167999213.9265735
1967,720040000.0,24266404.199650377,297345.03666475386,5426160771.722197,7749337.404917185,884886.3939881955,6864451.010928989,883950343.5055461,12670151.80018466,12670151.80018466,810550545.4022014,8962853.220075531,1023456.1293879913,7939397.090687539,539327328.9922069,51893592.05518381,14402525.433596555,37491066.62158726,381062443.68949974,405466701.3500949,112533055.57382186,292933645.7762731,9547216.57181231,31365224.731065713,31365224.731065713,389263937.0307272,648226133.3781432,200713674.29368323
1968,719700000.0,28031974.810711853,344729.3889385235,6298543385.543753,9246159.574420258,1074326.2886264755,8171833.285793783,958733618.8065952,14428275.428181918,14428275.428181918,925720640.1483097,10584891.615173081,1229875.737371254,9355015.877801826,605180264.8321087,61363853.89990547,17252135.895318694,44111718.00458678,380409128.9311178,406809342.885134,114372380.82190341,292436962.0632306,9854332.403693667,32561644.694240004,32561644.694240004,401065449.3538348,833496684.5599297,215794898.17204833
1969,679180000.0,31880654.08984777,393320.7208640836,7208158282.608423,10867989.18898587,1281970.2753477602,9586018.91363811,1023504457.1807482,16183284.561867168,16183284.561867168,1043532294.2242848,12321085.69495438,1453375.1686974147,10867710.526256965,669553217.4956778,70926537.6343528,20166192.322969567,50760345.31138323,412337737.72699904,433458054.59822345,123242988.93640445,310215065.661819,11571260.07160956,38203984.83887151,38203984.83887151,435816409.813836,1030768628.7380613,238544465.63570437
1970,659620000.0,35815111.02803808,443143.0618096963,8222411887.478548,12702903.620420426,1518489.5554475388,11184414.064972887,1087126415.0643613,18018041.47179159,18018041.47179159,1178144261.4001713,14304102.703056213,1709894.9345504744,12594207.768505737,725408618.324102,80026301.98879015,22981136.937662143,57045165.051128015,432104784.3076344,457630670.6667571,131417707.0301222,326212963.6366349,12744689.585169066,42093544.25100564,42093544.25100564,467148336.24403876,1238052720.241366,259864244.74073398
1971,619520000.0,39922711.10599031,495299.92204776756,9221244063.621191,14614798.116065618,1767929.1695968215,12846868.946468797,1146078495.333352,19893516.361738026,19893516.361738026,1307300801.3004267,16342595.293941483,1976938.0799940138,14365657.21394747,778797803.1849275,88820649.45302548,25735176.74408859,63085472.708936885,412555871.68550664,445650534.3857502,129124199.59933257,316526334.7864176,13630591.380221564,45027013.211325906,45027013.211325906,471744863.2288346,1440462591.0870907,269334992.38310975
1972,558680000.0,44160860.2197266,549250.88626371,10135538864.978968,16521723.925422171,2020170.6583845303,14501553.267037641,1201774977.468292,21818265.939995423,21818265.939995423,1412005840.5056598,18260894.983252544,2232825.364200935,16028069.61905161,853067219.4443486,98592736.92990562,28798196.994912647,69794539.93499297,381921847.17998725,415059766.50690734,121235836.35807082,293823930.1488365,13696025.843806105,45260454.94751775,45260454.94751775,461226813.8574319,1631055060.0633886,270634344.8811342
1973,499240000.0,48493426.932975285,604533.2867513151,11069606257.18958,18548795.136593107,2290298.3891197667,16258496.74747334,1254750281.7264533,23792261.408258162,23792261.408258162,1514720717.4593797,20249757.82039033,2500323.464385607,17749434.356004722,950663057.6539607,109724490.74061446,32286829.991257455,77437660.749357,396163693.10103333,419896603.4308866,123556100.89754851,296340502.5333381,14851597.95083627,49055217.74565899,49055217.74565899,480633573.5400903,1828493204.1499836,283195429.45349526
1974,498440000.0,52911694.919615895,661032.0133593916,12301468624.570652,21040555.398520928,2621355.688028917,18419199.71049201,1302759852.6994646,25786320.119354,25786320.119354,1663823429.0827556,22750396.06644632,2834377.6580100167,19916018.408436302,913178740.0977266,113203974.25997551,33537192.214828353,79666782.04514715,497729862.68037736,508921699.39308095,150770367.96999943,358151331.4230815,14591037.10506465,48224298.33703734,48224298.33703734,550163950.0435483,2060560180.6606634,318096973.53286874
1975,499620000.0,57423945.09331421,718849.8263016854,13406815978.484709,23502948.682370543,2952458.1115883235,20550490.57078222,1348712150.8732479,27822333.45895594,27822333.45895594,1793636823.8431664,25191979.54081384,3164635.4398941323,22027344.10091971,890523731.8730285,116195529.65365498,34639904.01310784,81555625.64054713,519274538.53028154,551045704.9347198,164276288.27606636,386769416.65865344,15193116.553273007,50194637.91735205,50194637.91735205,588919848.3472105,2306996955.296277,342483073.71159655
1976,500020000.0,62039244.06915012,778101.0241640869,14395496238.46046,25943508.68213225,3284158.4317923877,22659350.250339866,1395866129.993852,29927964.214490827,29927964.214490827,1898448316.9628782,27510614.097974904,3482536.4741769065,24028077.623797998,879724659.399183,118699263.60197487,35593148.779671416,83106114.82230346,543548041.9452523,575761872.1564367,172647894.81798643,403113977.33845025,12162499.279070374,40256931.3580904,40256931.3580904,603092415.6074728,2553955186.32331,356134184.58044034
1977,559980000.0,66766840.54520928,838903.5239408382,15418381564.219358,28542454.35854277,3639111.5588872186,24903342.799655553,1465681860.2414422,32323526.058595415,32323526.058595415,2011272265.9945843,29992009.781543966,3823927.2663532607,26168082.515190706,947939737.6173817,124865827.88032623,37646642.576786906,87219185.30353932,408845982.4790659,467950426.344146,141085537.51885867,326864888.82528734,10895789.912297329,36031375.52997367,36031375.52997367,533510401.03224206,2755272235.1969695,332193352.1585829
1978,679900000.0,71610238.27456297,901302.270646326,16291535463.492384,31081147.840386428,3989438.6452455707,27091709.195140857,1529429064.2814102,34725498.19626702,34725498.19626702,2095437802.301705,32305048.7934599,4146533.1574952025,28158515.6359647,1046120227.6854385,132896801.35762732,40273051.66215436,92623749.69547296,338566758.67822003,376771783.2834969,114176935.32130624,262594847.9621907,15785005.260649202,52056100.381661326,52056100.381661326,497250421.0666976,2935042825.6738653,317479830.58980185
1979,778980000.0,76539132.2051016,964906.0694613734,17208379374.575428,33789251.29868024,4364442.189398086,29424809.10928215,1585924190.9427505,37111455.447674796,37111455.447674796,2183816007.846458,34730778.04529034,4486055.983649643,30244722.061640702,1155739792.633649,142224827.89952213,43307439.10835245,98917388.79116967,445229877.70656615,450738932.90579844,137249938.55764908,313488994.34814936,14355858.45143205,47469952.31754834,47469952.31754834,556657322.0754651,3148608026.510457,343092121.23887295
1980,878080000.0,81507316.37427561,1029115.8308259837,18328538839.612446,36868312.93006997,4790520.522797425,32077792.407272544,1572804840.0348344,38818651.83129869,38818651.83129869,2298753949.6972494,37474123.80838346,4869237.155451579,32604886.652931876,1262501036.7898355,152279174.66106182,46579880.52804123,105699294.1330206,417706717.35270214,453660602.15980065,138767869.57846656,314892732.5813341,15951180.545023786,52675433.177677296,52675433.177677296,576768790.783535,3369631049.77343,355745767.5205625
1981,878780000.0,86474214.1432149,1093402.2310607114,19285261964.238804,39887990.331040934,5212077.401516715,34675912.92952422,1562602151.2706413,40532857.28679204,40532857.28679204,2393991354.7218013,40126950.77338412,5243301.845542518,34883648.9278416,1343430502.1671913,161745866.50540906,49688670.797904894,112057195.70750417,369052080.2891655,405496697.1989496,124569439.2819771,280927257.91697246,16486168.390523544,54466206.230276056,54466206.230276056,557543078.9989105,3575883404.439204,351290724.3331359
1982,877860000.0,91405400.76134832,1157313.3818665673,20030348491.41492,42781974.51630321,5620081.325911576,37161893.19039164,1546684490.5934503,42158117.641309135,42158117.641309135,2454710876.6570606,42539317.51626258,5588204.53457717,36951112.981685415,1423769442.0877144,171790330.90906617,52990127.0142826,118800203.89478357,357654167.892919,384372595.726256,118562858.34343715,265809737.38281888,16696198.341979738,55166567.108342096,55166567.108342096,556047632.1993307,3779425825.0864363,352505211.5520989
1983,877500000.0,96287333.83674231,1220666.9246060164,20713981433.493614,45722476.56894171,6036848.920658138,39685627.64828357,1530622400.5871735,43738823.665144004,43738823.665144004,2501928221.6134963,44878658.30368852,5925437.558761665,38953220.744926855,1533722057.9717844,184114460.83879578,57012579.01851092,127101881.82028486,487653231.627408,491420241.5253206,152172378.11531216,339247863.41000843,16930304.529037185,55939009.50098069,55939009.50098069,644666426.7896284,4031349222.8844767,392743028.991588
1984,878160000.0,101162623.48249371,1284010.3542485912,21554861924.08209,48975350.17029759,6497599.252495489,42477750.9178021,1512639398.65086,45247931.2267369,45247931.2267369,2575556484.762611,47497598.80317899,6301544.785401809,41196054.01777718,1674403743.5309734,199047910.13633704,61865574.0579274,137182336.07840964,430154366.67647713,474049797.8788839,147338210.4727146,326711587.4061693,18655792.573445313,61608560.80197707,61608560.80197707,654424220.4488722,4282318158.7481265,403455284.5852222
1985,877060000.0,108305675.45531435,1376948.027179364,22291410281.934887,52234692.348375075,6962003.675906069,45272688.672469005,1495341852.355029,46702809.35956831,46702809.35956831,2628515734.0250425,49978544.33880893,6661297.190813191,43317247.14799574,1832381138.3295891,216065147.03249136,67392803.7985565,148672343.23393485,387904723.3007548,423934073.8662809,132229127.44597688,291704946.42030406,17596818.667739347,58168509.24279129,58168509.24279129,633838544.0770633,4516829285.115782,399327417.7094083
1986,878000000.0,115623367.05853541,1472308.3967789356,23083198261.529114,55691248.184188485,7455468.039261017,48235780.14492747,1461096537.3002849,47912369.98531555,47912369.98531555,2685414911.459106,52529620.71198833,7032216.39129867,45497404.32068966,2116944526.2734888,241680312.58309546,75638350.65403968,166041961.92905578,390066063.4092849,415930770.200595,130173273.5612074,285757496.6393876,19159872.231656622,63276352.82835246,63276352.82835246,656721365.8477285,4761791883.149349,411758767.81416047
1987,875460000.0,123172532.37468962,1570834.683845794,23939478599.131477,59362932.49929892,7980607.383520147,51382325.115778774,1425734332.6539016,49018710.661139265,49018710.661139265,2743691166.6186004,55125701.45273956,7410964.410167174,47714737.04257239,2250881806.1618185,261020424.92108193,81957175.5665889,179063249.35449302,380387476.0611774,408789723.0714726,128354902.16413315,280434820.90733945,18212093.51792587,60197972.02964296,60197972.02964296,667811815.1109658,5009499846.289595,420103851.9707207
1988,878660000.0,128664233.86556135,1642598.509128277,24851414700.800835,63246299.99151915,8537179.59053364,54709120.40098551,1394235871.7957695,50065541.25581999,50065541.25581999,2812383591.814507,57846103.37568303,7808244.48540074,50037858.89028229,2262230464.2961535,273721950.12644213,86214071.7305721,187507878.39587003,460422118.3345797,473794064.2406883,149230689.83359554,324563374.4070928,19448227.753616724,64234879.51104141,64234879.51104141,731118652.8610921,5289643933.770626,450974565.38006073
1989,879520000.0,134488052.6954235,1718781.1701378447,25776625128.56642,67296405.51689237,9119298.053987509,58177107.46290486,1372054109.2893984,51106930.210012265,51106930.210012265,2879027070.8437114,60579326.3987292,8209070.441379438,52370255.95734976,2258049414.516916,284309151.64858836,89818090.68181105,194491060.96677732,512568642.2400265,536654042.4657608,169538128.3769854,367115914.0887754,19110628.536824007,63152708.55319204,63152708.55319204,786413977.2390116,5594926750.604665,481131160.40497255
1990,758500000.0,140660345.65688968,1799607.0385338394,26910524234.841885,71756007.2268941,9760105.772765642,61995901.45412845,1351726724.051059,52068299.93612148,52068299.93612148,2976352580.2863336,63619305.840161905,8653368.2431146,54965937.59704731,2203008704.3905816,290261213.9596052,91964136.52568334,198297077.43392187,559321464.2837284,587741450.888634,186215492.91407457,401525957.9745594,17057416.81258464,56403225.67539891,56403225.67539891,825256400.0711775,5914863738.823941,505319411.85190165
