Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,10000000.0,2683697.114507801,37902.88549219903,10207753.131782021,20062.27570557589,1203.7365423345532,18858.539163241334,3055428.893240057,44889.4680433901,44889.4680433901,6845905.969588317,84827.92598359585,4665.535929097772,80162.39005449807,46867.14340738957,3316.456197586391,497.46842963795865,2818.9877679484325,263478.7347231362,221486.324913319,33222.948736997845,188263.37617632115,0.0,0.0,0.0,334992.76120539906,203171.54314482084,131821.21806057822
1962,10000000.0,4813555.763436684,69141.35107111692,24135772.700087138,48768.80790289274,3264.1680911451613,45504.63981174758,5954301.29034417,92297.8494471377,92297.8494471377,15298296.699485254,196535.77924175397,12171.750070902204,184364.02917085178,64005.490217568455,5098.7789160425245,835.5009220054461,4263.277994037078,369711.6191386458,373245.07193743193,61161.036176041285,312084.03576139064,0.0,0.0,0.0,638513.8321851648,556116.6643399934,285568.71098999213
1963,10000000.0,7462320.530411032,108535.23302565236,35251418.28392066,73830.23624505082,5240.922222843875,68589.31402220695,9255881.87840103,150425.35264967408,150425.35264967408,22534293.865327246,302036.12250016583,19930.192695512607,282105.9298046532,1042911.4656957737,75136.38433610991,12921.372753571293,62215.01158253862,416787.73258430354,436037.77988989337,74986.39624969594,361051.38364019745,0.0,0.0,0.0,924386.9916992703,1038101.7331421578,442401.92289710604
1964,10000000.0,10120355.472832821,148465.05757821,45537930.64024295,98866.13545049148,7302.543787836806,91563.59166265467,12250342.369028475,209669.8707650188,209669.8707650188,29300196.477413274,409627.31837239896,28208.14292668513,381419.17544571386,2698212.503244373,204898.00999061007,36415.6806156849,168482.32937492518,338954.89982818556,380509.3582864274,67626.36329788055,312882.9949885468,0.0,0.0,0.0,1164017.9622368594,1613773.9290290386,588345.7663499784
1965,10000000.0,12729018.671995189,187936.80083763294,55963854.412263356,125744.457588215,9568.44642850225,116176.01115971274,14895610.329378858,269119.8660773754,269119.8660773754,35781195.70291202,521337.0828672581,37064.136220942826,484272.9466463153,6093070.98905748,477590.0892382822,87011.54531019986,390578.54392808233,197281.330194616,242558.23350860085,44191.38336592584,198366.85014267502,0.0,0.0,0.0,1458514.2179541606,2321036.799027577,751251.3479556226
1966,660000.0,15378367.468755074,228251.20324011444,66567607.063311584,154627.25960239925,12048.18414207779,142579.07546032147,17534222.86598118,333386.3551354301,333386.3551354301,42091298.47485299,638449.7767299128,46554.2220509688,591895.554678944,7611217.816431318,657609.6017569301,122207.00488360491,535402.5968733252,4317150.644451022,3672761.317900328,682528.2950762976,2990233.0228240304,0.0,0.0,0.0,4593496.604972051,5024831.931879572,1889701.4721200564
1967,360000.0,18009097.89388169,268469.57487338496,82028431.79616041,194804.24850262824,15478.97055256127,179325.27795006696,20928651.297841553,413723.85077256773,413723.85077256773,50961908.60804915,794753.8415041078,59176.656944561335,735577.1845595465,11712823.108651072,1035824.026385057,195686.01366931896,840138.012715738,5410018.398451555,5569266.266074339,1052135.7749100598,4517130.491164279,0.0,0.0,0.0,6685894.817162199,8647032.294488411,3063694.4545533583
1968,1320000.0,20622517.02585854,308580.86802315136,90689388.81569263,224070.52800094563,18103.64732196975,205966.8806789759,24664994.4864874,505266.1372515988,505266.1372515988,56965166.94430575,925676.9512332642,70161.14338352942,855515.8078497348,12990150.526456727,1258064.2157259982,241031.05220452978,1017033.1635214684,5316643.092817332,5719352.808204403,1095764.1176487296,4623588.690555673,0.0,0.0,0.0,7207370.6798574515,12069544.578144398,3784858.3962014643
1969,2140000.0,23367065.077083822,350851.9487747193,103017592.73688976,262213.04483414796,21494.192156126417,240718.85267802153,30334911.64107958,631974.8060321561,631974.8060321561,65616174.939903684,1096770.9965712125,84420.92670517476,1012350.0698660378,15314901.755205186,1560281.2475788086,302607.9532315608,1257673.2943472478,4790811.621830276,5239664.683603669,1016204.102936842,4223460.580666827,0.0,0.0,0.0,7366177.603590291,15177857.55607874,4257864.625655947
1970,2000000.0,26153165.780788638,393899.29629518645,118955663.42642266,309658.20900223864,25709.636299852213,283948.5727023864,36901764.947645545,781684.238716596,781684.238716596,76325775.04729898,1303414.7107428678,101700.04192031447,1201714.6688225532,17105907.561027594,1839109.4704013648,360560.5415788119,1478548.928822553,6139771.958085984,6249820.692351818,1225287.983054673,5024532.709297145,0.0,0.0,0.0,8770429.118361233,18908158.278060053,5040128.396379921
1971,600000.0,28955839.296254873,437326.4845337629,127014761.80752738,344380.3643206205,28920.70233572719,315459.6619848933,44424170.59370961,956777.5013711387,956777.5013711387,83508585.59442782,1478537.9994261845,116773.38276320822,1361764.6166629763,18672053.588413317,2106042.5907473923,416907.780065413,1689134.8106819792,6237067.455560468,6655684.901809549,1317545.4425371245,5338139.459272425,0.0,0.0,0.0,9661276.049973413,22836784.351353317,5732649.9766801465
1972,1060000.0,31660990.273366936,479349.0228879381,138116879.0332718,386922.94886630453,32830.0510179129,354092.8978483916,48080609.13818732,1088028.8566334047,1088028.8566334047,90507708.10434422,1660042.6067306518,132552.8524941499,1527489.7542365019,20543427.868256804,2392459.0702630477,477769.6096003024,1914689.4606627454,6019030.99945003,6486246.501350593,1295291.3164699937,5190955.184880599,0.0,0.0,0.0,10075256.154261643,26671977.04389993,6240063.461715028
1973,2840000.0,34567484.77113252,524605.5022344177,152970800.68599182,439132.58551771473,37611.48356170374,401521.10195601097,51603258.57611087,1224266.6306352327,1224266.6306352327,99627335.0715684,1876175.4102340317,151312.5966925209,1724862.8135415108,22747573.94022358,2701484.2251926884,543806.0383309125,2157678.186861776,6397892.3531737905,6749667.351452535,1358701.201441626,5390966.150010909,0.0,0.0,0.0,10899294.88300544,30746259.564064592,6825012.362840783
1974,780000.0,37371423.8667378,568360.9043947246,172842908.36682895,504062.3167492427,43546.232520953934,460516.0842282888,54439353.12579824,1356867.467438267,1356867.467438267,110612365.28257251,2125766.3589443415,173017.34264815482,1952749.0162961867,28261013.769381266,3246192.8204183565,658266.7021841434,2587926.118234213,9447062.396611385,9404845.945950113,1907125.444443757,7497720.5015063565,0.0,0.0,0.0,13855779.187703311,36450628.99622972,8151409.755538173
1975,1660000.0,40089957.26679408,610866.5999437186,184794493.55913034,557034.4539306944,48506.83988572043,508527.614044974,58333300.690766156,1510014.5460371342,1510014.5460371342,117620380.01733235,2338188.349110666,191919.67349132648,2146268.6756193396,30650344.152731437,3610700.597043467,737164.2591153887,2873536.3379280786,9965974.624817321,10561355.245244902,2156216.890702682,8405138.35454222,0.0,0.0,0.0,15443485.528171748,42601034.198981404,9293080.325420067
1976,420000.0,39488501.48629555,601455.7804985269,197465933.33086693,614124.5332099277,53874.61954088182,560249.9136690459,60249784.337991565,1640313.675815836,1640313.675815836,123831081.0987751,2548676.4997230964,210841.5246824685,2337834.9750406276,27437256.985146202,3580600.313514949,735640.6879892377,2844959.625525711,6834360.594432732,8028358.253874559,1649440.449137049,6378917.80473751,0.0,0.0,0.0,13762275.99478873,47053915.96058204,9309394.233188098
1977,1560000.0,38896307.90764165,592193.5786539052,224645700.9687055,702603.5513261718,62062.47065155628,640541.0806746156,61103832.91909797,1757658.9992555704,1757658.9992555704,137125323.16582766,2853755.3230421413,237809.51938646229,2615945.803655679,25270462.870058957,3556741.0845446205,735051.288723389,2821689.7958212313,10361574.088521011,10241996.249073267,2116654.646213952,8125341.6028593145,0.0,0.0,0.0,15961177.28226641,52779393.53945835,10235699.703390105
1978,780000.0,38313230.316273674,583077.5913679751,243242842.35648438,779062.3168495207,69261.53619360132,709800.7806559193,62676931.688498236,1885926.3103795627,1885926.3103795627,147812367.6069547,3140178.4828510424,263472.6485726661,2876705.8342783763,28684079.066045053,3872669.150869715,804769.443457448,3067899.707412267,16322746.220036669,16113118.268040193,3348425.7796777114,12764692.488362482,0.0,0.0,0.0,21305025.12108861,61593780.19387034,12490638.466676611
1979,2460000.0,37739124.860933736,574105.4553399389,270045338.68221986,875544.5454947981,78312.54760720236,797231.9978875958,63437170.88805488,2003025.5142293156,2003025.5142293156,161874540.8157784,3479264.0728935306,293804.3315595552,3185459.7413339755,34644087.31879291,4384132.027410576,915795.9887379803,3468336.0386725958,16228391.63104112,17426192.89426961,3640136.1664676555,13786056.727801956,0.0,0.0,0.0,23240110.019925438,70682471.86145964,14151418.352336135
1980,2460000.0,37173850.014595225,565274.846338514,299158004.6365046,981649.1554351428,88306.52988854932,893342.6255465935,66753460.23658364,2156511.617246766,2156511.617246766,178600574.11951268,3865333.8392776535,328388.41446411517,3536945.4248135383,44397533.403868124,5213789.396072869,1094450.7526375116,4119338.6434353576,18705164.299284115,19433588.431108225,4079394.825746961,15354193.605361264,0.0,0.0,0.0,26060331.91640352,80736268.94426501,16006534.83359817
1981,2460000.0,36617266.53605327,556583.4785419533,329318233.6095383,1095359.7494170058,99070.05830981216,996289.6911071937,74232215.71681982,2373310.6527476795,2373310.6527476795,201772262.9464921,4347741.943477019,371493.78589470626,3976248.1575823124,44115529.492242895,5431095.975238924,1145366.267446724,4285729.7077922,15310457.51371139,17159159.986703753,3618702.9498456735,13540457.03685808,0.0,0.0,0.0,25172035.24608747,89220035.37305588,16688268.817296598
1982,2000000.0,36069237.43216382,548029.1038894469,357775953.06159014,1211584.4415124368,110145.6559361799,1101438.785576257,83245404.92646673,2620896.69496258,2620896.69496258,222396017.25874627,4821442.941809119,414212.2099952695,4407230.731813849,44385572.85562547,5661923.256444855,1199313.3915332842,4462609.86491157,13898668.464564893,15152080.721468775,3209526.6035557576,11942554.117913017,0.0,0.0,0.0,24534730.195177272,96756528.46253315,16998237.10570002
