Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,826275325.0,12630469.79061241,152230.20938758994,327446.74031067244,400.1679511797251,34.01427585027663,366.15367532944845,22262555.88441639,232413.7574586786,232413.7574586786,9441064.507316448,86311.9840799681,7336.518646797289,78975.46543317082,0.0,0.0,0.0,0.0,13406.135605085288,12993.864394914714,2923.6194888558107,10070.244906058902,0.0,0.0,0.0,321825.62147323776,164128.41622617486,147626.96034100399
1962.0,829559950.0,25534289.021533016,313280.7690793948,1036092.4419747388,1289.3010271642877,122.99571788704397,1166.3053092772436,44283440.096927,483450.4767808057,483450.4767808057,18931891.484750576,179128.30412051282,17088.34003463786,162039.96408587496,66644.47881899742,5955.521181002578,1451.4496890407584,4504.071491961819,13818.406815255863,25987.728789829427,6333.598643086944,19654.130146742482,0.0,0.0,0.0,670814.9478146622,499879.1595097727,310906.00289236
1963.0,832857400.0,38720765.08034937,480023.94118364004,1838775.3528318543,2344.3851199698565,237.90628972998098,2106.4788302398756,66340555.05309181,756813.316472207,756813.316472207,28483658.202248156,278805.6473434533,28292.969679017307,250512.677664436,127333.43645699226,11911.042362005155,3033.296204214283,8877.746157790873,13818.406815255863,38981.59318474414,9927.151213792196,29054.441970951942,0.0,0.0,0.0,1047364.6610956256,1018837.2601098064,490474.3723668491
1964.0,836168150.0,52200041.28983811,651923.7905112583,4773773.965240946,6065.241915242412,641.6687227845334,5423.573192457879,88708017.8213497,1056369.279437185,1056369.279437185,38960616.828660294,393498.6005377475,41629.95441121925,351868.64612652827,182066.87291398452,17866.56354300773,4688.721337067809,13177.842205939922,13818.406815255863,51975.457579658854,13639.916616924535,38335.54096273432,0.0,0.0,0.0,1465174.8819248455,1740285.2737639216,692213.4851020562
1965.0,839491962.5,65982729.69424213,828811.5955959868,7762280.148826703,10064.442995752599,1098.4490965124119,8965.993899240188,111359163.91739622,1383046.8115698323,1383046.8115698323,49590003.94229077,516939.9971501716,56419.64220577052,460520.3549444011,297489.26700897166,29777.605905012886,7993.94194152423,21783.663963488656,27224.542420341153,77963.18636948828,20929.5934468998,57033.592922588476,0.0,0.0,0.0,1931350.4172995505,2679937.756892084,912880.6772853107
1966.0,842829075.0,80080365.84699818,1010663.84724393,10875674.036915006,14442.284619978222,1615.750696075139,12826.533923903082,134563279.5147216,1740780.9737776443,1740780.9737776443,60514082.48373835,650741.9643833622,72802.66312320511,577939.3012601571,267711.66110395873,29777.605905012886,8140.527627111597,21637.078277901288,41042.949235597014,116944.77955423242,31970.072135565544,84974.70741866688,0.0,0.0,0.0,2438158.594658273,3856527.178749586,1154957.3871042028
1967.0,846179487.5,94504740.92918237,1197524.9178158182,12938265.200377941,17780.44981188593,2030.3256001660661,15750.124211719864,158585643.79407078,2133650.014301507,2133650.014301507,71409418.6845207,792338.6888193412,90476.08699058504,701862.6018287562,237934.05519894586,29777.605905012886,8264.464058346517,21513.141846666367,14642.949235597014,129938.64394914712,36063.11589096662,93875.5280581805,0.0,0.0,0.0,2966651.4102468295,5289037.637014814,1418752.2820767548
1968.0,849542962.5,109268158.79928316,1389482.129899207,15054762.393745514,21365.09332925886,2482.4448721479175,18882.648457110943,183390553.76493725,2562772.2883426175,2562772.2883426175,82678877.70275228,945586.9986607956,109869.28818048183,835717.7104803137,208156.449293933,29777.605905012886,8371.822678355573,21405.783226657313,27224.542420341153,155926.37273897656,43837.90784302555,112088.46489595101,0.0,0.0,0.0,3550866.8954026503,6999432.812011854,1706977.4722830027
1969.0,852919975.0,124383703.2822858,1586655.5169973634,17167581.97326751,25136.833723600383,2965.099899314663,22171.73382428572,208941243.91748184,3029152.2760169404,3029152.2760169404,94289318.3031363,1110596.1859051473,131004.11432943736,979592.07157571,178378.84338892007,29777.605905012886,8466.519692443515,21311.08621256937,54449.084840682306,207901.83031863542,59111.70112542381,148790.12919321161,0.0,0.0,0.0,4201017.296822717,9010102.070360484,2020246.8230683063
1970.0,856310525.0,139864324.8610361,1789178.4212497075,20910490.954970125,31099.487644040008,3717.5946994771866,27381.89294456282,235200006.57105482,3533667.7798499377,3533667.7798499377,106836910.9345026,1293195.9206373582,154587.05799187985,1138608.8626454785,148601.2374839072,29777.605905012886,8551.229058100122,21226.376846912764,28461.35605085288,233889.55910846483,67166.01732907732,166723.5417793875,0.0,0.0,0.0,4887608.454066279,11347441.919690438,2362318.6861100243
