Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,12812500.0,830682.4283929535,9317.571607046513,39619576.33607305,48418.51433296533,4115.573718302053,44302.940614663275,2804237.391619712,29275.31557365686,29275.31557365686,16475353.578704076,150620.7753050456,12802.765900928876,137818.00940411672,3837106.3562453063,342893.64375469385,77151.06984480612,265742.57390988775,2127106.849340199,2061693.1506598012,463880.95889845525,1597812.191761346,571.39764191643,30228.602358083568,30228.602358083568,2105179.633621754,111837.89514166497,99558.37045077188
1962.0,8712500.0,1647654.7304095987,18827.697983354716,69985692.33722863,88324.3937653047,8425.900537747211,79898.4932275575,5518505.62032306,60274.968166429855,60274.968166429855,29853755.869897645,283485.28624189727,27043.70473389327,256441.581508004,7325260.479752373,685245.8764929329,167004.68088750786,518241.19560542505,1986959.802075956,3924147.0472642435,956373.3951061286,2967773.652158115,571.39764191643,60457.204716167136,60457.204716167136,3943087.0953816986,318324.77643047774,190128.1616131786
1963.0,8712500.0,2450356.0087758866,28298.72163371238,99831371.7937247,129860.74655798603,13178.162637192088,116682.58392079394,6611043.40823093,77052.34723596407,77052.34723596407,41537892.367711574,409821.2466912773,41588.32583534341,368232.9208559339,10004551.018788218,985909.460964154,251074.19944882768,734835.2615153263,2521352.446258447,6310686.807796912,1607095.4798328034,4703591.327964108,571.39764191643,90685.80707425071,90685.80707425071,6091080.248566378,607416.5601848197,272876.06825834984
1964.0,8712500.0,3238873.350478363,37682.658297523536,134331376.23520243,179412.48413854573,18980.838877913055,160431.64526063268,7441705.462041241,92383.03711530268,92383.03711530268,55502824.54925828,565182.8505743574,59793.189280113846,505389.6612942436,12910275.214921277,1333675.803866941,349996.4715245567,983679.3323423844,2281029.785971192,8448177.500760382,2217054.780109275,6231122.720651107,571.39764191643,120914.40943233427,120914.40943233427,8093920.806096004,994668.0056333212,370952.8982216775
1965.0,8712500.0,4013909.0554182585,46964.295060104494,164197789.73199823,226055.55986966236,24672.05841448257,201383.5014551798,8830943.272408687,114620.44435262434,114620.44435262434,67320328.38999948,710790.8366749852,77576.82692270589,633214.0097522794,15401588.589332553,1675486.6255887253,449792.4665764301,1225694.1590122953,2378142.650016091,10687453.46481735,2869098.4350125142,7818355.029804837,571.39764191643,151143.01179041783,151143.01179041783,10144410.156167632,1476025.5197632394,467860.44143016543
1966.0,7175000.0,4774985.211317719,56123.84410053977,201643494.55395216,284502.82542203425,31829.149632953904,252673.67578908036,10044409.959435694,136648.25361731046,136648.25361731046,80412265.8634721,876832.603200902,98096.8680677732,778735.7351331288,17763141.756446127,2036246.832886427,556664.0801012132,1479582.7527852138,2995819.9897288363,13522281.546974577,3696687.600267986,9825593.946706591,571.39764191643,181371.6141485014,181371.6141485014,12654605.978179825,2065341.2634793832,578741.920823376
1967.0,9737500.0,5522231.793012664,65153.41830505504,233904261.6032922,339792.5858957779,38800.45742316628,300992.12847261166,11381623.388564529,161466.47896117752,161466.47896117752,92638707.60004222,1044769.6951673203,119300.84338799494,925468.8517793254,21179625.008750398,2523516.7476957287,700375.7631991477,1823140.984496581,4035816.415448983,17346808.967211142,4814425.971444044,12532382.995767098,1142.79528383286,241828.81886466854,241828.81886466854,15985280.25834146,2762091.484893671,691177.2377988268
1968.0,5125000.0,6256376.732552617,74055.0604600471,260389540.2277171,390965.0961012589,45426.86910130411,345538.2269999548,13389965.297565967,194932.2910650498,194932.2910650498,102717415.05303968,1202542.7974693188,139725.39951547584,1062817.397953843,23967471.269962646,2998153.738787752,842915.6979122494,2155238.040875503,4040405.4680801383,21145348.65865788,5944907.391379187,15200441.267278692,0.0,241828.81886466854,241828.81886466854,19200796.043037713,3562970.43707756,802408.9638349586
1969.0,21125762.5,6976958.652698387,82818.07985422919,293385834.83626497,452741.83442535775,53404.688212970636,399337.14621238713,16671870.477061126,243996.2808241904,243996.2808241904,115592958.37377429,1394153.323951371,164452.0517552806,1229701.2721960903,26815855.90029603,3520615.3696666146,1000999.1888496248,2519616.18081699,5190274.231762951,26059195.04400146,7409282.287939841,18649912.75606162,0.0,241828.81886466854,241828.81886466854,23284392.454975948,4496074.868879897,939930.2674303314
1970.0,20952025.0,7684711.245387902,91447.40731048577,329767998.1530465,521860.6210286563,62382.58008645378,459478.04094220256,18649898.563899186,283007.8664172819,283007.8664172819,128589518.09565869,1597028.3869818912,190906.8192477532,1406121.567734138,28949923.58193829,4025932.3183577424,1156126.1686551366,2869806.149702606,5612204.4205825515,31347697.85273175,9002112.044799948,22345585.807931803,0.0,241828.81886466854,241828.81886466854,27605828.2515927,5563095.132291735,1081587.2116817846
1971.0,20692187.5,8373249.507560603,99861.73782729777,367688027.6099399,596420.9411441011,72148.10432775952,524272.83681634156,20283034.21156932,320836.93362719665,320836.93362719665,141513449.97364217,1809614.7555374713,218906.25423902727,1590708.5012984439,31313783.11155957,4596940.4703787165,1331932.1150631406,3265008.355315576,7621605.778966844,38572286.45630433,11176056.643242586,27396229.81306174,0.0,241828.81886466854,241828.81886466854,33338885.25898397,6769077.975376446,1229835.428657271
1972.0,20527162.5,9050494.4404759,108155.06708470304,399683005.9010169,667541.9641064117,81622.75893335347,585919.2051730582,21040071.52024277,351633.8039386994,351633.8039386994,150818546.04384035,1999560.1731431112,244493.42028058288,1755066.7528625282,33645848.90869541,5216134.202864166,1523593.5729503,3692540.6299138665,6983680.781883644,45119028.46727552,13178928.899635283,31940099.567640238,0.0,241828.81886466854,241828.81886466854,38567088.77839305,8096857.4450494815,1364840.2923012506
1973.0,6662500.0,9720716.682071982,116377.758403917,428721334.7094869,738570.4896182218,91194.43015934351,647376.0594588782,22150345.521603897,387396.49931831757,387396.49931831757,160481199.14239883,2200982.028744272,271764.5840494433,1929217.4446948287,35702982.8209758,5841283.4565306185,1718818.8764310197,4122464.5800995985,4946784.914455257,49712359.53087787,14628042.379636317,35084317.151241556,0.0,241828.81886466854,241828.81886466854,42412600.55367785,9553843.518318955,1507003.9302025505
1974.0,20230425.0,10376282.2840127,124434.39805928238,457049329.78631896,812163.2894755524,101184.06183444538,710979.227641107,22625765.240302514,418090.09460070904,418090.09460070904,169476375.410169,2404705.854287552,299592.34676933626,2105113.507518216,37891426.360672794,6503429.1296548145,1926670.456603054,4576758.6730517605,6746025.302365622,56109672.10130755,16622745.54116834,39486926.56013921,0.0,241828.81886466854,241828.81886466854,47539696.881815664,11138753.200127034,1649273.1479519543
1975.0,20191987.5,11028618.284250068,132463.99976263265,478343761.2432104,880654.5023276326,110628.48172979747,770026.0205978352,23284167.42550996,451601.8527770722,451601.8527770722,175792345.61101165,2591860.5946679497,325591.4796160673,2266269.1150518823,37819888.03235702,6995210.802934573,2085393.7452445407,4909817.057690032,4986730.914221914,60746316.046226285,18109531.091801357,42636784.95442493,0.0,241828.81886466854,241828.81886466854,51276327.81940642,12842287.943462037,1784362.2450917882
1976.0,19890637.5,11661157.022596553,140261.26165351504,498493649.4967958,950854.614862714,120367.57398820088,830487.0408745131,23664180.626284868,483202.76030525606,483202.76030525606,180462735.3071028,2770083.627046529,350661.64765910915,2419421.97938742,38691972.080864765,7584987.870192647,2274433.6701283306,5310554.200064316,4930868.165243801,65382959.99114502,19605727.550456423,45777232.440688595,0.0,241828.81886466854,241828.81886466854,55062727.24018476,14659670.942997998,1915728.7810312267
1977.0,19731250.0,12282427.126778705,147929.8958178472,524096013.28527147,1030833.089893219,131429.36362762612,899403.7262655928,25387997.1229858,529478.5314131704,529478.5314131704,186774971.7231449,2968188.9866926717,378438.7535405527,2589750.233152119,40650113.20604412,8293875.361070772,2500576.5516078924,5793298.809462879,4930868.165243801,70019603.93606375,21110683.74347839,48908920.192585364,0.0,241828.81886466854,241828.81886466854,58962680.31174379,16611987.829036351,2066315.6047925279
1978.0,19414012.5,12881888.619870232,155338.50690847318,574533643.6233321,1144746.043758258,146934.53824208546,997811.5055161725,25658724.780740913,562402.3656129005,562402.3656129005,202326415.71497494,3256436.6506849504,417981.80320598715,2838454.8474789634,41794047.38214345,8961435.144359516,2715673.6418707133,6245761.502488803,6289356.573225777,75972959.47300051,23022848.484887984,52950110.988112524,571.39764191643,272057.42122275213,272057.42122275213,63866598.63043212,18748534.344661444,2262122.2029829468
1979.0,19414012.5,13478172.260899574,162716.35897065906,646557228.2538192,1290475.1304817412,166686.26522847806,1123788.8652532632,26028419.214664586,596749.680429242,596749.680429242,223189530.34454134,3604609.568262947,465595.10706439655,3139014.46119855,41445148.2560686,9513854.851482209,2896967.3983880677,6616887.453094142,6190368.965336333,81789879.43379067,24905006.218469676,56884873.21532099,29141.27973773793,1813716.141485014,1813716.141485014,70175029.8167812,21109851.822553854,2498235.5289886417
1980.0,19290500.0,14064197.07297105,169975.18792852366,799539232.0836505,1542278.6332909856,200397.49197817198,1341881.1413128136,26542334.819021136,632965.5412087329,632965.5412087329,275410524.10583013,4254196.721100877,552773.2375253165,3701423.4835755606,41190511.820895,10081434.067065636,3083757.1548469784,6997676.912218657,8755549.441937555,90097290.0702728,27559388.97563972,62537901.09463309,27998.48445390507,3294917.6570311086,3294917.6570311086,78506765.82997997,23881753.45788181,2904368.530769156
1981.0,19192100.0,14656082.834400058,177314.23857099228,952263081.527497,1806861.012413341,236098.61946723517,1570762.392946106,27020021.247908615,669183.4593722334,669183.4593722334,326967531.3213254,4932603.989761164,644532.6919781781,4288071.297782986,44333029.66941849,10957437.09168947,3366147.7489411,7591289.342748369,7245941.021350975,96864927.77595755,29757109.792734213,67107817.98322334,22284.50803474077,4473833.148996368,4473833.148996368,85700957.62506941,27075275.293555032,3334495.3144281004
1982.0,19544187.5,15281604.491955407,185078.34244465124,1105216819.762526,2085300.1684440046,273936.7845475754,1811363.383896429,27767233.217608448,708446.4845817208,708446.4845817208,371500222.7715875,5582027.871276063,733286.6459476203,4848741.225328443,45934778.522609875,11728586.849459894,3617778.157607152,8110808.691852742,7337851.3067991575,103769001.05778891,32008393.70353216,71760607.35425675,22284.50803474077,5652748.6409616275,5652748.6409616275,92892715.78087772,30678845.598801933,3764980.788559688
1983.0,20001337.5,15948045.486188304,193359.00576710317,1323698995.8811734,2457919.323071724,324525.01977177477,2133394.303299949,31501449.68663963,779263.6232422197,779263.6232422197,447061799.5036674,6546545.819568634,864356.242936923,5682189.576631711,48509344.12112364,12605672.696116637,3903451.729943626,8702220.966173012,5337962.881545697,108730491.61258051,33669303.95658285,75061187.65599766,38855.03965031724,7708293.60131131,7708293.60131131,100066549.72665586,34893276.521863,4380416.580112812
1984.0,19859887.5,16616373.762205426,201671.72398287815,1559454460.4666917,2870885.1696200487,380882.6535647058,2490002.5160553427,33023888.54258311,830095.5190851368,830095.5190851368,535736062.22401655,7682700.03254818,1019270.0167544058,6663430.015793774,49237572.37599571,13341630.737817502,4146678.2740829755,9194952.463734526,6949860.930326677,115314049.57267062,35840466.091159575,79473583.48151106,38855.03965031724,9763838.561660992,9763838.561660992,108415902.55784082,39795891.28894896,5080913.283848295
1985.0,20082312.5,17313818.35477141,210355.40743401574,1645345714.2502038,3121885.6147417612,416094.7092524905,2705790.9054892706,33700456.08048195,873138.3628928064,873138.3628928064,559619415.3507931,8287800.792561431,1104624.091555214,7183176.701006217,55316685.830501996,14565761.04602176,4543201.390104749,10022559.655917011,5497604.576025904,120440129.07646447,37566438.17756691,82873690.89889756,26855.689170072208,11184582.87249092,11184582.87249092,114842939.39669378,45054478.88921999,5503518.369117266
1986.0,20244775.0,18035271.251270145,219347.10350126316,1728096654.9262915,3380443.925512718,452544.9234289121,2927899.002083806,33997856.78978491,912392.5356412629,912392.5356412629,576129823.7748684,8846583.549087983,1184304.950191499,7662278.598896484,56072798.86099933,15365064.176647833,4808782.724556946,10556281.452090885,6103793.421399255,126198576.64747751,39496192.67899884,86702383.96847866,35998.051440735086,13088984.821050186,13088984.821050186,121850220.3782413,50652137.9252107,5904911.100630847
1987.0,20445675.0,18782798.120457847,228673.13081229804,1796924981.2415166,3633494.761788509,488478.144577066,3145016.617211443,34317478.80048848,951581.8500873484,951581.8500873484,589938513.696507,9396702.587439291,1263269.70203075,8133432.885408541,59163054.7582639,16397534.985027097,5148622.580142794,11248912.404884303,6083638.8801456345,131918042.6253058,41420628.99143537,90497413.63387042,29141.27973773793,14630643.541312447,14630643.541312447,128607000.9327745,56583550.552309416,6298618.725608612
1988.0,20545100.0,19553105.18674383,238292.93371401643,1825143255.7960646,3847763.637274134,519382.9393614967,3328380.697912637,34414890.26045801,988055.4935202597,988055.4935202597,588410413.6181657,9820344.778532717,1325580.2636128147,8494764.514919903,58615241.48510819,17146125.95044524,5400507.090901033,11745618.859544206,4064778.657949786,135681932.01169944,42735673.239196464,92946258.77250297,24570.098602406488,15930473.44271004,15930473.44271004,133433551.78111002,62771733.036716454,6623018.221945758
1989.0,20508712.5,20335235.24896543,248069.9377783973,1874804126.3861961,4096495.3734094817,555113.7835664155,3541381.5898430664,34996024.62362622,1028858.806239675,1028858.806239675,595724570.1213886,10328038.401521724,1399546.6737501107,8928491.727771614,65113794.22821281,18529972.508503657,5853933.091669829,12676039.41683383,3466486.4166157036,138926066.82229647,43889104.50316952,95036962.31912695,571.39764191643,15960702.045068124,15960702.045068124,137172435.90488327,69275275.56143683,6995189.5991339795
1990.0,20370337.5,21121329.426979292,257905.82198613795,1923734742.9382572,4354252.591481325,592256.5579745417,3761996.0335067837,34680833.5893117,1059927.366721009,1059927.366721009,599030409.1921076,10806856.61908817,1469926.5991751095,9336930.019913059,68938925.34514533,19738221.426891908,6253706.67101762,13484514.755874287,4602923.230246215,143287673.9708562,45398167.504864335,97889506.46599185,571.39764191643,15990930.647426208,15990930.647426208,141523805.28943318,76078904.01836382,7355224.963213856
1991.0,20235550.0,21907774.323503274,267755.1034760179,1946785668.621659,4590455.111385033,626642.1461966224,3963812.96518841,34599230.398335464,1092120.077914771,1092120.077914771,595239454.1340357,11225058.970741862,1532330.6456398398,9692728.325102022,74329414.13784663,21143002.544253245,6717505.177893769,14425497.366359476,4642847.266189246,147653612.40754753,46912159.41569344,100741452.9918541,571.39764191643,16021159.249784293,16021159.249784293,145936770.97620308,83145512.80678055,7682052.579788465
1992.0,20220012.5,22708778.670437988,277795.6530652863,1981763089.3363311,4849676.486057123,664337.9700352323,4185338.516021891,34222341.97629813,1120018.9586320373,1120018.9586320373,597381289.6425385,11696149.495969182,1602209.1856477803,10093940.310321402,74376667.89179578,22145370.900117625,7054958.641779023,15090412.2583386,6069665.641019146,153402357.8931457,48870136.12771681,104532221.7654289,28569.8820958215,17532589.36768847,17532589.36768847,152554521.1764313,90508308.29689664,8036502.294859255
1993.0,20336725.0,23525338.53278358,288040.13765440765,2005253269.7152424,5104254.346301431,701567.5781979881,4402686.768103443,33620590.891451016,1143982.226643323,1143982.226643323,593910356.6105409,12117117.09210853,1665468.8258652084,10451648.266243322,71076359.5500617,22865131.72890955,7303253.500574252,15561878.228335297,6535095.477307406,159559695.44464198,50964276.87898639,108595418.56565559,32569.66558923651,19255619.702099234,19255619.702099234,159411233.7570802,98139290.73701273,8367334.820873996
1994.0,20127112.5,24336512.840689108,298225.6920944708,2038909324.9107213,5379977.139527007,741874.1419822768,4638102.99754473,33325753.246826854,1169249.4519994722,1169249.4519994722,594886739.0160642,12575204.124272035,1734062.901755472,10841141.222516563,69006792.71825306,23688498.774513647,7585335.272343879,16103163.50216977,6898428.699550123,166056627.64209932,53173280.70680792,112883346.93529141,45711.8113533144,21673907.89074592,21673907.89074592,167308912.00026786,106065955.39951031,8721829.009563189
1995.0,19943425.0,25144730.444827974,308382.3958611354,2079337550.2862034,5673506.73665587,784817.4402859977,4888689.296369873,32940657.782923125,1191870.1249364258,1191870.1249364258,596969626.771814,13041444.88796996,1804025.9524994218,11237418.935470538,69967759.77132654,24779683.802924044,7954139.676530169,16825544.126393877,5465809.474147081,171154553.77303752,54939652.89517892,116214900.87785861,96566.20148387666,26782541.68926204,26782541.68926204,177140965.0502914,114297738.02619885,9086195.730088292
1996.0,19719912.5,25948242.552931145,318487.8918968294,2104704425.5724208,5958751.337313808,826793.3376738942,5131957.999639913,32533977.59895225,1212408.3042032726,1212408.3042032726,592712120.2487617,13447304.883097889,1865850.99085994,11581453.892237948,70032878.34342793,25820156.666126512,8307764.800866605,17512391.86525991,5396843.691909394,176228657.81925172,56702453.79476936,119526204.02448235,96566.20148387666,31891175.487778164,31891175.487778164,186855591.57360157,122801166.9276172,9422391.294662775
1997.0,19577525.0,26748285.191501312,328557.36142983346,2137204122.245545,6261894.4179484015,871428.8263384657,5390465.591609936,32107824.276282813,1230808.5023255537,1230808.5023255537,595613958.2115564,13911012.76946596,1935908.9632889144,11975103.806177046,75195135.58864132,27308015.499259446,8806692.550109511,18501322.949149936,5603882.963236237,181504166.7635871,58534146.99043453,122970019.77315256,85709.6462874645,36425465.8414907,36425465.8414907,196493186.46390572,131610037.86644843,9787506.96128132
1998.0,19216725.0,27531265.972276375,338419.2192249358,2156897300.966217,6559137.109066098,915418.0497859169,5643719.059280181,30872799.228275463,1238767.8999113226,1238767.8999113226,591800833.0802345,14309057.255161272,1997026.296140314,12312030.959020957,80177851.28858018,28834134.04422185,9319619.626977751,19514514.4172441,13493080.902784029,194420067.97213233,62839448.50129905,131580619.47083327,53711.378340144416,39266954.46315055,39266954.46315055,209556606.2694404,140684953.10752958,10119602.677131321
1999.0,19102112.5,28303315.862062618,348150.1102137563,2191666504.885572,6883725.641209964,963400.9781270874,5920324.663082876,29631242.73593783,1243865.151924922,1243865.151924922,585919778.9003823,14678564.455342285,2054315.3650866027,12624249.090255683,98704025.07230967,31618610.90184878,10241779.168421542,21376831.73342724,11688826.338654641,205352239.21638724,66516909.68726703,138835329.5291202,58282.55947547586,42350271.90367508,42350271.90367508,222350872.071486,150023810.93054083,10449581.082252214
2000.0,18770937.5,29064564.651128817,357751.21093380067,2213481253.1288342,7202490.888404849,1010748.5353646044,6191742.353040244,28386032.48637325,1246072.357127151,1246072.357127151,579728869.7962626,15033103.668507257,2109643.420637936,12923460.247869322,109649188.66737393,33902731.9403987,11004818.151507972,22897913.788890727,12220224.94572738,216860471.78215003,70392853.89768271,146467617.8844673,59996.752401225145,45524275.151273854,45524275.151273854,235251081.7826686,159615972.229159,10769113.659418544
2001.0,18540550.0,29815733.455989335,367231.19513948384,2254073200.8199506,7553353.145098228,1062783.8360771982,6490569.30902103,27140064.501352396,1245380.7620347769,1245380.7620347769,577384464.955983,15409297.492078373,2168143.3378384467,13241154.154239926,119624097.62698159,36191406.245597005,11771850.078046042,24419556.167550962,11460946.437616661,227615060.21300778,74035541.64626937,153579518.56673843,73710.29580721947,49423764.855466634,49423764.855466634,248399943.81505173,169484429.24935192,11108647.205102807
2002.0,19275300.0,30556942.26552874,376591.1904605976,2308238078.294778,7931279.300701671,1118826.2657049282,6812453.034996743,25896233.97806459,1241800.7516496473,1241800.7516496473,575348731.3569981,15776143.500928955,2225462.381435473,13550681.119493483,131319330.62786129,38727375.446671195,12621913.109778678,26105462.336892515,11950936.572288373,238867746.77900392,77851078.46321546,161016668.31578845,68567.7170299716,53051197.13843666,53051197.13843666,261778262.6972575,179634858.47131836,11454505.68417345
2003.0,19065175.0,31288309.92988102,385832.33564771607,2351515111.6486497,8307379.661403789,1174813.0313730564,7132566.630030733,24657416.2353592,1235361.6483728457,1235361.6483728457,571301317.797129,16111663.354405873,2278479.236213606,13833184.118192267,142251887.39460272,41299619.185847856,13486489.893233366,27813129.29261449,16506057.817893455,254520155.8291182,83114168.52942382,171405987.29969436,79995.6698683002,57283201.46856836,57283201.46856836,278703430.45747304,190050187.35937464,11785783.508539567
2004.0,18861200.0,32010546.658688292,394963.2711927289,2396642938.8839297,8696527.72575855,1232844.5077529505,7463683.2180056,23426447.955058802,1226111.3239290006,1226111.3239290006,565107435.6221489,16412454.203443486,2326676.193250132,14085778.010193355,153326994.6656256,44018043.899467304,14401520.763982667,29616523.135484636,17718143.698064037,271212074.0308256,88733300.47374065,182478773.55708498,79995.6698683002,61515205.798700064,61515205.798700064,296386075.04339767,200718954.53161016,12106805.379892413
2005.0,18661837.5,32723169.08573093,403977.57295736467,2453369353.7691903,9110793.591644231,1294643.1985500383,7816150.393094193,22206108.902049962,1214115.6312018717,1214115.6312018717,562904663.6401905,16732403.287148943,2377673.4587611523,14354729.828387791,162457237.72695148,46736468.61308675,15319274.41123618,31417194.20185057,17751125.394877683,287903992.23253304,94369138.10526107,193534854.12727195,79995.6698683002,65747210.12883177,65747210.12883177,314084254.3106381,211660070.20899844,12443880.175295549
2006.0,18485025.0,33426292.68475953,412876.4009713936,2513548375.7266364,9541058.747382453,1358929.3808259512,8182129.366556501,20999104.298980597,1199457.6648097187,1199457.6648097187,559619656.5977092,17026876.348913155,2425131.5442928686,14601744.804620286,169672699.72200814,49454893.3267062,16239667.398447545,33215225.928258657,13970595.154243631,300931640.67487454,98817921.25087933,202113719.4239952,79995.6698683002,69979214.45896347,69979214.45896347,329291491.6472038,222867206.20131344,12776195.843671542
2007.0,18320000.0,34144324.08369089,421968.6010686405,2573675672.2824373,9983323.720326114,1425141.5644113508,8558182.155914763,19808048.021665066,1182236.861020031,1182236.861020031,556919351.2991681,17309799.955632325,2471012.2680076277,14838787.687624697,174173919.10934508,52080736.75651188,17132165.910611358,34948570.84590052,33574760.148055986,333073263.64213556,109565777.45402928,223507486.1881063,9713.75991257931,70493100.69905089,70493100.69905089,353528364.43761724,234339093.79248464,13107319.113388292
