Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1406200000.0,0.0,0.0,84024538.15906972,165141.47911085436,9908.488746651261,155232.99036420308,31513392.17243108,462985.54484214005,462985.54484214005,55268869.182813846,684839.0213163723,37666.14617240048,647172.8751439719,8201750.096293175,580379.8345776185,87056.97518664277,493322.85939097573,9777988.599725274,8219603.613449838,1232940.5420174757,6986663.071432362,17239.702833845804,56601.98584106792,56601.98584106792,8801979.32701472,5646915.627574834,3155063.699439887
1962,1396200000.0,0.0,0.0,205069799.31065977,414011.4044228437,27710.392642324197,386301.0117805195,82135710.41481759,1256416.4905345365,1256416.4905345365,134895121.16260695,1727793.6827129736,107004.80574683136,1620788.876966142,19121508.02392332,1452767.4076995421,238054.74380805768,1214712.6638914845,16322668.085299732,16039058.594747847,2628207.3540878817,13410851.240659965,34576.13313250374,113896.6733058809,113896.6733058809,18002966.957138527,16079583.573750935,7570299.010962427
1963,1442800000.0,0.0,0.0,331003230.6272818,688817.8647037302,48896.509590400274,639921.35511333,143712967.5126874,2293013.3958092304,2293013.3958092304,221619534.75851202,2941871.262416609,194122.67863861803,2747748.583777991,32508393.14114918,2630605.757480381,452391.1798582377,2178214.5776221436,20583060.80863844,21099000.983970564,3628442.5827877964,17470558.401182767,34673.08968116129,114589.47867656217,114589.47867656217,25444045.79218202,29493150.284017827,12030479.081915129
1964,1761200000.0,0.0,0.0,477589641.2095473,1021954.5050001114,75484.56797603393,946469.9370240775,230242954.6961764,3799243.0477199527,3799243.0477199527,327554922.8889718,4487158.160478152,308998.91937953804,4178159.2410986144,41915629.61328352,3681440.171162568,654287.2206760434,3027152.9504865245,18424914.466060773,20228596.93418113,3595145.3373916177,16633451.596789513,34673.538734779184,114589.58242368852,114589.58242368852,28699066.35554237,42893865.00606215,15298351.633498056
1965,2134000000.0,0.0,0.0,628778013.425889,1385385.7718260062,105420.07015479589,1279965.7016712104,331784004.06242096,5672261.328807557,5672261.328807557,441288943.0833044,6244536.3536192365,443951.4349799359,5800584.9186393,49791198.35550642,4718731.695967225,859699.868196966,3859031.827770259,38635473.709723145,36668027.188403465,6680502.340884138,29987524.847519327,629443.7264419922,2067358.093940722,2067358.093940722,48666726.71834837,67740459.95103627,23820131.77337425
1966,2235000000.0,0.0,0.0,821430773.181924,1853118.562568295,144390.54107493794,1708728.0214933571,431378897.8618239,7691680.705504909,7691680.705504909,572180316.7669616,8340984.050127901,608204.4943020031,7732779.555825898,57851790.97114545,5830032.53746158,1083425.200717326,4746607.3367442535,45255078.1571476,47034507.9060158,8740666.684324082,38293841.22169171,667260.6695852228,2204460.271642063,2204460.271642063,62378097.1129022,97938717.02022125,32179840.043717228
1967,2198800000.0,0.0,0.0,1030843505.0686185,2383009.6853747405,189351.8084431626,2193657.876931578,525318725.5944332,9805158.198328028,9805158.198328028,711225930.9895028,10685309.270872505,795618.5274578441,9889690.74341466,68751133.06442283,7188880.042671552,1358110.299108248,5830769.743563304,65802979.71784908,65731690.14423305,12417912.780959401,53313777.36327365,555404.3994270373,1837936.3461919099,1837936.3461919099,82870990.27170312,137668522.17683154,43141185.11509283
1968,2370400000.0,0.0,0.0,1254921537.3481927,2974399.8752592485,240314.89913736892,2734084.9761218796,615019651.1534549,12028421.21582979,12028421.21582979,857000153.7157474,13271138.370678438,1005878.1747210139,12265260.195957424,82944011.04879521,8846072.141974267,1694808.6191505003,7151263.522823766,74170399.7826482,77549756.691933,14857667.216037337,62692089.47589567,158270.99279166645,531588.3187934378,531588.3187934378,97402707.70542195,181829609.8100423,53241620.07221122
1969,2675400000.0,0.0,0.0,1501756468.0570252,3646494.9276904827,298911.37842396286,3347583.54926652,689961707.4122959,14202313.50447015,14202313.50447015,1007091073.4085693,16078085.570537236,1237566.3541005405,14840519.216436695,95489965.8286708,10477337.882266589,2032021.9683394276,8445315.91392716,83225573.92098711,86990741.97625822,16871375.221857693,70119366.75440052,242251.7550610178,798665.436297936,798665.436297936,111753764.374799,230367273.63966173,63216100.545179576
1970,2534000000.0,0.0,0.0,1753849111.6448283,4369364.868796614,362770.23625522654,4006594.6325413873,791172494.5572019,16906720.34761156,16906720.34761156,1169364128.2409136,19210191.917107925,1498891.57085981,17711300.346248116,106852499.41515246,12081431.082922913,2368585.124709901,9712845.958213013,71430168.33314042,79124622.50321928,15512516.90077677,63612105.6024425,225497.45965503866,745524.5723948248,745524.5723948248,112695091.4594514,274329188.7151147,68733176.38399844
