Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,23203750000.0,0.0,0.0,27264330632.744236,33319346.282819837,2832144.4340396863,30487201.84878015,16031364230.418467,167362167.09907597,167362167.09907597,16478100841.311405,150645891.29554048,12804900.760120941,137840990.53541955,802676200.5443108,71729199.45568913,16139069.877530055,55590129.57815908,308019371.6624396,298547028.3375605,67173081.37595111,231373946.96160936,0.0,0.0,0.0,622654436.0230441,177045463.78507888,158644895.69819677
1962.0,23037500000.0,0.0,0.0,54392344686.73027,68396099.30603257,6524796.891941886,61871302.41409068,32683441597.79759,356431655.4236547,356431655.4236547,33065242217.766045,312847057.6396747,29844735.738613583,283002321.9010611,1614648751.1692052,150699049.37510568,36727614.88145908,113971434.49364659,327077101.94495463,606384669.717485,147785023.93846923,458599645.7790157,0.0,0.0,0.0,1273876360.011469,541750483.341269,336600260.18261635
1963.0,24296250000.0,0.0,0.0,81866401532.30643,105895184.009795,10746156.897791548,95149027.11200345,50739151368.4832,576714251.4417205,576714251.4417205,50269473401.60367,491706596.900377,49897984.383141,441808612.517236,2387092866.1575623,233193485.01164284,59385643.29094025,173807841.7207026,346958239.9792563,933206346.9783798,237652691.0077806,695553655.9705992,0.0,0.0,0.0,1983033388.7622619,1115284301.9011881,540138072.5110408
1964.0,25758965000.0,0.0,0.0,110200609292.56085,146555933.94103956,15504799.357155198,131051134.58388436,69161930618.19153,819457780.3853389,819457780.3853389,67815327012.55031,685476238.3817585,72519557.92170405,612956680.4600544,3126943103.907522,320147162.2500404,84016203.06166476,236130959.18837565,370203531.2543045,1281974661.2022858,336428543.3564437,945546117.8458421,0.0,0.0,0.0,2745142672.4634953,1914267876.208354,764482021.1221118
1965.0,24965457550.0,0.0,0.0,138613251915.3925,189573349.83489028,20690332.782136753,168883017.0527535,96098661951.34601,1170817318.401941,1170817318.401941,88814112680.47917,923188981.9560388,100758293.68478565,822430688.2712532,3843707289.9539566,412808213.9535654,110820356.27228126,301987857.6812842,428090431.81957644,1686174800.934898,452661758.8039745,1233513042.1309233,0.0,0.0,0.0,3697631923.5381556,3014257844.875759,1062141055.0585425
1966.0,24153750000.0,0.0,0.0,166512647538.691,234324053.36171323,26215329.657926872,208108723.70378637,122296568746.25294,1542999361.0033593,1542999361.0033593,108996786801.448,1168384166.9566517,130714605.1139261,1037669561.8427256,4537625564.683919,511708125.27003765,139889490.91696367,371818634.35307395,475215543.6897727,2134346177.7799013,583482234.3159696,1550863943.4639316,0.0,0.0,0.0,4711460224.366877,4425619826.6795225,1377415664.7461085
1967.0,22823750000.0,0.0,0.0,195345457842.38547,282636026.4641463,32273826.935231164,250362199.52891517,147751785480.894,1936304674.6138353,1936304674.6138353,129036266036.6665,1427101581.6487033,162958806.21208632,1264142775.436617,5212904075.892094,617780288.7918252,171458478.1920117,446321810.59981346,523277427.50629187,2627749196.583603,729304392.6630181,1898444803.9205847,0.0,0.0,0.0,5795576264.099766,6163553907.259558,1712875568.9993324
1968.0,21493750000.0,0.0,0.0,224414242327.9274,333819207.9129061,38786995.597768344,295032212.31513774,172653706891.07986,2352918720.8691835,2352918720.8691835,148808936004.28366,1698478785.1602528,197349006.89148346,1501129778.2687693,5797559825.486521,725233050.4055724,203895589.11639223,521337461.28918016,561311293.7907784,3156625465.1854215,887469219.010157,2269156246.1752644,0.0,0.0,0.0,6939574418.917536,8243989648.025484,2068644970.6871638
1969.0,20876250000.0,0.0,0.0,254023281906.71655,388363020.4153461,45810668.33608132,342552352.07926476,195376055039.85007,2776111211.1502185,2776111211.1502185,167733253316.9526,1977349723.1514425,233244947.61333242,1744104775.53811,6308438470.567408,835695154.9191141,237609078.0626258,598086076.8564883,555023201.204932,3678316126.776852,1045837466.6428812,2632478660.133971,0.0,0.0,0.0,8093333075.758053,10672047097.182224,2434710889.6108527
1970.0,20543750000.0,0.0,0.0,284830203799.015,447212465.5745676,53459230.92333494,393753234.65123266,217724584539.0049,3223294527.293543,3223294527.293543,186786512792.96588,2272383260.2457423,271637914.43005395,2000745345.8156884,6778938748.966741,952420121.6006659,273506293.4653121,678913828.1353538,623742970.6426613,4266834232.951329,1225305922.6889503,3041528310.2623787,0.0,0.0,0.0,9338235246.158195,13466897697.365917,2822942507.576771
1971.0,20520000000.0,0.0,0.0,316598908600.1401,510269866.2077704,61726544.128126524,448543322.0796439,239320679189.2679,3690565774.2861605,3690565774.2861605,205694947727.39917,2581377224.7501373,312265147.77182764,2269112076.9783096,7176770100.243202,1073082048.723538,310918197.0056881,762163851.71785,660826483.1346309,4889240337.467744,1416624005.8355458,3472616331.6321983,0.0,0.0,0.0,10643001356.694162,16644432443.022507,3230686427.6875257
1972.0,20258750000.0,0.0,0.0,347328933203.65704,575269755.7128757,70340303.85648708,504929451.8563886,260027724285.68054,4176042214.0957623,4176042214.0957623,223658306006.02014,2897102465.581621,354239147.3020525,2542863318.2795687,7549229011.929992,1202259288.313211,351170896.5785424,851088391.7346685,688244742.9147484,5537179385.520166,1617368456.398036,3919810929.1221304,0.0,0.0,0.0,11994734305.08852,20215164457.86946,3653102969.3847666
1973.0,19831250000.0,0.0,0.0,377686732678.6656,643068975.3284563,79402453.22900139,563666522.0994549,280251346426.56635,4683202614.414163,4683202614.414163,241026307162.85754,3222283406.1313844,397868995.8029027,2824414410.3284817,7896355497.19209,1335526707.661861,392983585.232549,942543122.429312,720974864.7184417,6216056824.69688,1829097301.4349658,4386959523.261914,0.0,0.0,0.0,13400786192.533325,24193280470.747494,4093167533.9640636
1974.0,20140000000.0,0.0,0.0,408328683640.45917,714557019.4390057,89023700.7459936,625533318.6930121,299923287754.2748,5210785213.753609,5210785213.753609,257997787772.64648,3558421795.9182415,443329039.4887614,3115092756.42948,8247969826.725948,1474170518.8742456,436729720.59602606,1037440798.2782196,753286621.3789421,6925300924.96451,2051651894.5941255,4873649030.370384,0.0,0.0,0.0,14862501117.524704,28593415976.2592,4551275783.364396
1975.0,19522500000.0,0.0,0.0,439671686768.01935,790376806.5345451,99287729.6036723,691089076.9308728,319989715310.5307,5767893571.079977,5767893571.079977,275115036415.2258,3910227167.332305,491205681.2259896,3419021486.1063156,8614305647.53677,1619207491.8392673,482713855.3591766,1136493636.4800906,806936212.125096,7685610912.304154,2291214000.0382175,5394396912.265937,0.0,0.0,0.0,16408894682.863194,33437459971.433067,5033960138.943295
1976.0,19570000000.0,0.0,0.0,470233039404.4252,868880796.8075348,109990604.20162976,758890192.605905,338653747845.2257,6335731284.442,6335731284.442,291181478267.011,4266804430.761498,540129784.2857083,3726674646.4757895,8920986280.224588,1764179856.422992,529006787.3910398,1235173069.0319521,844484881.402695,8480744456.222171,2543035146.409005,5937709309.813166,0.0,0.0,0.0,17994178502.368813,38731412844.2707,5527343250.686068
1977.0,19166250000.0,0.0,0.0,500068389468.33624,950199540.9276251,121148731.26193169,829050809.6656934,356148775807.9418,6914875678.828917,6914875678.828917,306292420639.6272,4628260159.266434,590094840.182608,4038165319.0838256,9188708730.691189,1910442583.9292672,575992249.7738093,1334450334.155458,860805732.1577238,9290626036.228415,2801093650.9843116,6489532385.2441025,0.0,0.0,0.0,19606074526.977997,44482020825.50704,6031483826.342087
1978.0,18477500000.0,0.0,0.0,529183048805.2143,1034403947.7975348,132771514.91734485,901632432.88019,372104628372.7186,7499630165.568661,7499630165.568661,320377914698.94147,4993180673.074988,640902583.2043077,4352278089.870681,9454626733.390724,2060882658.3681686,624529957.9991417,1436352700.369027,875819317.112785,10114605959.103142,3065130568.772086,7049475390.331056,0.0,0.0,0.0,21239368779.019615,50692590472.94071,6542971040.885862
1979.0,18548750000.0,0.0,0.0,556682444879.978,1120463411.3055782,144726432.10564333,975736979.199935,386830483195.3379,8090864107.80932,8090864107.80932,333271963190.50104,5359162624.8112135,692224733.0317442,4666937891.7794695,9583062199.599781,2203123784.844218,670850867.3865974,1532272917.4576204,837053684.7309456,10900578828.622744,3319224644.7988954,7581354183.823849,0.0,0.0,0.0,22847166080.070194,57365519870.170166,7060609581.559271
1980.0,18738750000.0,0.0,0.0,584080640289.1816,1210225340.348305,157251820.58492014,1052973519.7633848,401101699242.3006,8694426756.661016,8694426756.661016,345770539702.71594,5732424416.078921,744848207.801056,4987576208.277865,9735537915.936232,2350645473.434089,719026653.2508228,1631618820.1832664,851720655.9976176,11701936433.585924,3579444150.7604403,8122492282.825483,0.0,0.0,0.0,24489087587.711014,64510174392.789055,7590321962.083371
1981.0,19213750000.0,0.0,0.0,611588777911.1173,1304046219.4936233,170396898.28310907,1133649321.210514,414675217133.3868,9306119974.396383,9306119974.396383,357869158017.61664,6112308822.428657,798682170.249119,5313626652.179538,9889753913.268286,2501685611.7495613,768523088.0253887,1733162523.7241726,886740756.0732251,12536764067.586338,3851320321.712633,8685443745.873705,0.0,0.0,0.0,26172002217.384315,72133503302.672,8130067037.903499
1982.0,19783750000.0,0.0,0.0,638791496741.592,1401530670.2465398,184112968.99219275,1217417701.254347,427258139121.9704,9920894450.89195,9920894450.89195,369334048594.75543,6496014013.174042,853353017.504766,5642660995.669275,10024644976.157589,2654171858.889984,818700931.3973696,1835470927.4926145,894347126.529972,13377934873.055536,4126532991.4711843,9251401881.584352,0.0,0.0,0.0,27867845956.89254,80238380938.82057,8676095511.667006
1983.0,19071250000.0,0.0,0.0,666107915625.1776,1503273097.6429913,198480774.83897668,1304792322.8040147,439497071125.1415,10543135711.867546,10543135711.867546,380483593325.8816,6885593672.983277,909121549.2267398,5976472123.756537,10196787482.360542,2812897867.9950485,871037295.1665295,1941860572.8285189,918183668.786881,14242014121.330257,4410158505.61584,9831855615.714417,0.0,0.0,0.0,29598116346.97103,88831352473.66534,9231428623.58332
1984.0,20211250000.0,0.0,0.0,693785714715.2306,1609685725.1222496,213558304.90110886,1396127420.2211409,451729309217.2537,11174523755.761312,11174523755.761312,391536293697.1088,7282347811.794284,966154964.3604963,6316192847.433787,10370813810.614279,2974577635.1355515,924520899.7747656,2050056735.360786,946138104.467052,15132483648.313763,4703288706.643029,10429194941.670734,0.0,0.0,0.0,31366095700.44776,97920629668.28204,9797566828.799541
