Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,7166278787.5,111477733.46909809,1418266.5309019138,14093042.578144453,17222.90461353811,1463.9468921507396,15758.95772138737,225593899.62875274,2355126.0755812763,2355126.0755812763,126765140.98744832,1158910.716299464,98507.41088545445,1060403.3054140096,813870.4534562413,72729.54654375876,16364.14797234572,56365.39857141304,125123.93231412936,121276.06768587066,27287.115229320898,93988.95245654976,0.0,0.0,0.0,3581642.6897446364,1808593.4701314399,1622694.8685852336
1962.0,7400686037.5,226717987.03397718,2933946.435120897,25894657.170101814,32640.010003011957,3113.765813861559,29526.2441891504,457973697.6453589,4995373.501139468,4995373.501139468,256077667.95618325,2422335.3613705183,231084.02960806355,2191251.331762455,1692339.377329082,157731.07612715918,38441.42509762493,119289.65102953425,128971.79694238806,242552.13537174131,59113.58733547815,183438.54803626315,0.0,0.0,0.0,7518879.276156871,5559540.646812995,3465203.900409518
1963.0,7642761312.5,345895770.29304993,4521216.740927222,39492424.83531779,51128.95594171563,5188.524744610916,45940.431197104714,697506935.4947462,7941477.349223547,7941477.349223547,390593600.7592577,3819177.092700402,387566.97617914027,3431610.1165212616,2687759.7377366964,260779.63959238562,66410.80325893393,194368.83633345168,153549.71221837777,387650.28778162226,98720.00373715574,288930.2840444665,0.0,0.0,0.0,11902327.017319832,11437155.446815122,5541413.096939785
1964.0,7892754200.0,469200568.347535,6177001.945514938,54979254.66145293,72967.8869779272,7719.594947028822,65248.29203089838,944210619.5466949,11210676.113982633,11210676.113982633,529697258.82863426,5350064.187756116,566006.9131860064,4784057.274570109,3582151.0643402664,364008.6733964303,95526.77714005832,268481.896256372,178883.45804634682,556570.5249155136,146060.77377290023,410509.75114261336,0.0,0.0,0.0,16738973.327982627,19641053.03046105,7856084.0969377095
1965.0,8150924537.5,596834235.9776673,7901532.3698677,75035070.59050757,101609.48928395324,11089.819053885938,90519.6702300673,1198744368.831493,14826630.549830727,14826630.549830727,675281041.2514915,7038132.088163866,768152.7767250772,6269979.311438789,4985230.844477858,521920.2198624078,140112.00057507926,381808.21928732854,255607.3903604762,799122.660287255,214528.33283072297,584594.327456532,0.0,0.0,0.0,22153532.078243442,30398056.304306727,10430126.257653907
1966.0,8417539850.0,729009689.5526128,9696346.425054494,95915995.95564306,132851.95074206637,14862.99692428839,117988.95381777798,1461084529.067426,18806056.374309804,18806056.374309804,825433282.4943566,8872882.235262942,992666.0514630165,7880216.183799925,6505055.11207019,704375.7324076686,192560.48077949436,511815.2516281742,508191.45851303486,1284226.9310307377,351078.7551183402,933148.1759123974,0.0,0.0,0.0,28249224.93946808,43936949.06966548,13265368.746568754
1967.0,8692875350.0,865950203.6894201,11563685.863192717,121011746.75417545,170962.39579189313,19521.96555848476,151440.43023340838,1731191087.1888585,23164930.929181635,23164930.929181635,981931768.8169125,10876269.669943525,1241946.5749642835,9634323.094979241,7979751.884077619,899103.2279925711,249536.72690110523,649566.5010914658,866681.0694359506,2109337.3201078223,585424.5812966917,1523912.7388111306,0.0,0.0,0.0,35124173.69429688,60507118.82148356,16380524.702576205
1968.0,8977218550.0,1007890732.8826048,13506270.806815235,147150304.0160359,212432.0297172295,24682.822336625097,187749.2073806044,2009008482.682442,27918347.906895068,27918347.906895068,1143120438.030323,13039870.82688734,1515123.7567189517,11524747.070168387,9324346.109657962,1099605.774419658,309148.5792680032,790457.1951516548,1576822.240167363,3612294.301786291,1015578.1983634253,2596716.1034228657,0.0,0.0,0.0,43018017.48301858,80359292.07167827,19778670.93424936
1969.0,9270860550.0,1155078147.4268582,15527185.455746606,174004631.56110296,257019.4692358851,30317.597304935192,226701.8719309499,2293806930.557002,33073490.865489498,33073490.865489498,1308384162.3578672,15363607.70723348,1812266.1018781294,13551341.60535535,10886480.428675836,1337465.6809821245,380275.01479211455,957190.66619001,2049668.953669133,5552711.3847602215,1578775.0175581945,3973936.367202027,0.0,0.0,0.0,51782661.376167834,103746988.81850493,23463837.595949143
1970.0,9574108850.0,1307769753.3802092,17629794.046648957,201732751.1822665,305057.8120802911,36466.237585786606,268591.5744945045,2583860857.154546,38625505.72198619,38625505.72198619,1477419288.0986724,17849678.885576554,2133728.7730238945,15715950.11255266,12000723.756368347,1556556.672307492,446996.0644006883,1109560.6079068037,1871394.140738653,7306883.078073708,2098316.1339658047,5208566.944107903,0.0,0.0,0.0,60928174.96104806,130921530.76507777,27435505.462460507
