Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,2409200000.0,77232412.5878771,1810987.412122901,9645876.218291068,32413.355110301258,648.2671022060251,31765.088008095234,58939195.54098681,1274196.4842579016,1274196.4842579016,41879892.17111182,732755.621008774,14655.112420175481,718100.5085885986,464222.70076569886,37116.510421917905,2969.3208337534325,34147.189588164474,146377.07484618676,123047.95828517721,9843.836662814178,113204.12162236303,0.0,0.0,0.0,2171413.3920651227,1247541.028938294,923872.3631268288
1962,2478199800.0,155776911.61491078,3721500.9729663227,20069103.183445215,70146.54142409693,1646.0402155526594,68500.50120854427,117905937.19648753,2716623.762135231,2716623.762135231,84383949.4700535,1550174.929434567,36375.99549725275,1513798.9339373142,1029475.7145763012,87486.17673734837,7605.302106422491,79880.87463092589,218406.6395077976,218295.96959058905,18976.78992574029,199319.17966484878,0.0,0.0,0.0,4578123.251576864,3777852.3270416693,2047811.9534734883
1963,2549999800.0,235672873.02823392,5691638.586676869,30659533.2861738,111517.98796094401,2842.934919126057,108675.05304181796,177490639.17533055,4346690.08890244,4346690.08890244,127434217.91400069,2454349.5890444466,62568.884876947704,2391780.7041674987,1496866.3391602,136108.1657678044,12383.954296430213,123724.21147137419,232096.28530068658,245787.78261234803,22363.277392811957,223424.50521953608,0.0,0.0,0.0,7194294.562802666,7639164.610381875,3332982.2794624623
1964,2625000000.0,317001216.3964052,7714956.631828658,40886175.24607612,154953.65790013553,4173.130068912003,150780.52783122353,237907689.01125672,6175000.165159966,6175000.165159966,171142266.01148945,3449991.0567063647,92913.33687325772,3357077.719833107,2147336.481875261,203927.90358973428,19141.273315393235,184786.63027434103,321180.7484027462,323122.62985717575,30329.24118578638,292793.3886713894,0.0,0.0,0.0,10160438.431770029,12989216.352464963,4810386.68968694
1965,2703000000.0,399820980.235092,9789036.161313241,51076145.80163568,201616.52102877476,5654.77678415938,195961.74424461537,298428766.7448706,8189823.605005353,8189823.605005353,214892840.61377186,4528657.324877207,127016.11045294299,4401641.214424265,3147361.5734232278,305761.81889679783,29381.992146816985,276379.82674998086,259056.82091694462,291860.67737163586,28046.17058283695,263814.5067887989,0.0,0.0,0.0,13327620.897213014,19881347.39660209,6435489.853075882
1966,2869403400.0,484255418.5907404,11914761.644351581,63581828.77002173,259560.2600958033,7516.5529712258285,252043.7071245775,358857958.73872185,10386113.158939037,10386113.158939037,260660838.87312174,5725457.765269496,165802.37113832452,5559655.394131171,4416225.276931039,438349.964576444,42922.17416477178,395427.7904116722,236488.4565824158,257499.64326033893,25213.7457021727,232285.89755816624,0.0,0.0,0.0,16825525.948164623,28464955.972827893,8241917.3719388265
1967,2897719000.0,570402988.0802687,14093230.510471681,76818884.84974623,324267.57640484767,9640.329367775765,314627.2470370719,419201936.08126473,12759682.47712998,12759682.47712998,307028493.3410037,7018855.071903029,208667.4080338829,6810187.663869146,5226998.498587875,545601.6761510825,54265.052481726416,491336.6236693561,379920.6011383592,373029.0954104695,37101.138659359116,335927.9567511104,0.0,0.0,0.0,20711761.968456667,38923503.35576204,10253214.585522514
1968,2926314400.0,658366470.8644457,16326117.215823105,91988244.61071378,400168.93109344295,12164.018116895464,388004.9129765475,480037491.8078586,15315718.293722734,15315718.293722734,355415710.95069754,8433791.007934814,256363.69703742382,8177427.31089739,6210633.597987002,671607.0991743761,67694.24495105296,603912.8542233232,481089.6318527839,492397.0233949609,49630.87012606667,442766.15326889424,0.0,0.0,0.0,24927829.52508889,51385004.49195277,12466328.388898158
1969,2955191600.0,748253167.2587079,18615503.605737776,106428710.75325343,479061.299176955,14844.252286550227,464217.0468904048,540462269.5145953,18026236.20115552,18026236.20115552,402999742.8227985,9922689.997974822,307465.69164368924,9615224.306331133,6838087.075531535,774800.147778026,79008.11109445822,695792.0366835677,356950.9260945889,410958.35878279794,41906.34676441703,369052.0120183809,0.0,0.0,0.0,29170521.603079006,65786872.30443128,14768653.790600495
1970,2984354000.0,840174006.387901,20963760.870806962,122541035.85719235,569029.409951132,17931.78138316601,551097.628567966,601620240.0571938,20902405.273109842,20902405.273109842,452637004.88634026,11531670.640337251,363396.67737553327,11168273.962961718,8433658.823749399,955891.2938039626,98481.51394067498,857409.7798632877,1955906.0660722204,1724635.9006109613,177682.0812047685,1546953.8194061927,0.0,0.0,0.0,35026140.46390901,83139999.84939569,17673012.9189446
