Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,332748200.0,29927688.07731817,452411.9226818309,15584780.10898899,30630.262244863712,1837.8157346918226,28792.44651017189,12084700.82438444,177544.89154381197,177544.89154381197,12971138.518462282,160725.95549150606,8839.927552032834,151886.02793947322,5389721.491849801,381392.462722435,57208.86940836525,324183.5933140698,13671618.790633842,11492679.303835552,1723901.8955753327,9768777.408260219,0.0,0.0,0.0,10451184.367567746,6845914.874637602,3605269.492930144
1962,332706600.0,59382824.285911426,914463.7914067454,32497162.049780995,65904.133462528,4411.060650719656,61493.07281180834,22723192.316145957,352902.3824427536,352902.3824427536,25809324.425296575,333018.14750665677,20624.30401306147,312393.8434935953,9769602.546160197,756825.4239008308,124015.64176018354,632809.7821406473,16523115.188101273,17130533.624369524,2807059.66531981,14323473.959049715,0.0,0.0,0.0,15683073.03993852,15738032.0386957,6790955.87588042
1963,442059200.0,88366926.4237873,1375297.862124126,46464215.04439455,97694.99307736801,6934.988784003505,90760.0042933645,33288457.132324867,544874.9429184719,544874.9429184719,37083168.93442756,499486.8546623255,32959.200972030034,466527.65369029547,13526715.018566437,1140210.9955673562,196084.64556319936,944126.3500041568,15732784.942287454,17040256.67528767,2930451.209003747,14109805.466283925,0.0,0.0,0.0,16156094.417190213,23419035.049701557,8475091.406184357
1964,446597400.0,116883517.65555939,1832608.768227908,63453724.750444785,137455.67051889835,10152.880440576926,127302.79007832141,43366359.487442315,747957.0695433542,747957.0695433542,49416589.16988507,691483.0967085094,47617.56149673528,643865.535211774,17924026.714679345,1609874.3328750962,286116.3441267922,1323757.988748304,18573069.521491833,19194982.108848058,3411445.225513073,15783536.883334985,0.0,0.0,0.0,18626420.266916737,31690964.34673784,10354490.969880454
1965,455181600.0,144936889.89815253,2285327.7574068503,75138732.8449374,169306.37964532146,12883.263840900701,156423.11580442076,53411803.07461503,968637.9994783043,968637.9994783043,59364062.99983504,867714.7323038337,61689.64015018481,806025.0921536488,22454931.28597636,2132677.5438000374,388549.8734497779,1744127.6703502594,17872798.94452604,19287295.73057449,3513928.459128472,15773367.271446016,0.0,0.0,0.0,19448581.149232652,39456593.50186194,11682951.99410856
1966,456540000.0,172532524.91373768,2732864.9844148518,89603283.49693924,208554.6992861698,16250.08053015023,192304.61875601957,62242500.89100556,1189905.9847221856,1189905.9847221856,70077802.73981602,1065120.397404747,77666.01743644015,987454.379968307,24679996.530048925,2531436.225858841,470429.9304474163,2061006.2954114247,15880105.770924162,17426800.532797083,3238512.7773793163,14188287.755417768,241355.83967384126,792427.8017749509,792427.8017749509,19411386.836050656,46359639.103527196,12508341.234385397
1967,458098400.0,199587412.19024706,3173412.7234906377,104710515.61065048,251443.25591181513,19979.45519061204,231463.8007212031,64268467.68682287,1327988.408253746,1327988.408253746,79196217.78605506,1255379.7401673489,93474.44748230484,1161905.292685044,26517087.623066958,2906897.3318642764,549165.8201863716,2357731.511677905,15028644.04619257,16238333.147285752,3067716.7175937556,13170616.429691996,242710.02418121108,802125.6245073817,802125.6245073817,19051831.067537278,52439863.24881031,12971606.922254156
1968,463456800.0,226256052.18397743,3609160.0062696408,118910152.3822756,295106.5377130518,23842.960200201374,271263.5775128504,66044655.66076016,1468487.7567426388,1468487.7567426388,87576475.7808468,1447623.2277327452,109721.75628978218,1337901.471442963,28416163.17588474,3279547.637915143,628324.6976112459,2651222.940303897,11332301.307939898,12946856.380061392,2480473.076826454,10466383.303234939,259952.93418889286,858729.0628055566,858729.0628055566,17053988.112042844,56801621.83416284,12692229.526690314
1969,464415200.0,252484663.53347754,4038988.650499874,134283392.50654146,343618.53144613665,28167.1827119845,315451.34873415215,68185729.54352576,1619415.717909329,1619415.717909329,96587818.63691223,1658079.3548656357,127626.09161445555,1530453.2632511803,30569699.686072744,3658609.792096382,709567.2158959998,2949042.5762003823,15699683.125585051,15751265.20512921,3054871.121426396,12696394.083702814,268672.5926474424,887722.7573524978,887722.7573524978,19998479.747150354,63045096.794569835,13755004.786743358
1970,466373800.0,278249743.1649398,4462320.368537707,150331320.69954845,396248.5704448273,32898.87474095424,363349.69570387306,69859318.81350957,1768391.4201363132,1768391.4201363132,105632098.77136344,1879908.333926347,146681.4474248899,1733226.886501457,33768486.346756145,4099861.273339614,803784.7800276497,3296076.493311964,16784886.627984695,17726906.84547229,3475390.2557664155,14251516.589705875,320443.37354187574,1057875.1694345102,1057875.1694345102,22470436.254793994,70424446.29179357,15091086.75757027
