Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,0.0,32692.34201273415,607.6579872658513,304266.7420650099,1022.4375407291799,20.448750814583597,1001.9887899145963,0.0,0.0,0.0,212877.64254529608,3724.634450462128,74.49268900924255,3650.1417614528855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4652.1305513674815,2672.544025657895,1979.5865257095866
1962,0.0,65937.91549800902,1254.4265147251342,607470.4755140644,2126.7131052000673,49.90488806764791,2076.8082171324195,0.0,0.0,0.0,421877.2875565308,7756.256194606003,182.00625945707887,7574.249935148924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9651.058152281345,8032.623865156943,4290.978312782295
1963,0.0,100009.3243943565,1928.5911036525167,909527.2769760266,3316.994234352417,84.56033782355252,3232.433896528865,0.0,0.0,0.0,626691.7584319467,12094.640705246517,308.3294186339771,11786.31128661254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15018.745183141404,16169.269989248009,6882.099059050337
1964,0.0,134883.05193085337,2626.272463503151,1210349.0694983122,4597.4159924949145,123.81517918048881,4473.600813314426,0.0,0.0,0.0,827015.9544991237,16735.82102391149,450.72029204903083,16285.100731862458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20758.701545176882,27195.817143624467,9732.154390800428
1965,0.0,170243.54889221003,3339.5030386433345,1509843.6689875813,5972.052753230053,167.49929564512556,5804.553457584928,0.0,0.0,0.0,1022550.7000194823,21671.88729661684,607.8355311782072,21064.05176543863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26868.60522302356,41235.08205487122,12829.3403117768
1966,3400000.0,206664.59941946965,4078.949472740366,2332158.232847458,9206.520602337401,266.6097643861541,8939.910837951247,0.0,0.0,0.0,1579789.1784963734,33308.31213207897,964.5686609748606,32343.743471104113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41283.65430905536,62974.57445353062,19544.161910395964
1967,3600000.0,243826.99968299843,4837.599736471215,3270439.6149187977,13085.015318327474,389.01162690893784,12696.003691418537,0.0,0.0,0.0,2218490.534739393,47376.42435223255,1408.4798119094542,45967.94454032309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58663.948231741626,93725.75612227296,27912.766562999295
1968,3600000.0,281712.33538906206,5614.664293936309,4055774.2782762786,16749.115856999866,509.12635363726724,16239.989503362598,0.0,0.0,0.0,2878694.5385374352,62985.04452104758,1914.569480829053,61070.47504021853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77310.46454358113,133879.95597530113,37156.264690552955
1969,3800000.0,320596.7942129978,6415.541176064279,5052078.030553384,21393.15640522929,662.8909733064236,20730.265431922864,0.0,0.0,0.0,3743792.5803037947,83391.13374113126,2583.9679177623516,80807.16582336891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101537.43125529177,186341.54519257956,49075.84203801335
1970,3800000.0,360457.2089543881,7239.585258609676,5897610.02793136,25872.63676796133,815.3224740510135,25057.314293910316,0.0,0.0,0.0,4485753.357246307,103217.34898066282,3252.680625119448,99964.66835554337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125021.98264945368,250221.67699752504,61141.85084450822
