Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,273530600.0,22461313.806030173,336886.1939698272,22339013.702619962,43905.00496110252,2634.300297666151,41270.704663436365,7302886.099089463,107291.86756559159,107291.86756559159,14174231.777869612,175633.53768935287,9659.844572914408,165973.69311643846,11623051.565032614,822481.137001425,123372.17055021375,699108.9664512113,8402044.09617112,7062952.805569172,1059442.9208353758,6003509.884733796,0.0,0.0,0.0,7017155.116530473,4587506.053006826,2429649.063523648
1962,281416800.0,45575451.75385054,696862.0521796292,45075538.74747473,91507.28095948107,6124.716995546575,85382.56396393449,13808494.313381864,214388.40938869785,214388.40938869785,28181583.526614435,363638.50310242677,22520.667702318333,341117.8354001084,19992046.13659837,1555947.341822438,254962.11153504497,1300985.230287393,14515559.159668028,14193797.050515408,2325837.365717408,11867959.684798,0.0,0.0,0.0,13809833.723838136,12710068.515940072,5687271.26090489
1963,289530400.0,69556677.5753608,1075674.1784897388,80043409.51119602,166257.47598678706,11801.973621227498,154455.50236555957,20805298.480763253,339513.1512523481,339513.1512523481,48037275.32173383,638906.5927045261,42158.96893931157,596747.6237652146,29431187.74376862,2464245.7170142243,423781.87009232526,2040463.846921899,13976478.959020317,15127235.09390312,2601464.591440137,12525770.502462983,0.0,0.0,0.0,15656950.626768004,20578941.72166299,7788077.4210450845
1964,297837800.0,94354243.1535052,1471034.4218555978,126657106.25456771,268747.08703451377,19850.450935304256,248896.6360992095,27671935.743656434,474737.31021218735,474737.31021218735,73584062.93849108,1005917.8303264144,69270.46282726743,936647.367499147,38643608.85124218,3461352.1588549856,615171.8834216644,2846180.2754333215,14557737.636680761,15427593.32865001,2741882.7120406684,12685710.616609342,0.0,0.0,0.0,17192172.205853205,28290075.397342294,9481038.530173905
1965,306405800.0,119980875.69276659,1882467.4607386147,158547392.1894789,348895.28509646247,26548.970098825255,322346.31499763724,36028754.12492617,644054.0016725706,644054.0016725706,93122552.55055334,1326134.1574277892,94280.68455790974,1231853.4728698793,48065343.022717245,4564634.473489355,831625.086584152,3733009.3869052036,52406545.34048107,47379340.11340957,8631983.141904058,38747356.971505515,1482614.4437107393,4867770.782331842,4867770.782331842,49546390.930282645,56358056.611121014,21478409.716503926
1966,315301600.0,146540693.73326352,2311281.959503089,189400016.99902076,431979.7852111658,33658.82581934202,398320.95939182374,46073515.15993287,853018.5948919628,853018.5948919628,112574016.77349962,1667566.605275121,121594.94584583347,1545971.6594292875,55349321.19375553,5597089.486730817,1040136.1847689572,4556953.30196186,67554241.85802211,69083844.95076388,12838209.40983886,56245635.54092502,1947785.1307814962,6427295.746762216,6427295.746762216,70027195.80336218,92923977.9372014,33461274.477281794
1967,324392000.0,174020935.48865953,2757058.2446039976,219527086.71766856,518691.8731553388,41214.79019137518,477477.0829639636,51503799.55457164,1012021.1786241013,1012021.1786241013,130577903.65289758,2013694.2234551527,149937.86255518778,1863756.3608999648,64145823.75491564,6776058.6295566745,1280120.8195904645,5495937.80996621,82494885.16610178,84950342.83510795,16048666.111037489,68901676.72407046,2002087.2183112616,6615467.219551178,6615467.219551178,84366336.37607588,133113177.19024988,44177137.123027384
1968,333744600.0,202501280.51071447,3220954.9779450693,256546647.59265438,624118.0062266623,50425.249464180895,573692.7567624814,54852589.775149,1151334.9412756748,1151334.9412756748,151466904.42856887,2417051.672482062,183199.01854797264,2233852.6539340895,73186813.0662658,8015376.903630429,1535656.6896571685,6479720.2139732605,93262881.85279119,97364081.74821654,18653870.58732754,78710211.160889,2312717.039837258,7636383.818871799,7636383.818871799,96785195.5457063,175742523.7086241,54155849.02733209
1969,343366800.0,232033641.78930628,3703738.7214081893,302395272.88412637,753169.3736963084,61738.985009603064,691430.3886867053,59265053.05853054,1313739.8686570346,1313739.8686570346,177116690.7769931,2903982.0608100207,223526.02090610377,2680456.039903917,81763005.53257543,9254515.062123463,1794862.2182350373,7459652.843888425,103607751.24981637,108493499.67859116,21041716.63128907,87451783.0473021,2797195.247401453,9233708.36289496,9233708.36289496,108830770.55133314,220705273.89055252,63868020.369404666
1970,353266400.0,262613358.0292031,4205283.760103188,351674234.50103873,896637.1310948464,74444.0607845302,822193.0703103162,74747109.43166324,1647514.996912032,1647514.996912032,209047733.0837523,3498338.7438026266,272960.85732637893,3225377.8864762476,88898869.51043943,10407380.996534888,2040384.756274848,8366996.240260039,115041631.0665589,120455184.56845704,23615443.932492066,96839740.63596497,3153347.0545266015,10413446.585547136,10413446.585547136,121315269.41547073,268320964.90748787,73699578.39853539
1971,363948400.0,294554330.10154265,4730727.927660406,401508786.6810511,1049624.6747742342,88146.38094499067,961478.2938292435,80567986.39606139,1865146.3194529356,1865146.3194529356,237596236.72822627,4086996.5233282405,322786.7052153749,3764209.8181128656,96893690.52436478,11610179.513997072,2298326.818558642,9311852.69543843,115870987.52908033,123773142.64152195,24501872.06901837,99271270.57250357,3207084.8563676802,10597455.831274748,10597455.831274748,125771413.53061178,313268908.1734471,80823470.2646526
1972,375338200.0,327912711.4832474,5281018.618295223,450749071.0108145,1210272.8974363727,102690.5255551607,1107582.371881212,86167326.02699813,2090431.4822640845,2090431.4822640845,265693109.24778196,4703141.174540585,375541.4323948087,4327599.742145776,108228143.28534403,13042878.023783542,2604638.3902410013,10438239.633542541,123061680.33943172,129915166.91505885,25943816.280769784,103971350.63428907,3207415.260097581,10599536.0629635,10599536.0629635,132534739.92708617,358061696.7169875,87741951.38354576
1973,382000200.0,362036030.25319254,5845381.230054876,501077576.8899674,1382143.3847114241,118379.88094803825,1263763.5037633858,87893376.08730115,2268818.412573893,2268818.412573893,292867369.54480827,5340500.044641043,430708.62403551093,4909791.420605532,122943131.51920854,14745897.111983988,2968334.153249143,11777562.958734846,138270510.39004406,144382537.36490643,29064058.533591624,115318478.8313148,4414235.180214953,14561675.383082964,14561675.383082964,150100090.51007542,410084822.89686996,98076964.33019298
1974,393701600.0,397650308.87022585,6435821.382966709,557785457.7422599,1576105.779968209,136160.6819068333,1439945.0980613758,88933672.66178322,2440365.0174285634,2440365.0174285634,321991582.8318661,6033575.326863799,491076.1548789658,5542499.171984834,139867665.24203858,16675901.749689804,3381558.4772627265,13294343.272427078,151924910.29723665,159415897.49374294,32326538.47882258,127089359.01492035,4765840.853834413,15742204.213567046,15742204.213567046,165548715.78838927,466672377.92703366,108961160.7582255
1975,405225800.0,434755526.1346691,7052382.735556702,611309410.9922303,1774531.0167557602,154527.0517732211,1620003.9649825392,90077037.39638628,2614540.9804782798,2614540.9804782798,350054342.5678701,6746694.150459846,553772.0427845704,6192922.107675275,151787012.6722076,18346973.349439293,3745736.4997872133,14601236.84965208,155250736.386814,165321885.37241417,33752282.104449384,131569603.26796478,5285023.218420868,17454125.08355952,17454125.08355952,174052432.25431246,522790574.8452443,117934235.3361019
1976,412763200.0,472684735.58898735,7683990.545681754,700367953.0324897,2053472.465911729,180142.69395887147,1873329.7719528575,91047307.83121519,2786327.568810654,2786327.568810654,396198556.6253589,7715549.012856679,638275.6374964644,7077273.375360215,166950565.26547277,20277351.171600286,4166017.779245534,16111333.392354753,167223084.12511122,176049346.62287462,36169650.65351648,139879695.96935815,5632779.773008788,18606947.924045265,18606947.924045265,186334908.0018819,581487304.378537,127638178.46858916
