Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,8267781712.5,30449762.62097663,375237.3790233683,161490424.619646,197355.12497047542,16775.18562249041,180579.939347985,317282648.30827504,3312326.4396333154,3312326.4396333154,239449685.44255716,2189093.9757751864,186072.98794089086,2003020.9878342955,0.0,0.0,0.0,0.0,5147956.07235275,4989643.92764725,1122669.8837206312,3866974.0439266185,0.0,0.0,0.0,9362901.410742216,2898851.312321866,2597076.05449373
1962.0,8443860825.0,61558834.1668055,771928.4541711274,315877412.42979634,397425.345584239,37913.26824128198,359512.077342957,637387524.9636694,6955484.741553333,6955484.741553333,476476249.39061594,4509463.61981861,430190.2375933056,4079273.3822253044,0.0,0.0,0.0,0.0,4716398.250434499,9407557.821918253,2292762.708797474,7114795.113120779,0.0,0.0,0.0,18509065.314242374,8823831.386855835,5469290.126587626
1963.0,8623689900.0,93349303.86430702,1182530.3024984875,485189907.2500539,627134.4627292908,63641.0937430148,563493.368986276,960306608.2537305,10946772.605312623,10946772.605312623,721461795.9724555,7060117.593333824,716454.9746455519,6343662.618688271,8007435.1065855995,715564.8934144006,182227.5674198429,533337.3259945577,3826859.5028564497,12980870.530519798,3305741.3541928018,9675129.176326998,0.0,0.0,0.0,28062395.095308725,18015494.28478566,8662265.695057344
1964.0,8807349400.0,125846337.94829263,1605765.916014393,666355985.5070817,884275.0679392535,93551.36388028298,790723.7040589706,1285685126.9681752,15299286.824556971,15299286.824556971,972491767.13828,9834002.825252403,1040382.5801047215,8793620.24514768,19059669.5488772,1767165.5577084012,463757.16497543425,1303408.392732967,4255870.484768262,16995974.628548443,4460252.733734323,12535721.89481412,0.0,0.0,0.0,38722761.06131071,30727224.334867593,12171900.723681692
1965.0,8994918250.0,159076687.39852327,2041250.5497693494,847738443.4867973,1156012.9194931975,126169.06345536151,1029843.8560378359,1613485619.9169786,20028353.456892744,20028353.456892744,1224628905.563558,12795116.249089621,1396479.0589519143,11398637.190137707,35302669.509587556,3376600.039289643,906464.5680358687,2470135.471253774,4524604.282410682,21257962.15008047,5706802.479854679,15551159.67022579,0.0,0.0,0.0,50478129.64454785,47202034.610052675,15982024.227883207
1966.0,9186484600.0,193067757.6006269,2488929.7978963973,1017031472.7103934,1427923.9834779021,159750.98337663733,1268173.0001012648,1943655847.8826537,25148173.304224096,25148173.304224096,1472206626.007441,15897441.56213699,1778548.404613523,14118893.157523466,48482173.63266581,4856095.876921738,1327547.3781231446,3528548.498798593,5806020.317887025,26754366.78912939,7314042.058569939,19440324.730559453,0.0,0.0,0.0,63504112.69120687,67664925.11421321,20072348.957688287
1967.0,9382128400.0,227848630.56087786,2948927.039749039,1154799323.0713804,1676014.9733514397,191381.89093407095,1484633.0824173687,2276130005.4281955,30671649.949137274,30671649.949137274,1707417533.3164587,19071415.18772834,2177739.1965166326,16893675.99121171,56744942.43478066,6028431.197885154,1673128.2266970125,4355302.971188141,2587495.130817505,29093262.38021404,8074531.647987425,21018730.732226614,0.0,0.0,0.0,74423992.7261811,92306245.84702328,24408638.28995629
1968.0,9581939850.0,263449364.3482353,3421466.2126425505,1313514638.4346948,1962772.8192791422,228057.75969806354,1734715.0595810786,2610830100.7099147,36610226.245522745,36610226.245522745,1952475795.625417,22516414.37454024,2616218.73313736,19900195.641402878,71346006.72586699,7871935.708913679,2213154.7479223744,5658780.960991304,2259408.9214596055,31211262.27658514,8774887.886578947,22436374.390006192,0.0,0.0,0.0,86340292.2975042,121447861.28874616,29103521.504783813
1969.0,9786007100.0,299902110.8245807,3906853.5236545946,1513272982.984084,2314731.140645013,273041.909237087,2041689.2314079262,2947667493.2309446,42973732.48052009,42973732.48052009,2215503972.593688,26316484.935291015,3104249.6318335333,23212235.30345748,89229132.78600404,10173473.939862948,2892573.624863187,7280900.314999761,3043362.3115867376,34095900.17225621,9694318.984569505,24401581.187686704,0.0,0.0,0.0,99910138.51807195,155465548.19821212,34209970.10591955
1970.0,9994419325.0,337238683.7961136,4405427.028467115,1698319999.7030964,2667218.601711613,318836.0480263509,2348382.5536852623,3286544576.275408,49770249.36951276,49770249.36951276,2473277918.1859345,30274063.642297868,3618924.5243019406,26655139.117995925,106563672.36109757,12631660.424906466,3627431.366446072,9004229.058460394,3443058.1099291896,37344366.27098489,10724174.100209346,26620192.17077554,0.0,0.0,0.0,114398192.27042988,194613252.92936477,39626066.31004129
