Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,9328445000.0,63052476.6632591,791123.3367409013,12601324741.328674,15399897.70276397,1308991.3047349374,14090906.398029031,3335752192.8788176,34824155.19238197,34824155.19238197,6072069792.474386,55512001.94155582,4718520.165032245,50793481.776523575,2807404728.83925,250876871.16075003,56447296.011168756,194429575.14958128,1229586179.7831466,1191773420.2168536,268149019.54879206,923624400.6680615,795956.9151895869,42108443.084810406,42108443.084810406,1259870962.2693877,52651886.55273663,47056656.81419794
1962.0,8926262500.0,119560205.80868797,1523670.8545711243,25628705337.766357,32209726.113028616,3072717.93223524,29137008.180793375,6879319625.34894,74986274.22815722,74986274.22815722,12297947036.855867,116320842.3773476,11096683.56108779,105224158.81625982,5448080328.91021,509273399.92904055,124117553.35899891,385155846.57004166,1334816160.9514797,2448890818.8316674,596831361.9345775,1852059456.89709,1037086.7200783205,96973356.36473209,96973356.36473209,2543536101.0570745,161642059.4855647,100357268.29238231
1963.0,9119232500.0,175817918.08694056,2261487.721747427,38870409159.03019,50240109.874573395,5098325.370722374,45141784.50385102,10032602244.260132,114594337.82691799,114594337.82691799,18245281472.497253,178715624.0733182,18135915.757991113,160579708.3153271,8039449384.153668,786354744.7565408,200255090.18795598,586099654.5685848,1405280804.9449015,3772296416.657139,960662556.1434879,2811633860.513651,1141081.0909071106,157339875.27382496,157339875.27382496,3875389221.002157,326613069.5365693,155344820.59509155
1964.0,8605035000.0,231822722.15784252,3001595.9290980273,53417756373.09424,70881425.35831949,7498858.959692838,63382566.398626655,12700562414.75844,152442257.84466147,152442257.84466147,24225645436.331745,245507076.60319826,25973277.649922494,219533798.95327577,10616657641.629217,1086931342.5244515,285243335.4267868,801688007.0976647,1352164133.9662406,5042180287.039956,1323219109.2751708,3718961177.7647853,1254217.8240065638,223691657.44981837,223691657.44981837,5179699465.508832,548969377.5357131,213002315.19742012
1965.0,7676865000.0,285679620.7413497,3717301.416492793,68001802600.54291,92718206.15333095,10119410.465373904,82598795.68795705,15371027282.465214,193290895.41894397,193290895.41894397,30013838108.216373,314784487.58024454,34356072.77268759,280428414.8075569,13104942068.417685,1406421773.211532,377560709.0849394,1028861064.1265926,1752435558.8344252,6701672187.439897,1799096225.1435921,4902575962.296305,2410155.2536035017,351195902.19621485,351195902.19621485,6838951034.53357,831187758.9563421,274099724.4938289
1966.0,11399283750.0,337883965.3251288,4414055.416220876,83293555405.6461,116621199.28605199,13047159.011317156,103574040.27473482,17762421860.23088,234299089.8928017,234299089.8928017,35611268267.70883,386557330.36495376,43246639.43723492,343310690.9277188,15594611054.265594,1754586414.152091,479664457.38188994,1274921956.7702012,1858012194.018272,8451512592.621744,2310453431.7024064,6141059160.919338,2554147.459366442,486317754.73684835,486317754.73684835,8583482693.521644,1174733093.4807153,337638486.5708822
1967.0,10560696250.0,390942401.4538969,5124763.871231914,98608355757.11156,141852830.9992073,16197983.587636404,125654847.41157088,19895620759.397877,275504716.4580024,275504716.4580024,40899026270.560844,459722465.7621867,52495088.76791646,407227376.99427027,17714825517.484764,2100848536.7808278,583068607.9881314,1517779928.7926965,1831718205.1574616,10173089177.100586,2823434836.7256813,7349654340.374905,2827275.5322024957,635888879.2046459,635888879.2046459,10311710089.23609,1580309270.0802612,402810764.2642976
1968.0,9887046250.0,444248766.76992226,5841034.68397461,114653778405.2621,169331755.58689478,19674931.52828054,149656824.05861425,22260504944.41759,321836454.7529709,321836454.7529709,46353708572.32909,538530528.2633177,62572736.18138495,475957792.0819328,19974686792.203835,2490532725.280932,700200627.8544909,1790332097.4264412,2115145473.5439234,12170246134.598978,3421602895.6731167,8748643238.925861,2960411.182769024,792503268.0218768,792503268.0218768,12278929675.267696,2053706533.367076,474053807.6067033
1969.0,7723818750.0,498685830.29039323,6574536.479529043,132311413848.754,200240197.20058942,23620007.001946896,176620190.19864252,24452057741.506424,369320996.8893579,369320996.8893579,52003242214.686035,623417969.0664963,73537366.62444124,549880602.442055,22427615318.394077,2932293073.8097553,833724414.6698393,2098568659.139916,2394167993.0830164,14429370226.51918,4102631607.1909847,10326738619.328196,3242681.6178757404,964050586.404001,964050586.404001,14485179654.402168,2599269435.966355,550258886.9307764
1970.0,8964963750.0,554533282.4066567,7328947.883736443,150684947385.29388,233652962.92818862,27930589.2894811,205722373.63870752,26539097914.445583,418544554.1328406,418544554.1328406,57677015925.34645,713017083.4877284,85233189.70879093,627783893.7789375,24729179744.155468,3400003974.2386117,976378452.8181509,2423625521.4204607,2453239822.352118,16737693420.32666,4806560030.313714,11931133390.012947,3675229.6328064776,1158480956.7711945,1158480956.7711945,16765290689.755087,3220563036.758787,630757220.7580533
