Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,19639600.0,2600750.644975795,55449.355024204946,2834577.37727468,9525.12359043193,190.50247180863857,9334.62111862329,0.0,0.0,0.0,2140615.2548460723,37453.483738612675,749.0696747722535,36704.41406384042,185689.08030627956,14846.60416876716,1187.7283335013728,13658.875835265788,87826.24490771205,73828.77497110632,5906.301997688506,67922.47297341781,0.0,0.0,0.0,127620.3839911473,80268.92413140855,47351.45985973877
1962,20091600.0,4522070.691143936,97979.95383185848,5456533.015653179,19131.455699262915,448.93368687501624,18682.522012387897,0.0,0.0,0.0,4083583.487895271,75218.05366867187,1765.0469825116702,73453.0066861602,356083.56173863664,30540.489444309198,2654.929697057173,27885.559747252024,259855.8095693229,239259.78504530937,20799.205257880098,218460.57978742928,0.0,0.0,0.0,338481.66823322943,282925.67869538406,135824.91366925387
1963,20747800.0,7041155.218822797,154515.47232113878,8782989.330825653,31885.380648031336,812.8559680045646,31072.52468002677,0.0,0.0,0.0,6490637.946874778,124644.22033374294,3177.5627675253863,121466.65756621755,556912.6452496869,50477.43093289751,4592.74573386457,45884.68519903294,130040.75895892087,170259.13220672336,15491.218325540614,154767.91388118273,0.0,0.0,0.0,353191.78132645995,458639.2643875101,177478.19563433403
1964,21088400.0,9617032.815572707,212922.40325008854,11751934.476869598,44457.05994509226,1197.294056471097,43259.765888621165,0.0,0.0,0.0,8615638.493863998,173573.20685651657,4674.581926663758,168898.6249298528,737572.1866535522,70807.29668980665,6646.1812964567525,64161.1153933499,142563.69813504044,148576.28890800904,13945.80782773365,134630.48108027538,0.0,0.0,0.0,410949.9872920993,651388.0820039266,218201.16967568273
1965,21393200.0,12190519.651369106,271713.16420360043,14707847.758157339,57955.757673765984,1625.4961216953322,56330.26155207065,0.0,0.0,0.0,10690135.592947751,225634.12127862408,6328.402971195338,219305.71830742873,897888.9186692442,91088.90974780227,8753.132227328193,82335.77752047408,153731.4759712335,161638.2211554516,15532.524504696044,146105.69665075556,0.0,0.0,0.0,504077.454030729,886277.5831351569,269187.9528994988
1966,21702600.0,14791830.865754325,331488.7856147807,17653299.00986441,72432.68454756428,2097.56343304982,70335.12111451446,0.0,0.0,0.0,12719151.651554301,280844.9936807811,8132.933257679787,272712.0604231013,1038131.5095898834,110884.39363285023,10857.533113440722,100026.86051940951,155514.24607536782,166001.16801622882,16254.435088258258,149746.73292797056,0.0,0.0,0.0,592820.7749849958,1157078.0330331111,322020.3250870416
1967,22116200.0,17391906.110059287,391524.75569503725,21997038.870850243,92664.2241001268,2754.8657526563993,89909.35834747039,0.0,0.0,0.0,15643833.761602823,355571.19244449923,10570.97180933724,345000.22063516197,1112570.7584628542,126075.66937102473,12539.37279546217,113536.29657556256,1180241.5978210461,1027649.7450046449,102209.12028515802,925440.6247194868,0.0,0.0,0.0,1473886.5002776817,1983253.667712443,647710.8655983498
1968,22394400.0,19991413.366822038,451792.74323724903,25954432.66269943,113090.32648976374,3437.630144120026,109652.69634564372,0.0,0.0,0.0,18176012.682735283,428789.4071154669,13034.000671250184,415755.40644421673,1218948.0904376858,143524.0215165404,14466.41984702768,129057.60166951273,1098941.7488740734,1202200.70069321,121175.11684003746,1081025.5838531724,0.0,0.0,0.0,1735491.2883125455,2852102.774289794,866642.181735195
1969,22757200.0,22591330.022293516,512283.34452852403,29594295.78774119,133898.820307032,4149.005300415324,129749.81500661667,0.0,0.0,0.0,20440131.497631274,501937.22329695843,15553.088482479045,486384.1348144794,1169311.179962917,148398.59230837188,15132.537727290275,133266.0545810816,643172.3388446858,792165.0677768068,80778.85098440867,711386.2167923981,0.0,0.0,0.0,1460786.2211945758,3429641.668906074,883247.3265782956
1970,23084600.0,25192928.250531014,573001.7717625031,32413493.415640865,153367.47211938628,4833.057717649119,148534.41440173716,0.0,0.0,0.0,22076376.252935585,568127.5224033429,17903.360268094748,550224.1621352482,1208778.1227369285,158442.3146829481,16323.654293520129,142118.66038942797,578814.6982935582,628810.3496560834,64783.72134687138,564026.628309212,0.0,0.0,0.0,1404903.8652356253,3938479.4948829277,896066.0392587712
1971,23404000.0,27798642.374733604,633985.8757974107,37033100.06552272,180124.36628786084,5762.084157944536,174362.2821299163,115205.6206821478,2490.6107980021534,2490.6107980021534,24987605.02980683,659370.8442798868,21092.92803819679,638277.91624169,1285472.56893921,170508.48075922733,17729.293260584018,152779.1874986433,1079664.5193302652,1038635.4491002604,107996.22626360411,930639.2228366563,0.0,0.0,0.0,1898549.2195049082,4752866.121869288,1084162.5925185475
1972,23269400.0,30332017.81525616,693424.5594774459,37889578.51485632,196015.19705974447,6355.70127436121,189659.49578538327,124100.30164871353,3010.5720441886115,3010.5720441886115,25106199.846549742,706493.2568017268,22907.714095319494,683585.5427064073,1211532.5031516314,170051.06620962502,17829.69554904837,152221.37066057665,553141.3873958314,715920.9745813984,75063.64587111211,640857.3287102863,0.0,0.0,0.0,1669334.3099068422,5342475.80975143,1079724.6220247
1973,23720000.0,32893069.840077557,753647.9751786075,38610479.10614467,212234.35987935605,6966.539122606196,205267.82075674986,132461.29422645102,3557.127826215496,3557.127826215496,25084732.325645246,750786.460431413,24644.375455000132,726142.0849764129,1278319.0709275932,178775.2216643152,18887.511632524507,159887.7100317907,666781.1928723949,682806.6829737951,72138.1802655444,610668.5027082507,0.0,0.0,0.0,1705523.2462994196,5940728.815288244,1107270.2407626056
1974,23809600.0,35360872.34232451,811797.4977530467,40443412.717206016,232935.4418219288,7732.3587617752255,225203.08306015359,140264.74807790463,4124.6290923422,4124.6290923422,25806036.276534196,807054.3119845229,26790.39922689223,780263.9127576306,1290460.8218369226,182808.91739949136,19449.14552578089,163359.77187371047,524508.2015718673,593180.9712389444,63108.863598479904,530072.1076404646,0.0,0.0,0.0,1703023.5044243014,6517850.223533338,1125902.0961792069
1975,24016200.0,37872872.571445234,871099.7708792773,41946317.27073993,253578.21195125804,8505.076878373877,245073.13507288415,216616.2921772365,6200.903407104923,6200.903407104923,26310587.127289586,859418.828218216,28825.123217301145,830593.7050009149,1949021.6236773278,237759.2726046113,25459.382268277233,212299.89033633407,444607.43338682933,492631.17504590267,52751.19353019496,439879.9815157077,0.0,0.0,0.0,1734047.6153329457,7103219.071824523,1148678.7670417605
1976,24335400.0,40386331.120377466,930541.4510677713,43976953.727239,276959.28413825174,9378.656621371634,267580.6275168801,417532.37569486944,11186.547269536963,11186.547269536963,27377444.590318076,920790.7650647375,31180.685755099905,889610.0793096377,2040854.5801183614,254010.07642155926,27363.460845941543,226646.61557561773,517132.7345789171,535210.6141075235,57656.03825557735,477554.57585194614,0.0,0.0,0.0,1872578.4455236187,7766907.305471217,1208890.2118769246
1977,24564800.0,42885586.23806712,989744.882310342,47344109.54257656,305942.42357105244,10452.849256293073,295489.57431475935,636273.4903112387,17129.96910170706,17129.96910170706,29535886.98837323,1001085.3871942594,34203.15013157749,966882.2370626819,2116976.975449359,269148.31047763606,29157.410685965126,239990.89979167093,482891.4978256067,524568.8220870402,56827.65963309175,467741.1624539484,0.0,0.0,0.0,1987233.8427247675,8479175.961476758,1274965.1867192271
1978,25149800.0,45430951.43812947,1050134.7999376527,51304143.15446636,338405.8787025559,11658.711546590632,326747.1671559653,848818.9716331452,23575.06293659833,23575.06293659833,32380066.16164156,1094845.2737934643,37719.454769062904,1057125.8190244015,2503552.3448140537,308967.30569257395,33647.68820027678,275319.6174922972,1610563.2893291267,1463915.6177417787,159425.85299398183,1304489.7647477968,0.0,0.0,0.0,2987257.431357059,9821202.635378797,1645230.7574550211
1979,25966600.0,48063757.742048725,1112693.6960807457,56344961.03157614,376174.23608584475,13061.595140163496,363112.64094568125,847307.0875805703,26016.80218077157,26016.80218077157,35506036.2383067,1196016.922478386,41528.332681007945,1154488.589797378,2293178.410524933,304262.7995904498,33299.85643748025,270962.9431529695,858937.4384636058,1099491.1098427342,120333.1335980979,979157.9762446362,0.0,0.0,0.0,2793738.9523214367,10887471.941208217,1727469.646492017
1980,26629800.0,50756975.78169618,1176781.9603525465,65711043.612118684,430477.0867037096,15057.512242393204,415419.5744613164,843370.3147556931,28417.807588593598,28417.807588593598,41383173.93982984,1348160.6783998373,47156.855839090924,1301003.8225607465,2460503.5245615486,326050.6910756051,35851.66106674613,290199.030008859,348346.38107754703,483807.2288177459,53198.14760090009,430609.08121684584,0.0,0.0,0.0,2465649.3158363616,11672911.396730842,1680209.8603137345
1981,27525000.0,53548667.356865324,1243308.4248308507,68434252.22144967,465708.1316986109,16403.456915905597,449304.6747827053,1413098.7883618264,43188.388049159024,43188.388049159024,42828739.99590754,1430327.3840330841,50379.866750556546,1379947.5172825276,2560216.5041650683,342891.6300859747,37870.74302192107,305020.8870640536,360810.4224172232,376822.112029065,41618.20271335338,335203.90931571164,0.0,0.0,0.0,2512665.376494157,12502264.100613415,1683312.672611585
1982,27968400.0,56360265.48294222,1310401.873923099,71121545.98046383,502303.3768680194,17809.272849181838,484494.10401883756,1967439.967479905,59187.12298440866,59187.12298440866,44192923.13678179,1510864.3932336336,53568.01776843575,1457296.375465198,2643908.325262158,358074.3220472972,39714.175072840706,318360.1469744565,385115.5713222701,405917.7181725745,45020.5064482236,360897.21172435087,0.0,0.0,0.0,2680234.9611672517,13442479.969996126,1740019.0917845403
