Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,4304791250.0,0.0,0.0,711256244.1164889,869216.0248773289,73883.36211457296,795332.662762756,885507539.4602566,9244407.316592457,9244407.316592457,739537662.9807874,6760992.147047411,574684.3324990299,6186307.814548381,81780853.62955457,7308146.370445436,1644332.9333502231,5663813.437095213,18406624.1857821,17840575.814217903,4014129.558199028,13826446.256018875,0.0,0.0,0.0,35716307.487017676,8559040.660500273,7667007.133403319
1962.0,4235262500.0,0.0,0.0,1478996210.2898412,1857652.1329692202,177214.8263788155,1680437.3065904046,1774171928.4497051,19362864.3097351,19362864.3097351,1490940394.137172,14104318.554925546,1345512.606769661,12758805.948155886,149183187.5448664,13984466.084688144,3408223.786487252,10576242.298200892,20782500.864032812,37435323.32174929,9123548.845366744,28311774.476382546,0.0,0.0,0.0,72690124.33906484,26138658.196351748,16222490.028629916
1963.0,4269128750.0,0.0,0.0,2242685820.202905,2897535.457469465,294039.5347913175,2603495.922678148,2688212756.1392694,30631363.225258898,30631363.225258898,2244108678.5890646,21962688.19214248,2228755.6834332165,19733932.508709263,217052278.15753537,21299109.38733104,5424085.121535905,15875024.265795134,26240830.126255214,62266598.18043131,15856969.538830737,46409628.64160057,0.0,0.0,0.0,115253444.56404202,53410154.59645067,25697295.256547388
1964.0,4000587500.0,0.0,0.0,3042243804.370142,4039811.539748415,427389.50024171965,3612422.0395066952,3615600092.10399,42987628.90736435,42987628.90736435,2995725929.897959,30323892.46860452,3208098.4768778696,27115793.99172665,298569443.3506279,30487034.806907468,8000710.951436385,22486323.855471082,56917105.70519389,116669742.75787339,30617634.495982308,86052108.26189108,0.0,0.0,0.0,182254277.05595988,91065977.09138376,36060022.44366462
1965.0,4036713750.0,0.0,0.0,3938476851.611971,5363811.52996899,585414.8045196129,4778396.725449377,4617586439.806221,57121743.43116558,57121743.43116558,3803215368.937301,39728059.79464491,4335982.766859073,35392077.02778584,380356140.5274581,40520102.82316981,10877817.05709532,29642285.766074494,69299737.36254823,182165316.240441,48903157.843872875,133262158.39656812,0.0,0.0,0.0,260196661.3470434,140470520.6219066,47887673.653877944
1966.0,3974800000.0,0.0,0.0,4904490521.545481,6846143.121429283,765921.7918041606,6080221.329625122,5629257109.246543,72462488.96849513,72462488.96849513,4639831317.322447,49981586.10064976,5591759.521298378,44389826.57935138,441109391.623569,49570148.90388909,13551363.66299392,36018785.24089517,72536233.06332469,250456736.2119811,68469237.82366954,181987498.38831156,15427.73633174361,816172.2636682563,816172.2636682563,341754992.77034664,202573465.03729627,60829592.462082
1967.0,3777811250.0,0.0,0.0,5870471246.969319,8409418.984195588,960260.2198916943,7449158.764303894,6517877065.279791,87668976.33703029,87668976.33703029,5415359682.271181,60293682.91117873,6884854.389961977,53408828.52121675,498370342.26653284,59116849.35703622,16407265.188221984,42709584.168814234,83986640.01068951,329760456.2582114,91521576.5600266,238238879.6981848,15427.73633174361,1632344.5273365127,1632344.5273365127,431107772.0168865,277216341.2867788,73884087.37306835
1968.0,3644413750.0,0.0,0.0,6847962773.088965,10071024.883528136,1170168.7277513875,8900856.155776748,7286440846.835976,102687598.28537092,102687598.28537092,6125707814.486528,70602482.80612825,8203417.0739128925,62399065.73221536,566530310.7461534,70490631.52037941,19818083.07411889,50672548.44626052,80957693.68882757,405789722.47692317,114085719.72214936,291704002.7547738,7999.56698683002,2055544.9603496827,2055544.9603496827,518419616.334747,364226669.4045825,86977192.05555935
1969.0,3609040000.0,0.0,0.0,7816149378.202496,11809673.29918777,1393049.796780261,10416623.50240751,8196104075.365648,120152465.78825314,120152465.78825314,6907150563.442615,82123870.50471005,9687197.792784244,72436672.7119258,617288201.0238032,81325709.7223501,23122937.588152763,58202772.13419734,94659886.66116826,495200503.3783313,140797914.61189225,354402588.7664391,5713.9764191643,2357830.9839305184,2357830.9839305184,617968953.8871534,465397227.0586628,101835204.3485062
1970.0,3609533750.0,0.0,0.0,8970757025.942282,13867330.632424518,1657683.7356636901,12209646.896760829,9011131163.957909,137748109.6553211,137748109.6553211,7692112240.525562,94294361.67092624,11271832.61508169,83022529.05584455,678232297.3427233,94039303.68108006,27005247.796156082,67034055.88492398,114438448.39765039,603370093.1778647,173269667.4819836,430100425.69588107,102280.17790304097,7768750.806027478,7768750.806027478,737883517.994759,581108149.855085,117269362.81150422
1971.0,3622668750.0,0.0,0.0,10248220568.000774,16182921.563383358,1957622.599641142,14225298.963742215,9881397346.014305,156962595.93427667,156962595.93427667,8540079272.536421,107668927.27490996,13024540.994464017,94644386.28044593,742724052.5347484,108206044.80797464,31351962.691792075,76854082.11618257,104340003.10041027,701174910.4783877,203160642.9451428,498014267.5332449,137135.4340599432,15023615.371967534,15023615.371967534,855724246.1998599,712767694.9169803,134172736.11656944
1972.0,1927053750.0,0.0,0.0,11427739069.53577,18499357.14920079,2261982.9916348504,16237374.15756594,10658823330.368769,176306167.81520003,176306167.81520003,9288614877.081757,120810175.30137815,14771895.020143872,106038280.28123428,774459296.0687013,120711556.46604714,35258937.837816596,85452618.62823054,104735079.42110547,799681396.4562361,233580921.93633124,566100474.5199049,52568.58305631156,17804646.788911223,17804646.788911223,967939562.191047,860189692.1431388,151159825.02784178
1973.0,1886093750.0,0.0,0.0,12599599772.60181,20924581.487601954,2583646.8040728094,18340934.683529146,11389952019.548563,196177520.95970127,196177520.95970127,9998288708.245234,134215101.1953529,16572107.66519483,117642993.53015807,818096744.3381524,134869454.54633963,39685826.933981605,95183627.61235803,115560453.00821926,908658771.4923201,267376144.35222942,641282627.1400907,46854.60663714726,20283392.182274077,20283392.182274077,1088911096.1081114,1023713503.5980767,168637637.71845043
1974.0,1845433750.0,178086.5615449869,1913.4384550131067,14093668770.090307,23865448.698617056,2973297.449072084,20892151.24954497,12072807872.596989,216503280.70616692,216503280.70616692,10777907504.988058,148856243.97986877,18545383.164299894,130310860.81556888,882367614.5304222,151529032.46333084,44891165.0060897,106637867.45724113,105087329.59404963,1007163091.8261027,298376646.4301174,708786445.3959854,1142.79528383286,20343849.386990245,20343849.386990245,1203474455.0114975,1204282339.822892,187137456.54646558
1975.0,1921148750.0,5335196.334720245,62890.226824741956,15488886314.173601,26834416.281410877,3370959.580029952,23463456.701380923,12700437968.584753,237148784.2928894,237148784.2928894,11487109971.42364,163495122.30623958,20538380.378640004,142956741.92759958,919450660.392276,166604983.1571918,49667836.98024168,116937146.17695013,137329714.1630752,1137240336.9954624,339031081.753136,798209255.2423265,144563.60340485678,27991685.78358539,27991685.78358539,1346707070.124732,1401953908.162821,205897414.5819406
1976.0,2009208462.5,5273057.565112001,62138.76960824379,16674926201.888529,29695014.315089785,3759057.1437341343,25935957.17135565,13350160570.698135,258845162.32161632,258845162.32161632,12112420978.607248,177963107.33455256,22528141.688994892,155434965.64555767,950832319.8619057,181729480.37219492,54493382.99376182,127236097.3784331,135413395.64188114,1264489251.0148623,379169614.67078936,885319636.3440729,0.0,27991685.78358539,27991685.78358539,1480763504.6446211,1617047515.8162909,225122477.48505992
