Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,660000000.0,27813173.59109675,634326.4089032493,3590889.554863424,12066.584275977857,241.33168551955714,11825.2525904583,21313039.826197345,460762.9976303984,460762.9976303984,15313925.365114726,267941.58984814683,5358.831796962937,262582.7580511839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735171.0082720406,417883.4831478406,317287.5251242
1962,680000000.0,56398361.999798864,1311311.5912978856,7587067.836121494,26503.06475389229,621.9139181296363,25881.15083576265,42716319.75200035,984095.5800322625,984095.5800322625,30911955.504205808,567819.1015507032,13324.293077553819,554494.8084731493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564471.5393411745,1279019.4366903482,703335.5857986668
1963,700000000.0,85800391.22030076,2017570.779498095,13284227.080052044,47833.20065374638,1219.4147232975938,46613.78593044879,64146556.82034806,1571260.584089857,1571260.584089857,47730712.04607486,917382.1875224208,23386.880473535235,893995.3070488855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2511869.6770691914,2630519.8410806097,1160369.27267893
1964,762383000.0,203309262.90137127,4891128.318929486,19095347.9743547,71264.17142900094,1919.249023589545,69344.9224054114,85977496.97410434,2231946.7821386177,2231946.7821386177,65221488.684770264,1309840.2955386802,35275.92698913802,1274564.368549542,1067712.2117611074,85367.97397041117,8012.889326987,77355.08464342417,292754.1496923735,246095.91657035443,23099.287139989487,222996.62943036493,0.0,0.0,0.0,3876207.78716736,4718372.590850935,1788355.0373970345
1965,778770000.0,321189713.6085787,7819549.2927925335,26697329.95049317,102552.04351077297,2876.296604334607,99675.74690643836,107686157.84113722,2956567.2471527862,2956567.2471527862,84306745.93159774,1763002.3043679376,49447.259829150964,1713555.0445387866,1768946.8595377412,153337.90805162716,14734.911070446402,138602.99698118077,407537.8640463579,411982.3475241427,39589.187895520976,372393.1596286217,0.0,0.0,0.0,5280794.195207814,7499657.8417288195,2499508.9443299295
1966,795509400.0,439405370.4964629,10784343.112115782,35580284.59832682,140576.78583506413,4070.9346525693854,136505.85118249475,129324765.13112892,3745501.915981719,3745501.915981719,104594898.30041069,2273068.8224961143,65825.33938449468,2207243.4831116195,2447616.5847140374,226804.15124728583,22208.11695635843,204596.0342909274,543467.9855706105,551276.6562661271,53979.684191582295,497296.9720745448,0.0,0.0,0.0,6791144.256641306,11002572.846428892,3288229.251941233
1967,812608400.0,558220730.1263499,13784640.37011289,45865858.12458974,186224.5726805986,5536.3728835253,180688.1997970733,150922593.4434,4597695.303335474,4597695.303335474,126781963.06638369,2854366.7386867525,84859.04080341739,2769507.697883335,3563100.251775888,341554.61637932213,33970.71525503794,307583.9011242842,813363.2982962204,809003.4439701379,80462.75564003296,728540.6883301049,0.0,0.0,0.0,8584015.790470272,15375892.073064663,4210696.563834498
1968,830075200.0,677605225.7996287,16815504.32672119,59017229.63061663,244942.4979111846,7445.56798562041,237496.92992556418,173305373.77552366,5528322.4852373395,5528322.4852373395,155186283.4910831,3585559.266730756,108990.98978159024,3476568.276949166,4052411.8414407205,416626.7904442967,41993.65378980984,374633.1366544869,827383.7247573545,883697.9274691564,89071.8160042899,794626.1114648666,0.0,0.0,0.0,10411646.940231424,20578226.976884097,5209312.036411993
1969,847917200.0,795776505.1020473,19828720.697581362,71542438.43802646,305957.485590711,9480.436246613732,296477.04934409726,195543569.96826386,6515943.894390001,6515943.894390001,182922711.145421,4356640.200707589,134995.38863218037,4221644.812075409,4468320.765512767,488091.6579384244,49771.80250322484,438319.85543519957,818689.4588823745,877495.4194852449,89480.17858074895,788015.2409044959,0.0,0.0,0.0,12260400.852149203,26601084.76254847,6237543.066484828
1970,866142800.0,917141568.5104827,22934936.59156463,81427812.65255612,362525.85500428727,11424.250247874708,351101.60475641256,216730582.7439012,7536139.356024907,7536139.356024907,204964531.80113894,5077963.181312019,160021.47524654874,4917941.70606547,6439975.110564571,684380.9490608089,70508.92963723007,613872.0194235787,3393242.321839549,3039140.7488261666,313110.06174367224,2726030.6870824946,0.0,0.0,0.0,16145085.373352863,34780399.78573504,7965770.350166289
