Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,938125000.0,277480.89471431804,3019.1052856819624,40113064.69067412,49021.599352545614,4166.835944966378,44854.76340757924,2596212.2081794203,27103.60111371777,27103.60111371777,15238704.657868363,139315.09871688497,11841.783390935223,127473.31532594975,10586374.48391468,946025.5160853185,212855.74111919667,733169.7749661219,4343587.936047633,4210012.063952367,947252.7143892825,3262759.3495630845,0.0,0.0,0.0,4195360.804376453,105446.74759076684,93984.93225647992
1962.0,973750000.0,553639.7679065344,6141.126807783574,80166993.35058248,100801.63991167644,9616.194980001459,91185.44493167498,4916638.116263733,53794.0782011415,53794.0782011415,30139911.829400197,285308.9902272485,27217.68100178246,258091.30922546604,20984047.074687198,1959727.4092274846,477614.9143422301,1482112.4948852544,4423539.265722559,8368048.670325075,2039418.7630739962,6328629.907251079,0.0,0.0,0.0,8213813.234494616,315432.3717330028,193085.20821604657
1963.0,997500000.0,828744.5272572968,9295.240649237583,110227025.80003859,143319.96704651215,14543.993354085635,128775.97369242652,6549086.046676321,75626.62330248323,75626.62330248323,40864402.50191988,403025.8841594698,40898.73798838879,362127.146171081,28675651.91624725,2822195.1584399487,718707.3642651963,2103487.794174752,4220798.146805597,12331177.310774062,3140288.8339629313,9190888.47681113,0.0,0.0,0.0,11860906.014151875,606797.6529129229,275164.4619860706
1964.0,1033125000.0,1102482.4638546368,12462.063402659922,137597981.957821,184926.34047792567,19564.17408602996,165362.1663918957,7333592.044364072,90379.54596831043,90379.54596831043,50141624.94108638,515078.84419571323,54492.46521524565,460586.37898046756,35361402.40265093,3671849.5135963163,963603.2759998146,2708246.2375965016,4871514.723302217,16931005.30657387,4443202.837963167,12487802.468610704,0.0,0.0,0.0,15912376.797547879,971631.5495532458,351494.19470035087
1965.0,1068750000.0,1374848.5069696622,15633.956884974552,166267728.26521164,230404.05740448233,25146.660256862247,205257.3971476201,7717748.602220309,101983.51717102143,101983.51717102143,59452290.455711365,634297.7307938006,69228.24935312997,565069.4814406706,41960880.74582495,4589721.656825987,1232132.9179202681,3357588.7389057186,6098268.217058251,22700281.097916003,6093999.958622325,16606281.139293678,0.0,0.0,0.0,20836180.27395871,1412753.652271167,431188.2930413907
1966.0,1092500000.0,1646138.5989921705,18809.907977491603,195527403.8053467,279071.62306691555,31221.526309032648,247850.09675788291,8090027.433073838,114131.672412601,114131.672412601,68640772.45678453,759451.5673081115,84964.70127835542,674486.866029756,48508865.17041625,5585015.575408691,1526817.627128622,4058197.9482800686,6188997.168393944,28521532.346837796,7797145.370840708,20724386.97599709,0.0,0.0,0.0,25819053.5594774,1933917.9270074344,515304.36046397267
1967.0,1140000000.0,1945705.7606585843,22332.838333586267,224737145.50880426,330287.5771832168,37715.0932887891,292572.4838944277,8449895.22238283,126801.38472598004,126801.38472598004,77701122.81266937,890562.7685827421,101692.16227587243,788870.6063068697,54728000.46461483,6639864.70580142,1842825.2220283947,4797039.483773025,6190646.253234627,34342783.595759585,9531481.529982477,24811302.065777108,0.0,0.0,0.0,30816586.024477407,2538546.1605041493,603616.2414305625
1968.0,1178712500.0,2243556.074886817,25849.685771767527,253894357.24106166,384147.6140336315,44634.73479423956,339512.87923939194,8796843.948358335,139964.69635669157,139964.69635669157,86627383.02700946,1027629.449761558,119401.93373904907,908227.516022509,60558731.41661066,7754269.048004175,2180073.3637630544,5574195.68424112,6592830.321387186,40553850.77652882,11401509.198173562,29152341.57835526,0.0,0.0,0.0,36114242.35421498,3230082.971270841,696168.2808519005
1969.0,1220512500.0,2539994.116615366,29361.958271450636,282996346.59068716,440748.5690069094,51989.982189303555,388758.5868176058,9130396.1969473,153588.36394306502,153588.36394306502,95413609.11141944,1170624.3062971935,138084.9334846118,1032539.3728125817,65941502.814593695,8928228.602016956,2538519.164997367,6389709.437019588,7087819.339475373,47232697.07551499,13429439.599432223,33803257.476082765,0.0,0.0,0.0,41767853.236675605,4011985.96513399,792983.3297101038
1970.0,1263025000.0,2835025.9663178916,32868.15029747451,312040323.80242753,500188.26846012054,59791.89357881191,440396.37488130864,9450110.390403353,167633.98662313767,167633.98662313767,104053897.49712677,1319493.6590674953,157730.65746577186,1161763.0016017235,71483204.23494391,10221298.579649787,2935248.2434158586,7286050.336233929,7545063.578009328,54340340.89953333,15604904.692788964,38735436.206744365,0.0,0.0,0.0,47791279.90608446,4887712.160397975,894067.1678421845
